,종목명,회계년,총자산증가율(전년동기)(%),유형자산증가율(전년동기)(%),매출액증가율(전년동기)(%),당기순이익(천원)
0,AK홀딩스,2010,N/A(IFRS),N/A(IFRS),N/A(IFRS),"56,728,651"
1,AK홀딩스,2011,25.87,-2.67,-70.00,"43,867,460"
2,AK홀딩스,2012,33.19,40.75,9.68,"193,423,708"
3,AK홀딩스,2013,123.63,413.35,423.51,"108,312,126"
4,AK홀딩스,2014,16.76,15.43,28.24,"94,294,011"
5,AK홀딩스,2015,-10.01,-30.28,-2.32,"-37,443,062"
6,AK홀딩스,2016,9.87,1.87,4.09,"133,322,341"
7,AK홀딩스,2017,7.40,15.07,16.11,"185,414,017"
8,AK홀딩스,2018,15.39,26.57,9.40,"206,620,399"
9,BYC,2010,N/A(IFRS),N/A(IFRS),N/A(IFRS),"21,616,817"
10,BYC,2011,16.55,6.71,-2.09,"27,006,654"
11,BYC,2012,5.76,15.75,7.37,"24,650,594"
12,BYC,2013,3.90,19.77,-15.92,"15,514,678"
13,BYC,2014,15.85,25.79,-3.04,"19,050,210"
14,BYC,2015,13.66,-24.54,2.99,"13,158,137"
15,BYC,2016,6.01,1.22,16.28,"17,543,266"
16,BYC,2017,1.75,1.41,-7.57,"6,190,457"
17,BYC,2018,-0.99,-1.41,1.05,"9,092,446"
18,CJ,2010,N/A(IFRS),N/A(IFRS),N/A(IFRS),"796,524,863"
19,CJ,2011,42.43,48.61,14.25,"736,148,645"
20,CJ,2012,8.80,11.02,32.83,"570,256,610"
21,CJ,2013,3.45,8.12,6.94,"322,608,337"
22,CJ,2014,4.14,3.12,3.82,"508,633,144"
23,CJ,2015,2.27,4.03,8.15,"551,115,547"
24,CJ,2016,14.63,9.47,13.17,"569,823,382"
25,CJ,2017,8.57,10.80,12.29,"1,137,728,417"
26,CJ,2018,8.20,12.85,9.76,"880,027,278"
27,CJ대한통운,2010,N/A(IFRS),N/A(IFRS),N/A(IFRS),"98,803,722"
28,CJ대한통운,2011,-8.04,-14.22,5.04,"80,994,345"
29,CJ대한통운,2012,2.07,7.56,1.53,"69,571,921"
30,CJ대한통운,2013,25.60,11.91,44.44,"-60,061,094"
31,CJ대한통운,2014,-1.43,-1.28,20.16,"59,451,740"
32,CJ대한통운,2015,-0.93,-1.15,10.87,"48,984,004"
33,CJ대한통운,2016,22.68,14.89,20.30,"68,210,131"
