종목코드,종목명,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
A095570,AJ네트웍스,12,2023,Annual,"1,622,157,342","303,255,111","17,826,547","1,622,157,342","50,943,141","124,371,578","328,063,151","1,001,975,994",0,"2,288,799","78,385,857","16,472,355","-18,141,405","-106,360,588","115,645,054","110,780,653",25.87,65.86,286.55,254.58,797.92,-16.06,2.57,90.05,9.36,0.00,4.21,2.56,0.86,0.65,7.82,"78,385,857",1.64,100.00,68.79
A095570,AJ네트웍스,12,2024,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A006840,AK홀딩스,12,2010,Annual,"633,518,525","342,091,972","101,257,562","633,518,525","101,219,626","206,392,855","5,735,702","1,301,039,826","7,084,977","1,294,106","77,135,708","56,728,651","20,490,372","-24,555,432","-1,619,389","166,423,031",42.26,33.51,136.62,79.28,786.64,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),88.35,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),5.93,"77,135,708",4.36,11.65,N/A(IFRS)
A006840,AK홀딩스,12,2011,Annual,"797,395,267","368,464,610","100,459,041","797,395,267","88,261,980","250,570,529","53,531,575","390,281,897","7,174,681","1,258,430","20,652,501","43,867,460","43,858,553","-159,935,234","137,555,421","164,957,170",44.02,38.26,127.18,86.91,608.55,-70.00,-73.23,-22.67,25.87,86.95,14.18,1.26,0.96,0.55,5.29,"20,652,501",11.24,13.05,-2.67
A006840,AK홀딩스,12,2012,Annual,"1,062,012,676","455,173,056","120,241,742","1,062,012,676","132,002,396","278,568,031","76,035,400","428,068,164","2,626,757","725,964","27,066,943","193,423,708","15,874,495","-5,900,676","43,109,465","243,262,270",48.10,33.41,107.91,69.47,577.26,9.68,31.06,340.93,33.19,86.04,44.89,0.99,0.86,0.46,6.32,"27,066,943",45.19,13.96,40.75
A006840,AK홀딩스,12,2013,Annual,"2,374,994,472","702,558,263","141,634,818","2,374,994,472","272,943,954","349,773,376","196,176,418","2,240,972,021","6,606,882","4,400,201","108,947,072","108,312,126","182,498,203","19,058,960","-160,310,908","300,681,262",26.74,41.32,274.00,154.54,649.58,423.51,302.51,-44.00,123.63,82.54,18.91,3.91,1.96,1.30,4.86,"108,947,072",4.83,17.46,413.35
A006840,AK홀딩스,12,2014,Annual,"2,773,153,876","860,690,585","229,358,723","2,773,153,876","384,587,781","461,811,659","442,035,089","2,873,874,157","9,681,363","37,157,968","147,517,194","94,294,011","219,740,235","-193,620,872","2,781,660","330,216,202",29.82,37.87,235.32,127.00,759.68,28.24,35.40,-12.94,16.76,74.76,12.90,3.93,1.56,1.12,5.13,"147,517,194",3.28,25.24,15.43
A006840,AK홀딩스,12,2015,Annual,"2,495,514,993","969,178,974","203,315,762","2,495,514,993","321,221,478","599,867,254","173,049,776","2,807,147,867","9,634,828","50,463,121","106,316,161","-37,443,062","141,247,058","143,427,170","-146,375,693","224,543,905",36.13,30.97,176.79,85.73,762.09,-2.32,-27.93,적전,-10.01,70.18,-4.33,3.25,1.59,1.07,3.79,"106,316,161",-1.33,29.82,-30.28
A006840,AK홀딩스,12,2016,Annual,"2,741,946,503","1,179,857,738","197,859,303","2,741,946,503","381,560,718","361,981,331","208,072,515","2,921,831,064","13,670,138","53,427,031","213,669,705","133,322,341","318,306,281","-128,595,637","-74,273,803","266,392,319",36.89,27.50,171.10,74.56,851.93,4.09,100.98,흑전,9.87,68.51,13.94,3.05,1.76,1.12,7.31,"213,669,705",4.56,31.49,1.87
A006840,AK홀딩스,12,2017,Annual,"2,944,784,347","1,218,481,945","217,784,154","2,944,784,346","363,444,962","340,615,780","239,496,379","3,392,454,611","14,057,626","63,903,795","265,641,267","185,414,017","280,933,528","-292,512,574","-39,324,783","279,391,346",39.12,25.81,155.61,65.98,974.35,16.11,24.32,39.07,7.40,68.63,17.14,3.14,1.93,1.19,7.83,"265,641,267",5.47,31.37,15.07
A006840,AK홀딩스,12,2018,Annual,"3,397,931,239","1,306,700,266","227,029,929","3,397,931,239","327,964,818","453,840,494","286,561,671","3,711,183,103","18,434,400","52,378,017","269,717,896","206,620,399","317,257,801","-224,601,813","89,961,083","268,844,631",43.38,22.98,130.54,52.97,"1,184.69",9.40,1.53,11.44,15.39,71.83,15.74,2.83,2.00,1.17,7.27,"269,717,896",5.57,28.17,26.57
A006840,AK홀딩스,12,2019,Annual,"4,327,964,555","1,327,786,612","253,714,985","4,327,964,555","329,542,790","408,763,625","1,017,137,312","3,759,542,063","19,303,280","63,748,087","131,336,892","57,377,833","274,189,798","-219,324,322","-295,491,698","279,222,938",33.04,39.19,202.67,118.60,"1,157.72",1.30,-51.31,-72.23,27.37,75.34,3.95,2.59,1.56,0.97,3.49,"131,336,892",1.53,24.66,2.43
A006840,AK홀딩스,12,2020,Annual,"4,152,091,609","1,185,254,991","236,961,655","4,152,091,609","275,930,960","697,378,057","974,138,170","2,619,977,218","19,090,994","65,432,074","-221,554,817","-264,310,731","-191,716,473","-18,567,245","333,786,285","243,210,194",30.41,47.88,228.84,157.44,947.11,-30.31,적전,적전,-4.06,82.33,-19.63,1.95,0.91,0.62,-8.46,"-221,554,817",-10.09,17.67,3.26
A006840,AK홀딩스,12,2021,Annual,"4,548,736,657","1,352,749,115","375,434,184","4,548,736,657","353,029,488","794,593,961","284,988,948","3,167,699,652","18,574,103","70,572,823","-165,714,944","-199,326,057","-9,766,238","-38,243,934","155,531,011","287,334,993",26.43,49.15,278.32,185.93,813.95,20.91,적지,적지,9.55,84.01,-16.17,2.57,1.02,0.73,-5.23,"-165,714,944",-6.29,15.99,10.67
A006840,AK홀딩스,12,2022,Annual,"4,985,365,771","1,578,818,308","357,702,292","4,985,365,771","316,428,299","826,452,036","172,101,418","3,787,959,855","22,903,924","76,460,769","-21,822,474","-124,858,460","366,475,089","-463,779,235","85,365,700","332,397,459",25.34,46.39,294.61,183.04,720.48,19.58,적지,적지,9.60,81.24,-10.13,3.07,1.07,0.79,-0.58,"-21,822,474",-3.30,18.76,11.33
A006840,AK홀딩스,12,2023,Annual,"5,314,995,084","1,534,098,922","334,076,109","5,314,995,084","322,869,324","957,830,610","96,088,981","4,479,660,142","25,084,769","91,555,618","279,123,891","130,395,493","527,338,829","-268,764,106","-256,938,224","382,943,462",24.35,46.06,310.66,189.17,782.00,18.26,흑전,흑전,6.61,75.47,10.20,3.50,1.16,0.87,6.23,"279,123,891",2.91,24.53,10.09
A006840,AK홀딩스,12,2024,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A027410,BGF,12,2010,Annual,"765,118,116","231,956,937","52,087,546","765,118,116","216,792,140","47,146,035","2,525,300","2,312,926,208","1,364,000","492,000","79,331,095","67,498,932","138,145,506","-169,597,426","20,630,021","1,609,021",35.51,6.79,181.60,19.12,"1,004.49",15.61,37.24,37.02,24.63,79.84,27.98,9.59,5.16,3.35,3.43,"79,331,095",2.92,20.16,24.28
A027410,BGF,12,2011,Annual,"822,651,950","213,266,863","49,220,083","822,651,950","243,799,925",0,"1,885,300","2,513,763,347","1,550,000","1,471,000","92,838,950","77,424,971","188,197,630","-173,489,260","-12,457,865","1,100,172",40.12,0.31,149.26,0.77,"1,276.57",8.68,17.03,14.71,7.52,81.18,25.73,8.35,5.10,3.17,3.69,"92,838,950",3.08,18.82,17.32
A027410,BGF,12,2012,Annual,"1,054,172,578","379,927,344","55,162,036","1,054,172,578","245,717,000","94,930,230","1,665,300","2,912,176,960","1,895,000","4,852,000","63,754,962","35,489,897","171,336,007","-156,269,752","4,470,290","8,520,000",15.25,9.25,555.71,60.68,506.62,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),76.48,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),2.19,"63,754,962",1.22,23.52,N/A(IFRS)
A027410,BGF,12,2013,Annual,"1,159,883,360","532,365,616","49,451,386","1,159,883,360","268,918,000","73,768,740","10,180,000","3,130,011,840","2,042,000","1,680,000","105,033,426","70,049,052","235,672,481","-117,215,720","-17,256,206","7,534,000",17.50,9.41,471.47,53.75,685.99,7.48,64.75,97.38,10.03,76.26,38.52,17.21,3.38,2.83,3.36,"105,033,426",2.24,23.74,-4.66
A027410,BGF,12,2014,Annual,"1,338,474,144","723,119,335","62,973,067","1,338,474,144","305,339,000","74,792,000","9,722,222","3,367,999,286","2,027,000","921,000","124,120,981","101,467,618","260,294,227","-255,720,018","6,981,838","7,319,000",42.74,8.43,133.96,19.73,"2,219.00",7.60,18.17,44.85,15.40,76.27,26.18,8.69,3.91,2.70,3.69,"124,120,981",3.01,23.73,-4.84
A027410,BGF,12,2015,Annual,"1,621,622,006","947,568,412","52,636,925","1,621,622,006","382,267,000","63,098,000","1,388,889","4,334,280,041","2,100,000","1,090,000","183,615,953","152,841,276","359,310,662","-444,572,163","26,656,117","10,782,000",47.71,4.18,109.59,8.77,"3,021.26",28.69,47.93,50.63,21.15,79.23,22.71,6.44,5.37,2.93,4.24,"183,615,953",3.53,20.77,1.37
A027410,BGF,12,2016,Annual,"1,917,601,300","983,439,971","80,763,742","1,917,601,300","446,898,000","38,989,000","10,500,000","86,077,269",0,0,"8,018,435","184,619,215","331,970,950","-158,039,492","-224,781,081","17,874,000",49.13,2.89,103.53,5.88,"1,764.96",-98.01,-95.63,20.79,18.25,11.91,21.52,0.10,0.09,0.05,9.32,"8,018,435",214.48,88.09,54.27
A027410,BGF,12,2017,Annual,"858,118,605","438,201,259","2,514,982","858,118,605","25,890","15,993,737","5,826,714","124,346,364",0,"103,000","10,951,480","3,497,875,341","384,116,107","-350,885,684","-118,592,879","12,924,423",84.51,2.83,18.32,3.35,"2,095.96",44.46,36.58,"1,794.64",-55.25,36.31,419.56,0.15,0.22,0.09,8.81,"10,951,480","2,813.01",63.69,-62.72
A027410,BGF,12,2018,Annual,"1,624,874,724","315,224,626","3,292,347","1,624,874,725","2,853,452","19,368,000","5,827,000","220,593,919","1,000","3,180,000","29,473,342","47,204,821","-29,202,164","29,422,726","-3,719,221","13,145,797",93.28,1.70,7.20,1.83,"1,454.88",77.40,169.13,-98.65,89.35,45.56,4.21,0.20,1.82,0.18,13.36,"29,473,342",21.40,54.44,-8.70
A027410,BGF,12,2019,Annual,"1,657,381,460","319,699,377","2,916,201","1,657,381,460","3,741,330","19,225,000","827,000","133,387,714","1,000","6,044,000","26,355,507","17,515,292","13,834,577","-402,200","-11,535,625","11,885,837",92.21,3.03,8.45,3.28,"1,470.13",-39.53,-10.58,-62.90,2.00,43.74,1.15,0.09,1.12,0.08,19.76,"26,355,507",13.13,56.26,-0.19
A027410,BGF,12,2020,Annual,"1,658,204,362","462,774,742","2,325,416","1,658,204,362","8,105,345","990,000","12,660,000","154,381,286","2,000","4,578,000","14,640,998","17,880,953","21,350,276","-29,231,500","2,413,976","11,987,416",92.70,1.20,7.88,1.30,"1,478.32",15.74,-44.45,2.09,0.05,56.24,1.17,0.10,1.23,0.09,9.48,"14,640,998",11.58,43.76,-72.04
A027410,BGF,12,2021,Annual,"1,981,622,039","468,763,642","50,263,041","1,981,622,039","28,334,629","18,338,264","13,904,588","150,187,761","1,000","5,904,000","37,907,480","35,977,029","1,524,675","166,802,124","29,977,050","56,356,636",87.44,3.89,14.36,4.45,"1,539.38",-2.72,158.91,101.20,19.50,50.41,2.20,0.09,0.81,0.08,25.24,"37,907,480",23.95,49.59,114.48
A027410,BGF,12,2022,Annual,"1,938,013,971","422,786,609","59,748,646","1,938,013,971","20,542,054","1,607,679","14,360,000","434,997,440","2,000","4,259,000","61,203,793","26,176,881","207,458","5,798,605","-33,324,626","63,075,663",89.60,2.89,11.60,3.22,"1,552.94",189.64,61.46,-27.24,-2.20,69.75,1.51,0.25,1.93,0.22,14.07,"61,203,793",6.02,30.25,11.76
A027410,BGF,12,2023,Annual,"2,171,266,453","430,684,912","60,113,049","2,171,266,453","25,128,009","24,621,758","3,200,000","443,173,612",0,"2,930,000","70,546,076","69,136,637","70,296,369","-16,339,755","12,224,244","75,894,188",87.54,4.04,14.24,4.62,"1,628.70",1.88,15.26,164.11,12.04,67.71,3.80,0.24,1.88,0.22,15.92,"70,546,076",15.60,32.29,109.06
A027410,BGF,12,2024,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2010,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2011,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2012,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2013,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2014,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2015,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2016,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282330,BGF리테일,12,2017,Annual,"1,277,349,524","566,642,690","94,442,425","1,277,349,524","493,718,651","2,800,000",0,"938,735,225","477,000","200,000","26,516,480","27,983,935","-24,964,282","32,103,377","-1,724,677","62,977,483",30.43,0.22,228.67,0.72,"2,158.57",,,,,81.98,,,,,2.82,"26,516,480",2.98,18.02,
A282330,BGF리테일,12,2018,Annual,"1,482,568,537","696,072,311","103,393,148","1,482,568,537","519,406,994","5,094,239",0,"5,775,862,323","2,978,000","1,004,000","189,516,686","154,186,683","345,797,723","-324,215,950","-14,980,971","54,342,857",35.19,0.34,184.20,0.98,"2,928.18",515.28,614.71,450.98,16.07,82.35,33.88,12.69,6.25,4.19,3.28,"189,516,686",2.67,17.65,20.88
A282330,BGF리테일,12,2019,Annual,"2,172,410,900","744,140,652","90,874,466","2,172,410,900","532,236,415","2,294,239","9,434,864","5,946,068,220","3,026,000","2,097,000","196,623,294","151,377,054","532,814,863","-293,909,155","-246,196,603","55,903,651",28.66,25.57,248.93,89.23,"3,512.15",2.95,3.75,-1.82,46.53,82.23,26.46,10.39,4.74,3.25,3.31,"196,623,294",2.55,17.77,13.10
A282330,BGF리테일,12,2020,Annual,"2,371,169,598","829,086,122","121,544,700","2,371,169,598","569,731,857","8,453,239","13,912,034","6,181,269,419","3,234,000","3,536,000","162,204,244","122,711,267","507,341,460","-266,360,893","-245,000,808","54,348,468",29.39,26.13,240.28,88.92,"3,941.64",3.96,-17.51,-18.94,9.15,82.98,18.60,9.37,3.83,2.72,2.62,"162,204,244",1.99,17.02,7.57
A282330,BGF리테일,12,2021,Annual,"2,596,378,757","808,328,772","108,457,563","2,596,378,757","504,242,443","6,090,000","1,092,034","6,781,161,259","3,439,000","3,879,000","199,441,704","147,642,852","538,147,660","-239,089,232","-268,623,346","73,163,134",31.17,27.84,220.81,89.33,"4,592.48",9.70,22.96,20.32,9.50,82.64,19.61,9.00,3.92,2.73,2.94,"199,441,704",2.18,17.36,3.83
A282330,BGF리테일,12,2022,Annual,"2,946,235,272","889,900,434","124,841,356","2,946,235,272","524,159,150","12,290,000",0,"7,615,769,468","3,894,000","4,743,000","252,407,574","193,538,863","630,424,676","-98,479,902","-317,632,967","127,653,657",32.67,27.67,206.06,84.69,"5,479.48",12.31,26.56,31.09,13.47,81.80,21.84,8.60,4.04,2.75,3.31,"252,407,574",2.54,18.20,12.44
A282330,BGF리테일,12,2023,Annual,"3,219,078,523","978,981,169","176,968,203","3,219,078,523","545,113,743","10,690,000",0,"8,194,753,979","4,497,000","4,477,000","253,187,754","195,844,952","647,081,048","-244,136,780","-369,214,702","179,672,894",33.38,27.66,199.60,82.86,"6,126.47",7.60,0.31,1.19,9.26,81.42,19.23,8.05,3.97,2.66,3.09,"253,187,754",2.39,18.58,12.45
