,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
86,DI동일,2015,"978,717,602","10,420,711","230,910,74564,843,361"
87,DI동일,2016,"986,880,679","17,269,240","228,895,20069,463,739"
88,DI동일,2017,"931,120,054","21,954,609","213,395,77648,113,346"
89,DI동일,2018,"947,634,081","44,454,004","240,766,29532,813,761"
90,DL,2010,"9,743,169,232","387,609,050","680,206,000173,946,443"
91,DL,2011,"10,764,643,410","437,456,651","469,366,000577,693,653"
92,DL,2012,"11,006,469,363","486,051,971","336,368,000378,504,000"
93,DL,2013,"10,783,047,096","39,658,239","327,261,000415,848,000"
94,DL,2014,"10,596,719,329","-270,236,201","325,936,000799,386,533"
95,DL,2015,"12,064,893,870","271,768,395","538,644,265832,807,278"
96,DL,2016,"12,391,509,195","419,387,736","305,319,6601,079,020,317"
97,DL,2017,"13,402,454,876","545,898,850","164,688,5301,357,231,023"
98,DL,2018,"12,833,716,732","845,358,146","186,862,7561,033,833,000"
99,DN오토모티브,2010,"747,482,027","42,441,824","172,512,86523,541,685"
100,DN오토모티브,2011,"740,062,652","51,802,639","145,186,16011,917,524"
101,DN오토모티브,2012,"730,588,820","41,278,240","68,665,716224,778"
102,DN오토모티브,2013,"798,296,716","52,035,926","85,857,50412,212,506"
103,DN오토모티브,2014,"971,558,345","45,278,986","151,658,54410,198,422"
104,DN오토모티브,2015,"1,064,506,282","84,936,222","151,573,4647,093,886"
105,DN오토모티브,2016,"1,115,539,571","65,223,341","137,543,3323,580,373"
106,DN오토모티브,2017,"778,625,093","59,471,061","84,861,9274,131,495"
107,DN오토모티브,2018,"870,759,626","71,691,357","127,360,5233,090,278"
108,DRB동일,2010,"470,098,590","28,009,298","117,587,00423,632,149"
109,DRB동일,2011,"522,115,419","16,887,532","137,089,6495,114,832"
110,DRB동일,2012,"368,994,998","27,917,620","115,606,4683,953,182"
111,DRB동일,2013,"567,066,429","33,906,752","147,374,4583,012,704"
112,DRB동일,2014,"617,244,613","69,244,220","150,940,598719,488"
113,DRB동일,2015,"639,083,096","73,744,873","130,402,18312,170,724"
114,DRB동일,2016,"701,206,828","67,469,281","114,993,16336,755,482"
115,DRB동일,2017,"677,426,447","37,151,762","103,199,45012,020,015"
116,DRB동일,2018,"716,166,879","27,046,588","116,458,41726,200,943"
117,DSR제강,2010,"156,770,638","10,598,771","32,468,1227,058,000"
118,DSR제강,2011,"204,273,623","7,670,526","48,361,92125,716,333"
119,DSR제강,2012,"200,277,496","-1,422,752","47,111,45015,979,800"
120,DSR제강,2013,"203,893,139","4,633,641","51,193,33811,159,907"
121,DSR제강,2014,"202,111,793","9,332,869","55,966,1143,583,320"
122,DSR제강,2015,"184,284,619","10,094,944","34,864,4275,000,000"
123,DSR제강,2016,"190,208,395","7,664,469","31,329,4882,500,000"
124,DSR제강,2017,"196,090,792","2,478,368","39,001,3760"
125,DSR제강,2018,"205,433,843","6,237,629","40,589,3361,750,000"
126,E1,2010,"3,160,705,293","78,706,216","678,840,508177,248,798"
127,E1,2011,"3,270,355,545","137,603,694","460,711,777290,823,265"
128,E1,2012,"3,512,419,789","109,883,094","457,316,562116,274,544"
129,E1,2013,"3,629,693,275","108,867,826","373,067,553362,723,578"
130,E1,2014,"3,658,165,076","86,965,138","422,595,054110,674,868"
131,E1,2015,"3,509,763,920","31,711,514","373,708,160216,841,723"
132,E1,2016,"3,544,179,098","11,087,869","414,679,477220,798,321"
133,E1,2017,"3,460,084,198","93,694,351","387,745,81011,719,712"
134,E1,2018,"3,565,388,941","14,012,873","307,305,541350,399,106"
135,GKL,2010,"338,224,675","99,218,162","019,107,592"
136,GKL,2011,"376,356,788","137,455,693","03,952,152"
137,GKL,2012,"502,672,156","146,412,038",00
138,GKL,2013,"562,914,254","191,127,939","0500,000"
139,GKL,2014,"651,013,158","147,762,333","0166,667"
140,GKL,2015,"650,518,244","118,377,541",00
141,GKL,2016,"730,177,649","151,182,943",00
142,GKL,2017,"731,904,311","108,168,511","0194,444"
143,GKL,2018,"765,759,332","105,058,462","027,778"
144,GS,2010,"9,069,576,000","663,721,000","362,759,00061,714,000"
145,GS,2011,"10,424,837,000","932,140,000","725,246,000484,862,000"
146,GS,2012,"12,712,426,000","684,269,000","929,470,0001,065,786,000"
147,GS,2013,"12,636,266,000","552,130,000","412,070,000992,194,000"
148,GS,2014,"15,072,770,000","-34,328,000","555,950,0001,243,591,000"
149,GS,2015,"19,023,008,000","1,604,323,000","706,897,0002,402,974,000"
150,GS,2016,"20,341,172,000","1,754,224,000","547,133,0002,499,022,000"
151,GS,2017,"22,003,689,000","2,040,801,000","1,112,598,0002,197,979,000"
152,GS,2018,"22,630,978,000","2,209,837,000","1,225,542,0002,414,881,000"
153,GS건설,2010,"11,046,358,014","593,368,814","603,532,000119,477,000"
154,GS건설,2011,"11,263,576,376","431,004,711","549,124,000233,803,000"
155,GS건설,2012,"11,775,952,203","176,063,270","500,948,610536,193,000"
156,GS건설,2013,"12,427,312,942","-935,450,518","702,229,3081,361,594,000"
157,GS건설,2014,"13,094,708,930","51,168,675","1,025,712,0001,478,024,000"
158,GS건설,2015,"13,005,492,988","122,067,493","948,108,9991,248,165,922"
159,GS건설,2016,"13,376,589,310","142,977,772","1,027,109,1021,201,808,296"
160,GS건설,2017,"13,696,614,624","318,669,425","1,684,305,238667,909,530"
161,GS건설,2018,"12,033,275,313","1,064,489,177","593,863,072958,838,350"
162,GS글로벌,2010,"633,931,865","16,174,689","257,958,83536,000,000"
163,GS글로벌,2011,"1,066,064,452","10,595,662","358,145,600104,400,000"
164,GS글로벌,2012,"1,144,032,690","27,967,951","300,420,493191,374,500"
165,GS글로벌,2013,"700,315,672","13,729,896","135,971,37179,780,680"
166,GS글로벌,2014,"856,611,062","23,378,618","237,710,01788,721,143"
167,GS글로벌,2015,"800,714,753","28,908,532","187,585,02167,808,571"
168,GS글로벌,2016,"1,326,423,033","36,411,795","219,732,92971,943,386"
169,GS글로벌,2017,"1,397,854,513","48,023,416","312,497,67777,023,745"
170,GS글로벌,2018,"1,336,006,542","56,129,900","242,566,41965,851,476"
171,HDC현대EP,2010,"297,373,194","14,796,117","71,277,86519,556,281"
172,HDC현대EP,2011,"385,162,508","25,028,907","116,211,09218,149,533"
173,HDC현대EP,2012,"483,464,434","28,706,677","130,604,12086,817,814"
174,HDC현대EP,2013,"547,238,482","34,591,959","137,566,79182,126,880"
175,HDC현대EP,2014,"563,822,640","42,848,112","129,151,43212,497,656"
176,HDC현대EP,2015,"560,624,379","60,719,269","152,406,73744,186,210"
177,HDC현대EP,2016,"577,184,630","68,865,879","136,314,51738,604,762"
178,HDC현대EP,2017,"612,710,406","41,471,429","135,746,96234,376,782"
179,HDC현대EP,2018,"600,353,780","14,354,091","118,116,51651,109,330"
180,HD현대미포,2010,"9,577,174,157","682,820,180","1,427,831,7370"
181,HD현대미포,2011,"7,824,563,657","383,798,695","1,638,596,32634,599,000"
182,HD현대미포,2012,"7,722,829,117","93,994,986","1,790,797,115111,394,400"
183,HD현대미포,2013,"10,227,698,199","-275,161,268","2,608,461,68830,603,700"
184,HD현대미포,2014,"10,063,720,316","-867,722,993","2,381,343,835120,912,000"
185,HD현대미포,2015,"9,438,010,980","66,573,343","3,012,533,000318,972,000"
186,HD현대미포,2016,"9,226,316,948","191,070,357","2,501,791,00084,595,000"
187,HD현대미포,2017,"8,319,438,717","107,948,880","223,175,8710"
188,HD현대미포,2018,"3,463,733,941","70,896,249","241,621,5100"
189,HD현대인프라코어,2010,"11,011,597,355","725,672,166","600,840,9884,180,468,558"
190,HD현대인프라코어,2011,"11,703,674,631","679,614,970","616,572,6902,451,412,211"
191,HD현대인프라코어,2012,"11,544,990,462","362,417,228","1,325,079,8582,508,227,472"
192,HD현대인프라코어,2013,"11,481,493,540","369,500,390","730,370,0212,637,741,510"
193,HD현대인프라코어,2014,"11,957,427,427","452,994,437","1,153,808,8692,568,608,229"
194,HD현대인프라코어,2015,"11,383,172,816","-95,087,157","1,256,764,5522,520,852,011"
195,HD현대인프라코어,2016,"10,026,808,641","490,818,187","952,163,7571,451,538,091"
196,HD현대인프라코어,2017,"10,276,090,132","660,769,299","1,409,287,1871,513,805,807"
197,HD현대인프라코어,2018,"11,029,166,692","848,127,446","937,599,8561,708,761,428"
198,HJ중공업,2010,"7,525,363,000","185,888,000","339,135,000690,964,000"
199,HJ중공업,2011,"7,036,680,000","89,454,000","410,598,000677,057,000"
200,HJ중공업,2012,"6,585,093,000","52,914,000","354,648,000777,392,000"
201,HJ중공업,2013,"6,683,379,000","-69,574,000","534,025,000793,546,000"
202,HJ중공업,2014,"6,470,284,000","-144,988,000","489,339,0001,408,713,000"
