,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
0,AK홀딩스,2019,"4,327,964,555","131,336,892","408,763,6251,017,137,312"
1,AK홀딩스,2020,"4,152,091,609","-221,554,817","697,378,057974,138,170"
2,AK홀딩스,2021,"4,548,736,657","-165,714,944","794,593,961284,988,948"
3,AK홀딩스,2022,"4,985,365,771","-21,822,474","826,452,036172,101,418"
4,AK홀딩스,2023,"5,314,995,084","279,123,891","957,830,61096,088,981"
5,BYC,2019,"693,882,853","23,393,687","56,319,31656,500,000"
6,BYC,2020,"679,134,864","22,940,934","38,809,97845,500,000"
7,BYC,2021,"684,434,512","26,711,346","28,227,3910"
8,BYC,2022,"668,872,026","25,326,353","28,274,7370"
9,BYC,2023,"685,663,060","27,498,394","8,389,55320,000,000"
10,CJ,2019,"40,381,364,593","1,509,154,524","3,268,625,6142,907,878,175"
11,CJ,2020,"40,024,965,069","1,390,340,166","3,092,611,3223,065,207,901"
12,CJ,2021,"41,955,995,804","1,881,800,099","3,205,342,3242,467,662,370"
13,CJ,2022,"48,240,408,307","2,154,201,790","5,714,650,5122,382,867,707"
14,CJ,2023,"47,203,762,893","2,039,057,889","3,937,378,9152,502,878,954"
15,CJ대한통운,2019,"9,110,016,110","307,186,346","272,600,281507,736,031"
16,CJ대한통운,2020,"9,643,498,960","325,337,561","419,177,668441,581,338"
17,CJ대한통운,2021,"8,993,928,516","343,880,766","261,567,095170,151,224"
18,CJ대한통운,2022,"9,693,299,818","411,786,887","789,578,095367,116,669"
19,CJ대한통운,2023,"9,357,587,267","480,234,863","365,968,798218,206,030"
20,CJ씨푸드,2019,"127,344,142","3,700,345","35,710,5180"
21,CJ씨푸드,2020,"135,332,382","3,962,856","17,470,2760"
22,CJ씨푸드,2021,"133,389,814","4,499,170","9,404,6620"
23,CJ씨푸드,2022,"143,409,087","4,135,028","13,489,4690"
24,CJ씨푸드,2023,"168,208,969","4,139,340","38,044,2600"
25,CJ제일제당,2019,"26,280,632,351","896,857,873","1,627,361,3352,156,097,831"
26,CJ제일제당,2020,"25,611,892,185","1,359,551,440","1,647,881,0722,412,810,326"
27,CJ제일제당,2021,"26,855,804,277","1,524,429,392","1,455,599,5631,966,024,758"
28,CJ제일제당,2022,"30,013,241,845","1,664,708,210","2,842,769,1561,772,536,200"
29,CJ제일제당,2023,"29,606,279,551","1,291,582,413","2,471,827,9191,445,603,057"
30,CS홀딩스,2019,"314,291,513","17,025,222","2,031,2820"
31,CS홀딩스,2020,"323,725,568","15,901,270","2,070,8960"
32,CS홀딩스,2021,"353,716,996","19,647,702","3,334,4770"
33,CS홀딩스,2022,"364,121,571","15,632,045","3,498,0220"
34,CS홀딩스,2023,"383,909,711","19,128,718","657,1150"
35,DB,2019,"363,158,130","18,493,010","3,768,8810"
36,DB,2020,"472,491,491","26,874,196","3,893,1830"
37,DB,2021,"601,998,919","23,472,667","4,120,000600,000"
38,DB,2022,"414,317,385","23,608,623","6,309,6340"
