,종목명,회계년,유동자산(천원),총자산(천원),부채비율(%),차입금의존도(%),자기자본비율(%),재고자산(천원),매출채권(천원),매입채무(천원),단기차입금(천원)
0,AK홀딩스,2019,1327786612.0,4327964555.0,202.67,39.19,33.04,253714985.0,279222938.0,329542790.0,408763625.0
1,AK홀딩스,2020,1185254991.0,4152091609.0,228.84,47.88,30.41,236961655.0,243210194.0,275930960.0,697378057.0
2,AK홀딩스,2021,1352749115.0,4548736657.0,278.32,49.15,26.43,375434184.0,287334993.0,353029488.0,794593961.0
3,AK홀딩스,2022,1578818308.0,4985365771.0,294.61,46.39,25.34,357702292.0,332397459.0,316428299.0,826452036.0
4,AK홀딩스,2023,1534098922.0,5314995084.0,310.66,46.06,24.35,334076109.0,382943462.0,322869324.0,957830610.0
5,BYC,2019,118321886.0,693882853.0,59.76,19.86,62.59,45676332.0,5923595.0,3768051.0,56319316.0
6,BYC,2020,116356314.0,679134864.0,50.03,15.73,66.65,34704886.0,4338337.0,3752236.0,38809978.0
7,BYC,2021,133338984.0,684434512.0,42.05,10.81,70.40,30955006.0,4923098.0,3855973.0,28227391.0
8,BYC,2022,120182142.0,668872026.0,29.69,4.25,77.11,38420150.0,4897177.0,3177671.0,28274737.0
9,BYC,2023,113987958.0,685663060.0,28.18,4.26,78.02,39594952.0,5770897.0,4223069.0,8389553.0
10,CJ,2019,11152698283.0,40381364593.0,176.30,42.04,36.19,2549025328.0,3580221845.0,2743572555.0,3268625614.0
11,CJ,2020,11118109484.0,40024965069.0,159.97,40.38,38.47,2238146145.0,3320554672.0,2368251431.0,3092611322.0
12,CJ,2021,12052390290.0,41955995804.0,154.84,39.8,39.24,2735868912.0,3640572265.0,2760881123.0,3205342324.0
13,CJ,2022,15173652714.0,48240408307.0,172.03,41.18,36.76,3707465503.0,4406167598.0,3356993821.0,5714650512.0
14,CJ,2023,14584098325.0,47203762893.0,163.81,38.39,37.91,3169893143.0,4114768676.0,2931229527.0,3937378915.0
15,CJ대한통운,2019,2322199311.0,9110016110.0,149.23,34.16,40.12,22859293.0,1377217812.0,867577340.0,272600281.0
16,CJ대한통운,2020,2538547347.0,9643498960.0,138.70,33.63,41.89,25323774.0,1420450433.0,897465414.0,419177668.0
17,CJ대한통운,2021,2348222542.0,8993928516.0,123.93,31.29,44.66,25128745.0,1371077751.0,826135988.0,261567095.0
18,CJ대한통운,2022,2956459493.0,9693299818.0,140.27,37.18,41.62,34299355.0,1422739127.0,831449965.0,789578095.0
19,CJ대한통운,2023,2488306558.0,9357587267.0,131.45,34.39,43.21,29836220.0,1433160225.0,864030638.0,365968798.0
20,CJ씨푸드,2019,38296401.0,127344142.0,97.89,28.04,50.53,22410620.0,2161634.0,12449348.0,35710518.0
21,CJ씨푸드,2020,46306337.0,135332382.0,105.49,27.65,48.67,27738489.0,1886565.0,13324757.0,17470276.0
22,CJ씨푸드,2021,51224078.0,133389814.0,98.76,22.02,50.31,16745691.0,2571190.0,18843709.0,9404662.0
23,CJ씨푸드,2022,60241893.0,143409087.0,89.47,23.41,52.78,19897736.0,2981683.0,18327080.0,13489469.0
24,CJ씨푸드,2023,80537106.0,168208969.0,115.51,23.3,46.40,23783273.0,3636363.0,34460637.0,38044260.0
25,CJ제일제당,2019,7943039221.0,26280632351.0,177.18,38.22,36.08,2018257067.0,2778309019.0,1929949275.0,1627361335.0
26,CJ제일제당,2020,7469913474.0,25611892185.0,151.93,37.11,39.69,1861478883.0,2409369434.0,1793738367.0,1647881072.0
27,CJ제일제당,2021,7725600945.0,26855804277.0,148.51,36.4,40.24,2338251516.0,2616118100.0,2153028876.0,1455599563.0
28,CJ제일제당,2022,9788044124.0,30013241845.0,160.33,38.71,38.41,3201446372.0,2914499020.0,2562314004.0,2842769156.0
29,CJ제일제당,2023,9580237559.0,29606279551.0,151.33,37.79,39.79,2649405658.0,2733206062.0,2169407256.0,2471827919.0
30,CS홀딩스,2019,194780328.0,314291513.0,9.83,0.79,91.05,28260704.0,18285935.0,7251172.0,2031282.0
31,CS홀딩스,2020,189858509.0,323725568.0,9.53,0.77,91.30,31197094.0,16303358.0,6127295.0,2070896.0
32,CS홀딩스,2021,189086293.0,353716996.0,13.30,1.15,88.26,45133423.0,23921662.0,10692015.0,3334477.0
33,CS홀딩스,2022,213280099.0,364121571.0,10.20,1.06,90.75,47232515.0,23841226.0,7222652.0,3498022.0
34,CS홀딩스,2023,236509696.0,383909711.0,10.57,0.39,90.44,42387192.0,22914568.0,7189536.0,657115.0
35,DB,2019,83915480.0,363158130.0,72.12,25.51,58.10,7259676.0,32714480.0,11632011.0,3768881.0
36,DB,2020,88595763.0,472491491.0,50.62,17.38,66.39,1431330.0,48254799.0,17834671.0,3893183.0
37,DB,2021,84468030.0,601998919.0,37.51,11.22,72.72,3438673.0,43747534.0,12346779.0,4120000.0
38,DB,2022,114707456.0,414317385.0,45.38,12.87,68.78,5729621.0,53537541.0,25983981.0,6309634.0
39,DB,2023,315718515.0,879384842.0,122.51,21.87,44.94,1484606.0,84519919.0,40423557.0,178096661.0
40,DB하이텍,2019,426263421.0,1088889810.0,68.91,23.21,59.20,51837841.0,102020672.0,30645243.0,30550406.0
41,DB하이텍,2020,459208127.0,1178581197.0,48.33,15.09,67.42,51848770.0,102419519.0,36813081.0,15209836.0
42,DB하이텍,2021,815161899.0,1549937896.0,40.13,11.08,71.36,66017138.0,134935586.0,44247176.0,33620488.0
