종목코드,종목명,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),,
A068270,셀트리온,12,2010,Annual,1140215449 ,249709431 ,81280425 ,23018143 ,644183791 ,1140215449 ,359385383 ,178343944 ,1654314 ,46645536 ,155627646 ,780830066 ,180978908 ,39700762 ,106212637 ,16141644 ,390002 ,109077525 ,31068950 ,(254574079),234888329 ,68.48 ,24.83 ,46.03 ,36.25 ,21.94 ,N/A(IFRS),58.69 ,106212636.50 ,78.06 ,,
A068270,셀트리온,12,2011,Annual,1407313302 ,280744838 ,157723652 ,40598185 ,758085148 ,1407313302 ,507766814 ,380289788 ,3810237 ,164075955 ,109488568 ,899546488 ,279041704 ,52259806 ,178657358 ,19154378 ,512738 ,167808722 ,62759965 ,(103120982),57422819 ,63.92 ,29.62 ,56.45 ,46.34 ,18.73 ,19.97 ,64.03 ,178657358.37 ,81.27 ,,
A068270,셀트리온,12,2012,Annual,1732913897 ,577224765 ,371892468 ,78005407 ,740627309 ,1732913897 ,682765148 ,416569616 ,2059027 ,241221299 ,261630710 ,1050148749 ,350196210 ,93912814 ,195449916 ,31089392 ,1641655 ,174431166 ,20970652 ,(146328642),129423249 ,60.60 ,34.57 ,65.02 ,57.04 ,26.82 ,17.89 ,55.81 ,195449915.74 ,73.18 ,,
A068270,셀트리온,12,2013,Annual,1978508192 ,551530079 ,271345778 ,136840115 ,716484083 ,1978508192 ,891376234 ,497796860 ,13447651 ,245109431 ,147043000 ,1087131958 ,226207869 ,68685792 ,99845427 ,25385543 ,1359840 ,102454821 ,137081056 ,(229375318),119866978 ,54.95 ,37.88 ,81.99 ,68.94 ,30.36 ,9.59 ,44.14 ,99845426.80 ,69.64 ,,
A068270,셀트리온,12,2014,Annual,2322385039 ,793036329 ,378290034 ,223617044 ,898228868 ,2322385039 ,974603694 ,493936504 ,4389832 ,263895745 ,198770680 ,1347781345 ,471045511 ,129907860 ,201468888 ,69641717 ,9000881 ,117481628 ,145158529 ,(106337550),(11318211),58.03 ,36.40 ,72.31 ,62.73 ,27.58 ,9.65 ,42.77 ,201468888.03 ,72.42 ,,
A068270,셀트리온,12,2015,Annual,2641170265 ,1095316617 ,662225999 ,232244866 ,897605067 ,2641170265 ,938389810 ,665750830 ,5144118 ,324725626 ,157581800 ,1702780455 ,603412769 ,230679540 ,242287886 ,57875586 ,10719615 ,139044999 ,59286432 ,(148657196),130426091 ,64.47 ,30.13 ,55.11 ,46.74 ,38.23 ,9.12 ,40.15 ,242287886.00 ,61.77 ,,
A068270,셀트리온,12,2016,Annual,2883847406 ,1240249662 ,758305091 ,170938986 ,867921682 ,2883847407 ,822974207 ,610253362 ,21172394 ,344015487 ,207963500 ,2060873200 ,670580962 ,279930482 ,221243034 ,87856440 ,11355076 ,149418661 ,230113413 ,(141719898),28665112 ,71.46 ,23.54 ,39.93 ,32.94 ,41.74 ,7.94 ,32.99 ,221243034.00 ,58.26 ,,
A068270,셀트리온,12,2017,Annual,3294095986 ,1614033788 ,828394032 ,199481841 ,844212382 ,3294095986 ,883598311 ,616781030 ,21030583 ,322953557 ,224103120 ,2410497675 ,949079965 ,251246092 ,499585551 ,79660106 ,13790578 ,377725081 ,485980718 ,(233633218),(96279891),73.18 ,19.46 ,36.66 ,26.59 ,26.47 ,16.90 ,52.64 ,499585551.00 ,73.53 ,,
A068270,셀트리온,12,2018,Annual,3503108205 ,1664281326 ,807711315 ,162916821 ,881437750 ,3503108205 ,907848812 ,678087471 ,20695167 ,258455036 ,103082540 ,2595259393 ,982074960 ,431166901 ,323131558 ,108059663 ,12006778 ,237476361 ,364786083 ,(175836254),(198141249),74.08 ,14.75 ,34.98 ,19.90 ,43.90 ,9.49 ,32.90 ,323131558.00 ,56.10 ,,
A068270,셀트리온,12,2019,Annual,3859646629 ,1785115920 ,814370252 ,306709923 ,923592892 ,3859646629 ,986733418 ,657225838 ,42699750 ,298043417 ,139502097 ,2872913211 ,1128459878 ,494966174 ,381532472 ,113568073 ,7988484 ,301442694 ,473993888 ,(251440600),(85919872),74.43 ,12.83 ,34.35 ,17.24 ,43.86 ,11.03 ,33.81 ,381532472.00 ,56.14 ,,
