,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%)
1769,롯데정밀화학,화학,A004000,12,2015,Annual,1684225304,583397052,171237948,151997845,760861706,1684225304,520645201,185332256,79075002,12867613,3684100,1163580104,1161863357,1031099036,2554182,25157971,0,89979153,99483343,84100714,-61442917,69.09,18.83,44.75,27.25,88.75,7.63,0.22,2554181.99,11.25
953,광전자,전기전자,A017900,12,2018,Annual,262117704,130835460,29215600,29320406,80517546,262117704,37717805,23242869,14010420,223620,178481,224399899,176929800,153392002,2535763,3588670,0,6337707,12554255,-11525488,369259,85.61,0.18,16.81,0.21,86.7,2.94,1.43,2535763.42,13.3
4462,혜인,유통업,A003010,12,2017,Annual,227953372,131421367,31945381,85900308,87362846,227953372,135649532,129706883,13664810,86322271,3164735,92303839,237529860,203880531,2512096,0,249097,1274930,-21017297,25371741,600131,40.49,40.95,146.96,101.12,85.83,1.39,1.06,2512096.45,14.17
3475,진양폴리,화학,A010640,12,2011,Annual,24659736,7898525,6057009,1583570,15731202,24659736,7362051,4717387,1536949,2464864,0,17297685,22422027,17605141,2502250,0,2387,1531724,1718366,-432668,-1109601,70.15,10,42.56,14.25,78.52,8.99,11.16,2502250.47,21.48
352,KR모터스,운수장비,A000040,12,2011,Annual,133337774,73022140,31908444,24384487,57761033,133337774,64573121,50166608,31495522,10304725,0,68764654,127720215,112256026,2493135,0,1585908,1904749,-8429641,-65986,-4695275,51.57,7.73,93.9,14.99,87.89,2.81,1.95,2493134.81,12.11
2001,부국철강,철강금속,A026940,12,2013,Annual,137818881,112199476,43067073,45031026,10347928,137818881,31130635,30134063,27766422,0,0,106688246,244875798,236166098,2489441,0,0,3466870,9696563,1155665,-1500000,77.41,0,29.18,0,96.44,3.28,1.02,2489441.48,3.56
2488,세우글로벌,유통업,A013000,12,2014,Annual,36222786,26060430,3706508,7918060,4470807,36222786,5855327,5702413,4603313,431576,0,30367459,44486343,39640515,2483091,0,0,256730,627132,-5713040,431576,83.84,1.19,19.28,1.42,89.11,0.85,5.58,2483091.34,10.89
3510,진흥기업,건설업,A002780,12,2010,Annual,866384645,794498531,272560559,95168288,4873735,866384645,665459533,611564601,251974754,274430556,1589914,200925112,600485274,588477710,-101251556,0,242427,-198196513,-72110373,-88036028,123757968,23.19,39.91,331.2,172.09,98,N/A(IFRS),-16.86,-101251556.1,2
124,DSR제강,철강금속,A069730,12,2017,Annual,196090792,84846931,0,29640738,61951229,196090792,66034488,61231475,0,39001376,0,130056304,177545210,160016825,2478368,740643,17940,5015164,3808807,-10362063,5277866,66.32,21.16,50.77,31.91,90.13,3.91,1.4,2478368.39,9.87
733,SUN&L,종이목재,A002820,12,2014,Annual,523959616,252435084,95865640,67337226,226316876,523959616,255674068,180726103,67666210,78938424,52274118,268285548,480447717,437679464,2476949,5000,402781,-1736817,14130898,-4469952,-4401499,51.2,28.84,95.3,56.32,91.1,-0.65,0.52,2476949.42,8.9
2181,삼양홀딩스,기타금융,A000070,12,2013,Annual,2595067569,997631194,202026000,262460319,956235564,2595067569,936858269,620993461,150715000,295197774,111288763,1658209300,2329145368,2025951909,2472122,25900000,14987000,-26208014,-23219079,1457487,-1621198,63.9,19.73,56.5,30.88,86.98,-1.58,0.11,2472121.65,13.02
1561,동남합성,화학,A023450,12,2014,Annual,67560067,21518889,13243248,7539952,42329101,67560067,17233727,12291605,4191026,6309600,3508284,50326340,76119599,66570934,2471253,81924,1000,2295613,4351976,-13184002,7612510,74.49,14.57,34.24,19.56,87.46,4.61,3.25,2471252.77,12.54
4407,현대약품,의약품,A004310,11,2016,Annual,148228386,80103395,50932023,17118005,32654593,148228386,50465238,44524154,9906810,26935855,0,97763148,120021835,61623053,2466302,11130902,7919212,1396777,-2746972,-2754556,3713967,65.95,18.17,51.62,27.55,51.34,1.38,2.05,2466301.61,48.66
1346,대우부품,운수장비,A009320,12,2015,Annual,63868170,22408186,11175388,6682994,38485991,63868170,34859149,25468295,9367897,4986595,6450000,29009021,48539620,39337788,2432524,889456,8609,1127999,4017709,-4530389,1884181,45.42,35.77,120.17,78.75,81.04,4.23,5.01,2432523.77,18.96
1630,동양철관,철강금속,A008970,12,2011,Annual,200430666,97035102,52654042,29439206,94127180,200430666,94403627,87434538,42278264,30399804,2605337,106027038,226104084,212185849,2405642,177945,70227,2605369,-473009,-9294963,5683906,52.9,17.51,89.04,33.09,93.84,2.49,1.06,2405641.85,6.16
1560,동남합성,화학,A023450,12,2013,Annual,56641902,23056638,13598464,7566002,30252414,56641902,7287750,4882902,3505571,0,1440000,49354152,60564486,52638617,2393917,45390,1000,1989502,184372,-3695398,1381763,87.13,2.58,14.77,2.97,86.91,4.1,3.95,2393917.15,13.09
3519,참엔지니어링,기계,A009310,12,2010,Annual,201658388,96867907,32545298,32436593,33253588,201658388,110077493,80743438,23707664,38382546,25786332,91580894,209223055,159045973,23488230,0,245849,12173945,12146633,-7475469,-12946581,45.41,32.33,120.2,71.18,76.02,N/A(IFRS),11.23,23488229.93,23.98
4033,한국철강,철강금속,A104700,12,2011,Annual,1015150137,503714731,189301953,153898969,474059181,1015150137,341129622,324967235,210009924,58383246,0,674020515,1020601374,974265326,2384774,1850430,415737,-33510227,47360296,-118166036,34747635,66.4,5.75,50.61,8.66,95.46,-4.8,0.23,2384774.41,4.54
2769,에넥스,기타제조업,A011090,12,2016,Annual,152746917,109973864,69452364,24849914,15729367,152746917,93766674,82169175,58518525,13500000,0,58980243,394111411,324504558,2375860,344757,2262636,1866641,-19058748,-5768572,17569477,38.61,8.84,158.98,22.89,82.34,3.13,0.6,2375860.34,17.66
