,종목명,회계년,영업활동CF/총자산(%),투자활동CF/총자산(%),재무활동CF/총자산(%)
0,AK홀딩스,2019,6.3353059969780645,-5.067609016035483,-6.827498105515331
1,AK홀딩스,2020,-4.617346895343994,-0.44717811523604073,8.038991342977376
2,AK홀딩스,2021,-0.21470220714955757,-0.8407594654033629,3.4192133492857857
3,AK홀딩스,2022,7.351017073447147,-9.302812597980587,1.7123257133222693
4,AK홀딩스,2023,9.921718095045373,-5.0567141032561675,-4.834213765756326
5,BYC,2019,2.697285128041635,6.044834775589995,-10.548164821130117
6,BYC,2020,5.213796681184666,3.8561276100235666,-4.579746623050705
7,BYC,2021,5.217070205249966,0.5503192685292293,-4.8301721231731225
8,BYC,2022,1.565083692108242,6.476865127560291,-7.537045210498906
9,BYC,2023,4.420829816907447,-10.597671398543769,-0.4249266396238409
10,CJ,2019,9.570198087535442,-12.123713577645317,2.8902825542510757
11,CJ,2020,7.577307749729845,-3.6071964572886808,-1.3422376960825724
12,CJ,2021,7.992160986154722,-3.8695103760240617,-2.9321103966806947
13,CJ,2022,8.38505746936857,-9.558016349399221,2.8591073425882727
14,CJ,2023,10.628382937123826,-5.0108809171879845,-6.29937210883024
15,CJ대한통운,2019,9.333404779236993,-3.498610015081521,-5.199507610969527
16,CJ대한통운,2020,5.935062018195105,-3.2751548717956207,-0.9749116414069692
17,CJ대한통운,2021,3.826395477657808,4.073965423987588,-9.753266811488187
18,CJ대한통운,2022,6.426491408459599,-5.847965178456219,2.9959076522190786
19,CJ대한통운,2023,8.940335239515324,-0.8554642742398268,-11.28142871531502
20,CJ씨푸드,2019,5.718944653143134,-3.6567909028748256,-2.7717215292086226
21,CJ씨푸드,2020,2.548596979546255,-3.699188565231934,1.3367347661108928
22,CJ씨푸드,2021,8.179833731532154,-1.8271949910658096,-6.589720561421579
23,CJ씨푸드,2022,-0.6315624894815766,1.646259696221342,2.511716011412861
24,CJ씨푸드,2023,3.276318161132062,0.8928614264320234,-3.729914663468391
25,CJ제일제당,2019,8.154657971608714,-12.137778750512531,4.675350724402362
26,CJ제일제당,2020,7.81571372603371,-1.3473881800974792,-4.286765870594344
27,CJ제일제당,2021,6.279496378532532,-2.3285812912167136,-4.743313768826362
28,CJ제일제당,2022,5.421917167109011,-4.9926843515894115,1.8378115694685961
29,CJ제일제당,2023,8.257571839746491,-2.3736221560343393,-5.600936930097962
30,CS홀딩스,2019,6.135348936386966,3.953861458549789,-2.360946030381673
31,CS홀딩스,2020,6.017075858524712,5.96013750758173,-0.943811148089483
32,CS홀딩스,2021,2.2937843224248122,-12.434103675357461,-1.297669337890679
33,CS홀딩스,2022,4.708298372139013,1.2622053638233919,-0.9494922232992343
34,CS홀딩스,2023,7.3569733170933,-13.491078895891748,-2.03798517615513
35,DB,2019,8.53766236763032,-2.410099148819827,-7.114356217221407
36,DB,2020,3.850690932336811,-1.9007051282538334,-3.1873577168821434
37,DB,2021,3.0876342819479383,-0.1745227386363463,-3.2230513025223555
38,DB,2022,6.542076915261473,-0.058593003525546,-4.200591051712686
39,DB,2023,5.963838639829546,-0.1385541280457959,15.14113498899723
40,DB하이텍,2019,14.792897272130778,-11.383576268382932,-6.5150144990336525
41,DB하이텍,2020,26.30133848979096,-22.51098343290471,-6.446273043672187
42,DB하이텍,2021,25.36418497893157,-16.308169550039832,-0.3151141095784911
43,DB하이텍,2022,34.11992044899836,-33.08772413814145,-2.138810388716763
44,DB하이텍,2023,10.97487003551971,1.3452687492884272,-7.179149436702505
45,DRB동일,2019,5.6129192017259335,-5.520970405755214,0.6005622643882965
46,DRB동일,2020,6.694545952471734,-8.800872430798155,4.8218457987821965
47,DRB동일,2021,-5.81025142512188,0.9874478278350307,3.06678307082095
48,DRB동일,2022,-1.2311913936598615,-3.0218256187291654,8.249375941888614
49,DRB동일,2023,10.674769372455932,-5.475268908184401,-4.252916649568509
50,DSR제강,2019,7.2099335029228575,-2.2923459890528917,-4.531048120748016
51,DSR제강,2020,6.171788219366663,-6.378124311282131,-0.37792259767255737
52,DSR제강,2021,-5.436413398247895,0.46682203888342755,8.780500232552763
53,DSR제강,2022,7.940131972487376,-6.439706508786028,-4.302479296335171
54,DSR제강,2023,15.860701259772178,-9.270163688428694,-7.156455938138678
55,E1,2019,1.5213847696066725,-0.04891836461182597,-2.088399243011684
56,E1,2020,4.692178162445468,-1.9528799479142311,-0.6845049726376735
57,E1,2021,1.2827071864304298,-2.0979540421401737,-0.4260613082041657
58,E1,2022,-0.17233101892810154,-0.8180071567557026,0.2496876488011368
59,E1,2023,8.47896088438358,-1.673194045929944,-4.414739492952938
60,GKL,2019,12.930059511131523,-5.670242441343502,-7.146059068093834
61,GKL,2020,-19.61704365347303,23.16251163537921,-7.783928967489122
62,GKL,2021,-24.132504232381233,27.84338985991857,-4.3776481485509295
63,GKL,2022,7.508870271870599,7.983875268768394,-3.5288971862358474
64,GKL,2023,13.272986183969051,-7.682852313644009,-3.297335749610001
65,GS,2019,6.413873550856095,-1.3900574292496597,-4.715949479596699
66,GS,2020,7.101373326617326,-5.817739648859128,-1.212595104687316
67,GS,2021,3.2507347324270395,-4.566220688489064,2.7689078684056865
68,GS,2022,8.06364449613914,-1.171815235561376,-3.575966470612408
69,GS,2023,8.768961135378468,-4.239035601772795,-4.851710927277518
70,GS건설,2019,5.764611580244564,-5.676155175908514,1.39339026894286
71,GS건설,2020,4.022164699985018,-1.953321370002165,0.36985816828004087
72,GS건설,2021,7.293790975505908,-3.498393818126843,-0.03197444155356409
