,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),Unnamed: 35,Unnamed: 36
3127,제이에스코퍼레이션,기타제조업,A194370,12,2021,Annual,552280908.0,359583072.0,114194163.0,194209120.0,127488231.0,552280908.0,350394618.0,301376034.0,78545717.0,157719899.0,0.0,201886290 ,987023678 ,830746843.0,60970129 ,2144743.0,0 ,48293834 ,26217938 ,6973679 ,(36437643),36.56 ,38.19,173.56 ,104.48 ,84.17,27.39 ,6.18 ,60970128.70 ,15.83 ,,
3128,제이에스코퍼레이션,기타제조업,A194370,12,2022,Annual,533768141.0,312848636.0,93599482.0,140946949.0,166067504.0,533768141.0,278290252.0,235632678.0,52360202.0,111067496.0,30000000.0,255477889 ,975066241 ,801807090.0,81475323 ,2084573.0,0 ,64584602 ,123851570 ,(64957949),(40298217),47.86 ,31.81,108.93 ,66.45 ,82.23,28.24 ,8.36 ,81475323.11 ,17.77 ,,
3129,제이에스코퍼레이션,기타제조업,A194370,12,2023,Annual,762883958.0,491789963.0,89934598.0,132197392.0,170059662.0,762883958.0,470072217.0,277068325.0,63029681.0,160962863.0,154600000.0,292811741 ,862765475 ,691461458.0,84041957 ,2133990.0,0 ,44326155 ,95757926 ,(213527446),180405823 ,38.38 ,45.43,160.54 ,118.37 ,80.14,16.17 ,9.74 ,84041956.67 ,19.86 ,,
3130,제주항공,운수창고업,A089590,12,2019,Annual,1467507641.0,455740102.0,33645100.0,16740499.0,284863475.0,1467507641.0,1142388633.0,556725710.0,611011.0,0.0,57336427.0,325119008 ,1383976262 ,1247364304.0,(32889587),0.0,7567273 ,(33117598),83897397 ,(132453442),(146158301),22.15 ,38.8,351.38 ,175.12 ,90.13,(9.36),(2.38),(32889587.46),9.87 ,,
3131,제주항공,운수창고업,A089590,12,2020,Annual,1168566447.0,300415535.0,2375340.0,14659561.0,262193928.0,1168566447.0,951754574.0,458850625.0,418153.0,165600000.0,73409400.0,216811873 ,377045661 ,607590799.0,(335816214),0.0,1731837 ,(306475796),(285529205),95311915 ,261560490 ,18.55 ,53.95,438.98 ,290.80 ,161.15,(113.11),(89.07),(335816214.07),(61.15),,
3132,제주항공,운수창고업,A089590,12,2021,Annual,1266756061.0,390602612.0,4555031.0,12687584.0,249433710.0,1266756061.0,1082667274.0,488274740.0,530229.0,165600000.0,183987945.0,184088788 ,273079199 ,500150258.0,(317159495),0.0,658840 ,(272277860),(83736411),62693924 ,214041312 ,14.53 ,53.77,588.12 ,369.97 ,183.15,(135.83),(116.14),(317159495.22),(83.15),,
3133,제주항공,운수창고업,A089590,12,2022,Annual,1644674849.0,563875752.0,45730696.0,17115629.0,429302633.0,1644674849.0,1357023834.0,854616061.0,1075620.0,165600000.0,150015208.0,287651014 ,702503276 ,766393671.0,(177502074),0.0,1389128 ,(179674354),124467120 ,(382446647),164777144 ,17.49 ,40.29,471.76 ,230.34 ,109.09,(76.18),(25.27),(177502073.62),(9.09),,
3134,제주항공,운수창고업,A089590,12,2023,Annual,1980894334.0,507538375.0,79550650.0,24079215.0,578906937.0,1980894334.0,1669691472.0,1121502726.0,4456393.0,195600000.0,0.0,311202862 ,1724008542 ,1385996391.0,169792118 ,0.0,5443285 ,134328660 ,388249757 ,(77236364),(298288375),15.71 ,39.62,536.53 ,252.20 ,80.39,44.86 ,9.85 ,169792117.65 ,19.61 ,,
3135,토니모리,화학,A214420,12,2019,Annual,240877330.0,120845339.0,24968064.0,25075322.0,75020110.0,240877330.0,142299572.0,90400884.0,6731546.0,22504254.0,0.0,98577758 ,172026783 ,71433495.0,(274992),0.0,5774260 ,(5699436),1758201 ,14040650 ,17737861 ,40.92 ,43.03,144.35 ,105.14 ,41.52,(5.58),(0.16),(274992.05),58.48 ,,
3136,토니모리,화학,A214420,12,2020,Annual,194228001.0,78043936.0,12672892.0,21001092.0,63047801.0,194228001.0,126955131.0,90003571.0,6084350.0,39391556.0,8000000.0,67272870 ,113458576 ,57343829.0,(25530977),0.0,6448463 ,(39602055),(8120175),(14243160),(14852173),34.64 ,48.52,188.72 ,140.08 ,50.54,(47.76),(22.50),(25530976.71),49.46 ,,
