,종목명,회계년,총자산증가율(전년동기)(%),유형자산증가율(전년동기)(%),매출액증가율(전년동기)(%),당기순이익(천원)
96,KEC,2020,10.21,-2.38,-0.34,"-44,855,951"
97,KEC,2021,8.75,11.24,33.04,"10,173,157"
98,KEC,2022,0.14,28.04,-4.23,"22,270,600"
99,KEC,2023,11.62,-6.08,-19.22,"-37,798,918"
100,주성코퍼레이션,2019,-58.23,-69.08,-40.07,"-16,210,212"
101,주성코퍼레이션,2020,18.56,184.58,-55.34,"-6,306,405"
102,주성코퍼레이션,2021,2.79,9.90,95.36,"-1,586,432"
103,주성코퍼레이션,2022,-0.28,-16.72,-42.51,"-9,902,822"
104,주성코퍼레이션,2023,3.59,1.65,4.27,"-1,376,873"
105,KG케미칼,2019,175.19,389.57,61.24,"219,341,423"
106,KG케미칼,2020,4.14,-3.99,78.22,"154,664,333"
107,KG케미칼,2021,12.98,-0.16,30.93,"281,961,178"
108,KG케미칼,2022,44.87,61.00,36.89,"997,422,975"
109,KG케미칼,2023,10.48,3.27,35.20,"350,715,471"
110,KISCO홀딩스,2019,0.79,3.27,-8.20,"62,889,043"
111,KISCO홀딩스,2020,0.47,-5.43,-10.01,"36,484,194"
112,KISCO홀딩스,2021,7.89,-1.44,48.50,"178,382,903"
113,KISCO홀딩스,2022,3.42,-2.57,14.53,"131,534,562"
114,KISCO홀딩스,2023,3.25,-0.88,-14.84,"130,202,531"
115,그린케미칼,2019,-1.19,-7.42,-8.75,"5,580,406"
116,그린케미칼,2020,-5.34,-11.90,4.54,"10,340,154"
117,그린케미칼,2021,19.71,-6.56,18.08,"15,928,806"
118,그린케미칼,2022,-7.11,6.06,13.52,"2,870,341"
119,그린케미칼,2023,2.41,21.17,-13.10,"3,349,835"
120,KPX케미칼,2019,0.49,3.23,-0.13,"43,054,876"
121,KPX케미칼,2020,18.43,3.30,-2.49,"64,416,145"
122,KPX케미칼,2021,22.00,21.78,36.71,"49,247,708"
123,KPX케미칼,2022,-0.05,19.21,-3.64,"29,568,123"
124,KPX케미칼,2023,5.88,2.14,-7.37,"65,778,115"
125,KPX홀딩스,2019,2.29,5.85,-4.86,"75,765,291"
126,KPX홀딩스,2020,17.23,-5.29,-2.01,"194,061,323"
127,KPX홀딩스,2021,6.84,12.11,29.95,"82,325,363"
128,KPX홀딩스,2022,0.28,14.60,0.14,"37,511,313"
129,KPX홀딩스,2023,5.98,3.00,-2.70,"137,402,457"
130,KR모터스,2019,-6.99,26.10,262.60,"-41,041,685"
131,KR모터스,2020,8.18,6.42,-11.12,"-11,486,012"
132,KR모터스,2021,8.06,5.64,13.30,"-11,924,558"
133,KR모터스,2022,-11.43,-1.75,-12.32,"-13,001,280"
134,KR모터스,2023,-7.12,-11.28,-33.02,"-21,026,669"
135,KSS해운,2019,5.83,3.75,14.19,"23,435,296"
136,KSS해운,2020,11.73,11.50,-2.19,"13,129,121"
137,KSS해운,2021,35.22,36.54,43.25,"56,071,252"
138,KSS해운,2022,14.72,14.29,37.46,"45,470,527"
139,KSS해운,2023,-0.19,-3.56,6.11,"17,041,880"
140,LF,2019,46.33,28.95,8.50,"69,449,583"
141,LF,2020,2.58,3.55,-13.03,"28,596,030"
142,LF,2021,2.49,-9.41,11.34,"136,154,463"
143,LF,2022,1.69,21.56,9.78,"177,302,503"
144,LF,2023,6.64,32.93,-3.44,"80,053,774"
145,LG,2019,-1.76,-12.65,-15.61,"1,106,755,000"
146,LG,2020,8.24,-3.08,-20.44,"1,540,658,000"
147,LG,2021,5.71,-5.08,31.93,"2,683,974,000"
148,LG,2022,15.44,1.03,4.77,"2,115,750,000"
149,LG,2023,2.09,0.04,3.61,"1,414,258,000"
150,LG디스플레이,2019,7.23,2.26,-3.54,"-2,872,078,000"
151,LG디스플레이,2020,-1.43,-8.82,3.35,"-76,147,000"
152,LG디스플레이,2021,8.81,2.08,23.15,"1,333,544,000"
153,LG디스플레이,2022,-6.47,1.89,-12.47,"-3,195,585,000"
154,LG디스플레이,2023,0.21,-3.56,-18.43,"-2,576,729,000"
155,LG생활건강,2019,23.08,12.28,13.90,"788,173,092"
156,LG생활건강,2020,4.74,14.43,2.07,"813,101,140"
157,LG생활건강,2021,11.08,5.12,3.15,"861,127,852"
158,LG생활건강,2022,-3.34,-2.66,-11.19,"258,340,047"
159,LG생활건강,2023,-1.13,-3.22,-5.30,"163,524,220"
160,LG유플러스,2019,28.70,37.05,5.60,"438,831,000"
161,LG유플러스,2020,2.28,12.29,8.36,"478,065,000"
162,LG유플러스,2021,5.56,2.48,3.23,"724,218,000"
163,LG유플러스,2022,2.09,3.71,0.40,"662,588,000"
164,LG유플러스,2023,1.65,4.65,3.36,"630,241,000"
165,LG이노텍,2019,0.26,-7.50,-0.08,"102,300,471"
166,LG이노텍,2020,4.64,-12.55,19.64,"236,127,867"
167,LG이노텍,2021,28.20,32.88,56.63,"888,282,436"
168,LG이노텍,2022,26.51,31.29,31.07,"979,848,641"
169,LG이노텍,2023,14.40,17.54,5.19,"565,200,779"
170,LG전자,2019,1.20,8.79,1.57,"179,948,000"
171,LG전자,2020,7.46,-3.66,-6.82,"2,063,790,000"
172,LG전자,2021,10.95,5.20,27.30,"1,414,972,000"
173,LG전자,2022,3.13,7.69,12.93,"1,863,123,000"
174,LG전자,2023,9.22,6.23,0.91,"1,150,611,000"
175,LX하우시스,2019,2.23,4.88,-2.44,"11,565,000"
176,LX하우시스,2020,-7.02,-14.94,-4.67,"-79,466,000"
177,LX하우시스,2021,6.79,2.77,13.88,"12,664,000"
178,LX하우시스,2022,-2.50,-6.37,4.37,"-117,721,000"
179,LX하우시스,2023,-3.98,-7.65,-2.36,"61,786,000"
180,LG화학,2019,17.55,34.35,-2.94,"376,104,000"
181,LG화학,2020,21.64,10.62,9.89,"682,408,000"
182,LG화학,2021,23.55,18.53,41.72,"3,953,904,000"
183,LG화학,2022,32.93,21.68,19.68,"2,195,518,000"
184,LG화학,2023,13.97,31.31,8.37,"2,053,425,000"
185,LS,2019,2.60,1.62,0.58,"92,824,000"
186,LS,2020,8.33,4.53,2.88,"194,725,000"
187,LS,2021,8.28,3.52,22.83,"352,129,000"
188,LS,2022,36.68,59.40,36.34,"847,180,000"
189,LS,2023,5.73,10.76,39.96,"570,596,000"
190,LS네트웍스,2019,-7.86,-1.71,-9.66,"-69,199,964"
191,LS네트웍스,2020,4.67,-11.57,-16.87,"-24,668,585"
192,LS네트웍스,2021,6.59,-0.34,16.61,"60,088,303"
193,LS네트웍스,2022,-0.68,-1.52,-7.06,"-2,397,223"
194,LS네트웍스,2023,0.67,-6.96,4.61,"10,704,984"
195,MH에탄올,2019,2.57,3.08,11.10,"-7,552,043"
196,MH에탄올,2020,-0.40,-1.76,17.02,"3,802,823"
197,MH에탄올,2021,0.40,-2.42,7.84,"8,688,865"
198,MH에탄올,2022,-0.89,-2.46,8.48,"11,905,847"
199,MH에탄올,2023,-0.49,-2.59,-4.73,"5,214,660"
200,NAVER,2019,24.47,9.54,-22.03,"396,821,062"
201,NAVER,2020,38.33,5.53,21.76,"844,996,977"
202,NAVER,2021,98.02,25.33,28.53,"16,477,625,560"
203,NAVER,2022,0.62,16.41,20.57,"673,180,300"
204,NAVER,2023,5.42,11.55,17.65,"985,017,762"
205,NICE,2019,18.03,24.95,27.45,"77,665,757"
206,NICE,2020,6.45,14.71,9.70,"52,928,234"
207,NICE,2021,12.94,25.72,19.19,"101,055,238"
208,NICE,2022,9.56,11.01,12.37,"69,015,235"
209,NICE,2023,3.12,1.64,2.40,"19,000,281"
210,NI스틸,2019,6.05,0.39,-1.66,"6,417,500"
211,NI스틸,2020,11.10,9.75,29.92,"12,133,553"
212,NI스틸,2021,18.68,9.50,28.89,"22,054,807"
213,NI스틸,2022,16.53,11.78,43.18,"48,789,612"
214,NI스틸,2023,12.72,1.39,7.74,"50,209,593"
215,SNT에너지,2019,18.83,6.51,52.90,"15,452,273"
216,SNT에너지,2020,0.44,-0.42,11.28,"9,787,541"
217,SNT에너지,2021,-0.96,0.10,-27.93,"12,503,181"
