,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
46,DRB동일,2020,776434763.0,78.14,6267807.0,4.24,21.86,1.36,1.26,496638329.0,63.96394812116366
47,DRB동일,2021,831956562.0,80.56,-2796740.0,0.10,19.44,-0.60,-0.51,551337200.0,66.26995028137058
48,DRB동일,2022,945238495.0,77.94,3536815.0,1.83,22.06,0.74,0.53,661814016.0,70.01555898334419
49,DRB동일,2023,963651592.0,80.33,21854908.0,4.86,19.67,4.47,2.96,737777768.0,76.56063395991359
50,DSR제강,2019,201633524.0,90.77,6757020.0,2.72,9.23,4.86,3.53,191479168.0,94.96395450589853
51,DSR제강,2020,206252816.0,90.74,5279451.0,2.01,9.26,3.66,3.00,176206567.0,85.43232059435252
52,DSR제강,2021,241710739.0,91.47,7620490.0,2.07,8.53,5.08,3.68,207142760.0,85.69861680825029
53,DSR제강,2022,259398157.0,83.54,28926448.0,10.08,16.46,17.17,11.05,261687162.0,100.88242916853105
54,DSR제강,2023,262988107.0,81.52,12943788.0,11.03,18.48,6.84,6.08,212953621.0,80.97462027056608
55,E1,2019,3594979133.0,91.55,-52402497.0,2.31,8.45,-4.16,-1.14,4608269823.0,128.18627459332183
56,E1,2020,3731448422.0,91.99,56330569.0,1.01,8.01,4.60,1.43,3927554237.0,105.25548775761693
57,E1,2021,3999326311.0,94.72,138568375.0,0.11,5.28,10.59,2.69,5152300897.0,128.82922013212038
58,E1,2022,4339655186.0,92.9,141465520.0,3.49,7.1,9.81,1.77,7990767898.0,184.133705456109
59,E1,2023,4597407646.0,94.77,214389245.0,1.19,5.23,13.36,2.74,7827737067.0,170.26415035896514
60,GKL,2019,909430532.0,72.67,72396402.0,19.73,27.33,12.62,14.75,490752464.0,53.96261140702499
61,GKL,2020,708445969.0,129.22,-64326966.0,-48.15,-29.22,-12.01,-34.87,184462332.0,26.037600617641456
62,GKL,2021,531306108.0,239.97,-113272119.0,-171.39,-139.97,-26.04,-133.13,85086861.0,16.01465891673882
63,GKL,2022,609513167.0,95.24,-22744367.0,-5.31,4.76,-5.94,-8.68,262110551.0,43.00326312720985
64,GKL,2023,639368284.0,79.82,43848395.0,12.86,20.18,11.04,11.05,396693648.0,62.0446240339316
65,GS,2019,24734086000.0,77.61,668945000.0,11.43,22.39,6.21,3.76,17786063000.0,71.9091176443714
66,GS,2020,24476843000.0,82.14,-187776000.0,5.96,17.86,-1.72,-1.22,15444214000.0,63.09724665064036
67,GS,2021,31191287000.0,75.52,1614682000.0,13.15,24.48,12.94,8.01,20165049000.0,64.64962154334958
68,GS,2022,33922242000.0,72.12,2482704000.0,17.91,27.88,16.18,8.69,28582513000.0,84.25891484413089
69,GS,2023,34448425000.0,74.16,1578711000.0,14.33,25.84,9.26,6.08,25978494000.0,75.41271915914879
70,GS건설,2019,13171205734.0,86.58,447479243.0,7.37,13.42,11.52,4.30,10416589202.0,79.08607163511793
71,GS건설,2020,13770677889.0,84.84,329675683.0,7.41,15.16,7.80,3.26,10122930837.0,73.51076627161677
72,GS건설,2021,15183727265.0,85.05,428803250.0,7.15,14.95,9.34,4.75,9036575423.0,59.51486921021167
73,GS건설,2022,16946616697.0,89.54,441211561.0,4.51,10.46,8.63,3.59,12299196215.0,72.57611613518871
74,GS건설,2023,17707298538.0,98.05,-419500545.0,-2.89,1.95,-8.19,-3.12,13436684904.0,75.88218425958522
