,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),매출채권(천원)_증가율(%),재고자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),매입채무(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),재무활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
13,BGF,기타금융,A027410,12,2022,Annual,1938013971.0,422786609.0,63075663,59748646,131437458.0,1938013971.0,201490552.0,71497959,20542054,1607679,14360000,1736523419.0,434997440.0,303418248.0,61203793,2000,4259000,26176881,207458,5798605,-33324626,89.6,2.89,11.6,3.22,69.75,1.51,14.07,61203792.65,30.25,-2.2006248992873623,-9.808148260781714,11.922335108859228,18.871928182777474,11.757118787258758,-2.2006248992873623,-19.03413569994378,-37.492347839573334,-27.5019482344378,0.21699581205660845,189.63574468627974,61.455715336392714,-27.240014732734043,-86.39329693213308,-96.52366237254869,-211.16712952075005,0.22445526529178977,0.2504990345886029,2.158897455400291
14,BGF,기타금융,A027410,12,2023,Annual,2171266453.0,430684912.0,75894188,60113049,274777843.0,2171266453.0,270623117.0,129891631,25128009,24621758,3200000,1900643336.0,443173612.0,300087140.0,70546076,0,2930000,69136637,70296369,-16339755,12224244,87.54,4.04,14.24,4.62,67.71,3.8,15.92,70546076.29,32.29,12.035645020641606,1.8681535393662463,20.32245780753823,0.609893318754029,109.05596257042647,12.035645020641606,34.31057402631961,81.67180268740259,22.32471494817412,9.45106269252105,1.879590831615019,15.264222268054528,164.11334872172128,33784.62676782771,-381.7876885906179,-136.68231415410332,0.2041083494785612,0.23317031849472677,1.637604417955174
16,BGF리테일,유통업,A282330,12,2020,Annual,2371169598.0,829086122.0,54348468,121544700,591452945.0,2371169598.0,1674341688.0,1003393100,569731857,8453239,13912034,696827910.0,6181269419.0,5129513383.0,162204244,3234000,3536000,122711267,507341460,-266360893,-245000808,29.39,26.13,240.28,88.92,82.98,18.6,2.62,162204243.6,17.02,9.149222092376718,11.415243848282586,-2.7818988065734795,33.750111940135085,7.572695176542754,9.149222092376718,8.034929260059908,5.539633267363309,7.044884743558932,11.923008881644147,3.9555751851094723,-17.505072415275478,-18.936679135002855,-4.7809107382201566,-9.373053384471808,-0.48570735153482536,2.606844075688929,8.870582435482529,3.6917610445353732
17,BGF리테일,유통업,A282330,12,2021,Annual,2596378757.0,808328772.0,73163134,108457563,614077693.0,2596378757.0,1787059387.0,1016456192,504242443,6090000,1092034,809319369.0,6781161259.0,5604063733.0,199441704,3439000,3879000,147642852,538147660,-239089232,-268623346,31.17,27.84,220.81,89.33,82.64,19.61,2.94,199441703.7,17.36,9.497808979583588,-2.5036421970165312,34.618576553068614,-10.767344853374928,3.8252828380117343,9.497808979583588,6.732060714240551,1.3018917510993377,-11.494778323410483,16.143363000486023,9.704994222643837,22.95714284763104,20.31727453356016,6.072084075289252,-10.23861299338713,9.641820446567673,2.6117765910376383,8.378844642478834,3.794592003113996
18,BGF리테일,유통업,A282330,12,2022,Annual,2946235272.0,889900434.0,127653657,124841356,690462607.0,2946235272.0,1983607628.0,1102246622,524159150,12290000,0,962627644.0,7615769468.0,6229570187.0,252407574,3894000,4743000,193538863,630424676,-98479902,-317632967,32.67,27.67,206.06,84.69,81.8,21.84,3.31,252407573.6,18.2,13.474787299686719,10.091396573472466,74.47811489321931,15.106178441424145,12.438965764548616,13.474787299686719,10.99841686458738,8.440150266702307,3.9498275634048507,18.94286493963795,12.307747554186289,26.557068525647985,31.085833400183848,17.14715548516925,-58.810398454080115,18.244736256095926,2.5849155837545075,7.911438566582449,3.839352783533458
19,BGF리테일,유통업,A282330,12,2023,Annual,3219078523.0,978981169.0,179672894,176968203,776433425.0,3219078523.0,2144625475.0,1191297911,545113743,10690000,0,1074453048.0,8194753979.0,6671994182.0,253187754,4497000,4477000,195844952,647081048,-244136780,-369214702,33.38,27.66,199.6,82.86,81.42,19.23,3.09,253187753.6,18.58,9.26074212718202,10.010191207525576,40.750291235291435,41.75447036957849,12.451191002730155,9.26074212718202,8.117424269150874,8.079071164529283,3.9977539264553608,11.616683220869572,7.602442713540403,0.3090953205706848,1.1915379496675094,2.6420875695544632,147.9051817090557,16.23941478341573,2.5456831576021792,7.626907470972152,3.821065297659956
21,BYC,섬유의복,A001460,12,2020,Annual,679134864.0,116356314.0,4338337,34704886,61432622.0,679134864.0,226466839.0,121169201,3752236,38809978,45500000,452668025.0,161863377.0,93110794.0,22940934,0,1088113,18285122,35408711,26188307,-31102656,66.65,15.73,50.03,23.61,57.52,4.12,14.17,22940934.0,42.48,-2.125429232937104,-1.6612074624976825,-26.761755319193835,-24.01998041348854,-10.931735634114547,-2.125429232937104,-12.74816864818905,10.778585134114337,-0.4197130028229412,4.222751942362835,-5.115012467947311,-1.935364015086638,-34.200025549723904,89.18953244227038,-37.5637467912033,-57.50533457203131,0.23833760506219573,0.357576343060679,0.7147332373902212
22,BYC,섬유의복,A001460,12,2021,Annual,684434512.0,133338984.0,4923098,30955006,69036987.0,684434512.0,202622248.0,130677557,3855973,28227391,0,481812265.0,164445894.0,94549165.0,26711346,0,1006645,29855489,35707429,3766575,-33059365,70.4,10.81,42.05,15.35,57.5,6.39,16.24,26711346.47,42.5,0.7803528107489521,14.59540046962986,13.478920609440891,-10.805049179530513,12.378382612417216,0.7803528107489521,-10.528954749088015,7.847172318978979,2.764671518529216,6.438325304730763,1.5954918573087618,16.43530293927875,63.277494128833254,0.8436285636040264,-85.61734059402923,6.2911315355190345,0.24026534477267855,0.3413069901821615,0.8115885378983654
23,BYC,섬유의복,A001460,12,2022,Annual,668872026.0,120182142.0,4897177,38420150,77727018.0,668872026.0,153134740.0,79177004,3177671,28274737,0,515737286.0,169680337.0,97946674.0,25326353,0,1092184,35286502,10468407,43321939,-50413187,77.11,4.25,29.69,5.51,57.72,7.07,14.93,25326353.05,42.28,-2.273772833944998,-9.86721332749918,-0.5265180583445606,24.11611226953081,12.58750037860139,-2.273772833944998,-24.423531220520267,-39.410403884425236,-17.590942675169153,7.0411285607268725,3.1830791713169715,-5.185036351219441,18.191003336103464,-70.68283185552228,1050.167964264617,52.49290783413414,0.25368131780712266,0.3290053707693339,1.1080460057593724
24,BYC,섬유의복,A001460,12,2023,Annual,685663060.0,113987958.0,5770897,39594952,105219092.0,685663060.0,150742490.0,51122092,4223069,8389553,20000000,534920570.0,168401524.0,95788699.0,27498394,0,1232948,23666593,30311997,-72664318,-2913565,78.02,4.26,28.18,5.46,56.88,4.51,16.33,27498394.28,43.12,2.51035076177637,-5.1539970056449835,17.841299181140478,3.057775672401064,35.3700356805146,2.51035076177637,-1.562186346481531,-35.43315682922279,32.89824528719305,3.7195844707648362,-0.7536601014647926,8.57620913678334,-32.930181064702865,189.55692112467543,-267.73099191151164,-94.2206292175101,0.24560390346827202,0.3148159436082258,1.1171470233774168
