,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),매출채권(천원)_증가율(%),재고자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),매입채무(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),재무활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
294,KSS해운,운수창고업,A044450,12,2023,Annual,1656034880.0,133698807.0,21100097,19158781,1491364454.0,1656034880.0,1235554637.0,335931028,17061946,65837529,887542826,420480242.0,472602860.0,370554666.0,88361347,0,90418,17041880,106895968,-19682990,-49591718,25.39,69.88,293.84,275.23,78.41,4.12,18.7,88361347.36,21.59,-0.18911612442732428,61.99718086040391,16.024473243064886,2.248434568125779,-3.5582217663091553,-0.18911612442732428,-1.3838201742166323,-11.274805962268308,-10.447721868282045,3.4951279982052164,6.1132802032189515,27.11834105555413,-62.521041376978104,-5.08555927265022,-88.55625073071455,-192.43669945722766,0.2853821895345586,1.1239597317393097,0.38250259911411755
296,KT,통신업,A030200,12,2020,Annual,33662545000.0,11154180000.0,3056130000,534636000,14206119000.0,33662545000.0,18111112000.0,9192472000,1239717000,95789000,178221000,15551433000.0,23916667000.0,0.0,1184107000,156940000,132466000,703392000,4739827000,-3761470000,-647585000,46.2,25.13,116.46,54.4,0.0,4.58,4.95,1184107000.0,100.0,-2.540678952329556,-6.245563567785406,-2.992164474613501,-19.663770589844,3.052672270655865,-2.540678952329556,-6.4341941100041105,-9.416424190012352,-4.9876034166286605,2.422918543149466,-1.7475798272488352,2.116395272024185,5.623612867186623,26.55829250077366,-3.2412323484259153,159.29536973269057,0.710483030917597,1.5379075998977072,1.3205521008317986
297,KT,통신업,A030200,12,2021,Annual,37159341000.0,11858350000.0,2982867000,514145000,14464886000.0,37159341000.0,20592180000.0,10072432000,1537148000,338927000,501192000,16567161000.0,24898005000.0,0.0,1671824000,168969000,171400000,1459395000,5561834000,-5137474000,-41282000,44.58,25.83,124.3,57.93,0.0,9.09,6.71,1671824000.0,100.0,10.387794505733305,6.313059319465886,-2.397247499288313,-3.8327011274960854,1.8215178966190626,10.387794505733305,13.699147793906864,9.572615505383109,23.99184652626365,6.531410963864226,4.103155343510023,41.18859190934603,107.47961307492835,17.34255279781309,36.58154923474066,-93.62523838569454,0.6700335455356972,1.5028528424393293,1.2091000078670642
298,KT,통신업,A030200,12,2022,Annual,40980681000.0,12681532000.0,3090077000,709191000,14772179000.0,40980681000.0,22565958000.0,10699268000,1150515000,504998000,915762000,18414723000.0,25650011000.0,0.0,1690088000,0,195519000,1387663000,3597065000,-4838643000,669331000,44.94,27.28,122.54,60.71,0.0,7.93,6.59,1690088000.0,100.0,10.28365922851,6.9417920705663105,3.5941931034806363,37.9359908197104,2.124406649316146,10.28365922851,9.585085211959111,6.223283512859656,-25.1526203072183,11.151952950780153,3.020346409280572,1.0924594933438003,-4.915187457816428,-35.325919471886436,-5.816691237756144,-1721.3628215687227,0.6259049477484281,1.3929077836250918,1.1366683834118632
299,KT,통신업,A030200,12,2023,Annual,42709982000.0,14518157000.0,3257732000,912262000,14872079000.0,42709982000.0,24148845000.0,13147409000,1297752000,434241000,656451000,18561137000.0,26376273000.0,0.0,1649774000,0,153750000,988718000,5503289000,-4620508000,-452792000,43.46,26.69,130.1,61.41,0.0,5.35,6.25,1649774000.0,100.0,4.219795664205783,14.482674490747648,5.425592954479774,28.63417612462651,0.676271252873395,4.219795664205783,7.014490587990996,22.88138777344395,12.79748634307245,0.7950920575889198,2.831429584961964,-2.385319580992229,-28.749415383994524,52.99387139237128,-4.508185456128921,-167.64844299756027,0.6175669425475291,1.4210483441827944,1.0922374548347964
301,KT&G,기타제조업,A033780,12,2020,Annual,11468383152.0,6750382617.0,1115246113,2535032332,1718412219.0,11468383152.0,2376811496.0,1991492012,57897000,17308208,53492408,9091571656.0,5055311488.0,2127074299.0,1473182689,52725000,274971000,1171643099,1261664798,-85834706,-808888422,79.28,1.36,26.14,1.71,42.08,13.14,29.14,1473182689.0,57.92,6.658430386236613,5.191672851773443,18.50406712901318,3.5872537013939443,-2.0143857824742373,6.658430386236613,18.081665823061833,24.460933925058793,-6.82813002896685,4.027492705269586,1.8558419642833224,6.784049738559461,12.962268822907475,21.02423427357156,-81.30738824052357,27.95905994338639,0.44080420238823215,0.5560437380113192,2.126929921244373
302,KT&G,기타제조업,A033780,12,2021,Annual,11637271194.0,6255861536.0,904504494,2375380885,1741041768.0,11637271194.0,2428409041.0,2063946377,60337000,75432491,53195099,9208862153.0,5228351597.0,2350179719.0,1338383480,63544000,300906000,971758745,1419821289,-797609538,-947573962,79.13,1.6,26.37,2.02,44.95,10.62,25.6,1338383480.0,55.05,1.4726403867187488,-7.325822980087238,-18.89642264101753,-6.2978071318736895,1.316887109495113,1.4726403867187488,2.170872409816038,3.6381951101694954,4.21438071057223,1.2901014416203171,3.422936636263718,-9.150203162616721,-17.06017422631532,12.53553964973191,829.2389700734806,17.1452002807873,0.44927642484568536,0.5677521837262755,2.152994618586581
303,KT&G,기타제조업,A033780,12,2022,Annual,12301716000.0,6509585000.0,1366523000,2575842000,1837041000.0,12301716000.0,2943136000.0,2527315000,220898000,72629000,78808000,9358580000.0,5851406000.0,2891166000.0,1267650000,50531000,311178000,1005327000,887887000,547544000,-931786000,76.08,1.8,31.45,2.36,49.41,10.83,21.66,1267650000.0,50.59,5.709627239267023,4.055771735674174,51.079735818316465,8.439114596983877,5.513895976790839,5.709627239267023,21.19605677254601,22.450613454091695,266.1070321693157,1.6258018038767696,11.916842076143187,-5.284993505747693,3.454381570808507,-37.464876257394955,-168.64812592048014,-1.6661456132328833,0.47565770499010057,0.6252450692305884,1.9881534526437106
304,KT&G,기타제조업,A033780,12,2023,Annual,12772452000.0,6418374000.0,1328580000,2763769000,2096467000.0,12772452000.0,3477517000.0,2672414000,260725000,61576000,147270000,9294935000.0,5862608000.0,3054393000.0,1167336000,50655000,307362000,922361000,1265993000,-848296000,-775827000,72.77,4.88,37.41,6.7,52.1,9.89,19.91,1167336000.0,47.9,3.8265880955144826,-1.4011799523318325,-2.7766089557219265,7.295750282820146,14.121949374020492,3.8265880955144826,18.156857175475416,5.741231306742534,18.029588316779698,-0.6800711219009714,0.1914411681568584,-7.91338303159389,-8.252638196328155,42.58492353193593,-254.92745788466317,-16.737641475617792,0.4590041129142627,0.6307314682673951,1.6858603423074567
306,KTcs,서비스업,A058850,12,2020,Annual,384918649.0,289902307.0,139655546,17897484,63185693.0,384918649.0,215174666.0,175699472,64640107,0,30590,169743982.0,931703674.0,0.0,17868420,394251,2702735,11323278,50440106,-8687599,-19155992,44.1,0.01,126.76,0.03,0.0,6.78,1.92,17868419.67,100.0,1.8023089337689813,6.97648436098719,0.15193732804481552,-16.348720633221703,-17.694192096431316,1.8023089337689813,0.5568209121200818,7.7789285954661835,16.567119521241747,3.4261934844696196,-1.3925888644828577,57.47685493645023,50.37340106853727,101.69826866152927,-42.98963227009253,5.67367353584447,2.420521002088418,5.4888760297846675,4.329987778393949
307,KTcs,서비스업,A058850,12,2021,Annual,416750372.0,302953273.0,155075713,13145984,66985615.0,416750372.0,234171975.0,189641477,63927781,4500000,0,182578397.0,965721215.0,0.0,21037347,30336,2773713,19034234,6944697,-1038811,-16622412,43.81,1.08,128.26,2.46,0.0,10.81,2.18,21037346.74,100.0,8.269727404140404,4.501849652407208,11.041571524842997,-26.54842434836092,6.013896215398007,8.269727404140404,8.82878516934702,7.9351433679891725,-1.1019876560538489,7.561042723741451,3.651111608689428,17.73479132458271,68.09826624410351,-86.23179538916908,-88.04259957210272,-13.226044362515921,2.317265394066643,5.289350935642183,4.123982876260065
308,KTcs,서비스업,A058850,12,2022,Annual,416146080.0,291063635.0,157151280,22148579,70136043.0,416146080.0,224569291.0,183249590,57112095,0,0,191576789.0,1029466970.0,0.0,24326775,23523,3352492,18102990,19708133,13122892,-35740265,46.04,0.0,117.22,0.0,0.0,9.68,2.36,24326774.61,100.0,-0.14500095035308025,-3.9245781642372246,1.3384217037261115,68.48171274208154,4.703141114700515,-0.14500095035308025,-4.100697361415683,-3.3705110828682217,-10.661540090058807,4.928508601157233,6.600844426929142,15.636135107720573,-4.892469011361323,183.7867944418597,-1363.2607856482075,115.01250841333976,2.473811527913467,5.373651867606989,4.584184085971042
309,KTcs,서비스업,A058850,12,2023,Annual,434900095.0,304508552.0,136224274,24454052,74804938.0,434900095.0,234849615.0,187621151,43037971,0,0,200050480.0,1035365640.0,0.0,18723574,31111,3871880,15803826,55146062,-5901195,-26948476,46.0,0.0,117.4,0.0,0.0,8.07,1.81,18723573.55,100.0,4.50659417481476,4.619236271133631,-13.316471873471214,10.409123763650928,6.656912480791077,4.50659417481476,4.577795990815137,2.3855775066127016,-24.642983241991033,4.423130298942435,0.5729829292143274,-23.03306130796211,-12.700465503212454,179.81372969220374,-144.96870811708274,-24.599115311540075,2.3806976634484296,5.175521898272876,4.408632477426033
311,KTis,서비스업,A058860,12,2020,Annual,294288885.0,126275205.0,50464728,10922762,46302072.0,294288885.0,126893638.0,87387458,28674,0,0,167395247.0,453639145.0,0.0,9002862,0,0,7387479,22365938,4394340,-23679695,56.88,17.51,75.8,30.78,0.0,4.4,1.98,9002862.02,100.0,-5.623072046739141,-1.1001103823576663,10.002475586740989,-12.526203469621278,-1.3230915690322198,-5.623072046739141,-11.603581328138135,13.343165253720457,-71.95449966256199,-0.5211857322316327,0.5792412076579545,-34.55950193805846,-19.73122406129543,-38.94384849515251,-120.97107461187781,8.885692782877808,1.5414756320137608,2.709988205340143,3.574955783047216
312,KTis,서비스업,A058860,12,2021,Annual,369360806.0,124420075.0,52216270,8422119,11440820.0,369360806.0,177618512.0,103927322,3150795,0,0,191742294.0,468004264.0,0.0,14405202,0,0,24944162,49011157,-27143097,-23125824,51.91,22.41,92.63,43.17,0.0,13.89,3.08,14405202.06,100.0,25.509601220582965,-1.4691166013153567,3.470824216074253,-22.893870616241575,-75.29091138729169,25.509601220582965,39.974324008269036,18.927045572146064,10888.334379577318,14.544646539456396,3.1666400834963193,60.00691780013956,237.65459096398106,119.13302719519297,-717.6831333032947,-2.3390123901511406,1.2670653095769993,2.440798293567928,2.6348844989760978
313,KTis,서비스업,A058860,12,2022,Annual,396208069.0,102120905.0,61915097,11775519,24844661.0,396208069.0,199203706.0,103697865,1712711,0,0,197004363.0,535783306.0,0.0,19544619,0,0,15916624,13610878,10308616,-29496531,49.72,26.47,101.12,53.23,0.0,8.19,3.65,19544619.04,100.0,7.2685738616240725,-17.92248557959799,18.574338994340266,39.81658297632698,117.15804461568315,7.2685738616240725,12.152558737796436,-0.22078602198563058,-45.641941160881615,2.7443444480746537,14.482569329752938,35.67750733380899,-36.190985289463725,-72.22902124102069,-137.97877596650082,27.548021640223496,1.3522776236038747,2.7196519804995383,2.689625192013245
314,KTis,서비스업,A058860,12,2023,Annual,447609122.0,111313131.0,69518539,13680158,29801149.0,447609122.0,243518966.0,116270864,1813877,0,0,204090156.0,592959671.0,0.0,20525095,0,0,13921786,50594807,-17041062,-33169816,45.6,32.32,119.32,70.89,0.0,6.94,3.46,20525095.48,100.0,12.973247397442588,9.001316625621358,12.280432993587986,16.174565214492876,19.94991197505169,12.973247397442588,22.24620258821892,12.124645960647307,5.906775865864122,3.5967695801742305,10.671546567372904,5.016603291166732,-12.533047209006131,271.72331571850106,-265.3089221676314,12.453277980383515,1.3247265121643343,2.9053810464038254,2.4349629958596326
316,LF,섬유의복,A093050,12,2020,Annual,2479439884.0,1082925012.0,102707833,304764061,541311747.0,2479439884.0,1065019216.0,720808907,52371715,291791315,75606758,1414420667.0,1610459972.0,713336421.0,77067170,0,36806000,28596030,305614753,-269587577,49666395,57.05,31.5,75.3,55.21,44.29,2.04,4.79,77067170.45,55.71,2.578057387974231,12.572918465870364,-17.342196739556893,-18.238873510875308,3.547937512262811,2.578057387974231,3.8449987085815485,1.5195850464715832,-21.96245874963665,1.6443026046778275,-13.02881892467097,-11.956582113778113,-58.82476356985469,101.6519678540051,11.899751681514449,1682.2783742661518,0.6495257184464973,1.1386004245934849,1.5121417039295937
317,LF,섬유의복,A093050,12,2021,Annual,2541137895.0,1164416322.0,118732000,313867367,490390005.0,2541137895.0,1042768391.0,613206040,74003874,234807203,62699804,1498369503.0,1793103980.0,695009070.0,158865864,0,45532000,136154463,310313178,-126345947,-111800090,58.96,25.19,69.59,42.72,38.76,9.35,8.86,158865864.1,61.24,2.4883850339805225,7.525111073895863,15.601699044706741,2.987001147750168,-9.407100858648098,2.4883850339805225,-2.0892416461338326,-14.928071220407379,41.30504223510725,5.9352099385012735,11.341108203588423,106.13948066342647,376.1306482053628,1.5373685183319719,-53.13361676157652,-325.1020836120681,0.7056303333747262,1.1967034676092176,1.719561117766946
318,LF,섬유의복,A093050,12,2022,Annual,2584040376.0,1205562532.0,127638314,445053612,596131588.0,2584040376.0,927192270.0,742787795,97234643,130709327,2689000,1656848107.0,1968540365.0,798159568.0,185160686,0,60373000,177302503,160923026,-93595246,-159770365,64.12,19.99,55.96,31.17,40.55,11.24,9.41,185160686.4,59.45,1.688317705403386,3.5336339093329894,7.501190917360101,41.796713769227246,21.562752487176006,1.688317705403386,-11.083585002913654,21.1318458311337,31.391287704749082,10.576737158804805,9.783949339067322,16.551587193080074,30.22158737462759,-48.14173634611161,-25.921449621173842,42.90718817847106,0.7618071231716699,1.1881236165724152,2.1231199058637538
319,LF,섬유의복,A093050,12,2023,Annual,2755627762.0,1110887691.0,138874534,444171718,792417889.0,2755627762.0,1042077874.0,816243784,74540427,232491555,1677000,1713549888.0,1900725823.0,806327104.0,57379138,0,62948000,80053774,92566722,-306354784,75947326,62.18,24.17,60.81,38.88,42.42,4.75,3.02,57379138.44,57.58,6.640274958304282,-7.853167171920705,8.80317174982428,-0.1981545540180929,32.92667339748485,6.640274958304282,12.390699072588252,9.889229399629551,-23.339640378995373,3.422267904972176,-3.444914984001357,-69.01116579358536,-54.849044629674516,-42.47764021041961,227.3187443729781,-147.53530230715813,0.689761458064451,1.1092328483172822,1.8239767587657274
321,LG,기타금융,A003550,12,2020,Annual,24282268000.0,5895921000.0,1313668000,41682000,1589560000.0,24282268000.0,3420978000.0,2133263000,797369000,49665000,89471000,20861290000.0,5199070000.0,3302831000.0,1586056000,32883000,4799000,1540658000,739096000,-1277688000,693728000,85.91,5.25,16.4,6.11,63.53,7.73,30.51,1586056000.0,36.47,8.235651758018747,49.678489039381766,-9.46083880852331,-33.20406397230858,-3.0835285409606783,8.235651758018747,0.21587123774280403,-4.968725512862838,-4.634279652249629,9.674922287294674,-20.436009084772387,59.51178645887285,39.20497309702689,-9.719580733069733,3658.348040945994,-236.34430411591057,0.21410973637223674,0.24922092545571248,1.5197613080236119
322,LG,기타금융,A003550,12,2021,Annual,25669796000.0,5547934000.0,1133381000,54019000,1508820000.0,25669796000.0,3729575000.0,2819273000,659653000,41453000,2065000,21940221000.0,6859010000.0,4065447000.0,2460104000,34661000,5575000,2683974000,1019525000,-271997000,-1008364000,85.47,3.2,17.0,3.75,59.27,12.54,35.87,2460104000.0,40.73,5.714161461359368,-5.902165242716107,-13.723939381944295,29.597907969867098,-5.07939303958328,5.714161461359368,9.020724482881803,32.15777895177481,-17.2713009911346,5.171928485726429,31.927633211324324,55.10826856050479,74.20959096697646,37.942161776007445,-78.71178253219878,-245.35437520180824,0.2672015780725332,0.3126226486050437,1.8390862229610612
323,LG,기타금융,A003550,12,2022,Annual,29633677000.0,5083392000.0,1413798000,58204000,1524353000.0,29633677000.0,3399491000.0,2524385000,753442000,289303000,413000,26234186000.0,7185987000.0,4853189000.0,1941380000,47841000,7110000,2115750000,641024000,-175064000,-653033000,88.53,2.9,12.96,3.27,67.54,8.78,27.02,1941380000.0,32.46,15.44180951028984,-8.37324308472307,24.741635866491496,7.7472741072585505,1.0294799909863261,15.44180951028984,-8.850445426087427,-10.45971780668279,14.217929729721535,19.571202131464393,4.7671165372262125,-21.08545004601432,-21.1709949500256,-37.12522988646674,-35.63752541388324,-35.238366304231405,0.24249393688133944,0.27391690369199945,2.1138420428234697
324,LG,기타금융,A003550,12,2023,Annual,30253085000.0,5199470000.0,1564483000,70181000,1525029000.0,30253085000.0,3236596000.0,1937107000,772816000,2565000,0,27016489000.0,7445336000.0,5438970000.0,1589013000,48304000,8304000,1414258000,882694000,-179302000,-976051000,89.3,1.98,11.98,2.22,73.05,5.31,21.34,1589013000.0,26.95,2.090216479041729,2.2834752857934237,10.658170403409816,20.577623531028788,0.04434668347816917,2.090216479041729,-4.791746764442085,-23.26420098360591,2.5713989928886294,2.9819983741824485,3.6090936429470366,-18.150336358672693,-33.1557131041002,37.700616513578275,2.4208289539825456,49.46426903387731,0.24610171161056799,0.2755848844755512,2.30036000786011
326,LG디스플레이,전기전자,A034220,12,2020,Annual,35066012000.0,11099470000.0,3517512000,2170656000,20139703000.0,35066012000.0,22334584000.0,11006948000,3779290000,394906000,9019658000,12731428000.0,24261561000.0,21626339000.0,-36465000,1098736000,113547000,-76147000,2278784000,-2311152000,931829000,36.31,40.36,175.43,111.16,89.14,-0.6,-0.15,-36465000.0,10.86,-1.4295354801687976,8.305316532522667,11.52259929995434,5.8260346000180485,-8.819147537005412,-1.4295354801687976,-3.2560375031371436,0.2000186436456497,44.343516555454165,1.9470013527081997,3.34813638367073,-97.31753105455273,-97.34871406695778,-15.804688264928169,-65.78804519589016,-81.31821755920625,0.691882527160488,1.9056433418152308,1.0862777206864476
327,LG디스플레이,전기전자,A034220,12,2021,Annual,38154515000.0,13187067000.0,4574789000,3350375000,20558446000.0,38154515000.0,23392014000.0,13994817000,4814055000,613733000,7660591000,14762501000.0,29878043000.0,24572939000.0,2230608000,1222044000,126335000,1333544000,5753446000,-4263080000,-2466136000,38.69,33.41,158.46,86.35,82.24,9.7,7.47,2230608000.0,17.76,8.807682493235891,18.808078223554816,30.0575236132812,54.34850109828548,2.07919153524756,8.807682493235891,4.73449606225036,27.145299496281794,27.37987823109631,15.953222215135643,23.149714068274506,-6217.1205265322915,-1851.275821765795,152.47877815536705,84.45692883895131,-364.65542497604173,0.7830801413672799,2.0239147147221193,1.2772753555978549
328,LG디스플레이,전기전자,A034220,12,2022,Annual,35686019000.0,9444035000.0,2358914000,2872918000,20946933000.0,35686019000.0,24366792000.0,13961520000,4061684000,2578552000,8425195000,11319227000.0,26151781000.0,25027703000.0,-2085047000,1382406000,108315000,-3195585000,3011020000,-6700169000,1946024000,31.72,42.21,215.27,133.09,95.7,-24.5,-7.97,-2085047000.0,4.3,-6.469734971077468,-28.384113010118174,-48.43666013886106,-14.25085251650935,1.8896710383654591,-6.469734971077468,4.167140118845691,-0.237923797074302,-15.628633241622703,-23.324462433567316,-12.471573188377839,-193.47438007933263,-339.6310132998986,-47.6657988968698,57.167329724049274,-178.90984114420291,0.7328298793989881,2.3103857710424927,1.0732549857199092
329,LG디스플레이,전기전자,A034220,12,2023,Annual,35759298000.0,9503186000.0,3218093000,2527728000,20200332000.0,35759298000.0,26988754000.0,13885028000,4175064000,1875635000,10230658000,8770544000.0,21330819000.0,20985643000.0,-2510164000,1379653000,76404000,-2576729000,1682748000,-2589336000,1350863000,24.53,46.43,307.72,189.3,98.38,-25.65,-11.77,-2510164000.0,1.62,0.20534372298575132,0.6263318592105938,36.42265042303365,-12.015309869616885,-3.564249716175638,0.20534372298575132,10.760390616869064,-0.5478773084878985,2.7914530032370877,-22.51640505133433,-18.43454562425404,20.388844951696527,-19.365968985334458,-44.11368904889373,-61.35416882768181,-30.583435764409895,0.596511122785464,2.4320975985070024,0.7903595327149968
331,LG생활건강,화학,A051900,12,2020,Annual,6801415784.0,1982768918.0,585564696,808965988,2329834013.0,6801415784.0,1952220085.0,1479723875,251186197,186412986,22801783,4849195699.0,7844506057.0,2962930554.0,1220864731,34058000,459898000,813101140,1004842472,-745883641,-465737760,71.3,6.89,40.26,9.67,37.77,17.9,15.56,1220864731.0,62.23,4.739171177023271,-8.335630352791846,-4.169934232243322,8.393520271637712,14.429416234979374,4.739171177023271,-13.4877400098802,-16.45659908200964,-13.585017612148519,14.446433078462162,2.069916015553508,3.7787367396700855,3.1627631357909802,-11.828193862460123,61.66333064824136,8.46145397411966,1.1533636975192458,1.6176921996812157,4.018248822084012
332,LG생활건강,화학,A051900,12,2021,Annual,7555239418.0,2472884296.0,554857051,1000655942,2449112181.0,7555239418.0,2057406606.0,1525844759,270571520,256676146,17341602,5497832811.0,8091511298.0,3039883555.0,1289630424,24734000,539304000,861127852,984481666,-465122433,-238400404,72.77,6.91,37.42,9.49,37.57,16.64,15.94,1289630424.0,62.43,11.083334087195995,24.71873416768984,-5.244107988368207,23.695675324238728,5.119599393538432,11.083334087195995,5.388046245820699,3.1168574609908184,7.717511245253661,13.376179314309011,3.1487672927422494,5.632539891923538,5.906609846838973,-2.0262684517578844,-37.641421874273284,-48.81230931329252,1.0709801305200677,1.4717637978751552,3.932869309548625
333,LG생활건강,화학,A051900,12,2022,Annual,7302929652.0,2284388638.0,550861506,955432615,2383867277.0,7302929652.0,1834093664.0,1162757523,213187479,215544469,14783780,5468835988.0,7185759184.0,3168512093.0,711122934,25356000,483279000,258340047,497299483,-197383722,-373633369,74.89,6.06,33.54,8.1,44.09,4.71,9.9,711122934.4,55.91,-3.3395336936495212,-7.622502124539354,-0.7201034920253702,-4.519368256547063,-2.6640226816135426,-3.3395336936495212,-10.854098618559604,-23.795817618953464,-21.208455716255724,-0.5274227863383496,-11.193855889738135,-44.858393477230806,-69.99980358317339,-49.48616107595446,-57.56306125101474,56.72514086846934,0.9839556898966004,1.313946733777967,3.917880163398242
334,LG생활건강,화학,A051900,12,2023,Annual,7220285812.0,2429583604.0,529076344,884515142,2307114070.0,7220285812.0,1671359346.0,1089658848,253398302,138182510,1993444,5548926466.0,6804839370.0,3177921082.0,486981225,25849000,457023000,163524220,659061627,-140774748,-268201685,76.85,4.8,30.12,6.25,46.7,2.97,7.16,486981224.7,53.3,-1.1316532397017798,6.355966037684335,-3.954743935220628,-7.422550987544008,-3.2196929644753847,-1.1316532397017798,-8.872737592097145,-6.2866654099472115,18.86171889109867,1.4644885707989497,-5.301037847861167,-31.519403788487576,-36.70194694978901,32.52811425102566,-28.67965677534442,-28.217951807189902,0.9424612192900267,1.2263343930930368,4.071440044467852
336,LG유플러스,통신업,A032640,12,2020,Annual,18350190000.0,4950900000.0,1855722000,284077000,9949806000.0,18350190000.0,10698976000.0,4328335000,73752000,50000000,1278125000,7651214000.0,13417627000.0,0.0,886151000,0,236839000,478065000,2548551000,-2615639000,157151000,41.7,37.33,139.83,89.54,0.0,6.37,6.6,886151000.0,100.0,2.2804685344503195,3.025828353963189,5.102541302537911,-34.95273902968465,12.286960961294447,2.2804685344503195,1.0153677018617024,-6.894560873402533,-82.50195142436183,4.103588541224457,8.364243199122857,29.130600777565995,8.940571655147433,13.13819586255882,-18.62604002558531,-87.11941452107722,0.7311982600725115,1.7536598767202172,1.2541038506862714
337,LG유플러스,통신업,A032640,12,2021,Annual,19370515000.0,5164421000.0,1763278000,241363000,10196129000.0,19370515000.0,11411957000.0,5073659000,333556000,0,1103125000,7958558000.0,13851135000.0,0.0,979014000,0,244356000,724218000,3404503000,-2944805000,-416515000,41.09,36.45,143.39,88.73,0.0,9.28,7.07,979014000.0,100.0,5.560296650879359,4.312771415298222,-4.981565126673071,-15.036064165701557,2.4756563092787953,5.560296650879359,6.6640115839123215,17.219646815692414,352.2670571645515,4.01693116935431,3.23088426888003,10.479365254905758,51.489441812305856,33.585829751886465,12.58453479245416,-365.0412660434868,0.7150628158311744,1.7404076215816986,1.2137388004528935
338,LG유플러스,통신업,A032640,12,2022,Annual,19774800000.0,5043422000.0,1734478000,226157000,10574114000.0,19774800000.0,11325133000.0,4817824000,160632000,0,1215625000,8449667000.0,13905990000.0,0.0,1081260000,0,208096000,662588000,3504980000,-2866689000,-573707000,42.73,35.6,134.03,83.33,0.0,8.08,7.78,1081260000.0,100.0,2.0871153916145246,-2.3429344741646707,-1.6333215749303243,-6.300054275096012,3.707142190923629,2.0871153916145246,-0.7608160458368318,-5.042416133997185,-51.84256916379859,6.170828936598816,0.39603252729829563,10.443773020610525,-8.50986857548418,2.95129714968676,-2.6526713992946926,37.73981729349482,0.7032177316584745,1.64574414589356,1.2278875665301237
339,LG유플러스,통신업,A032640,12,2023,Annual,20100605000.0,4964158000.0,1743706000,354433000,11066309000.0,20100605000.0,11343820000.0,5606861000,126440000,130000000,703125000,8756785000.0,14372626000.0,0.0,998031000,0,220671000,630241000,2974990000,-2998197000,-252004000,43.56,36.7,129.54,84.23,0.0,7.33,6.94,998031000.0,100.0,1.6475767137973607,-1.5716313249218516,0.5320332687990259,56.71988928045562,4.654716224924371,1.6475767137973607,0.16500468471318808,16.37745588049708,-21.28592061357637,3.6346757807141916,3.355647458397426,-7.697408578880194,-4.881917571703687,-15.121056325571047,4.587452632636468,-56.07444218041613,0.7150344977178548,1.6413131074932181,1.2670005342115795
341,LG이노텍,전기전자,A011070,12,2020,Annual,6038600272.0,3161799525.0,1114217058,859393513,2367766837.0,6038600272.0,3610912435.0,2284222240,1001586395,1213528,701380708,2427687837.0,9541789541.0,8251449218.0,681019009,328462259,0,236127867,950268414,-826161591,-167157650,40.2,28.77,148.74,71.57,86.48,10.19,7.14,681019009.1,13.52,4.640962544596938,24.925692256577904,0.4490057711965534,76.05159907692463,-12.551973350786472,4.640962544596938,1.2544579919433474,11.63052384025589,39.48422642033358,10.118985218797484,19.640765927491376,42.965232982540805,130.81796661522702,23.56530959394798,133.16117109042307,-30.022813277096105,1.5801326650554623,3.9304021693296476,2.6424871034016086
342,LG이노텍,전기전자,A011070,12,2021,Annual,7741352841.0,4113364038.0,1895348989,1392013529,3146377616.0,7741352841.0,4427146647.0,3310267874,1565885273,1326387,615115344,3314206194.0,14945609219.0,12815071628.0,1264223241,408632896,0,888282436,1177629169,-1008293111,-309627952,42.81,19.42,133.58,45.36,85.74,30.94,8.46,1264223241.0,14.26,28.197802343291123,30.095662469302198,70.10590309953773,61.97626674428947,32.88376063187508,28.197802343291123,22.60465261046962,44.918818144420136,56.34050949743581,36.51698309348988,56.63318871979299,85.6369975423109,276.1870410661864,23.925950989253874,22.04550804395844,85.23109890573359,1.9306198187795534,4.509559256167391,3.3759010962800846
