,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%)
699,대유플러스,전기전자,A000300,12,2023,Annual,56615116,30556396,4269837,4548590,7763208,56615116,183494427,179595455,24509994,31667237,820476,-126879312,35279150,38828741,-32791327,1263801,105600,-169047672,-59628262,35271754,-20647850,0,110.2,8000,4500,110.06,-3000,-92.95,-32791327.06,-10.06
2002,에이프로젠,기계,A007460,12,2021,Annual,477646399,103099363,1566775,23257263,314479014,477646399,478452841,421928721,3919926,398613005,31046117,-806443,26295794,26743073,-94636241,32780103,0,-119229370,-84739870,-12790367,110397761,0,94.71,8000,4500,101.7,-34.6,-359.89,-94636240.56,-1.7
3296,성안머티리얼스,섬유의복,A011300,12,2020,Annual,244986458,105146184,25484400,53588595,108941679,244986458,245341868,180882121,12855194,143469296,21756590,-355410,128021963,135567320,-27273420,1514490,2956,-48145318,-15700370,5610793,8340874,0,78.01,8000,4500,105.89,-122.01,-21.3,-27273419.52,-5.89
100,주성코퍼레이션,전기전자,A109070,12,2019,Annual,27113647,15119474,3565807,3504771,2121841,27113647,30562180,29402606,5745987,888570,268000,-3448533,45782646,44090641,-6005088,182914,32585,-16210212,-5274630,2568350,6699563,0,58.74,8000,4500,96.3,-335.94,-13.12,-6005088.33,3.7
2544,태영건설,건설업,A009410,12,2023,Annual,5281235960,2909100838,371513365,626865718,152564938,5281235960,5842979816,4537618397,18111,889089444,610887044,-561743856,3371117790,3077727858,-45110973,40353429,0,-1579398502,-328470855,-426455435,656235524,0,54.15,8000,4500,91.3,-691.28,-1.34,-45110972.55,8.7
1206,흥아해운,운수창고업,A003280,12,2020,Annual,286775958,59094649,1596076,7553389,179753596,286775958,313059823,152820982,11344824,12525452,0,-26283865,88938838,81592856,-5797543,0,22015,-50876456,-3958237,46645702,-51848355,0,87.97,8000,4500,91.74,-2195.07,-6.52,-5797542.98,8.26
2439,카프로,화학,A006380,12,2023,Annual,216804584,31567356,1372313,5087388,184787911,216804584,240136624,197345540,609987,121500000,0,-23332040,75594417,110086286,-39471838,0,0,-49109418,880729,16822633,-8318908,0,86.15,8000,4500,145.63,-3002.99,-52.22,-39471837.75,-45.63
3429,효성화학,화학,A298000,12,2023,Annual,3115610853,699213881,211504170,368537392,2325526240,3115610853,3053727221,2147489075,275012000,689016908,576502829,61883631,2791629367,2869422978,-188836197,20245427,732000,-346912679,77413786,-151159297,28893012,1.99,79.67,4934.63,4011.23,102.79,-393.1,-6.76,-188836196.8,-2.79
2595,페이퍼코리아,종이목재,A001020,12,2019,Annual,627860659,372899056,31859243,289856977,235715988,627860659,614819433,335353963,28621526,56117692,261867207,13041225,265642044,233892232,-1298140,29134,2354230,-27833230,-13028091,-14228235,29616941,2.08,68.16,4714.43,3281.36,88.05,-136.13,-0.49,-1298140.09,11.95
1024,한창,유통업,A005110,12,2023,Annual,90310468,62137207,12439161,7783065,3506432,90310468,89140438,86558354,4302741,22005487,102440,1170030,66291757,46519159,238217,815975,236542,-31237652,-4243569,-10614749,22273622,1.3,32.15,7618.65,2481.66,70.17,-254.81,0.36,238216.78,29.83
