,종목명,회계년,연구개발비/매출액(%),광고선전비/매출액(%)
0,AK홀딩스,2019,0.5134476400723277,1.695634360029768
1,AK홀딩스,2020,0.7286702292233443,2.4974291207748966
2,AK홀딩스,2021,0.5863593471771483,2.2278887127269855
3,AK홀딩스,2022,0.6046506530360259,2.0185211017765656
4,AK홀딩스,2023,0.5599703594657204,2.043807233088978
5,BYC,2019,0.0,0.8935715425588306
6,BYC,2020,0.0,0.6722416275795358
7,BYC,2021,0.0,0.6121435905234581
8,BYC,2022,0.0,0.6436715174605058
9,BYC,2023,0.0,0.7321477684489364
10,CJ,2019,0.14179317918597442,1.9180138756838432
11,CJ,2020,0.15150156890427782,1.8791318056507391
12,CJ,2021,0.16680599323261963,2.1439061759284135
13,CJ,2022,0.1920591592106667,2.0933970063003513
14,CJ,2023,0.15155470609075766,1.9496575552719682
15,CJ대한통운,2019,0.0,0.16437736383528334
16,CJ대한통운,2020,0.0,0.10751239493544049
17,CJ대한통운,2021,0.0,0.10132390535093917
18,CJ대한통운,2022,0.0,0.09830231855009017
19,CJ대한통운,2023,0.0,0.11905452582436375
20,CJ씨푸드,2019,0.0,0.0
21,CJ씨푸드,2020,0.0,0.0
22,CJ씨푸드,2021,0.0,0.0
23,CJ씨푸드,2022,0.0,0.0
24,CJ씨푸드,2023,0.0,0.0
25,CJ제일제당,2019,0.14770889024565476,0.4701706711694435
26,CJ제일제당,2020,0.1645895139187819,0.4819712087302331
27,CJ제일제당,2021,0.18520691985147728,0.6692598145498049
28,CJ제일제당,2022,0.2122080225940769,0.8113051697955374
29,CJ제일제당,2023,0.17169779149533548,0.7071349994657525
30,CS홀딩스,2019,0.07856176229896925,0.012512269811243282
31,CS홀딩스,2020,0.12524662028181496,0.007492569438164024
32,CS홀딩스,2021,0.07887725634504607,0.0061055998361945986
33,CS홀딩스,2022,0.0636208462758178,0.005434582540645029
34,CS홀딩스,2023,0.052205317772359115,0.0049905434377319514
