,종목명,회계년,총자본회전율(회),총부채회전율(회),총자산회전율(회)
598,대구백화점,2022,0.31,0.32,0.16
599,대구백화점,2023,0.32,0.27,0.14
600,대동,2019,3.82,1.43,1.04
601,대동,2020,3.27,1.47,1.01
602,대동,2021,3.30,1.59,1.07
603,대동,2022,3.41,1.38,0.98
604,대동,2023,2.73,1.09,0.78
605,대림B&Co,2019,1.48,1.62,0.77
606,대림B&Co,2020,1.46,1.46,0.73
607,대림B&Co,2021,1.65,1.54,0.80
608,대림B&Co,2022,1.61,1.45,0.76
609,대림B&Co,2023,1.67,1.45,0.78
610,DL,2019,0.26,0.25,0.13
611,DL,2020,0.31,0.18,0.11
612,DL,2021,0.62,0.33,0.21
613,DL,2022,1.15,0.92,0.51
614,DL,2023,1.10,0.67,0.42
615,대림통상,2019,1.85,2.04,0.97
616,대림통상,2020,1.86,1.83,0.92
617,대림통상,2021,2.03,1.80,0.95
618,대림통상,2022,2.23,1.92,1.03
619,대림통상,2023,1.93,1.47,0.84
620,대상,2019,3.05,2.24,1.29
621,대상,2020,2.94,2.22,1.27
622,대상,2021,2.95,2.28,1.29
623,대상,2022,3.18,2.34,1.35
624,대상,2023,3.08,2.13,1.26
625,대상홀딩스,2019,3.09,2.21,1.29
626,대상홀딩스,2020,2.97,2.19,1.26
627,대상홀딩스,2021,2.99,2.17,1.26
628,대상홀딩스,2022,3.43,2.27,1.37
629,대상홀딩스,2023,3.35,2.09,1.29
630,대성홀딩스,2019,1.71,1.56,0.82
631,대성홀딩스,2020,1.58,1.48,0.76
632,대성홀딩스,2021,1.59,1.51,0.77
633,대성홀딩스,2022,2.09,1.75,0.95
634,대성홀딩스,2023,2.09,1.65,0.92
635,대양금속,2019,3.08,3.59,1.66
636,대양금속,2020,1.97,4.37,1.36
637,대양금속,2021,2.32,4.13,1.49
638,대양금속,2022,1.86,1.79,0.91
639,대양금속,2023,1.48,1.44,0.73
640,대영포장,2019,1.86,3.86,1.25
641,대영포장,2020,1.71,4.50,1.24
642,대영포장,2021,1.84,4.45,1.30
643,대영포장,2022,1.81,3.80,1.23
644,대영포장,2023,1.66,4.47,1.21
645,대우건설,2019,3.60,1.27,0.94
646,대우건설,2020,3.15,1.18,0.86
647,대우건설,2021,2.95,1.25,0.88
648,대우건설,2022,3.00,1.42,0.96
649,대우건설,2023,2.99,1.60,1.04
650,대우부품,2019,1.40,1.48,0.72
651,대우부품,2020,2.11,1.56,0.90
652,대우부품,2021,2.84,1.70,1.06
653,대우부품,2022,3.32,1.61,1.08
654,대우부품,2023,4.24,1.72,1.22
655,한화오션,2019,2.20,1.07,0.72
656,한화오션,2020,1.84,1.01,0.65
657,한화오션,2021,1.47,0.60,0.43
658,한화오션,2022,3.28,0.49,0.43
659,한화오션,2023,2.93,0.70,0.57
660,대웅,2019,1.38,2.13,0.84
661,대웅,2020,1.27,1.97,0.77
662,대웅,2021,1.33,2.02,0.80
663,대웅,2022,1.40,2.05,0.83
664,대웅,2023,1.34,2.01,0.80
665,대웅제약,2019,1.79,1.84,0.91
666,대웅제약,2020,1.59,1.65,0.81
667,대웅제약,2021,1.66,1.67,0.83
668,대웅제약,2022,1.78,1.67,0.86
669,대웅제약,2023,1.66,1.64,0.83
670,대원강업,2019,1.66,1.97,0.90
671,대원강업,2020,1.49,1.90,0.83
672,대원강업,2021,1.50,2.02,0.86
673,대원강업,2022,1.74,2.50,1.03
674,대원강업,2023,1.82,2.70,1.09
675,대원전선,2019,4.96,3.66,2.11
676,대원전선,2020,4.43,3.40,1.93
677,대원전선,2021,5.49,3.66,2.20
678,대원전선,2022,6.28,3.66,2.31
679,대원전선,2023,5.37,3.57,2.14
680,대원제약,2019,1.64,2.95,1.05
681,대원제약,2020,1.48,2.51,0.93
682,대원제약,2021,1.64,2.12,0.93
683,대원제약,2022,2.05,2.30,1.08
684,대원제약,2023,2.05,2.35,1.10
685,대원화성,2019,1.74,2.59,1.04
686,대원화성,2020,1.40,2.08,0.84
687,대원화성,2021,1.54,1.91,0.85
688,대원화성,2022,2.20,2.20,1.10
689,대원화성,2023,2.12,1.59,0.91
690,대유에이텍,2019,6.32,1.61,1.28
691,대유에이텍,2020,6.17,1.62,1.28
692,대유에이텍,2021,7.32,1.53,1.26
693,대유에이텍,2022,2.34,0.44,0.37
694,대유에이텍,2023,4.12,0.79,0.66
695,대유플러스,2019,3.06,0.51,0.44
696,대유플러스,2020,3.21,0.71,0.58
697,대유플러스,2021,3.58,1.15,0.87
698,대유플러스,2022,0.40,0.11,0.09
699,대유플러스,2023,완전잠식,0.11,0.12
700,대창,2019,4.17,2.52,1.57
701,대창,2020,4.28,2.46,1.56
702,대창,2021,5.16,2.73,1.79
703,대창,2022,5.23,2.62,1.75
704,대창,2023,5.02,2.47,1.65
705,대창단조,2019,1.49,5.79,1.19
706,대창단조,2020,1.36,5.39,1.09
707,대창단조,2021,1.67,5.84,1.30
708,대창단조,2022,1.80,5.04,1.32
709,대창단조,2023,1.45,4.71,1.11
710,대한방직,2019,1.03,1.93,0.67
711,대한방직,2020,1.34,2.35,0.85
712,대한방직,2021,1.45,2.35,0.90
713,대한방직,2022,1.39,2.27,0.86
714,대한방직,2023,1.12,2.39,0.76
715,대한유화,2019,1.19,7.82,1.03
716,대한유화,2020,1.03,7.82,0.91
717,대한유화,2021,1.28,7.36,1.09
718,대한유화,2022,1.14,5.67,0.95
719,대한유화,2023,1.36,7.09,1.14
720,대한전선,2019,4.90,1.75,1.29
721,대한전선,2020,4.75,1.81,1.31
722,대한전선,2021,5.35,2.13,1.52
723,대한전선,2022,3.86,2.77,1.61
724,대한전선,2023,3.10,3.42,1.63
725,대한제강,2019,2.28,5.17,1.58
726,대한제강,2020,2.17,3.85,1.39
727,대한제강,2021,3.20,4.47,1.86
728,대한제강,2022,2.82,4.58,1.75
729,대한제강,2023,1.76,4.17,1.24
730,대한제당,2019,2.63,1.77,1.06
731,대한제당,2020,2.58,1.80,1.06
732,대한제당,2021,2.55,1.88,1.08
733,대한제당,2022,2.63,2.04,1.15
734,대한제당,2023,2.44,2.03,1.11
735,대한제분,2019,1.24,4.49,0.97
736,대한제분,2020,1.26,3.53,0.93
737,대한제분,2021,1.34,2.98,0.92
738,대한제분,2022,1.52,3.26,1.04
739,대한제분,2023,1.51,3.57,1.06
740,대한항공,2019,4.17,0.53,0.47
741,대한항공,2020,2.50,0.33,0.29
742,대한항공,2021,1.77,0.43,0.35
743,대한항공,2022,1.74,0.71,0.51
744,대한항공,2023,1.69,0.80,0.54
745,대한화섬,2019,0.22,1.42,0.19
746,대한화섬,2020,0.15,0.91,0.13
747,대한화섬,2021,0.17,0.84,0.14
748,대한화섬,2022,0.21,1.05,0.17
749,대한화섬,2023,0.19,1.01,0.16
750,대현,2019,1.56,4.35,1.15
751,대현,2020,1.26,4.45,0.98
752,대현,2021,1.36,5.31,1.08
753,대현,2022,1.38,5.60,1.11
754,대현,2023,1.17,5.68,0.97
755,대호에이엘,2019,4.23,2.06,1.39
756,대호에이엘,2020,4.52,1.89,1.33
757,대호에이엘,2021,2.97,1.92,1.16
758,대호에이엘,2022,2.45,2.22,1.17
759,대호에이엘,2023,2.17,2.75,1.21
760,더존비즈온,2019,0.96,1.14,0.52
761,더존비즈온,2020,0.81,0.80,0.40
762,더존비즈온,2021,0.71,0.79,0.37
763,더존비즈온,2022,0.65,0.77,0.35
764,더존비즈온,2023,0.80,0.85,0.41
765,덕성,2019,1.38,2.24,0.85
766,덕성,2020,1.82,2.99,1.13
767,덕성,2021,1.52,2.91,1.00
768,덕성,2022,1.58,3.25,1.06
769,덕성,2023,1.28,2.61,0.86
770,덕양산업,2019,19.44,3.03,2.62
771,덕양산업,2020,21.84,2.86,2.53
772,덕양산업,2021,22.55,2.94,2.60
773,덕양산업,2022,20.26,3.46,2.95
774,덕양산업,2023,20.90,4.10,3.43
775,케이비아이동국실업,2019,3.46,1.59,1.09
776,케이비아이동국실업,2020,3.07,1.36,0.94
777,케이비아이동국실업,2021,3.07,1.31,0.92
778,케이비아이동국실업,2022,3.50,1.59,1.10
779,케이비아이동국실업,2023,3.45,1.62,1.10
780,하이스틸,2019,1.67,2.03,0.92
781,하이스틸,2020,1.27,1.47,0.68
782,하이스틸,2021,1.71,1.92,0.91
783,하이스틸,2022,2.21,2.38,1.15
784,하이스틸,2023,1.72,1.94,0.91
785,하이트진로,2019,1.85,0.90,0.61
786,하이트진로,2020,2.14,1.01,0.69
787,하이트진로,2021,2.03,0.93,0.64
788,하이트진로,2022,2.22,1.06,0.72
789,하이트진로,2023,2.21,1.14,0.75
790,하이트진로홀딩스,2019,1.95,0.71,0.52
791,하이트진로홀딩스,2020,2.20,0.79,0.58
792,하이트진로홀딩스,2021,2.04,0.73,0.54
793,하이트진로홀딩스,2022,2.21,0.84,0.61
794,하이트진로홀딩스,2023,2.21,0.89,0.63
795,한국가스공사,2019,3.00,0.80,0.63
796,한국가스공사,2020,2.62,0.70,0.55
797,한국가스공사,2021,3.27,0.88,0.69
798,한국가스공사,2022,5.30,1.20,0.98
799,한국가스공사,2023,4.40,0.90,0.74
800,한국공항,2019,1.57,4.08,1.13
801,한국공항,2020,1.02,2.06,0.68
802,한국공항,2021,1.23,2.80,0.85
803,한국공항,2022,1.27,4.56,1.00
804,한국공항,2023,1.58,5.18,1.21
805,한국내화,2019,1.65,3.09,1.08
806,한국내화,2020,1.43,3.20,0.99
807,한국내화,2021,1.37,3.34,0.97
808,한국내화,2022,1.51,3.42,1.05
809,한국내화,2023,1.93,3.53,1.25
810,한국단자,2019,1.10,4.48,0.88
811,한국단자,2020,1.09,4.05,0.86
812,한국단자,2021,1.20,3.82,0.91
813,한국단자,2022,1.36,3.33,0.97
814,한국단자,2023,1.44,2.84,0.96
815,한국석유,2019,3.39,3.09,1.62
816,한국석유,2020,3.42,2.96,1.59
817,한국석유,2021,4.22,3.49,1.91
818,한국석유,2022,4.71,4.03,2.17
819,한국석유,2023,3.98,3.77,1.94
820,한국수출포장,2019,1.13,4.27,0.89
821,한국수출포장,2020,1.06,4.53,0.86
822,한국수출포장,2021,1.24,5.11,1.00
823,한국수출포장,2022,1.25,5.13,1.01
824,한국수출포장,2023,1.08,4.96,0.89
825,한국쉘석유,2019,2.15,4.80,1.48
826,한국쉘석유,2020,2.04,4.28,1.38
827,한국쉘석유,2021,2.32,4.53,1.54
828,한국쉘석유,2022,2.71,5.22,1.78
829,한국쉘석유,2023,2.68,5.27,1.78
830,한국전력,2019,0.85,0.49,0.31
831,한국전력,2020,0.84,0.45,0.29
832,한국전력,2021,0.89,0.44,0.29
833,한국전력,2022,1.33,0.42,0.32
834,한국전력,2023,2.23,0.45,0.37
835,한국전자홀딩스,2019,0.86,1.58,0.56
836,한국전자홀딩스,2020,0.98,1.26,0.55
837,한국전자홀딩스,2021,1.28,1.85,0.76
838,한국전자홀딩스,2022,0.99,2.34,0.69
839,한국전자홀딩스,2023,0.73,2.22,0.55
840,한국주강,2019,0.94,2.30,0.67
841,한국주강,2020,1.09,2.07,0.71
842,한국주강,2021,1.56,2.35,0.94
843,한국주강,2022,1.88,2.69,1.11
844,한국주강,2023,1.72,3.65,1.17
845,한국주철관,2019,1.60,5.41,1.23
846,한국주철관,2020,1.17,4.33,0.92
847,한국주철관,2021,1.62,6.83,1.31
848,한국주철관,2022,1.39,6.45,1.14
849,한국주철관,2023,1.29,6.15,1.06
850,한국철강,2019,1.00,4.23,0.81
851,한국철강,2020,0.89,3.96,0.73
852,한국철강,2021,1.25,4.95,1.00
853,한국철강,2022,1.40,6.32,1.15
854,한국철강,2023,1.10,6.69,0.94
855,한국카본,2019,0.89,3.87,0.72
856,한국카본,2020,1.19,4.51,0.94
857,한국카본,2021,0.96,3.55,0.75
858,한국카본,2022,0.93,2.54,0.68
859,한국카본,2023,1.38,2.29,0.86
860,한국앤컴퍼니,2019,0.26,3.61,0.24
861,한국앤컴퍼니,2020,0.24,3.24,0.22
862,한국앤컴퍼니,2021,0.27,3.02,0.24
863,한국앤컴퍼니,2022,0.29,2.77,0.26
864,한국앤컴퍼니,2023,0.28,2.04,0.24
865,한국특강,2019,4.71,1.59,1.19
866,한국특강,2020,4.81,1.67,1.24
867,한국특강,2021,5.73,2.44,1.71
868,한국특강,2022,4.69,2.39,1.58
869,한국특강,2023,3.90,2.43,1.50
870,한국무브넥스,2019,4.25,2.26,1.48
871,한국무브넥스,2020,3.79,2.06,1.34
872,한국무브넥스,2021,4.02,2.31,1.47
873,한국무브넥스,2022,4.86,2.93,1.83
874,한국무브넥스,2023,4.70,2.93,1.80
875,한국화장품제조,2019,1.56,2.65,0.98
876,한국화장품제조,2020,1.34,1.78,0.77
877,한국화장품제조,2021,1.55,2.03,0.88
878,한국화장품제조,2022,2.30,3.01,1.30
879,한국화장품제조,2023,2.19,3.04,1.27
880,한농화성,2019,1.76,4.39,1.26
881,한농화성,2020,1.66,4.98,1.24
882,한농화성,2021,1.76,4.47,1.26
883,한농화성,2022,1.59,3.37,1.08
884,한농화성,2023,1.35,2.88,0.92
885,한독,2019,1.44,1.27,0.68
886,한독,2020,1.39,1.20,0.64
887,한독,2021,1.35,1.16,0.62
888,한독,2022,1.42,1.15,0.63
889,한독,2023,1.45,1.11,0.63
890,한미글로벌,2019,2.59,3.17,1.43
891,한미글로벌,2020,1.84,2.75,1.10
892,한미글로벌,2021,1.98,2.34,1.07
893,한미글로벌,2022,2.21,2.34,1.14
894,한미글로벌,2023,2.08,2.21,1.07
895,한미반도체,2019,0.55,3.53,0.48
896,한미반도체,2020,1.08,4.78,0.88
897,한미반도체,2021,1.24,4.90,0.99
898,한미반도체,2022,0.89,4.43,0.74
899,한미반도체,2023,0.33,1.46,0.27
900,한미사이언스,2019,1.26,3.09,0.89
901,한미사이언스,2020,1.31,3.24,0.93
902,한미사이언스,2021,1.41,3.63,1.01
903,한미사이언스,2022,1.48,3.25,1.02
904,한미사이언스,2023,1.65,3.03,1.07
905,한샘,2019,2.86,3.56,1.59
906,한샘,2020,3.33,3.47,1.70
907,한샘,2021,3.57,3.64,1.80
908,한샘,2022,3.75,3.13,1.71
909,한샘,2023,4.99,2.89,1.83
910,한섬,2019,1.24,4.50,0.97
911,한섬,2020,1.10,4.05,0.87
912,한섬,2021,1.17,4.41,0.93
913,한섬,2022,1.20,4.64,0.95
914,한섬,2023,1.12,4.51,0.90
915,한성기업,2019,5.20,1.53,1.19
916,한성기업,2020,5.30,1.62,1.24
917,한성기업,2021,5.29,1.67,1.27
918,한성기업,2022,6.03,1.73,1.34
919,한성기업,2023,6.18,1.77,1.38
920,한세실업,2019,3.41,2.30,1.37
921,한세실업,2020,3.88,2.57,1.54
922,한세실업,2021,3.78,2.47,1.49
923,한세실업,2022,4.40,3.03,1.80
924,한세실업,2023,2.89,2.64,1.38
925,한세예스24홀딩스,2019,4.51,2.49,1.61
926,한세예스24홀딩스,2020,4.17,2.51,1.57
927,한세예스24홀딩스,2021,3.30,2.35,1.37
928,한세예스24홀딩스,2022,3.73,2.66,1.55
929,한세예스24홀딩스,2023,3.10,2.32,1.33
930,한솔로지스틱스,2019,8.92,4.84,3.14
931,한솔로지스틱스,2020,10.02,3.90,2.81
932,한솔로지스틱스,2021,11.21,4.54,3.23
933,한솔로지스틱스,2022,11.21,5.64,3.75
934,한솔로지스틱스,2023,6.58,4.86,2.80
935,한솔케미칼,2019,1.12,1.43,0.63
936,한솔케미칼,2020,1.08,1.56,0.64
937,한솔케미칼,2021,1.11,1.91,0.70
938,한솔케미칼,2022,1.09,2.13,0.72
939,한솔케미칼,2023,0.86,1.90,0.59
940,한솔테크닉스,2019,4.19,3.57,1.93
941,한솔테크닉스,2020,4.42,4.38,2.20
942,한솔테크닉스,2021,5.35,3.62,2.16
943,한솔테크닉스,2022,3.79,2.38,1.46
944,한솔테크닉스,2023,2.85,2.34,1.29
945,한솔PNS,2019,5.88,4.06,2.40
946,한솔PNS,2020,5.78,3.89,2.33
947,한솔PNS,2021,5.61,4.27,2.43
948,한솔PNS,2022,6.21,4.38,2.57
949,한솔PNS,2023,6.42,3.83,2.40
950,한솔홀딩스,2019,0.78,0.62,0.34
951,한솔홀딩스,2020,0.73,2.31,0.56
952,한솔홀딩스,2021,0.77,4.03,0.65
953,한솔홀딩스,2022,0.81,4.06,0.68
954,한솔홀딩스,2023,0.74,3.52,0.61
955,한솔홈데코,2019,1.67,1.83,0.87
956,한솔홈데코,2020,1.64,1.80,0.86
957,한솔홈데코,2021,1.67,1.78,0.86
958,한솔홈데코,2022,1.81,1.77,0.89
959,한솔홈데코,2023,2.05,1.77,0.95
960,한신공영,2019,3.38,1.31,0.95
961,한신공영,2020,2.74,1.38,0.92
962,한신공영,2021,2.02,1.03,0.68
963,한신공영,2022,1.74,0.80,0.55
964,한신공영,2023,1.77,0.78,0.54
965,한신기계,2019,0.66,4.43,0.57
966,한신기계,2020,0.63,3.99,0.55
967,한신기계,2021,0.65,3.89,0.55
968,한신기계,2022,0.63,2.96,0.52
969,한신기계,2023,0.62,2.37,0.49
970,한온시스템,2019,3.20,1.80,1.15
971,한온시스템,2020,3.00,1.33,0.92
972,한온시스템,2021,3.12,1.30,0.92
973,한온시스템,2022,3.56,1.38,1.00
974,한온시스템,2023,3.92,1.42,1.04
975,한올바이오파마,2019,0.84,2.25,0.61
976,한올바이오파마,2020,0.55,1.97,0.43
977,한올바이오파마,2021,0.59,2.75,0.49
978,한올바이오파마,2022,0.66,2.74,0.53
979,한올바이오파마,2023,0.76,2.73,0.60
980,한익스프레스,2019,8.31,3.43,2.43
981,한익스프레스,2020,8.76,2.82,2.13
982,한익스프레스,2021,10.92,2.91,2.30
983,한익스프레스,2022,9.60,2.84,2.19
984,한익스프레스,2023,7.04,2.07,1.60
985,한일시멘트,2019,1.08,1.90,0.69
986,한일시멘트,2020,0.87,1.27,0.52
987,한일시멘트,2021,0.90,1.30,0.53
988,한일시멘트,2022,0.98,1.65,0.62
989,한일시멘트,2023,1.09,1.77,0.68
990,한일철강,2019,1.11,1.08,0.55
991,한일철강,2020,1.06,0.99,0.51
992,한일철강,2021,1.52,1.62,0.78
993,한일철강,2022,1.45,1.57,0.75
994,한일철강,2023,1.24,1.34,0.65
995,한전KPS,2019,1.22,4.21,0.94
996,한전KPS,2020,1.23,4.39,0.96
997,한전KPS,2021,1.28,4.50,0.99
998,한전KPS,2022,1.23,4.32,0.96
999,한전KPS,2023,1.23,4.57,0.97
1000,한전기술,2019,0.94,1.62,0.60
1001,한전기술,2020,0.87,1.94,0.60
1002,한전기술,2021,0.86,2.20,0.62
1003,한전기술,2022,0.96,2.17,0.66
1004,한전기술,2023,1.00,1.88,0.65
1005,한진,2019,1.94,1.01,0.66
1006,한진,2020,1.93,0.88,0.60
1007,한진,2021,1.92,0.99,0.65
1008,한진,2022,1.96,1.13,0.71
1009,한진,2023,1.83,1.08,0.68
1010,HJ중공업,2019,완전잠식,0.57,0.63
1011,HJ중공업,2020,6.00,0.83,0.73
1012,HJ중공업,2021,4.54,0.89,0.75
1013,HJ중공업,2022,4.38,0.86,0.72
1014,HJ중공업,2023,5.96,0.91,0.79
1015,한진중공업홀딩스,2019,2.41,0.58,0.47
1016,한진중공업홀딩스,2020,2.22,0.53,0.43
1017,한진중공업홀딩스,2021,2.52,0.60,0.48
1018,한진중공업홀딩스,2022,4.03,0.92,0.75
1019,한진중공업홀딩스,2023,3.38,0.79,0.64
1020,한창,2019,2.03,0.87,0.61
1021,한창,2020,0.78,0.35,0.24
1022,한창,2021,0.94,0.40,0.28
1023,한창,2022,2.96,0.95,0.72
1024,한창,2023,5.41,0.74,0.65
1025,한창제지,2019,2.23,2.22,1.11
1026,한창제지,2020,1.90,1.99,0.97
1027,한창제지,2021,1.79,1.61,0.85
1028,한창제지,2022,1.96,1.37,0.81
1029,한창제지,2023,2.74,1.49,0.97
1030,한화,2019,2.86,0.32,0.29
1031,한화,2020,2.83,0.30,0.27
1032,한화,2021,2.66,0.30,0.27
1033,한화,2022,1.85,0.29,0.25
1034,한화,2023,1.60,0.31,0.26
1035,한화솔루션,2019,1.57,1.00,0.61
1036,한화솔루션,2020,1.56,0.97,0.60
1037,한화솔루션,2021,1.51,1.02,0.61
1038,한화솔루션,2022,1.45,1.02,0.60
1039,한화솔루션,2023,1.41,0.90,0.55
1040,한화에어로스페이스,2019,1.92,0.99,0.65
1041,한화에어로스페이스,2020,1.82,0.86,0.59
1042,한화에어로스페이스,2021,1.60,0.82,0.54
1043,한화에어로스페이스,2022,1.80,0.77,0.54
1044,한화에어로스페이스,2023,2.18,0.72,0.54
1045,HDC현대EP,2019,2.95,2.87,1.46
1046,HDC현대EP,2020,2.39,2.78,1.29
1047,HDC현대EP,2021,2.86,3.39,1.55
1048,HDC현대EP,2022,3.34,3.68,1.75
1049,HDC현대EP,2023,3.20,3.49,1.67
1050,현대건설,2019,2.03,1.79,0.95
1051,현대건설,2020,1.94,1.82,0.94
1052,현대건설,2021,1.99,1.86,0.96
1053,현대건설,2022,2.19,2.00,1.05
1054,현대건설,2023,2.91,2.45,1.33
1055,현대글로비스,2019,4.09,3.70,1.94
1056,현대글로비스,2020,3.39,2.93,1.57
1057,현대글로비스,2021,4.00,3.57,1.89
1058,현대글로비스,2022,4.25,4.04,2.07
1059,현대글로비스,2023,3.50,3.69,1.80
1060,현대리바트,2019,2.73,4.70,1.73
1061,현대리바트,2020,2.95,4.49,1.78
1062,현대리바트,2021,2.90,4.04,1.69
1063,현대리바트,2022,3.22,3.79,1.74
1064,현대리바트,2023,3.77,3.47,1.81
1065,현대모비스,2019,1.21,2.86,0.85
1066,현대모비스,2020,1.11,2.49,0.77
1067,현대모비스,2021,1.21,2.67,0.83
1068,현대모비스,2022,1.42,3.08,0.97
1069,현대모비스,2023,1.51,3.34,1.04
1070,HD현대미포,2019,1.28,2.76,0.87
1071,HD현대미포,2020,1.18,2.47,0.80
1072,HD현대미포,2021,1.26,1.99,0.77
1073,HD현대미포,2022,1.70,1.75,0.86
1074,HD현대미포,2023,1.93,1.48,0.84
1075,현대백화점,2019,0.45,0.92,0.30
1076,현대백화점,2020,0.45,0.72,0.28
1077,현대백화점,2021,0.70,0.96,0.40
1078,현대백화점,2022,0.87,1.06,0.48
1079,현대백화점,2023,0.67,0.76,0.35
1080,현대비앤지스틸,2019,1.87,3.42,1.21
1081,현대비앤지스틸,2020,1.64,3.20,1.08
1082,현대비앤지스틸,2021,1.85,3.49,1.21
1083,현대비앤지스틸,2022,2.51,4.24,1.58
1084,현대비앤지스틸,2023,2.05,3.31,1.27
1085,HDC현대산업개발,2019,2.07,1.62,0.91
1086,HDC현대산업개발,2020,1.48,1.32,0.70
1087,HDC현대산업개발,2021,1.20,0.95,0.53
1088,HDC현대산업개발,2022,1.14,0.81,0.47
1089,HDC현대산업개발,2023,1.42,0.99,0.58
1090,HMM,2019,5.18,1.20,0.98
1091,HMM,2020,4.62,0.93,0.78
1092,HMM,2021,2.29,1.81,1.01
1093,HMM,2022,1.19,2.90,0.85
1094,HMM,2023,0.40,1.76,0.32
1095,한일현대시멘트,2019,2.02,1.06,0.69
1096,한일현대시멘트,2020,1.45,1.01,0.60
1097,한일현대시멘트,2021,1.37,1.37,0.68
1098,한일현대시멘트,2022,1.37,1.69,0.76
1099,한일현대시멘트,2023,1.34,1.38,0.68
1100,현대약품,2019,1.57,2.23,0.92
1101,현대약품,2020,1.53,2.04,0.88
1102,현대약품,2021,1.58,1.93,0.87
1103,현대약품,2022,1.88,1.89,0.94
1104,현대약품,2023,2.11,2.20,1.08
1105,현대엘리베이,2019,1.99,1.23,0.76
1106,현대엘리베이,2020,1.85,1.14,0.70
1107,현대엘리베이,2021,1.83,1.14,0.70
1108,현대엘리베이,2022,1.85,1.15,0.71
1109,현대엘리베이,2023,2.05,1.30,0.79
1110,현대차,2019,1.41,0.94,0.56
1111,현대차,2020,1.36,0.83,0.52
1112,현대차,2021,1.48,0.83,0.53
1113,현대차,2022,1.64,0.90,0.58
1114,현대차,2023,1.69,0.94,0.60
1115,현대제철,2019,1.20,1.23,0.61
1116,현대제철,2020,1.06,1.02,0.52
1117,현대제철,2021,1.31,1.24,0.64
1118,현대제철,2022,1.46,1.50,0.74
1119,현대제철,2023,1.34,1.55,0.72
1120,현대코퍼레이션,2019,13.16,4.50,3.35
1121,현대코퍼레이션,2020,8.78,2.87,2.16
1122,현대코퍼레이션,2021,11.17,3.36,2.59
1123,현대코퍼레이션,2022,15.33,4.47,3.46
1124,현대코퍼레이션,2023,12.94,4.58,3.38
1125,형지엘리트,2019,2.52,2.26,1.19
1126,형지엘리트,2020,2.39,2.66,1.26
1127,형지엘리트,2021,2.24,2.18,1.11
1128,형지엘리트,2022,2.15,2.46,1.15
1129,형지엘리트,2023,1.37,1.95,0.81
1130,혜인,2019,2.79,2.01,1.17
1131,혜인,2020,2.25,1.87,1.02
1132,혜인,2021,2.06,2.04,1.03
1133,혜인,2022,1.70,1.58,0.82
1134,혜인,2023,2.48,2.03,1.12
1135,호텔신라,2019,6.79,2.76,1.96
1136,호텔신라,2020,4.13,1.31,0.99
1137,호텔신라,2021,6.29,1.74,1.36
1138,호텔신라,2022,8.82,2.20,1.76
1139,호텔신라,2023,6.22,1.49,1.20
1140,화성산업,2019,1.21,1.78,0.72
1141,화성산업,2020,1.10,1.96,0.70
1142,화성산업,2021,1.04,1.46,0.61
1143,화성산업,2022,1.67,1.66,0.83
1144,화성산업,2023,2.50,1.80,1.05
1145,화승인더,2019,3.53,1.96,1.26
1146,화승인더,2020,2.40,1.60,0.96
1147,화승인더,2021,2.16,1.51,0.89
1148,화승인더,2022,2.96,1.80,1.12
1149,화승인더,2023,2.30,1.36,0.85
1150,화신,2019,3.93,2.23,1.42
1151,화신,2020,3.91,2.02,1.33
1152,화신,2021,4.55,2.15,1.46
1153,화신,2022,5.24,2.75,1.80
1154,화신,2023,4.50,2.58,1.64
1155,화천기계,2019,1.28,4.46,1.00
1156,화천기계,2020,1.12,4.56,0.90
1157,화천기계,2021,1.43,6.23,1.16
1158,화천기계,2022,1.49,6.05,1.20
1159,화천기계,2023,1.22,5.18,0.98
1160,화천기공,2019,0.71,2.35,0.54
1161,화천기공,2020,0.55,2.02,0.43
1162,화천기공,2021,0.67,2.05,0.51
1163,화천기공,2022,0.75,1.99,0.54
1164,화천기공,2023,0.65,1.83,0.48
1165,환인제약,2019,0.60,5.44,0.54
1166,환인제약,2020,0.60,5.42,0.54
1167,환인제약,2021,0.58,5.16,0.52
1168,환인제약,2022,0.61,5.57,0.55
1169,환인제약,2023,0.67,5.87,0.60
1170,황금에스티,2019,0.88,1.99,0.61
1171,황금에스티,2020,0.82,1.86,0.57
1172,황금에스티,2021,0.85,2.17,0.61
1173,황금에스티,2022,0.94,3.21,0.73
1174,황금에스티,2023,0.92,3.21,0.71
1175,효성,2019,1.17,0.84,0.49
1176,효성,2020,0.99,0.91,0.47
1177,효성,2021,1.29,1.69,0.73
1178,효성,2022,1.26,1.60,0.71
1179,효성,2023,1.21,1.47,0.66
1180,효성ITX,2019,7.80,4.28,2.77
1181,효성ITX,2020,9.57,4.40,3.02
1182,효성ITX,2021,6.23,3.80,2.36
1183,효성ITX,2022,6.05,4.10,2.44
1184,효성ITX,2023,7.41,4.64,2.85
1185,후성,2019,1.02,1.03,0.51
1186,후성,2020,1.07,0.90,0.49
1187,후성,2021,1.44,1.21,0.66
1188,후성,2022,1.75,1.43,0.79
1189,후성,2023,1.40,1.01,0.59
1190,휴니드,2019,1.73,1.48,0.80
1191,휴니드,2020,1.71,1.47,0.79
1192,휴니드,2021,1.80,1.74,0.88
1193,휴니드,2022,1.60,1.51,0.78
1194,휴니드,2023,1.50,1.54,0.76
1195,휴스틸,2019,1.34,2.83,0.91
