,종목명,회계년,연구개발비/매출액(%),광고선전비/매출액(%)
0,AK홀딩스,2010,0.5445626535340202,0.09946705505385506
1,AK홀딩스,2011,1.8383330241935356,0.32244129427299567
2,AK홀딩스,2012,0.6136305431954524,0.169590747701574
3,AK홀딩스,2013,0.29482215476531376,0.19635233991169943
4,AK홀딩스,2014,0.33687498029163004,1.292957379831437
5,AK홀딩스,2015,0.34322481238926483,1.7976652243093256
6,AK홀딩스,2016,0.4678620255780811,1.828546203723981
7,AK홀딩스,2017,0.4143791918222955,1.8837037581222924
8,AK홀딩스,2018,0.4967256933536432,1.4113563126987538
9,BYC,2010,0.0,1.057934059960023
10,BYC,2011,0.0,0.9956355242098678
11,BYC,2012,0.0,1.0564300979183987
12,BYC,2013,0.0,1.0001578909638997
13,BYC,2014,0.0,1.305819160550155
14,BYC,2015,0.0,2.2735654310895144
15,BYC,2016,0.0,2.280175735762308
16,BYC,2017,0.0,2.404364615955827
17,BYC,2018,0.0,2.3482690744070376
18,CJ,2010,0.3340232992629305,2.516496388863598
19,CJ,2011,0.3189045132453371,2.929068866905794
20,CJ,2012,0.2696742714399865,2.4436416145635405
21,CJ,2013,0.24039999434187861,2.3059077177027576
22,CJ,2014,0.21677525535228778,2.2629300483292725
23,CJ,2015,0.2613232301491582,2.11773443328516
24,CJ,2016,0.2486450162068855,1.9351880813091054
25,CJ,2017,0.21467049223236062,1.9351040842752465
26,CJ,2018,0.16858073999814002,1.9109477501001466
27,CJ대한통운,2010,0.0008742470245099126,0.2528017313601387
28,CJ대한통운,2011,0.0,0.21402992349834393
29,CJ대한통운,2012,0.0,0.7360766850680558
30,CJ대한통운,2013,0.0,0.18266054065365647
31,CJ대한통운,2014,0.0,0.19535058045418408
32,CJ대한통운,2015,0.0,0.1376058829477518
33,CJ대한통운,2016,0.0,0.2000847872753809
34,CJ대한통운,2017,0.0,0.2749275311041367
35,CJ대한통운,2018,0.0,0.1932076935251473
36,CJ씨푸드,2010,0.0,0.009000507181010274
37,CJ씨푸드,2011,0.015470409629631617,0.3847402472548642
38,CJ씨푸드,2012,0.0,0.10462594180444737
39,CJ씨푸드,2013,0.0,0.004504228230041453
40,CJ씨푸드,2014,0.0,0.019083390624015168
41,CJ씨푸드,2015,0.0,0.01160857744325463
42,CJ씨푸드,2016,0.0,0.009197194774437
43,CJ씨푸드,2017,0.0,0.005865283797642485
44,CJ씨푸드,2018,0.0,0.0
45,CJ제일제당,2010,0.5262297964312188,1.178998506110332
46,CJ제일제당,2011,0.4989511901544907,1.1538228845911764
47,CJ제일제당,2012,0.3533330223926439,0.7169776588719822
48,CJ제일제당,2013,0.2938835917648674,0.5541559768410224
49,CJ제일제당,2014,0.25052005626840285,0.46446981554208144
50,CJ제일제당,2015,0.32424909925500367,0.4928734229609024
51,CJ제일제당,2016,0.3062328931410541,0.40991101778687894
52,CJ제일제당,2017,0.26251863298658323,0.43656105652335137
53,CJ제일제당,2018,0.1910251816063407,0.3762938043123178
54,CS홀딩스,2010,0.0,0.0013465981590937855
55,CS홀딩스,2011,0.006138862079128149,0.0032877663832200847
56,CS홀딩스,2012,0.0,0.00023796235150044443
57,CS홀딩스,2013,0.0,0.0019067015994019662
58,CS홀딩스,2014,0.0,0.039915979001108014
59,CS홀딩스,2015,0.0,0.00922064501988206
60,CS홀딩스,2016,0.0,0.024251093601376887
61,CS홀딩스,2017,0.027398353810408217,0.00967097983990089
62,CS홀딩스,2018,0.07332954938083712,0.014209609562213711
63,DB,2010,1.4197113237401042,0.0287839717267727
64,DB,2011,0.4305548449103712,0.056015232928185686
65,DB,2012,0.0,0.039032930467639594
66,DB,2013,0.0,0.05183964323640275
67,DB,2014,0.0,0.030778550648882977
68,DB,2015,0.0,0.022047299765504402
69,DB,2016,0.0,0.019205608195788596
70,DB,2017,0.0,1.7984295322504076
71,DB,2018,0.0,3.0096472800378296
72,DB하이텍,2010,12.694980297125635,0.0
73,DB하이텍,2011,0.0,0.0
74,DB하이텍,2012,8.694342379746505,0.0
75,DB하이텍,2013,8.994190905885253,0.0
76,DB하이텍,2014,7.3573470489825255,0.0
77,DB하이텍,2015,7.4116969019450485,0.0
78,DB하이텍,2016,6.950615346365778,0.0
79,DB하이텍,2017,8.007205790826292,0.0
80,DB하이텍,2018,7.89057915589946,0.0
81,DI동일,2010,0.0,0.6682309760150612
82,DI동일,2011,0.0,1.3872952317441103
83,DI동일,2012,0.0,1.3576578650442772
84,DI동일,2013,0.022829827067914515,1.1929865182860533
85,DI동일,2014,0.03529480537326033,1.216273976164743
86,DI동일,2015,0.04894641625052074,1.1074728493821753
87,DI동일,2016,0.07816350827884938,1.2441060329742473
88,DI동일,2017,0.06794707203142182,1.3306702570640105
89,DI동일,2018,0.04722510642861811,1.2891394725674774
90,DL,2010,0.0,0.3236940217435959
91,DL,2011,0.0,0.30858224942406753
92,DL,2012,0.0,0.09466176860043975
93,DL,2013,0.0,0.09652767343455895
