종목명,2011통합등급,2011환경,2011사회,2011지배구조,2012통합등급,2012환경,2012사회,2012지배구조,2013통합등급,2013환경,2013사회,2013지배구조,2014통합등급,2014환경,2014사회,2014지배구조,2015통합등급,2015환경,2015사회,2015지배구조,2016통합등급,2016환경,2016사회,2016지배구조,2017통합등급,2017환경,2017사회,2017지배구조,2018통합등급,2018환경,2018사회,2018지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2024통합등급,2024환경,2024사회,2024지배구조,종목코드,시장구분,업종명,시가총액
도레이케미칼,A,B,A,A,B이하,C,B+,B+,B이하,C,B+,B+,B+,B,B+,B+,B이하,C,B+,B+,B이하,C,B+,B+,B이하,C,B+,B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이비아이동국실업,,C,,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,B,B,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,1620,KOSPI,운수장비,64661251011.0
하이스틸,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,C,B,B,C,B,B+,C,D,C,B,C,C,C,C,C,C,C,C,71090,KOSPI,철강금속,65824195460.0
하이트론,,B,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,D,B,B+,C,D,C,B+,D,D,D,D,,,,,,,,,19490,KOSPI,전기전자,36143092216.0
하이트맥주,B이하,B+,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하이트진로,,B,,B+,B+,B+,B이하,B+,B+,B,B+,B+,B+,B+,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B+,B,B+,B+,B이하,C,B이하,B+,B,B,B,B,B+,B+,A,B,B,B,B+,B,B,A,A,C,B,A,A,C,80,KOSPI,음식료품,1476310000000.0
하이트진로홀딩스,,B+,,,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B,C,B,B,B+,B+,A,B,B,B,B+,B,B+,A,A,B,B+,A,A,B,140,KOSPI,기타금융,208861000000.0
한국가스공사,A,A,A,B+,B+,B+,B+,B+,B+,B+,A,B+,A,A,A,A,B+,B+,B+,A,B+,B+,B이하,A,B+,B+,B+,A,B+,B+,A,B+,A,B+,A+,B+,B+,B+,A,B+,B+,B+,A,B+,A,A,A+,B+,A,A,A+,B+,36460,KOSPI,전기가스업,2372440000000.0
한국개발금융,,B+,,,,B,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국공항,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B+,B이하,B이하,C,B+,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,B,B,B,D,B,B+,C,C,B+,C,B+,A,B,B+,B+,A,B,B+,5430,KOSPI,운수창고업,216262000000.0
한국금융지주,,A,,,B이하,A,B이하,B이하,B이하,A,B이하,B이하,B이하,A,B이하,B이하,B이하,A,B이하,B이하,B이하,A+,B이하,B이하,B이하,A,B이하,B이하,B이하,B+ 이하,B+,B이하,B,D,B+,B+,B+,C,A,B+,B,D,B+,B+,B+,C,B+,B+,B+,C,B+,B+,71050,KOSPI,기타금융,3672340000000.0
한국내화,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,C,C,B,D,B,B,B,B,C,C,B+,D,C,B+,B+,D,C,B+,B+,D,10040,KOSPI,비금속광물,114577000000.0
한국단자,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,C,C,B,B,C,C,C,B+,D,D,C,C,C,C,B,C,C,C,B,C,25540,KOSPI,전기전자,655104000000.0
한국석유,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,C,B,B+,B,B+,B+,B,D,B,B+,B+,B+,B+,B+,B+,B+,B+,B+,4090,KOSPI,비금속광물,203741000000.0
한국수출포장,,B,,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B,B,C,B,B,B,C,B+,D,C,D,D,D,C,D,D,D,C,D,D,2200,KOSPI,종이목재,105800000000.0
한국쉘석유,B이하,B,B이하,,B+,B,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B,C,B+,B,B,C,B+,B+,C,C,C,B,C,C,C,B+,C,C,C,B+,2960,KOSPI,화학,350350000000.0
한국유리공업,B이하,C,B이하,B이하,,,,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,,,,,,,,,,,,,,,,,,,,,,,,
한국저축은행,B이하,B+,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전력,A+,A,A+,,A,B+,A,A,A,B+,A,A,A,A,B+,A,B+,B+,B+,B+,B+,C,A+,B+,B+,B+,A,B+,A,B+,A,A,A,B+,A,A,B+,B+,B+,B+,B,B,B,B+,B+,B,A,A,B+,B,A,A,15760,KOSPI,전기가스업,13417000000000.0
한국전자홀딩스,B이하,B,B이하,,,B,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,C,B,C,B,B,B+,B,D,C,D,D,D,C,C,D,D,C,C,D,6200,KOSPI,기타금융,42731263168.0
한국제지,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B+,B,B+,B+,B+,B,B+,B+,B,B+,B,B,B,B,B,B,D,D,C,D,C,C,C,C,C,C,C,C,27970,KOSPI,종이목재,194743000000.0
한국주강,,B,,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,C,C,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,25890,KOSPI,기계,26859490125.0
한국주철관,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,D,B이하,B이하,C,C,C,B,C,C,C,B,D,C,C,D,D,C,D,D,D,C,D,D,970,KOSPI,철강금속,147063000000.0
한국철강,B+,B+,B+,,B+,B+,B+,B이하,B+,B+,B이하,B+,B+,B+,B이하,B+,B이하,B,B이하,B+,B이하,C,B+,B+,B+,B,B+,B+,B이하,B,B이하,B+,C,B+,B,C,B,B,B,B+,C,C,D,B,C,C,D,B,C,C,D,B,104700,KOSPI,철강금속,514494000000.0
한국카본,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B+,B,B,B+,B,B,B+,B,C,B+,A,D,B,B+,B+,C,B,B+,B+,C,17960,KOSPI,기계,573069000000.0
한국콜마홀딩스,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,
한국앤컴퍼니,B+,B+,B+,A,A,B+,A,A,A,B+,A,A,B+,B+,A,B+,B+,B,A,B+,A,A,A+,B+,B+,B+,A,B이하,B이하,C,A,B이하,B,B+,B+,B,A,B+,A+,B+,B,C,B,B+,B+,B+,A,B+,B+,B+,A,B+,240,KOSPI,기타금융,1471500000000.0
한국특강,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,,,,,,,,,B,B,B,B,C,C,B,B,D,C,C,D,C,C,C,C,C,C,C,C,7280,KOSPI,철강금속,104356000000.0
한국무브넥스,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B+,B이하,C,B이하,B+,C,B,B+,C,B,B,B+,B,D,D,C,C,C,C,C,C,C,C,C,C,10100,KOSPI,운수장비,145858000000.0
한국화장품제조,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,D,B,B,C,C,B,B,D,D,C,C,D,D,C,D,D,D,C,D,3350,KOSPI,화학,117379000000.0
한농화성,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,C,C,B,C,C,B,B,D,D,D,D,D,C,C,D,D,C,C,D,11500,KOSPI,화학,276776000000.0
한독,B+,B+,B이하,B+,B+,B+,B+,B+,B+,B+,B이하,B+,B+,B+,B이하,B+,B이하,B,B+,B이하,B+,B,B+,B+,B+,B+,B이하,B+,B+,B+,B+,B+,B+,B+,B+,B,A,B+,A,A,B+,B,A,B+,A,A,A+,B+,A,A,A+,B+,2390,KOSPI,의약품,183606000000.0
HLD&I,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B+,B+,B+,B이하,B이하,B,B+,B이하,B이하,C,B이하,B이하,B+,B+,B+,B이하,B이하,B,B이하,B이하,,,,,B+,B,B+,B+,B+,B+,B+,B+,B+,B+,A,B+,A,A,A+,B+,A,A,A+,B+,14790,KOSPI,건설업,74354292364.0
한미글로벌,B+,B,B+,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B+,B+,B,B+,B+,A,A,A,A,B+,B+,A,B+,B+,A,A+,B,B+,A,A+,B,53690,KOSPI,서비스업,167431000000.0
한미반도체,B이하,B+,B이하,,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,D,C,B,C,D,D,B,C,D,D,B,D,D,D,C,D,D,D,C,42700,KOSPI,기계,12371800000000.0
한미사이언스,,B,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B+,B이하,B,B,B,B,A,B+,A+,A,B+,B,A+,B,B+,A,A,B,B+,A,A,B,8930,KOSPI,기타금융,2298090000000.0
한샘,B+,B,B+,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B+,B+,A+,B,A,B+,A+,A,A,B+,A,A,A,A,A,A,A,A,A,A,9240,KOSPI,유통업,1195520000000.0
한섬,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B+,B이하,A,B+,A,A,A,A,A+,A,B+,A,A,B,A,A,A+,A,A,A,A+,A,20000,KOSPI,섬유의복,446911000000.0
한성기업,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,B,C,C,D,B,B,D,D,D,D,C,B,B,D,C,B,B,D,3680,KOSPI,음식료품,31979002250.0
한세실업,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B,C,B,B+,B,B,B,B+,C,C,B+,C,B+,B+,A,B+,B+,B+,A,B+,105630,KOSPI,섬유의복,854000000000.0
한세예스24홀딩스,,B,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B,C,B,B,B,D,B,B+,B+,C,B+,B+,A,B+,A,A,A,B+,A,A,16450,KOSPI,섬유의복,187200000000.0
한솔로지스틱스,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B+,B,B+,A,B+,B,B+,B+,B+,C,A,B+,B,C,B+,B+,B,C,B+,B+,9180,KOSPI,운수창고업,62026222875.0
한솔아트원제지,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한솔케미칼,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B+,B+,B,B+,B+,B+,B+,B이하,B+,B+,B+,B+,B+,B+,B,B+,B+,A,A,A,A,B,C,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,14680,KOSPI,화학,2157090000000.0
한솔테크닉스,B이하,B,B이하,,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B+,B+,B+,B이하,B+,B+,B,B+,B+,B+,B+,B+,A,A,B+,A,A,B+,B,A,B+,B+,B+,A,B+,B+,B+,A,B+,4710,KOSPI,전기전자,176604000000.0
한솔PNS,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,A,B+,B+,A,A,B+,B+,A,B,C,B,B+,B+,B,B,A,B+,B,B,A,10420,KOSPI,유통업,25226897772.0
한솔홀딩스,B+,B+,B+,B+,B+,B,B+,B+,B+,B,B+,B+,B+,B,B+,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B+,B+,B+,B이하,A,B+,A,A,A,B+,A,A,A,B+,A,A,A,B+,A,A,A,B+,A,A,4150,KOSPI,기타금융,115734000000.0
한솔홈데코,,C,,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,C,B+,B+,B이하,C,B+,B+,B+,B,B+,B+,B+,B+,B+,B+,B+,B,B+,A,A,B+,A,A,B,C,B,B+,B+,B+,B+,B+,B+,B+,B+,B+,25750,KOSPI,종이목재,60182166303.0
한신공영,,B,,B이하,B이하,B,B+,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B+,B이하,C,C,B,B,C,C,C,B,D,D,C,D,D,C,C,D,D,C,C,D,4960,KOSPI,건설업,74631027900.0
한신기계,,B,,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,B,C,C,C,D,C,B+,D,D,D,D,D,C,D,D,D,C,D,D,11700,KOSPI,기계,142763000000.0
한양증권,B+,B+,B+,B이하,B이하,B+,B+,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+ 이하,B+,B이하,C,D,B+,C,C,D,B+,C,D,D,D,C,C,D,B,C,C,D,B,C,1750,KOSPI,증권,130849000000.0
한온시스템,B이하,C,B이하,A,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,C,B+,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B+,B+,B+,B,B,B,B+,B+,B+,B+,B+,B,B+,A,C,B+,B+,A+,B,B+,B+,A+,B,18880,KOSPI,기계,2749070000000.0
한올바이오파마,B+,B,B+,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B+,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B,D,B+,B,B,D,B,B+,C,D,C,C,B,B,D,B+,B,B,D,B+,9420,KOSPI,의약품,1810140000000.0
한익스프레스,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,B,C,D,C,B,B,C,D,D,C,D,C,C,C,C,C,C,C,C,14130,KOSPI,운수창고업,53760000000.0
한일건설,,C,,B이하,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일시멘트,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B,B+,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,,D,,,B,C,B+,B,B+,B+,B+,B,C,B+,A,D,A,A,A+,B+,A,A,A+,B+,300720,KOSPI,비금속광물,873388000000.0
한일철강,,C,,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,D,D,D,C,C,D,C,B,D,D,D,D,D,D,D,D,D,D,D,D,2220,KOSPI,철강금속,64207391300.0
한전KPS,A,B,A,B이하,B+,B,A,B이하,B+,B,A,B이하,B+,B,B+,B+,B+,B,B+,B+,B+,B,B+,B+,B+,B,B+,B+,B+,B+,A,B+,B+,B+,A,B+,B,B,B,B+,A,B+,A,A,A,A,A,A,A,A,A,A,51600,KOSPI,건설업,1539000000000.0
한전기술,A,B,A,B이하,B+,B,A,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B,B+,B+,B+,B,B+,A,B+,B,A,A,B+,B+,A,B+,B+,B,B+,B+,B+,B,B+,B+,A,B+,A+,A,A,B+,A+,A,52690,KOSPI,서비스업,2262620000000.0
한진,B이하,B,B이하,,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B+,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B,B,C,B+,A,A,B+,A,B+,B+,A,B+,A,A,A,A,A,A,A,A,2320,KOSPI,운수창고업,316142000000.0
HJ중공업,B이하,B+,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B,B,B,B+,B,C,B,B+,B,C,B+,B+,B+,B,B+,B+,B+,B,B+,B+,97230,KOSPI,건설업,250656000000.0
한진중공업홀딩스,B이하,B+,B이하,,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B,D,C,B+,B,D,C,B+,C,D,D,B+,C,D,C,B+,C,D,C,B+,3480,KOSPI,전기가스업,101730000000.0
한진해운,B+,B+,B+,B이하,B+,B,B+,B+,B이하,C,B+,B+,B+,B,B+,B+,B+,B+,B+,B이하,B이하,B,B+,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한창,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,B,C,B,D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,5110,KOSPI,유통업,23332434378.0
한창제지,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B,B,C,B,C,C,C,B,C,C,C,B,C,C,C,C,C,C,C,C,9460,KOSPI,종이목재,49285343436.0
한화,B이하,A,B이하,B+,B이하,B,B이하,B+,B이하,D,B이하,B+,B+,B+,A,B+,B+,B+,B+,A,B+,B+,B+,A,A,A,A+,A,A,A,A,A,A,B+,A,A,A,A,A+,A,A,A,A+,A,B+,B+,B+,B+,B+,B+,B+,B+,880,KOSPI,화학,2001400000000.0
한화갤러리아타임월드,B+,B,B+,B이하,B이하,C,B+,B이하,B이하,C,B+,B이하,B이하,B,B+,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B이하,B,B이하,B+,B이하,C,B+,B+,,,,,,,,,,,,,,,,,,,,,,,,
한화손해보험,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B+,B이하,B+,A,B이하,B이하,B+,A,B이하,B이하,B이하,B+ 이하,B+,B이하,B+,B,A,B,A,A,A+,B+,A,A,A,A,A,A,A,A,A,A,A,A,370,KOSPI,보험,544587000000.0
한화솔루션,A,B+,A,A,B+,B,A,A,B+,B,A,B+,B+,B,A,B+,B이하,C,B+,B이하,B+,B,A+,B+,B이하,C,B이하,B+,B+,B+,A,B이하,B+,A,A,B,A,A,A+,B+,B,A,A,C,B+,A,A+,B,B+,A,A+,B,9830,KOSPI,화학,4314500000000.0
한화에어로스페이스,B+,B+,B+,A,A,B+,A,A,A,B+,A,A,A,B+,A,A,B+,B+,B+,A,B+,B+,B+,A,B+,B+,B+,A,B+,B,B이하,A,A,A,A,A,A,A,A,A,B+,B+,A,B,A,A,A,A,A,A,A,A,12450,KOSPI,운수장비,11138600000000.0
한화투자증권,B이하,B+,B이하,,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B+,A,B+,B이하,B+,A,B+,B이하,B이하,B+ 이하,B이하,B이하,B+,B,A,B+,B+,B+,A,B+,B+,B+,A,B+,A,A,A+,B+,A,A,A+,B+,3530,KOSPI,증권,736972000000.0
한화화인케미칼,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대DSF,B+,B,B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDC현대EP,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B+,B이하,C,B이하,B+,B,B,B+,B,B+,B,B+,B+,C,C,B,C,B+,B+,B+,B,B+,B+,B+,B,89470,KOSPI,화학,130471000000.0
현대건설,A,B+,A,A,B+,B+,A,B+,B+,B+,B+,B+,B+,B+,B+,A,B+,B,B+,A,B+,B,B+,A,B이하,D,B+,B+,A,B+,A,A,A,A+,A,A,A,A,A,A,A,A,A,B+,A,A,A,A,A,A,A,A,720,KOSPI,건설업,3786100000000.0
현대그린푸드,B이하,B,B이하,,B이하,B,B+,B이하,B이하,B,B+,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B+,B+,B이하,B+,B+,B+,B이하,B이하,,,,,,,,,,,,,,,,,,,,,453340,KOSPI,유통업,406910000000.0
현대글로비스,B+,B,B+,B이하,B이하,B,B+,B이하,B+,B+,B+,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B+,B+,B,A+,B+,B+,B+,B+,B+,B+,B+,A,B+,A,A,A+,A,A,A,A+,A,A,A,A+,A,A+,A+,A+,A,A+,A+,A+,A,86280,KOSPI,운수창고업,6671250000000.0
현대리바트,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B+,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,A,B,A,A,A,A,A+,A,A,A,A,A,A,A,A+,B+,A,A,A+,B+,79430,KOSPI,기타제조업,153193000000.0
현대모비스,A,B+,A,B+,B+,B+,A,B+,B+,B+,B+,B+,A,B+,A,A,B이하,C,B+,B+,B+,C,A+,A,B이하,C,A,A,B+,B,A,A,A,B+,A+,A,A,A,A+,A,A,A,A+,B+,A,A+,A+,B+,A,A+,A+,B+,12330,KOSPI,운수장비,22383600000000.0
HD현대미포,B+,B,B이하,,B이하,B,B이하,B+,A,B+,A,A,A,B+,A,A,B+,B+,B+,A,B+,B+,B이하,A,B+,B+,B이하,A,B+,B+,B+,B+,A,A,A+,A,A,A,A+,A,B+,B+,A,B+,A,A,A+,B+,A,A,A+,B+,10620,KOSPI,운수장비,2923770000000.0
현대백화점,B+,B+,B+,,B이하,B+,B+,B이하,B이하,B,B+,B이하,B이하,B+,B+,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B이하,B+,B+,B이하,A,B+,A,A,A,A,A+,A,A,A,A,A,A+,A+,A+,A,A+,A+,A+,A,69960,KOSPI,유통업,1170120000000.0
현대비앤지스틸,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,D,B이하,B+,B이하,C,B+,B+,B이하,C,B+,B+,B+,B+,A,B+,A,B+,A+,B+,C,B+,B+,D,B,A,B+,C,B,A,B+,C,4560,KOSPI,철강금속,303838000000.0
