종목명,업종명,회계연도,t년_시가총액,t년_tobinQ,t년대비 t+1년 tobinQ 증가율,t년대비 t+1년 시가총액 증가율
AK홀딩스,기타금융,2020,333000000000.0,0.77614028,2.027998856083091,-23.123123123123122
BYC,섬유의복,2020,209000000000.0,0.640888669,19.401490463860902,53.58851674641147
CJ,기타금융,2020,3120000000000.0,0.693319755,-2.5560419809471657,-8.653846153846157
CJCGV,서비스업,2020,885000000000.0,1.137004476,3.0393710604882385,7.457627118644061
CJ대한통운,운수창고업,2020,3780000000000.0,0.972571961,-10.235363859106773,-24.07407407407407
CJ씨푸드,음식료품,2020,191000000000.0,1.927992836,-18.27142520564844,-24.607329842931936
CJ제일제당,음식료품,2020,5960000000000.0,0.835683792,-1.4473870518718956,1.8456375838926231
CS홀딩스,기타금융,2020,68114438000.0,0.297408566,9.814743533647906,8.644067796610177
DB,서비스업,2020,160000000000.0,0.674977116,-12.552606894601738,19.375000000000007
DB하이텍,전기전자,2020,2280000000000.0,2.258288773,5.225714417524596,42.10526315789473
DRB동일,화학,2020,137000000000.0,0.579749262,-4.373262833062485,-23.357664233576646
DSR제강,철강금속,2020,70344000000.0,0.631950572,2.120427703323613,-3.1729785056294757
E1,유통업,2020,306000000000.0,0.748847182,-1.279277164990389,8.169934640522868
GKL,서비스업,2020,1030000000000.0,1.771547481,2.1169848057829066,-21.067961165048544
GS,기타금융,2020,3540000000000.0,0.705300434,-5.9794154330550136,4.519774011299438
GS건설,건설업,2020,3030000000000.0,0.906950406,-0.5145215183904983,11.881188118811892
GS글로벌,유통업,2020,160000000000.0,0.854832071,5.06972169976061,22.500000000000007
JW중외제약,의약품,2020,745000000000.0,1.979276609,-24.364067043849957,-32.483221476510074
JW홀딩스,기타금융,2020,387000000000.0,1.05663261,-11.581892499039947,-39.27648578811369
KC그린홀딩스,기타금융,2020,117000000000.0,0.853907394,-3.503304012847097,-14.529914529914533
KEC,전기전자,2020,343000000000.0,1.471737503,11.666741429772486,56.559766763848394
주성코퍼레이션,전기전자,2020,53879690800.0,2.442042235,18.205012781034057,33.54202006667788
KG케미칼,화학,2020,310000000000.0,0.723070616,-0.23671062855084024,37.41935483870969
KISCO홀딩스,철강금속,2020,262000000000.0,0.314548308,0.9833971194020963,2.6717557251908497
그린케미칼,화학,2020,239000000000.0,1.712757354,-14.285638034399595,-7.1129707112970735
KPX케미칼,화학,2020,266000000000.0,0.579413868,1.8236142735886363,-2.631578947368418
KPX홀딩스,화학,2020,255000000000.0,0.363295474,8.24681950207835,5.098039215686279
KR모터스,운수장비,2020,104000000000.0,1.347653447,-11.28858026064915,-20.039592961538467
KSS해운,운수창고업,2020,240000000000.0,0.972995555,-2.0620782794840253,14.583333333333325
LF,섬유의복,2020,430000000000.0,0.60289714,0.9864999525458051,17.209302325581397
