,회사명,종합등급,환경,사회,지배구조
0,AJ네트웍스  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B
1,AK홀딩스  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
2,BGF  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
3,BGF리테일  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
4,BNK금융지주  2021  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
5,BYC  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
6,CJ  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
7,CJ CGV  2021  N  N,KCGS  A,환경  B,사회  A,지배구조 A
8,CJ대한통운  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
9,CJ씨푸드  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
10,CJ제일제당  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
11,CS홀딩스  2021  N  N,KCGS  B,환경  D,사회  C,지배구조 B+
12,DB  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
13,DB금융투자  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B
14,DB손해보험  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
15,DB하이텍  2021  N  N,KCGS  A,환경  A,사회  A,지배구조 A
16,DGB금융지주  2021  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
17,DL  2021  N  N,KCGS  A,환경  A+,사회  A+,지배구조 B+
18,DL건설  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
19,DL이앤씨  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
20,DN오토모티브  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
21,DRB동일  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
22,DSR  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
23,DSR제강  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
24,E1  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
25,F&F  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
26,F&F 홀딩스  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
27,GKL  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
28,GS  2021  N  N,KCGS  A,환경  A,사회  A,지배구조 A
29,GS건설  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
30,GS글로벌  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 A
31,GS리테일  2021  N  N,KCGS  A,환경  A,사회  A,지배구조 A
32,HDC  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 A
33,HDC랩스  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
34,HDC현대EP  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
35,HDC현대산업개발  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
36,HD한국조선해양  2021  N  N,KCGS  A,환경  A,사회  B+,지배구조 A
37,HD현대  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
38,HD현대건설기계  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
39,HD현대미포  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
40,HD현대에너지솔루션  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
41,HD현대인프라코어  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
42,HD현대일렉트릭  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
43,HD현대중공업  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
44,HJ중공업  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
45,HL D&I  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
46,HLB글로벌  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
47,HL만도  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
48,HL홀딩스  2021  N  N,KCGS  A,환경  B,사회  A+,지배구조 A
49,HMM  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
50,HS애드  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B
