,회사명,종합등급,환경,사회,지배구조
0,AJ네트웍스  2024  N  N,KCGS  B+,환경  C,사회  A,지배구조 B+
1,AK홀딩스  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
2,BGF  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
3,BGF리테일  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
4,BNK금융지주  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
5,BYC  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
6,CJ  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
7,CJ CGV  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
8,CJ대한통운  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
9,CJ씨푸드  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
10,CJ제일제당  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
11,CS홀딩스  2024  N  N,KCGS  C,환경  D,사회  D,지배구조 B
12,DB  2024  N  N,KCGS  C,환경  D,사회  B,지배구조 C
13,DB금융투자  2024  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
14,DB손해보험  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
15,DB하이텍  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
16,DGB금융지주  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
17,DL  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
18,DL건설  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
19,DL이앤씨  2024  N  N,KCGS  A,환경  A,사회  B+,지배구조 A
20,DN오토모티브  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
21,DRB동일  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
22,DSR  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
23,DSR제강  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
24,E1  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
25,ESR켄달스퀘어리츠  2024  N  N,KCGS  -,환경  -,사회  -,지배구조 -
26,F&F  2024  N  N,KCGS  B+,환경  B+,사회  A+,지배구조 B
27,F&F 홀딩스  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 B+
28,GKL  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
29,GS  2024  N  N,KCGS  B,환경  B+,사회  A+,지배구조 C
30,GS건설  2024  N  N,KCGS  A,환경  A,사회  B+,지배구조 A
31,GS글로벌  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
32,GS리테일  2024  N  N,KCGS  A,환경  A+,사회  A,지배구조 A
33,HDC  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
34,HDC랩스  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
35,HDC현대EP  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
36,HDC현대산업개발  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
37,HD한국조선해양  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
38,HD현대  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 B+
39,HD현대건설기계  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A
40,HD현대미포  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
41,HD현대에너지솔루션  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
42,HD현대인프라코어  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 B+
43,HD현대일렉트릭  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
44,HD현대중공업  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
45,HJ중공업  2024  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
46,HL D&I  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
47,HLB글로벌  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
48,HL만도  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
49,HL홀딩스  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
50,HMM  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 B+
51,HS애드  2024  N  N,KCGS  B,환경  D,사회  C,지배구조 B+
52,JB금융지주  2024  N  N,KCGS  A,환경  A+,사회  A,지배구조 A
53,JW생명과학  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
54,JW중외제약  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
55,JW홀딩스  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
56,KB금융  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A+
57,KC그린홀딩스  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
58,KC코트렐  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
59,KEC  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
