종목명,업종명,회계연도,t년_시가총액,t년_tobinQ,t년대비 t+1년 tobinQ 증가율,t년대비 t+1년 시가총액 증가율
광동제약,의약품,2011,196000000000.0,0.833632756,35.27507141286084,61.73469387755102
광명전기,전기전자,2011,148000000000.0,1.686627594,-20.349797383903113,-27.027027027027028
광전자,전기전자,2011,185000000000.0,0.878860743,-27.828494439875108,-42.7027027027027
광주신세계,유통업,2011,274000000000.0,0.90488699,13.17568252362651,35.76642335766422
국도화학,화학,2011,290000000000.0,0.955048528,-12.08216908533888,-14.137931034482754
국동,유통업,2011,4369977860.0,0.97858652,-3.790146731226174,27.522935779816503
국보,운수창고업,2011,11608535200.0,0.768806094,2.0634167866000253,8.407079646017701
국제약품,의약품,2011,34923183300.0,0.718465791,23.753254523429355,22.01099090528784
그린케미칼,화학,2011,59200000000.0,0.760864117,27.90127083887699,59.29054054054055
극동유화,화학,2011,58929319800.0,0.82804794,1.340862824922917,21.301775147928993
금강공업,철강금속,2011,52752297700.0,0.675150886,10.119611247907056,39.51714533564288
금비,비금속광물,2011,44300000000.0,0.613416998,-12.950654980056498,-38.71331828442438
금양,화학,2011,31679412940.0,0.896831556,8.157367625008071,31.677018633540378
금호건설,건설업,2011,815000000000.0,1.188483618,-4.864739751086756,-67.23926380368098
금호석유,화학,2011,5220000000000.0,1.776992317,-13.083462026020676,-22.22222222222222
금호전기,전기전자,2011,173000000000.0,0.823210581,5.194682501293069,-14.45086705202312
기신정기,기계,2011,141000000000.0,0.745670714,23.31260645432831,30.49645390070923
기아,운수장비,2011,26900000000000.0,1.442578443,-17.730787136128022,-14.869888475836435
까뮤이앤씨,건설업,2011,11875049640.0,0.862555,-3.2904064088666862,-25.095057034220535
깨끗한나라,종이목재,2011,110000000000.0,1.012075314,-1.83669829140799,3.6363636363636376
남선알미늄,철강금속,2011,69942852800.0,0.983469311,-0.4093223809807256,-19.267078751468947
남성,유통업,2011,30237153600.0,0.747967237,0.9322088796250183,-15.089820359281436
남양유업,음식료품,2011,632000000000.0,0.815260234,4.873650442270927,14.082278481012667
남해화학,화학,2011,537000000000.0,1.269130727,-15.236243665543213,-28.49162011173184
넥센,화학,2011,212000000000.0,0.794044082,4.376210941900838,90.09433962264151
넥센타이어,화학,2011,1770000000000.0,1.633440771,-13.13930127191616,-12.994350282485879
노루페인트,화학,2011,60807903040.0,0.669596925,12.568449295074057,52.611203117718965
노루홀딩스,기타금융,2011,93642005070.0,0.658099818,6.334974400494375,29.215515953069506
녹십자,의약품,2011,1480000000000.0,1.987638959,-12.009503583090119,-5.405405405405405
녹십자홀딩스,서비스업,2011,728000000000.0,0.963555837,-11.560970804435078,4.258241758241765
농심,음식료품,2011,1410000000000.0,0.951880063,14.365811966796072,17.021276595744684
농심홀딩스,기타금융,2011,235000000000.0,0.530300429,8.165481797111651,19.999999999999996
다스코,기계,2011,24132500000.0,0.61839218,10.145854528755539,44.41624365482233
다우기술,서비스업,2011,462000000000.0,0.854584242,6.46379856838033,53.03030303030303
대교,서비스업,2011,607000000000.0,0.957155992,3.073575388534988,0.6589785831960571
대구백화점,유통업,2011,138000000000.0,0.482745618,32.780113604262695,20.28985507246377
대동,기계,2011,87201171750.0,0.740070258,11.628495682635576,53.66765986146282
대동전자,전기전자,2011,25649142915.0,0.423625248,-3.3537453367274317,21.881390593047033
대림B&Co,비금속광물,2011,26100000000.0,0.476354084,14.53198793190149,25.0
대림통상,기계,2011,60900000000.0,0.674834765,4.091135257384071,3.3749999999999947
대상,음식료품,2011,563000000000.0,1.010168409,16.565919455515242,62.34458259325044
대상홀딩스,기타금융,2011,146000000000.0,0.533577934,30.687289628435053,60.95890410958904
대성홀딩스,서비스업,2011,115000000000.0,0.642594489,4.8677081013684065,13.043478260869556
대양금속,철강금속,2011,43340943744.0,1.060308034,-14.57945540757828,-82.79991876726956
대영포장,종이목재,2011,35526159020.0,0.715506869,17.34413607705001,125.66844919786098
대우건설,건설업,2011,4360000000000.0,1.100100321,-2.377797960846162,-5.045871559633031
대우부품,운수장비,2011,25735652873.0,1.134663252,4.757388406194729,-2.356406480117823
대웅,의약품,2011,167000000000.0,0.645455298,-13.721297706351777,58.08383233532935
대웅제약,의약품,2011,319000000000.0,0.91289878,43.92743278723628,68.65203761755485
대원강업,운수장비,2011,299000000000.0,0.886892834,22.10538178731074,78.92976588628761
대원전선,전기전자,2011,43409399742.0,0.886655476,3.4905105576768403,23.835251006682757
대원제약,의약품,2011,64354834560.0,0.718196775,54.45090448923278,100.45114074487955
대원화성,화학,2011,24810248959.0,0.874382056,8.512206133379308,20.953575909661225
대유에이텍,운수장비,2011,183000000000.0,1.298143709,-16.841920234580133,-29.508196721311474
대유플러스,전기전자,2011,184000000000.0,1.153985485,-9.248162597123134,-29.34782608695652
대창,철강금속,2011,102000000000.0,0.836713023,1.6539541777874422,15.686274509803933
대창단조,운수장비,2011,71600000000.0,0.918742383,-8.222465230495413,13.82681564245809
대한방직,섬유의복,2011,24274000000.0,0.771142697,3.4514299498060286,-11.353711790393017
대한유화,화학,2011,582000000000.0,0.853203718,-19.725626535537444,-41.06529209621993
대한전선,전기전자,2011,452000000000.0,1.03619049,3.4066107864008544,-12.831858407079643
대한제강,철강금속,2011,155000000000.0,0.780631436,0.6003947296839396,27.09677419354839
대한제당,음식료품,2011,186000000000.0,0.857601275,-0.10118000349289558,8.602150537634401
대한제분,음식료품,2011,286000000000.0,0.677191202,-12.812944666696957,-17.832167832167833
대한항공,운수창고업,2011,3150000000000.0,1.017019906,-0.06586124775419533,4.1269841269841345
대한화섬,화학,2011,99998400000.0,0.468192211,-11.096237139237674,-16.467463479415667
대현,섬유의복,2011,69055522750.0,0.846962265,-11.014771832839564,-26.22950819672131
대호에이엘,철강금속,2011,71771649155.0,1.235931947,-1.0662133972656362,-10.775047258979209
더존비즈온,서비스업,2011,199000000000.0,1.802504992,30.161926564029184,71.35678391959799
덕성,화학,2011,30352720000.0,0.703656518,32.663110071553405,70.99647082699671
덕양산업,운수장비,2011,58454139100.0,0.96163475,1.7181373697237934,-15.041782729805009
동남합성,화학,2011,46530957200.0,1.036481914,-6.115878351930403,-0.4120879120879106
동방,운수창고업,2011,102000000000.0,0.962925069,-6.676043761822559,-20.2346994117647
동방아그로,화학,2011,85543532020.0,0.816514239,-0.7014961560272259,-0.40321665689388997
동성제약,의약품,2011,29473790175.0,0.753346258,50.659250105414344,174.55197132616487
동성케미컬,서비스업,2011,96244653330.0,0.735616426,8.040372932074803,64.16496348971783
동아쏘시오홀딩스,기타금융,2011,989000000000.0,1.084785832,9.77224248998121,22.34580384226492
동아지질,건설업,2011,111000000000.0,0.923507326,5.587931740998453,15.315315315315313
동양고속,운수창고업,2011,47868600000.0,0.705816827,3.356209443275282,15.512465373961227
동양철관,철강금속,2011,210000000000.0,1.51874777,-22.112194772144424,-30.000000000000004
동원F&B,음식료품,2011,276000000000.0,0.879301478,0.6030899677391455,3.6231884057970953
동원금속,운수장비,2011,46230000000.0,0.990446303,0.1557766428454288,-1.7391304347826098
동원산업,기타금융,2011,567000000000.0,1.053706541,20.906746179152734,69.3121693121693
동원수산,"농업, 임업 및 어업",2011,64640103200.0,1.187133844,-18.408766636089602,-35.308056872037916
동원시스템즈,화학,2011,143000000000.0,1.116198697,1.7545131572573425,2.0979020979021046
동일산업,철강금속,2011,139000000000.0,0.603325756,-21.69782769890567,-15.107913669064743
동화약품,의약품,2011,114000000000.0,0.65936019,24.539098425096007,48.24561403508771
두산,기타금융,2011,3790000000000.0,1.047798743,-17.248250506824668,-23.7467018469657
두산에너빌리티,기계,2011,6890000000000.0,1.154025021,-17.09193270602406,-30.624092888243837
디씨엠,철강금속,2011,117000000000.0,0.870939829,2.527894955186394,4.2735042735042805
디아이,의료정밀,2011,40641334425.0,0.638125766,56.30938572695088,163.2787567481552
디아이씨,운수장비,2011,154000000000.0,0.977755537,-10.414951094263136,-38.14090909090909
디와이,기타금융,2011,401000000000.0,1.187633514,-12.600623360313822,-16.209476309226932
롯데쇼핑,유통업,2011,9860000000000.0,0.854239515,1.7595059390339784,10.547667342799194
롯데정밀화학,화학,2011,1570000000000.0,1.343656914,-6.290993714188565,0.0
롯데지주,기타금융,2011,2430000000000.0,0.952582152,-7.585038922711207,-4.526748971193417
롯데칠성,음식료품,2011,1860000000000.0,0.921107963,-1.8101880202722853,2.6881720430107503
롯데케미칼,화학,2011,9490000000000.0,1.310072244,-10.893649846687392,-17.597471022128552
마니커,음식료품,2011,49351123500.0,0.86152071,0.7164380296789341,-11.003743004959144
만호제강,철강금속,2011,59967500000.0,0.43297621,0.9333043956387455,3.460207612456756
메타랩스,섬유의복,2011,69100000000.0,0.98989922,14.125016484001263,11.75108538350218
명문제약,의약품,2011,69572760840.0,0.933043579,-5.123366590361589,-26.328926175757605
모나리자,종이목재,2011,104000000000.0,2.065068448,7.602345295239332,22.115384615384627
모나미,유통업,2011,51662400000.0,0.942720656,-5.537670959869157,-24.4
모토닉,운수장비,2011,235000000000.0,0.719368861,52.09394169203554,77.4468085106383
무림P&P,종이목재,2011,325000000000.0,0.816817024,-9.467203636539278,-27.076923076923077
무림페이퍼,종이목재,2011,114000000000.0,0.760999591,-0.0564365612122919,-10.526315789473683
문배철강,철강금속,2011,38239036825.0,0.666694273,-5.193533138389494,-8.042895442359255
미래산업,의료정밀,2011,92506757850.0,1.331256412,20.66711022158818,4.154790503232397
미래아이앤지,서비스업,2011,13969598225.0,0.754458872,297.85799510089134,615.8402009088561
미원상사,화학,2011,81383240400.0,0.98486115,4.444214699706661,52.36552315997485
미원홀딩스,기타금융,2011,89504100000.0,0.995475566,51.40038304064212,116.74984721370305
미창석유,화학,2011,81590616800.0,0.656377265,-2.6518494664802272,15.991471215351805
방림,섬유의복,2011,45064505850.0,0.575474008,-1.3804470557426174,9.38967136150235
백광산업,화학,2011,103000000000.0,0.759525254,11.09294688442315,23.300970873786397
백산,화학,2011,66066000000.0,0.887121265,24.845721176574443,58.9319771137953
보락,화학,2011,29710400000.0,0.846073092,19.182410542847038,31.0483870967742
보령,의약품,2011,111000000000.0,0.897214483,18.889148716517102,47.74774774774775
보해양조,음식료품,2011,60572388400.0,1.037811092,-8.455108225033314,-44.218192459454016
부광약품,의약품,2011,388000000000.0,1.763138,2.8757901536918817,2.577319587628857
부국철강,철강금속,2011,41300000000.0,0.590954169,-8.969432111748066,-3.6319612590799077
부산산업,비금속광물,2011,13992000000.0,0.753075353,4.018561207645854,14.33962264150943
부산주공,운수장비,2011,20992640000.0,0.884377366,-1.215785298602956,1.2499999999999956
비비안,섬유의복,2011,60437916000.0,0.560890671,4.154878518205907,-18.181818181818176
비상교육,서비스업,2011,80178800000.0,0.754892215,59.49782049348595,126.9926713794669
빙그레,음식료품,2011,587000000000.0,1.384597533,59.78101782447709,87.39352640545144
사조동아원,음식료품,2011,251000000000.0,1.100727664,-8.202548727802306,-24.701195219123505
사조산업,"농업, 임업 및 어업",2011,284000000000.0,0.950869588,-8.635637214217018,-11.267605633802813
사조오양,음식료품,2011,65400000000.0,0.985099664,-11.352983671304962,-23.666666666666668
삼성E&A,서비스업,2011,8060000000000.0,2.300278288,-18.741830249366764,-17.866004962779158
삼성SDI,전기전자,2011,6160000000000.0,0.981878764,-3.8050316770064985,12.987012987012992
삼성공조,운수장비,2011,63222722920.0,0.615129044,-7.197596086846447,-7.326478149100257
삼성전기,전기전자,2011,5880000000000.0,1.273468416,18.684394996412678,27.380952380952372
삼성전자,전기전자,2011,171000000000000.0,1.447282625,15.846993257450336,42.690058479532155
삼성제약,의약품,2011,13889211390.0,0.776591908,18.169749587449992,88.88341651195792
삼성중공업,운수장비,2011,6440000000000.0,1.109419882,9.736326322660926,38.198757763975166
삼성출판사,서비스업,2011,63300000000.0,0.914428265,-34.39063063082373,-39.494470774091624
삼아알미늄,철강금속,2011,28435000000.0,0.568374184,-1.9761706840647042,14.893617021276606
삼양식품,음식료품,2011,287000000000.0,1.40245132,-23.333678847405558,-36.23693379790941
삼양통상,기타제조업,2011,66300000000.0,0.433087198,-1.9229949623216558,-3.167420814479638
삼양홀딩스,기타금융,2011,452000000000.0,0.551234697,8.213178387789322,22.56637168141593
삼영,화학,2011,200000000000.0,1.272598656,-28.748972999072542,-41.5
삼영무역,유통업,2011,88800000000.0,0.588702193,35.21283281511403,75.67567567567568
삼영전자,전기전자,2011,186000000000.0,0.485763065,-8.427546256527341,-6.989247311827961
삼익THK,기계,2011,155000000000.0,1.147008714,-14.096830566886176,-25.806451612903224
삼익악기,기타제조업,2011,138000000000.0,0.981299552,-14.706919279221275,-33.81337861231884
삼일제약,의약품,2011,23512500000.0,0.644467782,1.679433061248048,4.678362573099415
삼정펄프,종이목재,2011,58240000000.0,0.577195746,14.84036976946117,46.804630408653836
삼진제약,의약품,2011,111000000000.0,0.957329309,22.495817267410125,33.33333333333333
삼천리,전기가스업,2011,371000000000.0,0.684737427,11.375105833086007,36.11859838274933
삼호개발,건설업,2011,51750000000.0,0.69571645,-4.450010776660518,-3.3816425120772986
삼화왕관,기계,2011,41794952600.0,0.542723757,1.0071024032950016,8.247422680412363
삼화전기,전기전자,2011,26488349100.0,0.912204725,-4.833888248057483,-24.968789013732838
삼화전자,전기전자,2011,17078166000.0,0.947233711,16.79889420658509,-7.482993197278908
삼화콘덴서,전기전자,2011,73284750000.0,1.152983526,-6.384908573273062,-11.34751773049646
삼화페인트,화학,2011,78400000000.0,0.673587739,5.016486204182513,24.28571428571429
상신브레이크,운수장비,2011,104000000000.0,1.099711982,-11.125145492867794,-24.024100000000004
새론오토모티브,운수장비,2011,81216000000.0,0.72475244,17.147079766989126,34.21000788022064
샘표,기타금융,2011,76881200000.0,0.631954561,52.781583136639476,67.79134560854929
서연,기타금융,2011,355000000000.0,0.929792817,-10.626699109033877,-18.873239436619716
서울가스,전기가스업,2011,249000000000.0,0.683583565,14.82530595948428,61.044176706827315
서울식품,음식료품,2011,26464309000.0,1.081383101,2.166640571536016,11.18817800986227
서원,철강금속,2011,87140847850.0,0.86047186,2.393520341269495,5.45746388443018
서흥,화학,2011,176000000000.0,0.924320845,11.677305081224244,22.159090909090917
선도전기,전기전자,2011,51120000000.0,0.780644288,-7.748203750387262,-9.6830985915493
성문전자,전기전자,2011,29411392440.0,0.861341283,-7.305671542971903,-15.646874011110235
성보화학,화학,2011,44144100000.0,0.584048561,9.729633080972523,15.646258503401356
성신양회,비금속광물,2011,48071100230.0,0.750369698,5.598931181786604,99.10006748767938
성창기업지주,서비스업,2011,90000000000.0,0.870531886,-37.71676825172605,18.88888888888889
세기상사,유통업,2011,11962825200.0,0.636272392,2.7070141996668573,4.599659284497437
세방,운수창고업,2011,319000000000.0,0.708898856,0.022376958103031974,9.404388714733546
세방전지,전기전자,2011,615000000000.0,1.174817257,-6.674600797083796,7.317073170731714
세아베스틸지주,철강금속,2011,1650000000000.0,1.181042961,-27.867168669404563,-37.57575757575757
세아홀딩스,철강금속,2011,498000000000.0,0.569678441,-5.674868956468016,-33.53413654618473
세우글로벌,유통업,2011,16247605645.0,0.626676792,44.15632883369965,60.79974794956935
세원이앤씨,기계,2011,123000000000.0,1.032134537,4.69117428632273,13.008130081300816
세원정공,운수장비,2011,118000000000.0,0.651838974,2.914560920378473,46.61016949152543
세이브존I&C,유통업,2011,94394058500.0,0.702160713,-1.456869176900244,17.592146967597543
송원산업,화학,2011,222000000000.0,0.939070246,6.3998669168781275,28.828828828828822
수산중공업,기계,2011,78567654500.0,1.068302223,-2.608686044080255,9.104453474552932
신대양제지,종이목재,2011,56376627600.0,0.598964448,-6.2285833699431965,41.082802547770704
신도리코,전기전자,2011,499000000000.0,0.653675416,18.434048925590908,27.254509018036078
신라교역,"농업, 임업 및 어업",2011,197000000000.0,0.66284753,46.31261053352647,93.90862944162437
신성이엔지,전기전자,2011,137000000000.0,0.964800778,0.6173626862477466,-57.81029933941606
신성통상,유통업,2011,135000000000.0,0.876841473,-2.6681243668774335,-5.925925925925924
신세계,유통업,2011,2410000000000.0,1.055576631,-18.190035413923443,-10.788381742738585
신세계I&C,서비스업,2011,77744000000.0,0.722833554,-0.4054003835024078,13.938053097345126
신세계건설,건설업,2011,59600000000.0,0.790208827,1.4770796783316609,-24.496644295302016
신영와코루,섬유의복,2011,84420000000.0,0.411529319,0.3890160253685382,3.731343283582089
신원,섬유의복,2011,82556209450.0,0.729066209,8.16709377899587,11.15564118236052
신일전자,유통업,2011,16478297675.0,0.935506851,20.829933612105634,111.09622909515741
신풍,유통업,2011,26009272800.0,0.534875618,20.89639427161174,4.8387096774193505
신풍제약,의약품,2011,194000000000.0,1.037356913,4.59313862016939,13.917525773195871
신흥,유통업,2011,86592000000.0,1.061747949,-11.908412549238644,-21.286031042128606
쌍방울,섬유의복,2011,125000000000.0,1.408136519,-21.84253599348629,-29.185841079999996
쌍용C&E,비금속광물,2011,420000000000.0,0.775947845,3.682980007502956,27.142857142857135
써니전자,전기전자,2011,7725620000.0,0.701480937,144.95655425059684,452.89672544080605
씨아이테크,기타제조업,2011,14560000000.0,0.699043911,113.19177945031842,79.24892857142858
아남전자,전기전자,2011,35473344960.0,0.748332641,9.098061512994992,27.77509967303631
아모레G,화학,2011,2110000000000.0,0.706784628,51.69278907973083,87.67772511848342
아모레퍼시픽,화학,2011,6450000000000.0,2.53145371,6.810619934266948,16.279069767441868
아세아,서비스업,2011,173000000000.0,0.444318713,11.06176727695014,65.89595375722543
아세아제지,종이목재,2011,49420778800.0,0.626359845,5.631166059184389,84.59657701711491
아시아나항공,운수창고업,2011,1180000000000.0,1.055453047,-2.061021005323793,2.5423728813559254
아이에스동서,비금속광물,2011,352000000000.0,0.954458613,-8.384680269001876,-26.988636363636363
알루코,철강금속,2011,147000000000.0,1.021187541,-6.829552672734773,-23.129251700680275
에넥스,기타제조업,2011,20554248000.0,0.792781073,6.316383135953085,-5.973451327433632
에스메디,유통업,2011,34820602332.0,1.314452968,56.91280557099398,57.075187610226784
에스엘,운수장비,2011,706000000000.0,1.120900562,-21.54377071317769,-32.152974504249286
에스원,서비스업,2011,2200000000000.0,2.360405443,15.271926442511585,20.9090909090909
에스제이지세종,운수장비,2011,232000000000.0,0.93264263,-4.136791495366243,2.586206896551735
에쓰씨엔지니어링,건설업,2011,34092889700.0,0.774742428,-0.6072407848044303,-7.462686567164178
