종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap
유한양행,1.44616E+12,1.95171E+12,2.1073E+12,1.91201E+12,3.08158E+12,2.2632E+12,2.59994E+12,2.54192E+12,3.0708E+12,5.10361E+12,4.41511E+12,4.25332E+12,5.34773E+12
율촌화학,1.98896E+11,2.01376E+11,2.914E+11,2.8644E+11,2.9264E+11,3.4844E+11,5.2576E+11,3.1992E+11,3.472E+11,5.0964E+11,6.758E+11,9.0396E+11,7.8616E+11
이건산업,39210570720,60759348720,1.12692E+11,1.36082E+11,1.18575E+11,1.0639E+11,89235958000,1.09837E+11,81378078050,1.17193E+11,1.25408E+11,78201813900,70973074800
이수페타시스,2.12945E+11,1.91279E+11,2.8145E+11,1.96231E+11,1.90454E+11,1.74978E+11,1.74359E+11,2.68657E+11,1.68581E+11,1.64867E+11,4.62331E+11,3.56077E+11,1.86261E+12
이수화학,3.35001E+11,3.33824E+11,1.95558E+11,1.39335E+11,1.57363E+11,2.49031E+11,2.3299E+11,1.5278E+11,1.61947E+11,3.18329E+11,4.06811E+11,5.08864E+11,3.1062E+11
이아이디,58456300000,25035587500,62269642000,46185938055,61409602956,51682713714,44045772466,46984607024,1.22829E+11,2.18836E+11,2.84099E+11,90981746740,3.54103E+11
이월드,71469225360,47015539428,67834889352,1.36945E+11,2.39399E+11,2.24917E+11,1.57035E+11,2.2537E+11,4.83323E+11,3.29016E+11,3.80041E+11,2.14127E+11,2.45325E+11
이화산업,19600000000,18508000000,20580000000,38220000000,49560000000,54040000000,50400000000,53060000000,43400000000,44660000000,43540000000,44100000000,42392000000
인디에프,35713394970,29171832525,45496272140,78380883350,1.54404E+11,1.03722E+11,61584979775,1.33778E+11,1.39671E+11,88104827525,92634023450,1.06777E+11,60015283005
인천도시가스,82800000000,88000000000,1.072E+11,1.32E+11,1.43711E+11,1.35399E+11,1.30149E+11,1.29055E+11,1.25555E+11,1.09369E+11,1.18775E+11,1.22056E+11,1.11775E+11
인팩,36050000000,35350000000,62300000000,72900000000,63800000000,66900000000,45450000000,31150000000,37200000000,60900000000,1.315E+11,66600000000,90900000000
일동홀딩스,1.88512E+11,2.9831E+11,2.53187E+11,3.77274E+11,6.31715E+11,1.86349E+11,1.58928E+11,1.37947E+11,1.22129E+11,1.59835E+11,1.70798E+11,2.32539E+11,1.21405E+11
일성건설,26256048280,25427147960,28802692680,31775142560,60943308600,49554712000,57748523800,76175080800,68611597600,61588363200,3.38736E+11,1.15613E+11,77849852080
일신방직,1.968E+11,1.8504E+11,2.808E+11,4.128E+11,3.696E+11,2.964E+11,2.64E+11,2.304E+11,1.7184E+11,1.9224E+11,2.568E+11,2.472E+11,2.06726E+11
일신석재,83265855750,61500548340,72421930350,95271630300,99919026900,1.07277E+11,95658913350,1.76988E+11,1.87445E+11,1.46006E+11,1.74277E+11,79005742200,84272791680
일양약품,5.93676E+11,4.93872E+11,4.80451E+11,4.29116E+11,9.47919E+11,8.04481E+11,7.45617E+11,5.31932E+11,4.38082E+11,1.29144E+12,5.48149E+11,3.78699E+11,3.06052E+11
일정실업,16140000000,17640000000,25200000000,26340000000,35700000000,34980000000,29880000000,23100000000,21840000000,22080000000,43680000000,19680000000,15480000000
일진다이아,99810078750,74434635000,81990878250,84246473250,96765025500,1.00487E+11,2.31198E+11,3.17475E+11,3.96973E+11,6.80323E+11,4.3106E+11,2.35769E+11,2.0779E+11
일진전기,2.25078E+11,1.6816E+11,2.92935E+11,2.9516E+11,1.90593E+11,1.84846E+11,1.64637E+11,1.11241E+11,1.12168E+11,1.17545E+11,1.89481E+11,1.96897E+11,3.94535E+11
일진홀딩스,1.04617E+11,88331994570,1.81845E+11,3.33589E+11,5.89702E+11,3.18785E+11,2.58087E+11,1.49523E+11,2.50192E+11,2.74372E+11,2.70424E+11,1.88507E+11,1.92949E+11
자화전자,1.6234E+11,3.24324E+11,3.7232E+11,2.21065E+11,2.72975E+11,3.05195E+11,4.77035E+11,2.1122E+11,1.8974E+11,4.0812E+11,4.48395E+11,4.30333E+11,6.27011E+11
