종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
에이엔피  ,1,3,1,1,1,3,1,1,1,1,1,1,3,3,3,5,3,5,3,3
에이프로젠  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,1,3
에이프로젠바이오로직스  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,3,3
에이플러스에셋  ,3,1,3,3,3,1,3,3,1,1,1,3,,,,,,,,
에코바이브  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,3
엔씨소프트  ,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,6,1,6,7
엔에이치엔  ,7,6,8,7,7,6,8,7,7,6,7,7,6,3,7,7,5,1,6,6
엔케이  ,3,1,3,3,3,1,3,3,1,1,1,1,3,5,3,3,3,5,3,3
엔피씨  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,1,3,3,3,3,3
엘앤에프  ,-,-,-,-,-,-,-,-,-,-,-,-,6,5,6,6,5,5,6,5
엘에스일렉트릭  ,7,7,8,7,7,7,8,7,7,6,7,7,7,6,8,6,7,6,8,6
엠씨넥스  ,3,3,3,5,3,3,3,5,-,-,-,-,3,3,5,5,,,,
영보화학  ,1,3,3,1,1,3,3,1,1,3,3,1,5,5,3,5,5,5,5,5
영원무역  ,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,5,1,5,6
영원무역홀딩스  ,6,6,6,6,6,6,6,6,3,3,6,3,7,6,6,7,5,1,5,5
영진약품  ,6,6,7,6,6,6,7,6,6,6,6,5,6,6,7,6,5,1,6,6
영풍  ,6,6,6,5,6,6,6,5,5,3,6,5,3,1,3,6,3,1,5,1
영풍제지  ,3,3,1,3,3,3,1,3,1,3,1,1,5,5,3,5,5,5,3,5
영화금속  ,3,3,1,3,3,3,1,3,1,1,1,3,3,3,3,6,5,5,3,5
영흥  ,3,3,3,3,3,3,3,3,3,1,1,5,5,3,5,6,5,3,5,6
예스코홀딩스  ,5,3,5,6,5,3,5,6,5,3,5,5,6,5,6,6,5,1,6,6
오뚜기  ,6,6,7,6,6,6,7,6,3,3,6,3,7,6,8,6,6,6,7,5
오리엔트바이오  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,5,5,3
오리온  ,7,7,7,6,7,7,7,6,7,6,7,7,7,7,7,6,6,5,6,7
오리온홀딩스  ,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,3,6,7
와이투솔루션  ,3,3,3,3,3,3,3,3,1,1,1,3,,,,,1,3,3,1
용평리조트  ,1,3,1,1,1,3,1,1,1,3,1,1,3,3,3,5,5,3,5,5
우리금융지주  ,7,8,8,7,7,8,8,7,7,7,8,6,7,8,8,7,6,6,6,6
우리종금  ,6,6,7,6,6,6,7,6,5,3,5,6,5,1,6,5,5,1,5,5
우성  ,3,1,3,3,3,1,3,3,3,1,3,5,3,1,3,6,3,1,3,3
우신시스템  ,3,1,1,5,3,1,1,5,1,1,1,3,5,3,3,6,6,5,5,6
우진  ,3,1,3,3,3,1,3,3,3,1,3,5,5,3,3,6,6,5,5,6
우진아이엔에스  ,3,3,1,5,3,3,1,5,3,1,1,5,3,3,3,6,3,3,3,6
우진플라임  ,3,3,1,3,3,3,1,3,1,1,1,1,5,5,3,5,5,5,5,5
웅진  ,6,5,7,5,6,5,7,5,3,3,6,3,5,1,6,6,5,1,5,6
웅진씽크빅  ,6,6,8,5,6,6,8,5,6,3,6,6,6,5,7,6,5,1,5,5
원림  ,3,3,1,3,3,3,1,3,1,1,1,3,3,1,5,5,3,1,5,3
웰바이오텍  ,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,5,5
윌비스  ,1,1,3,1,1,1,3,1,1,1,1,3,3,1,1,6,3,1,3,3
유나이티드  ,5,3,5,6,5,3,5,6,5,3,3,6,5,3,5,6,5,5,6,5
유니드  ,6,6,6,5,6,6,6,5,5,3,6,5,6,5,6,6,5,5,5,5
유니온  ,3,3,3,5,3,3,3,5,3,3,3,5,5,5,5,5,3,3,5,3
유니온머티리얼  ,3,3,1,3,3,3,1,3,1,1,1,3,5,5,3,5,5,5,5,5
유니켐  ,1,3,3,1,1,3,3,1,1,1,1,1,5,3,3,6,5,5,3,5
유니퀘스트  ,3,1,1,5,3,1,1,5,1,1,1,1,5,5,3,6,5,1,3,6
유성기업  ,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,3,3,5,3,3
유수홀딩스  ,6,6,7,6,6,6,7,6,6,5,6,6,6,1,5,7,5,3,5,6
유안타증권  ,3,3,1,5,3,3,1,5,3,1,3,5,3,1,3,5,5,1,6,5
유엔젤  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,3,5,3,3
유유제약  ,1,1,3,1,1,1,3,1,3,1,5,1,5,1,5,6,5,5,3,5
유진증권  ,5,3,5,5,5,3,5,5,5,3,6,5,3,3,3,5,5,3,6,5
유한양행  ,7,6,8,7,7,6,8,7,6,5,7,6,6,6,7,6,6,6,6,6
유화증권  ,3,1,3,3,3,1,3,3,1,1,1,3,3,1,3,3,3,1,3,5
율촌화학  ,1,3,3,1,1,3,3,1,3,3,3,3,5,5,5,6,5,3,6,6
이건산업  ,1,1,3,1,1,1,3,1,1,1,3,1,3,1,3,6,5,3,5,5
이구산업  ,3,3,1,3,3,3,1,3,3,3,3,3,5,5,3,6,5,5,3,5
이노션  ,6,7,7,6,6,7,7,6,6,5,7,6,7,6,7,7,6,1,7,7
이마트  ,7,7,6,7,7,7,6,7,7,8,7,6,7,7,7,7,7,7,8,7
이수페타시스  ,3,5,6,3,3,5,6,3,3,5,6,1,5,5,7,3,5,6,6,3
이수화학  ,3,5,5,1,3,5,5,1,3,5,6,1,5,5,6,5,3,5,5,3
이스타코  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,3,5,3,1,3,5
이아이디  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3
이엔플러스  ,1,3,1,1,1,3,1,1,1,1,3,1,3,1,5,5,5,5,3,5
이연제약  ,3,1,1,6,3,1,1,6,3,1,1,6,5,1,5,6,3,1,5,5
이월드  ,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,5,3,1,3,5
이화산업  ,3,3,1,3,3,3,1,3,1,1,1,1,3,1,3,5,3,3,3,3
인디에프  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,5,5,3,1,5,5
인바이오젠  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,5,3
인스코비  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,3,5,3,3
인지컨트롤스  ,3,3,3,3,3,3,3,3,1,1,3,1,3,1,3,5,3,3,5,3
인천도시가스  ,5,1,5,6,5,1,5,6,3,1,5,5,3,1,3,5,5,3,5,6
인터지스  ,3,3,3,3,3,3,3,3,3,3,5,3,5,5,3,6,6,5,5,6
인팩  ,3,3,3,5,3,3,3,5,3,1,3,5,3,1,3,6,3,3,3,5
일동제약  ,6,6,8,5,6,6,8,5,5,3,8,5,7,6,7,7,7,6,8,6
일동홀딩스  ,7,6,8,6,7,6,8,6,6,3,8,6,7,6,7,7,6,5,7,6
일성건설  ,1,3,1,1,1,3,1,1,1,1,1,3,5,5,3,6,5,5,5,5
일성아이에스  ,3,1,3,5,3,1,3,5,1,1,1,1,3,1,3,6,3,1,5,5
일신방직  ,1,3,3,1,1,3,3,1,1,3,3,1,6,5,5,7,5,5,5,5
일신석재  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,3,5,3,1,3,5
일양약품  ,3,1,3,6,3,1,3,6,3,1,3,6,3,1,3,6,5,1,5,6
일정실업  ,1,1,1,3,1,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
일진다이아  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,3,5,3,3,5,5
일진디스플  ,3,3,1,3,3,3,1,3,1,1,1,3,5,5,5,5,5,5,5,5
일진전기  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,3,5,3,3,5,3
일진하이솔루스  ,3,3,5,3,3,3,5,3,-,-,-,-,,,,,,,,
일진홀딩스  ,5,1,3,6,5,1,3,6,3,1,3,5,3,3,3,5,5,3,5,5
잇츠한불  ,3,3,3,5,3,3,3,5,3,1,3,5,6,6,5,6,5,3,5,5
자이에스앤디  ,3,3,5,5,3,3,5,5,5,3,6,6,5,3,5,6,,,,
자화전자  ,1,3,3,1,1,3,3,1,1,1,3,3,3,3,3,6,5,5,6,5
전방  ,1,3,3,1,1,3,3,1,1,3,3,1,3,3,5,5,3,3,6,3
제이에스코퍼레이션  ,1,1,1,3,1,1,1,3,3,1,1,5,3,1,3,6,3,1,3,6
제이준코스메틱  ,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,5,3,1,3,5
제일기획  ,7,7,8,7,7,7,8,7,7,6,7,7,6,3,7,6,6,1,7,6
제일약품  ,3,3,6,1,3,3,6,1,1,1,1,1,3,1,5,5,3,1,5,5
제일연마  ,3,3,1,5,3,3,1,5,3,1,1,6,3,3,3,6,3,3,3,5
제일파마홀딩스  ,3,3,6,1,3,3,6,1,1,1,1,1,5,1,5,5,5,1,5,5
제주은행  ,6,6,7,6,6,6,7,6,6,7,7,6,7,5,8,7,6,3,7,7
제주항공  ,7,7,8,6,7,7,8,6,5,3,6,6,6,5,6,6,5,3,6,6
조광페인트  ,3,3,5,3,3,3,5,3,3,3,3,3,5,5,6,5,3,3,5,5
조광피혁  ,3,1,1,5,3,1,1,5,3,1,1,5,3,1,3,5,3,1,3,5
조비  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,3,1,5,5
조선선재  ,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,6,3,1,3,6
조일알미늄  ,3,3,3,5,3,3,3,5,3,3,3,5,5,5,3,6,5,5,3,5
조흥  ,3,3,5,3,3,3,5,3,3,3,3,3,3,1,3,5,5,5,3,5
종근당  ,6,7,7,5,6,7,7,5,6,6,7,5,7,7,8,6,5,3,6,6
종근당바이오  ,6,7,7,5,6,7,7,5,6,5,7,5,6,6,7,6,3,5,3,3
종근당홀딩스  ,6,7,7,6,6,7,7,6,6,6,7,5,6,6,7,6,3,3,6,3
주성코퍼레이션  ,1,3,1,1,1,3,1,1,1,1,1,3,5,5,3,5,1,3,3,1
주연테크  ,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,3
지누스  ,7,7,7,7,7,7,7,7,6,5,6,7,3,1,3,6,,,,
지엠비코리아  ,1,1,3,1,1,1,3,1,1,1,3,1,3,3,3,5,3,3,5,3
지역난방공사  ,8,8,8,7,8,8,8,7,8,7,8,8,7,6,8,7,7,6,8,6
진도  ,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,5,1,5,5
진양산업  ,3,1,1,5,3,1,1,5,1,1,1,1,1,1,3,3,1,1,3,3
진양폴리우레탄  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,3,6,3,1,3,5
진양홀딩스  ,3,1,1,5,3,1,1,5,1,1,1,1,3,1,3,5,3,1,3,3
진양화학  ,3,3,1,3,3,3,1,3,1,1,1,3,3,1,3,5,1,1,3,3
진에어  ,7,7,7,7,7,7,7,7,6,5,6,7,6,3,7,7,6,3,6,7
진원생명과학  ,1,1,3,1,1,1,3,1,1,1,1,1,3,1,3,6,3,1,3,5
진흥기업  ,3,3,3,5,3,3,3,5,3,1,3,5,3,3,3,6,3,3,5,5
참엔지니어링  ,1,1,1,1,1,1,1,1,3,1,3,5,5,1,5,6,5,5,5,5
천일고속  ,1,3,1,1,1,3,1,1,1,1,1,1,5,3,3,6,5,3,5,6
청호ICT  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,3,3
체시스  ,1,3,1,1,1,3,1,1,1,1,1,3,3,1,5,5,3,3,5,3
카카오  ,7,8,8,6,7,8,8,6,7,7,7,7,7,7,8,7,6,3,8,7
카카오뱅크  ,6,6,7,6,6,6,7,6,-,-,-,-,-,-,-,-,,,,
카카오페이  ,7,7,8,7,7,7,8,7,-,-,-,-,,,,,,,,
카프로  ,3,3,3,3,3,3,3,3,3,3,1,3,5,5,3,6,6,6,5,6
케이비아이동국실업  ,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,3
케이씨  ,3,3,7,1,3,3,7,1,3,1,5,3,5,5,3,6,6,5,5,6
케이씨씨  ,7,7,7,6,7,7,7,6,7,6,7,7,6,6,8,5,5,6,7,3
케이씨씨글라스  ,7,7,8,7,7,7,8,7,6,6,7,6,-,-,-,-,,,,
케이씨텍  ,5,3,5,5,5,3,5,5,3,1,3,5,5,5,5,5,5,5,5,5
케이씨티시  ,1,3,3,1,1,3,3,1,1,1,3,1,5,5,3,5,5,5,5,5
케이카  ,5,3,5,5,5,3,5,5,-,-,-,-,,,,,,,,
케이탑리츠  ,1,1,1,1,1,1,1,1,,,,,,,,,,,,
케이티  ,7,6,7,7,7,6,7,7,7,7,6,7,8,8,6,8,8,7,7,8
케이티스카이라이프  ,6,6,7,6,6,6,7,6,7,5,8,7,7,5,7,7,6,3,6,6
케이티앤지  ,8,8,8,8,8,8,8,8,7,7,8,7,7,7,8,7,7,6,8,7
코리아써키트  ,1,3,3,1,1,3,3,1,1,3,1,1,5,6,3,6,3,6,5,3
코리안리  ,7,7,7,7,7,7,7,7,6,3,6,6,6,5,6,7,5,1,5,6
코스맥스  ,5,7,7,1,5,7,7,1,5,6,7,3,7,7,7,6,6,6,6,5
코스맥스비티아이  ,5,7,7,3,5,7,7,3,6,6,7,5,6,7,7,6,5,5,5,5
코스모신소재  ,3,3,3,3,3,3,3,3,1,3,3,1,5,5,3,5,6,6,5,6
코스모화학  ,1,3,3,1,1,3,3,1,1,3,1,1,5,5,3,5,3,5,3,1
코아스  ,5,3,3,6,5,3,3,6,3,1,1,6,5,3,3,6,6,5,5,6
코오롱  ,6,6,7,5,6,6,7,5,3,3,7,3,5,5,6,5,5,3,6,5
코오롱글로벌  ,3,5,6,3,3,5,6,3,3,1,3,6,5,3,5,6,5,3,5,6
코오롱인더  ,6,6,8,5,6,6,8,5,6,5,7,7,7,6,7,7,6,6,6,6
코오롱플라스틱  ,5,3,5,6,5,3,5,6,5,3,5,6,6,5,6,6,6,5,6,6
코웨이  ,7,7,8,6,7,7,8,6,6,7,7,5,7,7,8,6,7,7,8,6
콘텐트리중앙  ,1,1,1,1,1,1,1,1,1,1,3,1,3,1,5,3,5,1,5,5
콜마홀딩스  ,7,7,8,7,7,7,8,7,6,6,6,6,6,5,6,7,5,5,5,5
콤텍시스템  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,3,3,1,5,3
쿠쿠홀딩스  ,1,1,3,1,1,1,3,1,3,1,1,5,5,1,3,6,5,1,5,6
쿠쿠홈시스  ,1,1,3,1,1,1,3,1,3,1,1,5,5,1,3,6,3,1,3,3
크라운제과  ,3,3,5,3,3,3,5,3,3,3,5,3,5,3,6,6,5,1,6,5
크라운해태홀딩스  ,1,3,3,1,1,3,3,1,3,3,5,3,5,3,6,5,5,1,6,5
크래프톤  ,6,3,7,7,6,3,7,7,-,-,-,-,-,-,-,-,,,,
키다리스튜디오  ,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5
키움증권  ,6,5,7,5,6,5,7,5,5,5,3,5,5,3,7,5,5,1,6,6
태경비케이  ,3,3,3,3,3,3,3,3,1,3,3,1,3,3,5,5,3,3,5,5
태경산업  ,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,6,5,5,5,5
태경케미컬  ,1,1,1,1,1,1,1,1,1,1,3,1,3,1,5,5,1,1,3,3
태광산업  ,3,3,3,3,3,3,3,3,1,1,3,3,6,5,7,6,3,5,6,1
태림포장  ,5,7,7,1,5,7,7,1,3,3,6,3,3,5,3,3,3,5,3,3
태양금속공업  ,1,3,3,1,1,3,3,1,1,1,1,1,5,5,3,5,5,6,5,5
태영건설  ,7,7,7,6,7,7,7,6,6,6,5,6,6,7,5,6,5,5,5,6
태원물산  ,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,3,5
테이팩스  ,7,7,7,6,7,7,7,6,6,5,7,5,6,6,6,6,6,6,6,5
텔코웨어  ,3,1,1,5,3,1,1,5,1,1,1,3,3,1,3,5,5,1,5,5
토니모리  ,3,1,1,5,3,1,1,5,3,1,1,6,3,1,3,6,3,1,3,6
티비에이치글로벌  ,1,1,1,3,1,1,1,3,1,1,1,3,5,1,6,6,5,3,5,6
티에이치엔  ,3,3,5,3,3,3,5,3,1,1,3,1,5,3,5,6,5,5,5,5
티와이홀딩스  ,6,7,7,5,6,7,7,5,6,6,5,6,,,,,,,,
티웨이항공  ,5,5,3,5,5,5,3,5,3,1,3,5,5,3,6,5,5,3,5,5
티웨이홀딩스  ,1,3,3,1,1,3,3,1,1,1,3,1,3,1,1,5,3,1,5,3
티케이지휴켐스  ,6,6,7,5,6,6,7,5,5,5,6,5,6,5,7,6,3,5,6,3
파미셀  ,1,3,1,1,1,3,1,1,1,1,1,1,5,3,5,6,5,5,3,5
팜스코  ,7,6,7,7,7,6,7,7,5,5,7,3,6,6,7,6,5,1,6,6
팜젠사이언스  ,1,1,3,1,1,1,3,1,1,1,1,1,3,1,3,3,3,1,5,3
팬오션  ,7,8,7,7,7,8,7,7,5,7,6,3,6,6,1,7,6,5,5,7
퍼스텍  ,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,5,3,5,5,3
퍼시스  ,1,3,3,1,1,3,3,1,1,1,3,1,5,3,6,5,5,5,5,5
페이퍼코리아  ,1,3,3,1,1,3,3,1,1,3,1,1,5,5,3,5,3,3,5,3
평화산업  ,1,1,3,3,1,1,3,3,3,1,3,5,5,6,3,6,5,5,5,5
평화홀딩스  ,3,1,3,6,3,1,3,6,3,1,1,6,5,6,3,6,5,3,5,6
포스코DX  ,-,-,-,-,-,-,-,-,-,-,-,-,7,7,8,7,6,5,7,6
포스코스틸리온  ,7,7,8,6,7,7,8,6,7,6,8,6,7,7,8,7,7,6,8,6
포스코인터내셔널  ,7,7,8,7,7,7,8,7,7,6,8,7,8,7,8,8,8,7,8,8
포스코퓨처엠  ,7,7,8,7,7,7,8,7,6,6,7,5,7,7,8,6,7,7,8,6
풀무원  ,7,7,8,7,7,7,8,7,7,6,8,7,8,7,8,8,8,7,8,8
풍산  ,6,6,6,6,6,6,6,6,5,3,6,6,6,5,7,7,6,6,7,6
풍산홀딩스  ,6,6,6,6,6,6,6,6,5,3,6,6,5,1,7,6,5,5,6,5
플레이그램  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,3,3
하나금융지주  ,7,8,8,7,7,8,8,7,7,8,8,7,7,7,8,7,7,7,7,7
하나제약  ,3,1,3,3,3,1,3,3,3,1,3,5,5,1,5,6,5,1,5,6
하나투어  ,6,6,7,6,6,6,7,6,6,6,6,6,6,5,7,6,5,1,5,5
하이브  ,3,5,6,3,3,5,6,3,3,1,1,5,-,-,-,-,,,,
하이스틸  ,3,3,3,3,3,3,3,3,3,1,3,5,5,3,5,6,5,5,3,5
하이트진로  ,5,7,7,3,5,7,7,3,5,5,6,5,6,6,7,5,5,5,5,5
하이트진로홀딩스  ,6,7,7,5,6,7,7,5,5,5,6,5,6,6,7,5,5,3,5,5
한국가스공사  ,7,7,8,6,7,7,8,6,6,6,7,6,6,6,7,6,7,6,8,6
한국공항  ,6,7,5,6,6,7,5,6,3,3,6,3,5,1,5,6,3,1,5,5
한국금융지주  ,6,3,6,6,6,3,6,6,5,1,6,6,6,3,7,6,5,1,6,6
한국내화  ,3,6,6,1,3,6,6,1,3,3,6,1,5,5,5,5,3,3,5,1
한국단자공업  ,3,3,5,3,3,3,5,3,1,1,3,3,3,3,3,6,3,3,5,5
한국무브넥스  ,3,3,3,3,3,3,3,3,1,1,3,3,5,5,6,5,3,5,6,3
한국석유공업  ,6,6,6,6,6,6,6,6,5,1,5,6,6,5,6,6,3,3,3,5
한국수출포장공업  ,1,3,1,1,1,3,1,1,1,3,1,1,5,5,3,6,5,5,3,5
한국쉘석유  ,3,3,3,6,3,3,3,6,3,3,3,5,5,3,6,6,5,3,6,5
한국앤컴퍼니  ,6,6,7,6,6,6,7,6,5,3,5,6,7,6,8,6,5,6,6,5
한국자산신탁  ,3,3,3,5,3,3,3,5,3,3,1,5,3,3,6,3,3,1,5,3
한국전력공사  ,6,5,7,7,6,5,7,7,5,5,5,6,6,6,6,6,7,6,7,7
한국전자홀딩스  ,1,3,3,1,1,3,3,1,1,3,1,1,5,5,6,5,3,3,5,3
한국제지  ,3,3,3,3,3,3,3,3,1,1,3,1,5,5,5,5,5,6,5,5
한국종합기술  ,3,3,3,5,3,3,3,5,3,1,3,5,5,5,3,6,5,5,3,5
한국주강  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3
한국주철관공업  ,1,3,1,1,1,3,1,1,1,3,3,1,3,3,3,5,3,3,3,5
한국철강  ,3,3,1,5,3,3,1,5,3,3,1,5,5,5,5,6,3,6,5,3
한국카본  ,5,6,6,3,5,6,6,3,3,6,7,1,5,5,6,5,6,5,5,6
한국콜마  ,7,7,8,7,7,7,8,7,6,6,6,6,6,6,7,6,6,5,6,6
한국타이어앤테크놀로지  ,5,6,8,1,5,6,8,1,5,5,7,3,6,6,7,5,6,7,7,5
한국토지신탁  ,3,1,3,5,3,1,3,5,3,1,3,3,3,1,3,3,3,1,5,3
한국특강  ,3,3,3,3,3,3,3,3,1,3,3,1,3,3,5,5,5,5,5,5
한국항공우주  ,6,6,7,6,6,6,7,6,3,5,7,1,7,7,8,6,7,7,8,6
한국화장품  ,1,1,3,1,1,1,3,1,3,1,3,3,5,1,5,5,5,1,6,5
한국화장품제조  ,1,1,3,1,1,1,3,1,1,1,3,3,3,3,5,5,3,1,5,5
한농화성  ,1,3,3,1,1,3,3,1,1,1,1,1,3,3,5,5,3,3,3,5
한독  ,7,7,8,6,7,7,8,6,6,5,7,6,7,6,7,7,6,6,6,5
한미글로벌  ,6,7,8,5,6,7,8,5,6,6,7,6,7,7,7,7,6,5,6,6
한미반도체  ,1,1,1,3,1,1,1,3,3,1,1,5,3,1,1,5,3,1,3,5
한미사이언스  ,6,7,7,5,6,7,7,5,6,5,8,5,7,6,8,7,5,5,5,5
한미약품  ,6,7,7,5,6,7,7,5,6,5,8,5,7,6,8,7,7,6,8,6
한샘  ,7,7,7,7,7,7,7,7,7,6,7,7,7,6,8,7,6,6,8,5
한섬  ,7,7,8,7,7,7,8,7,6,7,7,5,7,7,8,7,7,6,7,7
한성기업  ,3,5,5,1,3,5,5,1,1,1,1,1,3,1,5,5,3,1,5,3
한세실업  ,6,6,7,6,6,6,7,6,3,3,6,3,5,5,5,6,5,3,5,6
한세엠케이  ,3,5,6,3,3,5,6,3,3,3,5,3,3,1,3,6,3,3,3,5
한세예스24홀딩스  ,7,6,7,7,7,6,7,7,6,3,6,6,5,1,5,6,5,3,5,5
한솔로지스틱스  ,5,3,6,6,5,3,6,6,6,3,7,6,6,5,6,6,6,5,6,7
한솔제지  ,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,7,7
한솔케미칼  ,6,6,6,6,6,6,6,6,5,3,6,6,7,7,7,7,6,5,6,6
한솔테크닉스  ,6,6,7,6,6,6,7,6,6,5,7,6,7,6,7,7,6,6,6,7
한솔피엔에스  ,6,5,5,7,6,5,5,7,5,3,5,6,7,6,6,7,7,6,6,7
한솔홀딩스  ,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7
한솔홈데코  ,6,6,6,6,6,6,6,6,5,3,5,6,7,6,7,7,6,5,6,7
한신공영  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,3,5,3,3,5,5
한신기계공업  ,1,3,1,1,1,3,1,1,1,1,1,1,3,1,3,6,3,5,3,3
한양증권  ,3,1,5,3,3,1,5,3,1,1,1,3,3,1,6,3,3,1,6,3
한온시스템  ,6,6,8,5,6,6,8,5,5,6,7,3,6,6,6,6,5,5,5,6
한올바이오파마  ,5,5,1,6,5,5,1,6,3,1,3,3,5,1,5,6,5,1,6,5
한익스프레스  ,3,3,3,3,3,3,3,3,1,1,3,1,3,5,5,3,3,5,3,1
한일시멘트  ,7,7,8,6,7,7,8,6,3,6,7,1,6,6,6,5,5,3,6,5
한일철강  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,1,1,1,3
한일현대시멘트  ,6,7,8,5,6,7,8,5,6,6,6,5,6,6,6,6,6,5,6,6
한일홀딩스  ,7,7,8,6,7,7,8,6,3,6,7,1,5,6,6,5,5,1,6,6
한전KPS  ,7,7,7,7,7,7,7,7,7,6,7,7,5,5,5,6,6,6,7,6
한전기술  ,7,6,8,7,7,6,8,7,6,5,6,6,6,5,6,6,6,6,7,6
한전산업  ,3,3,1,5,3,3,1,5,3,3,5,3,6,5,6,6,6,5,6,6
한진  ,7,7,7,7,7,7,7,7,6,6,7,6,7,7,6,7,5,5,3,6
한진중공업홀딩스  ,3,1,3,6,3,1,3,6,3,1,1,6,5,1,3,6,5,1,3,6
한진칼  ,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7,6,5,5,7
한창  ,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,3,1,5,3
한창제지  ,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,5,5,5,3,5
한컴라이프케어  ,3,3,5,1,3,3,5,1,,,,,,,,,,,,
한화  ,6,6,6,6,6,6,6,6,7,7,8,7,7,7,8,7,7,6,7,7
한화생명  ,7,7,8,6,7,7,8,6,7,7,8,6,7,8,8,6,7,7,8,6
한화손해보험  ,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,6,6,5,7,5
한화솔루션  ,6,7,8,5,6,7,8,5,5,7,7,3,7,7,8,6,6,7,7,5
한화시스템  ,7,7,8,7,7,7,8,7,7,6,8,7,7,6,7,7,,,,
한화에어로스페이스  ,7,7,7,7,7,7,7,7,6,6,7,5,7,7,7,7,7,7,7,7
한화엔진  ,6,5,7,6,6,5,7,6,6,5,7,6,7,6,7,7,7,6,7,7
한화오션  ,6,6,6,6,6,6,6,6,6,5,6,6,7,5,8,7,6,6,5,7
한화투자증권  ,7,7,8,6,7,7,8,6,6,6,7,6,6,6,7,6,6,5,7,6
해성디에스  ,7,7,8,6,7,7,8,6,6,6,7,6,7,7,8,7,7,7,7,7
해태제과식품  ,1,1,3,1,1,1,3,1,3,1,5,3,5,1,6,6,5,1,6,5
핸즈코퍼레이션  ,3,3,5,1,3,3,5,1,3,3,5,1,5,5,5,6,5,5,5,6
현대건설  ,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,8,7,7
현대글로비스  ,8,8,8,7,8,8,8,7,7,7,8,7,7,7,8,7,7,7,8,7
현대로템  ,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7,6,5,7,6
현대리바트  ,7,7,8,6,7,7,8,6,7,7,7,7,7,7,8,7,7,5,7,7
현대모비스  ,7,8,8,6,7,8,8,6,7,7,8,6,7,7,8,7,7,6,8,7
현대백화점  ,8,8,8,7,8,8,8,7,7,7,7,7,7,7,8,7,7,6,7,7
현대비앤지스틸  ,5,7,6,3,5,7,6,3,3,6,6,1,7,6,8,6,6,6,7,6
현대약품  ,3,3,3,5,3,3,3,5,1,1,3,1,5,3,5,6,5,5,6,5
현대엘리베이터  ,6,6,7,6,6,6,7,6,5,3,5,5,7,6,7,7,7,6,7,7
