종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
동화약품  ,3,3,5,3,3,3,5,3,3,3,6,3,5,1,6,5,5,1,6,5
두산  ,6,7,8,5,6,7,8,5,6,6,7,5,7,7,8,6,8,8,8,7
두산밥캣  ,7,5,7,7,7,5,7,7,6,5,7,6,6,3,7,7,6,1,7,7
두산에너빌리티  ,6,7,8,5,6,7,8,5,5,6,7,3,7,8,7,6,7,7,8,6
두산퓨얼셀  ,7,6,8,7,7,6,8,7,6,6,8,5,6,5,7,7,,,,
두올  ,3,3,5,1,3,3,5,1,1,1,3,3,5,3,5,6,5,3,5,6
드림텍  ,3,3,3,6,3,3,3,6,1,1,1,3,3,3,3,6,,,,
디씨엠  ,3,1,3,5,3,1,3,5,3,1,3,5,3,1,3,6,3,3,3,5
디아이  ,1,3,3,1,1,3,3,1,1,1,3,1,5,1,5,6,5,5,5,5
디아이동일  ,1,1,1,3,1,1,1,3,1,1,3,3,3,1,3,6,1,1,3,3
디아이씨  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,3,5,3,3,5,3
디와이  ,3,1,3,5,3,1,3,5,3,1,1,6,5,3,3,6,3,3,3,6
디와이파워  ,3,3,1,3,3,3,1,3,3,1,1,5,5,3,3,6,3,1,5,5
락앤락  ,3,3,3,5,3,3,3,5,5,5,6,5,3,3,3,6,3,3,6,3
롯데관광개발  ,1,1,3,1,1,1,3,1,1,1,3,1,5,1,5,5,3,1,5,3
롯데렌탈  ,6,7,7,5,6,7,7,5,,,,,,,,,,,,
롯데손해보험  ,6,5,6,6,6,5,6,6,6,5,6,6,7,5,8,7,6,3,7,7
롯데쇼핑  ,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7
롯데에너지머티리얼즈  ,3,5,5,3,3,5,5,3,1,1,1,1,3,3,3,5,3,5,3,3
롯데웰푸드  ,6,6,7,6,6,6,7,6,7,5,7,7,7,7,7,7,7,7,8,6
롯데이노베이트  ,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7,6,7,7
롯데정밀화학  ,8,8,8,7,8,8,8,7,7,7,8,7,7,7,8,7,7,7,8,7
롯데지주  ,7,7,8,7,7,7,8,7,7,7,8,6,7,6,8,7,6,5,7,5
롯데칠성음료  ,7,8,7,6,7,8,7,6,6,7,7,5,7,6,8,7,6,6,7,6
롯데케미칼  ,6,7,8,5,6,7,8,5,7,6,8,7,7,5,8,7,6,5,7,7
롯데하이마트  ,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7,7,6,8,7
마니커  ,1,1,1,3,1,1,1,3,1,1,1,1,3,1,5,5,3,1,6,3
만호제강  ,3,3,3,6,3,3,3,6,3,1,3,6,3,3,3,6,3,3,5,5
맵스리얼티1  ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
메리츠금융지주  ,6,5,7,6,6,5,7,6,5,3,3,6,6,1,6,7,6,1,6,7
메리츠증권  ,-,-,-,-,-,-,-,-,6,3,7,6,6,3,7,6,6,5,7,6
메타랩스  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,6,3,1,5,5
명문제약  ,3,1,1,5,3,1,1,5,1,1,1,3,5,1,5,6,3,1,5,5
명신산업  ,1,3,3,1,1,3,3,1,1,1,1,1,-,-,-,-,,,,
모나리자  ,6,6,7,5,6,6,7,5,1,1,3,1,5,5,3,5,5,5,5,5
모나미  ,1,1,3,1,1,1,3,1,1,1,1,1,3,1,3,5,3,1,3,5
모토닉  ,3,3,3,5,3,3,3,5,5,3,5,6,5,5,5,6,5,5,5,5
무림P&P  ,6,6,7,6,6,6,7,6,6,5,7,6,7,6,7,7,6,6,6,6
무림페이퍼  ,6,6,7,5,6,6,7,5,5,5,6,5,7,6,6,7,6,6,6,6
무학  ,3,3,1,3,3,3,1,3,3,1,3,5,5,1,5,6,3,5,3,3
문배철강  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,3,5,3,1,3,5
미래산업  ,1,3,1,1,1,3,1,1,1,1,1,1,3,3,3,3,5,5,3,5
미래아이앤지  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,3,3
미래에셋생명  ,6,5,6,6,6,5,6,6,6,5,7,6,6,3,8,6,5,1,6,5
미래에셋증권  ,7,7,8,6,7,7,8,6,7,7,8,6,6,7,8,5,7,6,8,6
미원상사  ,3,3,1,5,3,3,1,5,3,3,1,3,3,3,1,5,3,1,5,5
미원에스씨  ,3,5,6,3,3,5,6,3,3,3,3,5,3,3,3,6,3,3,3,5
미원홀딩스  ,3,3,5,1,3,3,5,1,3,3,3,5,3,3,3,5,3,3,3,3
미원화학  ,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,6,3,3,3,3
미창석유공업  ,1,3,1,1,1,3,1,1,3,1,1,5,3,3,3,5,3,3,3,5
방림  ,3,3,1,3,3,3,1,3,1,1,1,3,3,3,3,6,5,5,3,5
백광산업  ,1,3,1,1,1,3,1,1,1,3,1,1,5,5,3,5,3,5,3,1
백산  ,1,3,3,1,1,3,3,1,1,1,1,1,3,3,5,5,3,3,5,5
범양건영  ,1,1,3,1,1,1,3,1,1,1,3,1,3,1,5,3,3,1,3,5
벽산  ,3,6,6,1,3,6,6,1,1,3,3,1,5,6,5,5,3,5,5,3
보락  ,1,1,1,3,1,1,1,3,1,1,1,1,3,1,3,5,3,1,3,5
보령  ,6,7,7,5,6,7,7,5,6,6,7,5,6,5,7,6,3,1,5,5
보해양조  ,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,5,5,5,5,5
부광약품  ,6,5,7,6,6,5,7,6,3,1,1,5,3,1,1,6,3,1,3,5
부국증권  ,3,1,5,3,3,1,5,3,3,1,3,5,3,1,5,3,5,1,5,5
부국철강  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,1,1,3,3
부산산업  ,1,3,1,1,1,3,1,1,3,1,1,5,3,1,1,5,1,1,3,3
부산주공  ,3,3,3,3,3,3,3,3,1,1,1,1,3,5,1,5,3,5,3,3
비비안  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,5,5
비상교육  ,5,1,5,5,5,1,5,5,5,1,5,5,5,1,6,6,5,1,6,5
비에이치  ,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,1,1,3,3
비케이탑스  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,5,1
빙그레  ,7,7,8,6,7,7,8,6,7,7,7,6,7,7,8,7,7,6,8,7
사조대림  ,5,6,7,3,5,6,7,3,3,5,5,1,6,3,7,6,3,1,5,5
사조동아원  ,3,6,5,3,3,6,5,3,3,3,6,3,5,3,5,6,3,1,3,5
사조산업  ,5,6,6,3,5,6,6,3,3,3,5,1,5,3,5,6,1,1,3,1
사조씨푸드  ,5,5,6,5,5,5,6,5,3,1,5,5,5,3,6,6,3,1,5,5
사조오양  ,3,5,6,3,3,5,6,3,3,3,5,1,3,1,5,3,3,1,5,3
삼부토건  ,3,3,3,3,3,3,3,3,1,1,1,3,3,3,1,6,3,3,5,5
삼성E&A  ,7,8,8,7,7,8,8,7,7,7,8,6,7,7,8,7,7,7,8,7
삼성SDI  ,7,8,8,6,7,8,8,6,7,7,8,6,7,7,8,6,7,7,7,6
삼성공조  ,3,3,3,3,3,3,3,3,3,1,3,5,3,3,3,5,3,3,3,5
