종목명,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023,2020 tobinQ,2021 tobinQ,2022 tobinQ,2023 tobinQ,2020대비 2021 tobinQ증가율,2020대비 2022 tobinQ증가율,2020대비 2023 tobinQ증가율,2021대비 2022 tobinQ증가율,2021대비 2023 tobinQ증가율,2022대비 2023 tobinQ증가율
대양금속,1.14E+11,1.57E+11,1.04E+11,42258465915,40491316,57964910,226378022,53311055,116257053,157542367,400877091,151056760,1.326133013,1.364368926,0.824063109,0.632672917,2.883263747,-37.85969424,-52.29189604,-39.60115232,-53.62889724,-23.22518633
대영포장,1.79E+11,2.81E+11,1.66E+11,1.23E+11,54064889,78837068,80340610,46600850,207957144,246069404,247356883,221137779,1.122625001,1.461291254,0.995260803,0.767561521,30.16735356,-11.34521304,-31.62796835,-31.89168825,-47.47374839,-22.87835322
대우건설,2.07E+12,2.40E+12,1.74E+12,1.72E+12,6628920364,7241599093,7415736591,7181221069,9305916434,10457976991,11140353752,11243136483,0.934975123,0.921759447,0.821610947,0.791948144,-1.413478856,-12.12483346,-15.29741014,-10.86492807,-14.08299139,-3.610322233
대우부품,1.32E+11,1.17E+11,68610780000,66061691800,57068753,59430230,65582626,66699435,91992450,94393900,91241230,94593219,2.057644437,1.873831148,1.470754022,1.403495179,-8.933190099,-28.52244073,-31.79117085,-21.51085632,-25.10023221,-4.573085805
한화오션,2.94E+12,2.47E+12,2.03E+12,7.69E+12,6451804193,8405626102,11490693373,9632615572,10320774854,10623209555,12235665305,13944772692,0.909966967,1.024047963,1.105281408,1.242202075,12.53682822,21.46390447,36.51067782,7.932582068,21.30311471,12.38785582
대웅,2.92E+12,1.81E+12,1.18E+12,1.20E+12,720614938,776674439,879409306,922478397,1837532868,1929216826,2158905107,2359277174,1.983722306,1.338358864,0.955391369,0.899897825,-32.53295284,-51.83845207,-54.63589726,-28.61470902,-32.7610965,-5.808461968
대웅제약,1.91E+12,1.71E+12,1.84E+12,1.35E+12,671659305,712772242,822117616,858029764,1366907921,1410687452,1563340614,1770310793,1.889987808,1.720850525,1.700581174,1.249125166,-8.949120324,-10.02157969,-33.908295,-1.177868205,-27.41233776,-26.54716012
대원강업,2.37E+11,2.31E+11,2.10E+11,3.37E+11,445770950,406038474,412406943,408110669,1017866947,983029517,1010418825,1026303658,0.670933418,0.648300446,0.616167205,0.726286673,-3.373355965,-8.162689765,8.250185946,-4.956535382,12.02933417,17.87168599
대원전선,83408596360,1.33E+11,85360125400,89894601838,106632038,152928879,154359647,134547618,192012755,240573775,245958532,234871662,0.989729221,1.190436817,0.974634913,0.955595145,20.27904121,-1.525094691,-3.448829763,-18.12795952,-19.72735294,-1.953528227
대원제약,3.93E+11,3.53E+11,4.12E+11,3.47E+11,122442339,211176225,204784867,243733870,335214010,429579922,453550066,507998342,1.536834153,1.314235596,1.359547519,1.163846062,-14.48422758,-11.53583379,-24.26989859,3.447777762,-11.4431183,-14.39460217
대원화성,73835982080,1.70E+11,95904278400,81879566720,53771259,64820560,68456840,85537345,129796349,135832582,130913447,138374975,0.983134287,1.72683576,1.255494544,1.209878533,75.64597048,27.70326086,23.0634053,-27.29508083,-29.93667605,-3.633310169
대유에이텍,90344009015,1.49E+11,82007542008,46553819398,927237547,1131295315,1136743953,299228350,1166526680,1320996327,1375206765,336026490,0.87231743,0.969224735,0.886231457,1.029032471,11.10917898,1.595064604,17.96536849,-8.562851837,6.170677866,16.11328656
대유플러스,90647063199,1.59E+11,90749080500,20865059985,352222462,455486600,431957816,183494427,473118285,594393688,543210277,56615116,0.936065122,1.033994156,0.962255168,3.60962763,10.46177579,2.797887197,285.6171483,-6.9380458,249.0955541,275.1216672
대창,1.40E+11,1.66E+11,1.10E+11,1.15E+11,398932797,536623950,563437643,509268660,620282790,810738132,840153818,759532652,0.869424085,0.866494275,0.801355214,0.822417125,-0.336982804,-7.829190784,-5.406677892,-7.5175408,-5.086836854,2.628286453
대창단조,99145638100,1.13E+11,2.31E+11,1.74E+11,50037510,71311981,95831170,62213192,247240846,298478419,338228490,334751849,0.603391998,0.617036172,0.966743428,0.706506006,2.261245356,60.21813867,17.08905796,56.67532516,14.49993353,-26.91897501
대한방직,2.12E+11,2.62E+11,2.72E+11,43142000000,77489052,93144326,75392117,49782243,213793933,232612120,210639558,180718515,1.35281693,1.525992395,1.651219364,0.514193263,12.80110126,22.05785779,-61.99092041,8.206264325,-66.30433642,-68.85978479
대한유화,1.50E+12,1.19E+12,1.11E+12,9.95E+11,233430644,449738749,333880102,371702112,2127550340,2478873031,2195832516,2196492714,0.812404112,0.661283869,0.659717939,0.621992554,-18.60160976,-18.79436236,-23.43803477,-0.236801489,-5.941671561,-5.718411355
