종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조
성문전자  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,2.0,2.0,-2.0,2.0,0.0,0.0,0.0,0.0
성보화학  ,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0,5.0,6.0,3.0,1.0,5.0,5.0,2.0,0.0,0.0,1.0,-4.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
성신양회  ,5.0,5.0,7.0,3.0,5.0,5.0,7.0,3.0,3.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,3.0,3.0,0.0,1.0,3.0,-3.0,-3.0,-1.0,-3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
성안머티리얼스  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,-2.0,-2.0,0.0,-2.0,2.0,0.0,-2.0,2.0,-2.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0
성창기업지주  ,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
세기상사  ,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,-4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
세방  ,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,6.0,6.0,5.0,6.0,6.0,-1.0,0.0,-5.0,0.0,-2.0,-2.0,2.0,-1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
세방전지  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,0.0,-1.0,0.0,1.0,-2.0,0.0,-2.0,-3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
세아베스틸지주  ,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,1.0,1.0,0.0,0.0,-3.0,-3.0,0.0,-1.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0
세아제강  ,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
세아제강지주  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
