종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조
씨티알모빌리티  ,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,6.0,5.0,1.0,5.0,6.0,,,,,-,-,-,-,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0
아남전자  ,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,-2.0,-2.0,0.0,-4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
아모레퍼시픽  ,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
아모레퍼시픽그룹  ,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
아세아  ,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
아세아시멘트  ,6.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,3.0,5.0,6.0,3.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,-2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
아세아제지  ,3.0,5.0,6.0,1.0,3.0,5.0,6.0,1.0,3.0,3.0,6.0,1.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
아센디오  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,,,,,-,-,-,-,-2.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
아시아나IDT  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,5.0,3.0,-2.0,4.0,-2.0,-2.0,2.0,-4.0,0.0,2.0,-2.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0
아시아나항공  ,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,3.0,3.0,6.0,7.0,1.0,3.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
아이마켓코리아  ,3.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,3.0,1.0,6.0,3.0,5.0,1.0,6.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
아이에스동서  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
아이에이치큐  ,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,6.0,-2.0,0.0,-2.0,-1.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
아주스틸  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0
알루코  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,-2.0,-2.0,-4.0,0.0,-2.0,-2.0,2.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
애경산업  ,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,5.0,3.0,6.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
애경케미칼  ,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,3.0,5.0,0.0,-1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
에넥스  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,0.0,-2.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
에스디바이오센서  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0
에스메디  ,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,3.0,1.0,3.0,5.0,2.0,0.0,2.0,0.0,-4.0,0.0,-4.0,-4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
에스엘  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,1.0,3.0,1.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
에스엠벡셀  ,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,3.0,3.0,3.0,3.0,-,-,-,-,-,-,-,-,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
에스원  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,7.0,6.0,5.0,7.0,6.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
에스제이엠  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,5.0,6.0,3.0,3.0,5.0,3.0,2.0,0.0,0.0,3.0,-4.0,-2.0,-2.0,-3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
에스제이엠홀딩스  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
에스제이지세종  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,2.0,0.0,-1.0,2.0,-2.0,-4.0,0.0,-4.0,-2.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0
에스케이바이오팜  ,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,,,,,,,,,-,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
에쓰씨엔지니어링  ,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
에어부산  ,3.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,6.0,3.0,0.0,0.0,-1.0,-2.0,-2.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
에이리츠  ,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0
에이블씨엔씨  ,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,6.0,3.0,6.0,6.0,3.0,1.0,5.0,3.0,3.0,2.0,1.0,3.0,-1.0,-2.0,-1.0,-1.0,-2.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0
에이엔피  ,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
에이프로젠  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,-2.0,2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
에이프로젠바이오로직스  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
에이플러스에셋  ,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,-,-,-,-,-,-,-,-,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
에코바이브  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
엔씨소프트  ,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,1.0,6.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
엔에이치엔  ,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,7.0,7.0,5.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
엔케이  ,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-2.0,-2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
엔피씨  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
엘앤에프  ,,,,,,,,,,,,,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,1.0,0.0,0.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-
엘에스일렉트릭  ,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
엠씨넥스  ,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,,,,,3.0,3.0,5.0,5.0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0
영보화학  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,-2.0,0.0,-4.0,-2.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
영원무역  ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,5.0,6.0,1.0,5.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
영원무역홀딩스  ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,7.0,6.0,6.0,7.0,5.0,1.0,5.0,5.0,2.0,5.0,1.0,2.0,-4.0,-3.0,0.0,-4.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
영진약품  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,5.0,1.0,6.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
영풍  ,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,6.0,5.0,3.0,1.0,3.0,6.0,3.0,1.0,5.0,1.0,0.0,0.0,-2.0,5.0,2.0,2.0,3.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
영풍제지  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-2.0,-4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
영화금속  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,3.0,5.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
영흥  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,6.0,5.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,-1.0,0.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0
예스코홀딩스  ,5.0,3.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,3.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,1.0,6.0,6.0,1.0,4.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
오뚜기  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,3.0,3.0,6.0,3.0,7.0,6.0,8.0,6.0,6.0,6.0,7.0,5.0,1.0,0.0,1.0,1.0,-4.0,-3.0,-2.0,-3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0
오리엔트바이오  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,0.0,-4.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
오리온  ,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,7.0,1.0,2.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
오리온홀딩스  ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,6.0,7.0,1.0,4.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
와이투솔루션  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,,,,,1.0,3.0,3.0,1.0,-,-,-,-,-,-,-,-,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
용평리조트  ,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
우리금융지주  ,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,1.0,2.0,2.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
우리종금  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,5.0,6.0,5.0,1.0,6.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
우성  ,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
우신시스템  ,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,6.0,-1.0,-2.0,-2.0,0.0,-4.0,-2.0,-2.0,-3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
우진  ,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,6.0,-1.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
우진아이엔에스  ,3.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
우진플라임  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,-2.0,0.0,-4.0,-4.0,-2.0,-4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
웅진  ,6.0,5.0,7.0,5.0,6.0,5.0,7.0,5.0,3.0,3.0,6.0,3.0,5.0,1.0,6.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,-2.0,2.0,0.0,-3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
웅진씽크빅  ,6.0,6.0,8.0,5.0,6.0,6.0,8.0,5.0,6.0,3.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0,1.0,5.0,5.0,1.0,4.0,2.0,1.0,0.0,-2.0,-1.0,0.0,0.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0
원림  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,-2.0,0.0,-4.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
웰바이오텍  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
윌비스  ,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,3.0,1.0,3.0,3.0,0.0,0.0,-2.0,3.0,-2.0,0.0,0.0,-3.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0
유나이티드  ,5.0,3.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,3.0,3.0,6.0,5.0,3.0,5.0,6.0,5.0,5.0,6.0,5.0,0.0,-2.0,-1.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
유니드  ,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,-1.0,-2.0,0.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
유니온  ,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,0.0,2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
유니온머티리얼  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,-2.0,0.0,-4.0,-4.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
유니켐  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,6.0,5.0,5.0,3.0,5.0,0.0,-2.0,0.0,1.0,-4.0,-2.0,-2.0,-5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
유니퀘스트  ,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,6.0,5.0,1.0,3.0,6.0,0.0,4.0,0.0,0.0,-4.0,-4.0,-2.0,-5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
유성기업  ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,0.0,0.0,-2.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
유수홀딩스  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,1.0,5.0,7.0,5.0,3.0,5.0,6.0,1.0,-2.0,0.0,1.0,0.0,4.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
유안타증권  ,3.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,5.0,1.0,6.0,5.0,-2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0
유엔젤  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,-4.0,0.0,2.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
유유제약  ,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,6.0,5.0,5.0,3.0,5.0,0.0,-4.0,2.0,1.0,-2.0,0.0,0.0,-5.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
유진증권  ,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,6.0,5.0,-2.0,0.0,-3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
유한양행  ,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
유화증권  ,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
율촌화학  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0,6.0,0.0,2.0,-1.0,0.0,-2.0,-2.0,-2.0,-3.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
이건산업  ,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,6.0,5.0,3.0,5.0,5.0,-2.0,-2.0,-2.0,1.0,-2.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이구산업  ,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
이노션  ,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,1.0,7.0,7.0,1.0,5.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
이마트  ,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
이수페타시스  ,3.0,5.0,6.0,3.0,3.0,5.0,6.0,3.0,3.0,5.0,6.0,1.0,5.0,5.0,7.0,3.0,5.0,6.0,6.0,3.0,0.0,-1.0,1.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
이수화학  ,3.0,5.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,6.0,1.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,2.0,0.0,1.0,2.0,-2.0,0.0,0.0,-4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
