종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
대덕전자  ,A,A,A,B+,A,A,A,B+,B+,B,A,B+,,,,,,,,
대동  ,C,B,A,D,C,B,A,D,D,C,C,D,B+,B,B,B+,B,B,B,B
대동전자  ,D,D,D,C,D,D,D,C,C,D,D,B,C,C,C,B+,C,B,C,C
대림비앤코  ,C,C,C,C,C,C,C,C,D,D,D,C,C,C,C,B+,B,C,B,B+
대림통상  ,D,C,C,D,D,C,C,D,D,D,D,D,C,C,C,C,B,B,B,B
대상  ,A,A,A+,B+,A,A,A+,B+,B+,A,A+,B,A,A,A+,B+,B,B,B+,B
대상홀딩스  ,B+,A,A+,B,B+,A,A+,B,B+,A,A+,B,A,A,A+,B+,B,C,B,B
대성산업  ,D,D,D,D,D,D,D,D,D,D,C,D,C,C,C,B+,C,C,B,C
대성에너지  ,C,C,C,C,C,C,C,C,C,D,B,C,B,B,B,B,B,B,B+,B
대성홀딩스  ,C,C,C,C,C,C,C,C,C,D,B,C,B,C,B+,B,B,C,B+,B
대신증권  ,B+,B,A,B+,B+,B,A,B+,B+,B,B+,B+,A,B,A+,A,B,D,B+,B+
대양금속  ,D,C,C,D,D,C,C,D,D,D,D,D,C,C,C,B,B,B,C,B
대영포장  ,D,D,C,D,D,D,C,D,D,D,D,D,C,C,C,C,C,B,C,D
대우건설  ,A,A+,B+,A,A,A+,B+,A,B+,B+,B+,B+,A,B+,A,A,B+,A,B,B+
대우부품  ,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,B,D,D,C,C
대웅  ,B+,A,A,B+,B+,A,A,B+,B+,B,A,B,B,D,B+,B,C,C,B+,C
대웅제약  ,B+,A,A,B,B+,A,A,B,B+,B,A,B,C,D,B,B,B+,B,B+,B+
대원강업  ,C,B,B+,C,C,B,B+,C,C,C,D,C,B,B,C,B+,B,B,B+,B
대원전선  ,D,C,D,D,D,C,D,D,D,D,D,D,C,C,C,B,C,C,C,C
대원제약  ,B,C,B,B+,B,C,B,B+,B,D,B,B+,B,D,B,B+,B,D,B+,B+
대원화성  ,D,C,D,D,D,C,D,D,D,C,C,D,B,B,B,B+,B+,B+,B,B+
대유에이텍  ,C,C,B,D,C,C,B,D,D,D,C,D,C,C,C,B,C,C,C,C
대유플러스  ,D,C,D,D,D,C,D,D,D,D,D,D,C,C,C,C,C,C,C,C
대창  ,D,C,D,D,D,C,D,D,D,D,C,D,C,B,B,C,C,B+,B,C
대창단조  ,C,C,D,C,C,C,D,C,C,C,C,C,B,B,C,B+,B,B,B,B
대한방직  ,C,C,D,B,C,C,D,B,C,D,D,B,C,C,C,B+,C,C,C,B+
대한유화  ,B+,B+,B+,B,B+,B+,B+,B,C,B,B,D,B,B,B,B+,B,B+,B+,C
대한전선  ,A,A,A+,B+,A,A,A+,B+,A,B+,A+,B+,A,A,A+,A,B+,B,B+,B+
대한제강  ,C,C,C,C,C,C,C,C,D,D,D,C,B,B,B,B,B,B+,B,B
대한제당  ,C,C,C,C,C,C,C,C,D,D,D,C,B,B,C,B+,C,C,C,B
대한제분  ,D,C,D,D,D,C,D,D,D,C,D,D,B,C,C,B+,C,C,B,C
대한항공  ,A,A,A+,A,A,A,A+,A,A,A,A,A,A,A,A+,A,A,A,A+,B+
대한해운  ,C,B,B+,D,C,B,B+,D,C,C,B+,C,B,D,B,B+,B,C,B,B
대한화섬  ,C,C,D,B,C,C,D,B,C,C,C,B,B+,B,B+,B+,C,B,B+,C
대현  ,C,D,D,B+,C,D,D,B+,C,D,D,B+,B,D,B,B+,C,D,C,B
대호에이엘  ,C,C,D,B,C,C,D,B,D,C,D,D,B,B,C,B,B,B,C,B
더블유게임즈  ,B,D,C,B+,B,D,C,B+,B,D,C,B+,B,D,B+,B+,B,D,B+,B+
더존비즈온  ,C,D,B,D,C,D,B,D,D,D,C,D,B,C,B,B,B,C,B+,B
덕성  ,C,C,D,B,C,C,D,B,D,D,C,C,C,C,C,B+,B,B,C,B+
덕양산업  ,C,D,B,D,C,D,B,D,D,D,C,D,C,C,C,B,B,B,B,B
덴티움  ,D,D,D,D,D,D,D,D,D,D,C,D,B,D,B,B+,C,D,C,B+
도화엔지니어링  ,B,C,B,B,B,C,B,B,C,D,C,C,B+,B,B,B+,B+,B,B,B+
동국홀딩스  ,A,A,A,B+,A,A,A,B+,B,B+,B,B,B+,B+,B,B+,B+,B+,B+,B
동남합성  ,D,D,D,C,D,D,D,C,C,D,D,B,C,D,C,B,C,D,C,B
동방  ,C,C,B,D,C,C,B,D,D,C,C,D,C,B,D,B,C,B,C,C
동방아그로  ,C,D,C,B,C,D,C,B,D,D,D,C,C,D,C,B+,C,D,C,B
동부건설  ,B+,B+,B+,B,B+,B+,B+,B,C,C,B+,C,C,C,D,B+,C,C,B,B
동서  ,D,C,C,D,D,C,C,D,D,C,C,D,C,D,C,B,C,D,B,C
동성제약  ,C,D,C,B,C,D,C,B,C,D,D,B,C,D,C,B+,C,D,B,B
동성케미컬  ,A,A+,A+,B+,A,A+,A+,B+,B+,B+,A,B,B+,B,B+,B+,B,B,B+,B
동아쏘시오홀딩스  ,A,B+,A+,A,A,B+,A+,A,A,B,A,A,A,B+,A+,A,B+,C,A,A
동아에스티  ,A,B+,A+,A,A,B+,A+,A,A,B,A,A,A,B+,A+,A,B+,D,B+,A
동아지질  ,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,B,C,C,C,C
동아타이어  ,D,D,D,D,D,D,D,D,D,D,D,C,C,D,C,B+,B,C,B,B
동양  ,D,D,D,C,D,D,D,C,D,D,D,C,C,C,C,B+,C,C,C,B
동양고속  ,C,C,D,C,C,C,D,C,D,D,D,D,B,C,C,B+,B,C,B,B+
동양생명  ,B,C,B,B+,B,C,B,B+,B,D,B,B+,B+,C,A,B+,B,D,B+,B+
동양철관  ,C,C,C,C,C,C,C,C,D,D,D,D,C,D,D,B,C,C,C,C
동양피스톤  ,C,C,B,D,C,C,B,D,C,D,B,D,B,B,C,B+,B,B,B,B+
동원F&B  ,B,B+,A,C,B,B+,A,C,B,B,A,C,B+,B,A,B,B,B,B+,B
동원금속  ,C,C,C,C,C,C,C,C,D,D,D,C,C,D,C,B+,B,C,B,B+
동원산업  ,B+,B+,B+,B,B+,B+,B+,B,C,B,B+,C,B,C,B+,B+,B,C,B,B+
동원수산  ,D,D,D,D,D,D,D,D,D,D,D,D,C,D,C,B+,C,D,B,B
동원시스템즈  ,B,A,A,C,B,A,A,C,C,B,B+,D,B,C,B+,B,C,B,B,C
동일고무벨트  ,A,A,A,B+,A,A,A,B+,B,C,B+,B,B+,B,B+,B+,B+,B,B+,B+
동일산업  ,C,C,D,B,C,C,D,B,C,C,D,B+,B,B,C,B+,B,B+,C,B+
동일제강  ,C,C,D,C,C,C,D,C,D,D,D,C,C,C,C,B,C,C,C,B
동화약품  ,C,C,B,C,C,C,B,C,C,C,B+,C,B,D,B+,B,B,D,B+,B
두산  ,B+,A,A+,B,B+,A,A+,B,B+,B+,A,B,A,A,A+,B+,A+,A+,A+,A
두산밥캣  ,A,B,A,A,A,B,A,A,B+,B,A,B+,B+,C,A,A,B+,D,A,A
두산에너빌리티  ,B+,A,A+,B,B+,A,A+,B,B,B+,A,C,A,A+,A,B+,A,A,A+,B+
두산퓨얼셀  ,A,B+,A+,A,A,B+,A+,A,B+,B+,A+,B,B+,B,A,A,,,,
두올  ,C,C,B,D,C,C,B,D,D,D,C,C,B,C,B,B+,B,C,B,B+
드림텍  ,C,C,C,B+,C,C,C,B+,D,D,D,C,C,C,C,B+,,,,
디씨엠  ,C,D,C,B,C,D,C,B,C,D,C,B,C,D,C,B+,C,C,C,B
디아이  ,D,C,C,D,D,C,C,D,D,D,C,D,B,D,B,B+,B,B,B,B
디아이동일  ,D,D,D,C,D,D,D,C,D,D,C,C,C,D,C,B+,D,D,C,C
디아이씨  ,D,C,C,D,D,C,C,D,D,D,C,D,C,C,C,B,C,C,B,C
디와이  ,C,D,C,B,C,D,C,B,C,D,D,B+,B,C,C,B+,C,C,C,B+
디와이파워  ,C,C,D,C,C,C,D,C,C,D,D,B,B,C,C,B+,C,D,B,B
락앤락  ,C,C,C,B,C,C,C,B,B,B,B+,B,C,C,C,B+,C,C,B+,C
롯데관광개발  ,D,D,C,D,D,D,C,D,D,D,C,D,B,D,B,B,C,D,B,C
