,종목명,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023
252,화승인더,806233973.0,1002373143.0,1119839946.0,1039627991.0,1433482294.0,1637051105.0,1779489489.0,1653277050.0
253,화신,566999792.0,582311067.0,647757404.0,751750659.0,822660475.0,870753098.0,1004620994.0,1196813984.0
254,화천기계,26338052.0,30111090.0,32602284.0,29955964.0,146537093.0,155922672.0,161427031.0,167517651.0
255,화천기공,82213083.0,117087776.0,128766813.0,118338768.0,378376165.0,425436857.0,474032616.0,463885406.0
256,환인제약,32957381.0,35963186.0,35446436.0,43019153.0,329559588.0,353188872.0,369374561.0,401226633.0
257,황금에스티,150228430.0,99055555.0,108492131.0,112667876.0,452295228.0,431568370.0,481912632.0,513527276.0
258,효성,1915426595.0,2265599710.0,2369980097.0,2312626241.0,4429749880.0,5255421960.0,5267284721.0,5088858302.0
259,효성ITX,112273681.0,138085361.0,111070180.0,106070813.0,161698570.0,241404764.0,176818736.0,176284814.0
260,후성,294938889.0,332875874.0,518459265.0,521907370.0,540108379.0,616334424.0,933755417.0,853376952.0
261,휴니드,127968482.0,134159016.0,159788539.0,137756657.0,247895608.0,267340262.0,304125357.0,299334914.0
262,휴스틸,189665934.0,325520952.0,297193189.0,318962394.0,604130122.0,951920862.0,1206373632.0,1325993300.0
263,TKG휴켐스,179440954.0,229725000.0,201162049.0,259255639.0,866585515.0,949304335.0,941352875.0,1099714172.0
264,흥국화재,12487415000.0,13071612000.0,9810958000.0,10670878000.0,13211184000.0,13762260000.0,12403741000.0,12031553000.0
265,흥아해운,313059823.0,144358895.0,181755200.0,154939134.0,286775958.0,247298683.0,317059937.0,325653339.0
266,동남합성,32284855.0,44342732.0,42058880.0,45751506.0,81304054.0,90602982.0,92085226.0,97568840.0
267,동방,410051935.0,399799100.0,437684707.0,455221060.0,526822001.0,531255658.0,567964926.0,599319321.0
268,동방아그로,54235750.0,57352106.0,65704821.0,64434056.0,196027049.0,204466926.0,216528029.0,224384204.0
269,동부건설,494379516.0,702346281.0,998112147.0,1226953607.0,954233550.0,1262000761.0,1581700494.0,1807512336.0
270,KG스틸,1285016839.0,1620934715.0,1361342497.0,1304937566.0,2257720824.0,2771098268.0,3051507327.0,3195514054.0
271,동성제약,70770129.0,58141479.0,64892798.0,75170970.0,125718175.0,104581874.0,107702061.0,114973284.0
272,동성케미컬,370735252.0,361792854.0,410505252.0,445611888.0,797944147.0,818795753.0,899511754.0,970612856.0
273,동아쏘시오홀딩스,622382702.0,706347762.0,732791277.0,929797049.0,1511106333.0,1691388336.0,1731452067.0,1957106350.0
274,다스코,130077408.0,173177983.0,202891749.0,165929194.0,249543946.0,298527300.0,346117669.0,320034641.0
275,동아지질,143304737.0,146434994.0,150642232.0,162018317.0,334840487.0,350828019.0,372281355.0,390934867.0
276,동양,217173926.0,223240278.0,200018245.0,311407795.0,996760196.0,1007233610.0,983550241.0,1099649988.0
277,동양고속,60838463.0,84315064.0,90255924.0,99329870.0,167885900.0,168829554.0,165498374.0,168393916.0
278,TYM,486125602.0,458227293.0,447666197.0,466443819.0,656859440.0,707428248.0,782128427.0,849110905.0
279,동양생명,33183128989.0,34059408798.0,30006997133.0,29965457520.0,36253033068.0,37103344690.0,34866586937.0,32869437390.0
280,동양철관,65870366.0,101850823.0,94535470.0,121668095.0,153374077.0,185998128.0,183082959.0,208762934.0
281,HLB글로벌,57149141.0,50506520.0,52237490.0,58156709.0,130769263.0,163865354.0,120246185.0,110104673.0
282,동원F&B,936989278.0,1136863167.0,1187905520.0,1232947132.0,1683934673.0,1935684196.0,2071710811.0,2206146539.0
283,동원금속,436932189.0,395436339.0,398156988.0,373121126.0,468914312.0,456870590.0,487867521.0,477124887.0
284,동원산업,1810884383.0,4058408981.0,4152704108.0,4589421553.0,3106026197.0,6685167196.0,7061179537.0,7725142829.0
285,동원수산,49992276.0,43921847.0,59216320.0,71959495.0,98150228.0,100942001.0,121789602.0,114611866.0
286,동원시스템즈,639356721.0,826642450.0,722040384.0,761806993.0,1255817451.0,1492014739.0,1451669982.0,1535857780.0
287,DI동일,365891604.0,419638628.0,378689104.0,370119040.0,882559328.0,993144117.0,997884899.0,975653235.0
288,동일산업,57018140.0,71727780.0,82125521.0,66058895.0,417500512.0,473764602.0,499402713.0,476136022.0
289,동화약품,91125560.0,87671267.0,82463208.0,157916043.0,433807800.0,447804487.0,461136459.0,564972409.0
290,두산,22435431804.0,17535706720.0,16017536857.0,17080070106.0,30201002745.0,25945825422.0,26315352623.0,28286808652.0
291,HD현대인프라코어,7537887589.0,3412465904.0,3101626628.0,2605109811.0,12026886194.0,4782289798.0,4736667586.0,4418425813.0
292,두산에너빌리티,18460677610.0,14912949984.0,12969491516.0,13799325009.0,25567174291.0,23720545629.0,23049781800.0,24640833946.0
293,디씨엠,38937544.0,51347298.0,41595074.0,34265289.0,227933255.0,286895606.0,306956323.0,277642743.0
294,디아이,92401937.0,96098088.0,111206587.0,119340064.0,228890878.0,248156662.0,274585823.0,280589482.0
295,디아이씨,533974825.0,496346185.0,504681102.0,523567832.0,604617280.0,628866348.0,648233574.0,684084842.0
296,디와이,328425725.0,361846877.0,356698974.0,399687967.0,795605265.0,859972555.0,861083033.0,930244753.0
297,DN오토모티브,307077824.0,770989552.0,3460082192.0,3172968753.0,961755008.0,1484962433.0,4591590752.0,4567386501.0
298,롯데관광개발,972349830.0,1249736891.0,1571088485.0,1698551480.0,1198450486.0,1302424557.0,1802776594.0,1764111056.0
299,롯데손해보험,15401640574.0,17909167668.0,14961508820.0,13586751527.0,16348179110.0,18911189698.0,16764540172.0,14842983217.0
300,롯데쇼핑,21740641629.0,21629527142.0,20668459087.0,19808248978.0,32829404196.0,33426533819.0,31703575873.0,30644698697.0
301,롯데정밀화학,224889056.0,524823793.0,415627340.0,299724770.0,1874589382.0,2723453687.0,2709845871.0,2682930420.0
302,롯데지주,8848916626.0,10292586180.0,12409157931.0,13487589139.0,16680023234.0,19921883104.0,22175416666.0,23160430746.0
303,롯데칠성,2161226817.0,2151774423.0,2283769460.0,2720834173.0,3466112903.0,3596830123.0,3695935640.0,4257669751.0
304,롯데케미칼,5674190701.0,7415917898.0,9520345524.0,13243769645.0,19386545995.0,22855160814.0,26784587811.0,33476310225.0
305,마니커,120212238.0,149174030.0,125649245.0,114478213.0,192098720.0,196467021.0,174626137.0,160373499.0
306,만호제강,17451274.0,25179107.0,25657000.0,22325402.0,249750179.0,258241793.0,275646355.0,279981667.0
307,명문제약,152250254.0,137389373.0,135182359.0,147794261.0,243025043.0,223263082.0,230449823.0,236548794.0
308,모나리자,20100122.0,18723654.0,20179159.0,15760804.0,91311099.0,93955501.0,97794376.0,97045385.0
309,모나미,105892494.0,97960469.0,111823225.0,97140753.0,195681831.0,202507880.0,218432624.0,195918816.0
310,모토닉,27803338.0,29163386.0,33436780.0,33085143.0,442437586.0,447982645.0,464094161.0,480202443.0
311,무림P&P,829022676.0,864649855.0,941368622.0,992596055.0,1430440066.0,1483591839.0,1604057803.0,1622970089.0
312,무림페이퍼,1550132325.0,1637863898.0,1739726817.0,1711139619.0,2194982288.0,2284417095.0,2429133746.0,2392625542.0
313,문배철강,68606174.0,66845642.0,39013430.0,47721898.0,187690632.0,209839262.0,206906858.0,231645965.0
314,미래산업,31682005.0,34009094.0,41043554.0,27339221.0,95757333.0,118651369.0,134409510.0,102246105.0
315,미래아이앤지,2854065.0,28587956.0,28061180.0,26320542.0,92320794.0,99668333.0,97492843.0,84461941.0
316,미래에셋증권,121601000000.0,98031833902.0,95852875159.0,116938000000.0,130947000000.0,108642000000.0,106952000000.0,128177000000.0
317,미원상사,61380691.0,76426655.0,73770759.0,69598937.0,328954823.0,372413719.0,415619325.0,447566169.0
318,미원홀딩스,132989918.0,191049964.0,229582717.0,197574631.0,331257263.0,426808405.0,485886407.0,467503158.0
319,미창석유,34685537.0,45615051.0,36181496.0,51380636.0,311812975.0,347596980.0,357326203.0,416240457.0
320,방림,44904871.0,57282435.0,63058875.0,49794632.0,236854131.0,257080320.0,265220044.0,243460572.0
321,백광산업,145514221.0,172997606.0,194591586.0,213256379.0,322745475.0,361859837.0,404267601.0,426908196.0
322,태경비케이,87140850.0,97539785.0,96292880.0,85138588.0,295877498.0,332382424.0,361240179.0,378041031.0
323,백산,168664435.0,183147957.0,158716155.0,143460405.0,291097333.0,330162573.0,338873472.0,351920467.0
324,범양건영,76477866.0,112322391.0,144032362.0,130776898.0,158124590.0,191769769.0,215054262.0,192910733.0
325,보락,10107183.0,10774060.0,12528504.0,9149383.0,54109129.0,56317969.0,60912252.0,57928436.0
326,보령,307706406.0,354327079.0,375969361.0,366258951.0,647993966.0,828641139.0,892385915.0,915511541.0
327,보해양조,70469241.0,68867729.0,64936221.0,63286857.0,149117626.0,153116764.0,147392501.0,143300747.0
328,부광약품,129777605.0,117355700.0,129081732.0,194752377.0,400968742.0,397416583.0,400929189.0,429017049.0
329,부국증권,1047959747.0,988411107.0,786574355.0,1012607101.0,1608864797.0,1647423236.0,1481429884.0,1770492019.0
330,부국철강,18923712.0,30259505.0,27614064.0,23636379.0,132192727.0,150684043.0,153622004.0,156095855.0
331,부산산업,47570989.0,56289943.0,52615151.0,104333813.0,129019981.0,133795624.0,134678926.0,278200799.0
332,부산주공,223142381.0,216496992.0,212511514.0,218282472.0,249781607.0,239665282.0,233931779.0,238225997.0
333,비상교육,67288900.0,71577714.0,112016004.0,181432555.0,263230581.0,271514540.0,309226088.0,362621260.0
334,빙그레,174607301.0,202369500.0,193497613.0,249119716.0,764138445.0,760245281.0,769266588.0,890717260.0
335,사조대림,672515626.0,616712557.0,564420178.0,552092559.0,1124142190.0,1135725586.0,1168252667.0,1262971666.0
336,사조동아원,238715223.0,237036709.0,250702675.0,206173173.0,446436771.0,448788965.0,481673723.0,448802369.0
337,사조산업,584214919.0,548108054.0,523375979.0,522283807.0,1087398591.0,1113856493.0,1166611978.0,1169759640.0
338,사조오양,133950268.0,119243894.0,137261542.0,125447760.0,318741896.0,315948483.0,343207955.0,346240177.0
339,SGC에너지,1997593170.0,1852133114.0,2187874938.0,2098714440.0,2675392824.0,2591549831.0,3054362176.0,2967510634.0
340,삼성SDI,8175305379.0,10636493682.0,13040023015.0,14131610215.0,21534232267.0,25833192997.0,30257525171.0,34038860193.0
