종목명,총부채_2011,총부채_2012,총부채_2013,총부채_2014,총부채_2015,총부채_2016,총부채_2017,총부채_2018,총부채_2019,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2011,총자산_2012,총자산_2013,총자산_2014,총자산_2015,총자산_2016,총자산_2017,총자산_2018,총자산_2019,총자산_2020,총자산_2021,총자산_2022,총자산_2023
대성산업,1716011334.0,2042220559.0,1825784750.0,1856194536.0,959713989.0,908361397.0,710473987.0,641403855.0,645078323.0,615662692.0,1206363221.0,1197506141.0,1119752089.0,2422039404.0,2668119503.0,2268734317.0,1870839105.0,1076329030.0,1108563226.0,1114074439.0,1092773443.0,1032388423.0,1101676164.0,1727522535.0,1824588315.0,1733306522.0
대성에너지,317705293.0,376108333.0,378657198.0,405071501.0,342248936.0,330025156.0,345622237.0,351860037.0,390716664.0,387705959.0,425136421.0,520696425.0,483594707.0,582204879.0,644594045.0,652990816.0,683836034.0,627437223.0,622322683.0,645802827.0,653850642.0,697193346.0,702116962.0,742479535.0,834489958.0,803198158.0
도화엔지니어링,146068944.0,130182630.0,118926737.0,119727861.0,83500587.0,82450179.0,92816391.0,127182187.0,156395392.0,194845013.0,233288041.0,255273457.0,330735949.0,371823838.0,346747778.0,337616482.0,333620964.0,313422593.0,308513945.0,328594781.0,375922304.0,408972323.0,451680724.0,500216803.0,522590276.0,605100050.0
한화엔진,1476134215.0,1038431336.0,872571145.0,839594911.0,831368789.0,822184664.0,688177158.0,512377526.0,641618851.0,529172497.0,586523408.0,734604467.0,912709874.0,2049817947.0,1786202789.0,1662608607.0,1540296588.0,1406041511.0,1356449525.0,1231347087.0,743406486.0,830139139.0,723300346.0,795624726.0,956230295.0,1136858165.0
락앤락,158711102.0,172932191.0,181683510.0,165377301.0,116540166.0,78906166.0,85766570.0,78806848.0,115924731.0,117856758.0,135773113.0,106428103.0,100343055.0,721424627.0,757905434.0,796956602.0,795747542.0,756469839.0,750896978.0,724665258.0,739351255.0,799933632.0,783185018.0,829724565.0,703428058.0,601807794.0
롯데하이마트,1340316702.0,1129079739.0,1160384204.0,1089502703.0,1122385567.0,1109197480.0,1178849678.0,1055204759.0,1185665778.0,1423236080.0,1116187301.0,1168922512.0,1120890822.0,2768249520.0,2603494002.0,2755424265.0,2774637426.0,2905213285.0,3004858847.0,3204628140.0,3117063800.0,3107565421.0,3349190376.0,2943544893.0,2464219074.0,2370680946.0
무학,95142288.0,82139706.0,94906915.0,119165226.0,120907588.0,112787164.0,134301011.0,112529038.0,109716160.0,74005602.0,148103725.0,125178899.0,99689197.0,325551244.0,376640770.0,441322084.0,534230440.0,556846377.0,603740662.0,670089159.0,618969273.0,624618562.0,598757759.0,646644150.0,605739795.0,639327517.0
벽산,177082313.0,166371165.0,171090856.0,156772450.0,162137695.0,178134279.0,159814221.0,178853514.0,171172716.0,172690898.0,215128919.0,299532317.0,289171147.0,339288838.0,386491791.0,398397733.0,399992604.0,429504382.0,458398720.0,451649551.0,474553687.0,462713987.0,464447680.0,505440465.0,601820034.0,620426944.0
삼부토건,1507922566.0,1497061175.0,1742589982.0,1843426750.0,2045753447.0,319067034.0,264692946.0,215254239.0,212522074.0,300131648.0,312924661.0,307702230.0,411614797.0,1608201576.0,1629364346.0,2390793192.0,2217130886.0,1786124863.0,425668795.0,390366999.0,382789732.0,390385063.0,458484439.0,519063459.0,498726794.0,513742450.0
삼성생명,142959000000.0,164368000000.0,173909000000.0,192149000000.0,206641000000.0,236345000000.0,251592000000.0,258922000000.0,275446000000.0,292959000000.0,301757000000.0,254672000000.0,270318000000.0,161072000000.0,186149000000.0,192939000000.0,214434000000.0,230363000000.0,264654000000.0,282714000000.0,289428000000.0,312762000000.0,336569000000.0,341383000000.0,296234000000.0,314655000000.0
삼양사,521589785.0,416843730.0,350167627.0,505985291.0,734460268.0,897747765.0,896836601.0,907905458.0,1093690416.0,1223495037.0,1376110131.0,1418659358.0,1492906504.0,921855414.0,826949798.0,780911217.0,1081397671.0,1437819497.0,2063771564.0,2143142783.0,2173866563.0,2388160290.0,2576477891.0,2802047156.0,2949649128.0,3205001055.0
삼원강재,82099717.0,55697827.0,43152367.0,41653973.0,44346544.0,45067491.0,50651756.0,49099624.0,39515341.0,45217837.0,51952908.0,62909269.0,61223759.0,217769532.0,205818260.0,203893675.0,211168967.0,223484365.0,234265074.0,245605264.0,253757378.0,249461228.0,257974236.0,270679644.0,293690103.0,303735701.0
세아특수강,267208125.0,268577429.0,242153965.0,255329085.0,212920169.0,210968845.0,206043299.0,174942949.0,245777812.0,237585636.0,310772329.0,340157548.0,356275865.0,474609645.0,484959468.0,486216680.0,530110210.0,500308874.0,516822970.0,527347713.0,500036175.0,573172966.0,552376575.0,651146310.0,690192115.0,693805241.0
신세계인터내셔날,173006177.0,212307361.0,319248606.0,438099113.0,449405241.0,487673085.0,454668563.0,437637581.0,529582127.0,506237600.0,439493174.0,445005787.0,472354836.0,534935842.0,621283475.0,755481565.0,887788838.0,914201109.0,966185102.0,950856585.0,982473531.0,1128879552.0,1147454446.0,1159127578.0,1278681815.0,1324069585.0
신세계푸드,72475430.0,61161453.0,67643131.0,96993262.0,216106874.0,258971550.0,280302075.0,308053518.0,418161658.0,603924637.0,594650867.0,611858316.0,585580594.0,248735180.0,264221547.0,286681773.0,382466558.0,503250776.0,556151052.0,595365659.0,624958687.0,733262622.0,887204824.0,879467974.0,903927240.0,875471407.0
아이마켓코리아,275954201.0,367285555.0,446911869.0,657379789.0,817257184.0,876611676.0,646455885.0,636748896.0,670348308.0,693884810.0,703385717.0,814780663.0,973345149.0,563407460.0,683328318.0,791732913.0,1090486207.0,1266305616.0,1334064598.0,1086927962.0,1078276076.0,1096877066.0,1110821080.0,1120159809.0,1224954676.0,1373717053.0
인바이오젠,4704737.0,3932027.0,6333983.0,2985457.0,6759207.0,6624117.0,2065136.0,968800.0,24922912.0,18974863.0,96452041.0,37399819.0,2620540.0,10509416.0,8458072.0,10004093.0,7109775.0,14558906.0,12375563.0,13389537.0,24320788.0,90919390.0,96881140.0,274474964.0,141814848.0,151305409.0
SJM,42883843.0,35404497.0,32813936.0,35129208.0,32280359.0,37259295.0,35070979.0,33638391.0,45446253.0,51271896.0,55541851.0,56088467.0,52699057.0,156713776.0,158572694.0,162337419.0,173039392.0,185776445.0,205931303.0,205071053.0,200078252.0,220444686.0,224918995.0,241265788.0,243275368.0,251634549.0
에이블씨엔씨,74483116.0,82858389.0,70365257.0,59275085.0,63167884.0,79749075.0,67639507.0,69265328.0,176899982.0,97975944.0,79159923.0,79356397.0,86155959.0,187955123.0,235227820.0,238805956.0,230262412.0,248595413.0,278595818.0,372155584.0,388078221.0,433666432.0,254779587.0,193817470.0,195431757.0,173841490.0
영흥,83831745.0,128671922.0,139943191.0,170055900.0,128645794.0,128036017.0,131082994.0,126570280.0,144538961.0,191137321.0,321035330.0,337528199.0,314231666.0,260785294.0,294202970.0,310024807.0,342544251.0,302807739.0,300800390.0,298109813.0,292950382.0,310862513.0,337720311.0,518961056.0,535684495.0,544102827.0
우진,22293338.0,25484739.0,30932633.0,59831646.0,67062621.0,57924452.0,53128300.0,80001984.0,67143964.0,73838366.0,70225426.0,50483945.0,43017758.0,119840831.0,133952023.0,147947815.0,176954856.0,194742733.0,181294690.0,189940871.0,211028961.0,199870389.0,240174509.0,229794619.0,227053376.0,240301076.0
