Symbol,Name,PBR(IFRS-연결)
A035420,NAVER,1.22
A023960,에쓰씨엔지니어링,1.22
A051600,한전KPS,1.21
A002720,국제약품,1.21
A017960,한국카본,1.20
A298020,효성티앤씨,1.19
A003220,대원제약,1.19
A084680,이월드,1.18
A020560,아시아나항공,1.17
A234080,JW생명과학,1.17
A033250,체시스,1.17
A018880,한온시스템,1.16
A004310,현대약품,1.16
A033780,KT&G,1.15
A007570,일양약품,1.14
A026960,동서,1.12
A017800,현대엘리베이,1.12
A286940,롯데이노베이트,1.12
A001780,알루코,1.12
A004090,한국석유,1.12
A100090,SK오션플랜트,1.10
A011330,유니켐,1.10
A001530,DI동일,1.07
A005610,SPC삼립,1.07
A950210,프레스티지바이오파마,1.07
A339770,교촌에프앤비,1.07
A000520,삼일제약,1.07
A068290,삼성출판사,1.07
A241590,화승엔터프라이즈,1.06
A004920,씨아이테크,1.06
A003620,KG모빌리티,1.05
A267850,아시아나IDT,1.05
A063160,종근당바이오,1.05
A003090,대웅,1.04
A450140,코오롱모빌리티그룹,1.04
A001420,태원물산,1.04
A009190,대양금속,1.03
A010130,고려아연,1.02
A192080,더블유게임즈,1.01
A005180,빙그레,1.01
A900140,엘브이엠씨홀딩스,1.01
A102460,이연제약,1.01
A010950,S-Oil,1.00
A134380,미원화학,1.00
A000270,기아,0.99
A004490,세방전지,0.99
A006280,녹십자,0.98
A007810,코리아써키트,0.98
A006890,태경케미컬,0.98
A036570,엔씨소프트,0.97
A000990,DB하이텍,0.97
A214320,이노션,0.97
A105840,우진,0.97
A111380,동인기연,0.97
A008970,동양철관,0.96
A017670,SK텔레콤,0.95
A004370,농심,0.95
A000400,롯데손해보험,0.95
A005500,삼진제약,0.95
A138490,코오롱플라스틱,0.95
A011070,LG이노텍,0.94
A308170,씨티알모빌리티,0.93
A033270,유나이티드제약,0.91
A002150,도화엔지니어링,0.91
A051910,LG화학,0.90
A241560,두산밥캣,0.90
A170900,동아에스티,0.90
A006220,제주은행,0.90
A462520,조선내화,0.90
A017040,광명전기,0.90
A000810,삼성화재,0.89
A009540,HD한국조선해양,0.89
A251270,넷마블,0.89
A069260,TKG휴켐스,0.89
A018500,동원금속,0.89
A004770,써니전자,0.89
A134790,시디즈,0.89
A001140,국보,0.89
A002630,오리엔트바이오,0.88
A005300,롯데칠성,0.87
A000500,가온전선,0.87
A053690,한미글로벌,0.87
A086280,현대글로비스,0.86
A042670,HD현대인프라코어,0.86
A025560,미래산업,0.86
A014910,성문전자,0.86
A066570,LG전자,0.85
A010690,화신,0.85
A103140,풍산,0.84
A000890,보해양조,0.84
A035250,강원랜드,0.83
A013000,세우글로벌,0.83
A194370,제이에스코퍼레이션,0.82
A293480,하나제약,0.82
A020120,키다리스튜디오,0.82
A006880,신송홀딩스,0.82
A017180,명문제약,0.82
A003490,대한항공,0.81
A006260,LS,0.81
A002790,아모레G,0.81
A015590,KIB플러그에너지,0.81
A013700,까뮤이앤씨,0.81
A011420,갤럭시아에스엠,0.81
A008350,남선알미늄,0.80
A001040,CJ,0.79
A090460,비에이치,0.79
A002100,경농,0.79
A069460,대호에이엘,0.79
A028260,삼성물산,0.78
A005250,녹십자홀딩스,0.78
A161000,애경케미칼,0.78
A058430,포스코스틸리온,0.78
A107590,미원홀딩스,0.78
A000220,유유제약,0.78
A025890,한국주강,0.78
A097950,CJ제일제당,0.77
A002360,SH에너지화학,0.77
A039490,키움증권,0.76
A122900,아이마켓코리아,0.76
A117580,대성에너지,0.76
A118000,에스메디,0.76
A015020,이스타코,0.76
A402340,SK스퀘어,0.75
A031430,신세계인터내셔날,0.75
A115390,락앤락,0.75
A004700,조광피혁,0.75
A092220,KEC,0.75
A097230,HJ중공업,0.75
A095720,웅진씽크빅,0.75
A120030,조선선재,0.75
A005850,에스엘,0.74
A049770,동원F&B,0.74
A006390,한일현대시멘트,0.74
A028100,동아지질,0.74
A139990,아주스틸,0.74
A014580,태경비케이,0.74
A011090,에넥스,0.74
A005380,현대차,0.73
A161390,한국타이어앤테크놀로지,0.73
A000120,CJ대한통운,0.73
A007310,오뚜기,0.73
A089860,롯데렌탈,0.73
A272550,삼양패키징,0.73
A322000,HD현대에너지솔루션,0.73
A039570,HDC랩스,0.73
A100840,SNT에너지,0.73
A001080,만호제강,0.73
A004140,동방,0.73
A001560,제일연마,0.73
A002140,고려산업,0.73
A004100,태양금속,0.73
A014160,대영포장,0.72
A008870,금비,0.72
A025620,제이준코스메틱,0.72
A000640,동아쏘시오홀딩스,0.71
A226320,잇츠한불,0.71
A017550,수산중공업,0.71
A023810,인팩,0.71
A072130,유엔젤,0.71
A007340,DN오토모티브,0.70
A025540,한국단자,0.70
A003570,SNT다이내믹스,0.70
A016800,퍼시스,0.70
A016580,환인제약,0.70
