Unnamed: 0,종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap,총부채_2011_x,총부채_2012_x,총부채_2013_x,총부채_2014_x,총부채_2015_x,총부채_2016_x,총부채_2017_x,총부채_2018_x,총자산_2011_x,총자산_2012_x,총자산_2013_x,총자산_2014_x,총자산_2015_x,총자산_2016_x,총자산_2017_x,총자산_2018_x,총자산_2019_x,총부채_2011_y,총부채_2012_y,총부채_2013_y,총부채_2014_y,총부채_2015_y,총부채_2016_y,총부채_2017_y,총부채_2018_y,총자산_2011_y,총자산_2012_y,총자산_2013_y,총자산_2014_y,총자산_2015_y,총자산_2016_y,총자산_2017_y,총자산_2018_y,총자산_2019_y,2011 tobinQ,2012 tobinQ,2013 tobinQ,2014 tobinQ,2015 tobinQ,2016 tobinQ,2017 tobinQ,2018 tobinQ
546,진양산업,19350000000.0,22500000000.0,29250000000.0,33345000000.0,39260000000.0,57590000000.0,37960000000.0,68120000000.0,51870000000.0,65780000000.0,109000000000.0,81120000000.0,89440000000.0,6794986.0,6507461.0,6546346.0,6217383.0,6530143.0,11173431.0,12670716.0,15278998.0,31173990.0,31803400.0,38791830.0,39435527.0,43050956.0,46605487.0,46883259.0,50695689.0,54529284.0,6794986.0,6507461.0,6546346.0,6217383.0,6530143.0,11173431.0,12670716.0,15278998.0,31173990.0,31803400.0,38791830.0,39435527.0,43050956.0,46605487.0,46883259.0,50695689.0,54529284.0,0.8386794888944277,0.9120867894627619,0.9227805442537772,1.0032167948459265,1.0636266242264167,1.4754363794117202,1.0799316660132352,1.6450905322541332
547,진양폴리,13100000000.0,16150000000.0,20200000000.0,23850000000.0,23000000000.0,23450000000.0,16400000000.0,22450000000.0,39000000000.0,38700000000.0,67900000000.0,44200000000.0,64400000000.0,7362051.0,6727033.0,7054507.0,6277276.0,8937898.0,17202774.0,17117489.0,15980896.0,24659736.0,23919761.0,23509502.0,22024143.0,19621522.0,34846884.0,35313763.0,35008058.0,43396757.0,7362051.0,6727033.0,7054507.0,6277276.0,8937898.0,17202774.0,17117489.0,15980896.0,24659736.0,23919761.0,23509502.0,22024143.0,19621522.0,34846884.0,35313763.0,35008058.0,43396757.0,0.8297757526682362,0.9564072567447476,1.1592975044728724,1.3679204680064054,1.6276972805677359,1.1666114536955443,0.9491338830132603,1.0977728613223847
548,진양화학,20400000000.0,21000000000.0,24000000000.0,46920000000.0,39600000000.0,45000000000.0,27420000000.0,75600000000.0,55800000000.0,65400000000.0,66000000000.0,56801000000.0,48822000000.0,15144560.0,15137364.0,17017621.0,16149946.0,12338409.0,12674584.0,11933093.0,11198298.0,39100954.0,40559494.0,44339143.0,46041577.0,42532149.0,43263736.0,41227436.0,39958834.0,37462386.0,15144560.0,15137364.0,17017621.0,16149946.0,12338409.0,12674584.0,11933093.0,11198298.0,39100954.0,40559494.0,44339143.0,46041577.0,42532149.0,43263736.0,41227436.0,39958834.0,37462386.0,0.9090458509017453,0.8909717660678903,0.9250882679441955,1.3698476487892672,1.2211564715434435,1.3330930088885529,0.9545365130152649,2.172192962387241
549,천일고속,38588940000.0,38660401000.0,51880686000.0,73318986000.0,102000000000.0,129000000000.0,135000000000.0,113000000000.0,100000000000.0,101000000000.0,96186506000.0,86467810000.0,67816489000.0,13575041.0,16051255.0,15762141.0,16014359.0,13886008.0,13686846.0,20703661.0,18525373.0,54678596.0,57227639.0,60338619.0,62273002.0,63067608.0,52541981.0,67842442.0,80409027.0,80044782.0,13575041.0,16051255.0,15762141.0,16014359.0,13886008.0,13686846.0,20703661.0,18525373.0,54678596.0,57227639.0,60338619.0,62273002.0,63067608.0,52541981.0,67842442.0,80409027.0,80044782.0,0.9540109808232823,0.9560355268194797,1.1210536157614082,1.4345437369471927,1.8374885567247137,2.715673130025303,2.2950774826177396,1.6357040733747468
550,콤텍시스템,24907846412.0,31851466000.0,37425472550.0,45069824390.0,75965746410.0,46503140360.0,38381016530.0,69145368370.0,102000000000.0,104000000000.0,113000000000.0,73478239862.0,92483320024.0,66382177.0,64581846.0,64044810.0,65832787.0,53780835.0,73173077.0,48331147.0,36551160.0,116722640.0,119691215.0,119842093.0,116860847.0,107817629.0,130290045.0,106679920.0,113538546.0,161498210.0,66382177.0,64581846.0,64044810.0,65832787.0,53780835.0,73173077.0,48331147.0,36551160.0,116722640.0,119691215.0,119842093.0,116860847.0,107817629.0,130290045.0,106679920.0,113538546.0,161498210.0,0.7821106806014668,0.8056841264415271,0.8466998531976574,0.9490142698520746,1.2033893029682559,0.9185369255187532,0.8128255395204645,0.9309307904119188
551,키움증권,1210000000000.0,1300000000000.0,1120000000000.0,1020000000000.0,1370000000000.0,1590000000000.0,1940000000000.0,1730000000000.0,1760000000000.0,3010000000000.0,2810000000000.0,2200000000000.0,2610000000000.0,2979867138.0,3338457912.0,3369421198.0,3791067386.0,5363948898.0,7882678426.0,10871755163.0,16598572141.0,3801914639.0,4199051874.0,4224630301.0,4714915521.0,6473795166.0,9130716941.0,12418940664.0,18664344963.0,23943809796.0,2979867138.0,3338457912.0,3369421198.0,3791067386.0,5363948898.0,7882678426.0,10871755163.0,16598572141.0,3801914639.0,4199051874.0,4224630301.0,4714915521.0,6473795166.0,9130716941.0,12418940664.0,18664344963.0,23943809796.0,1.1020413491193062,1.1046441080475207,1.0626778861424446,1.0203931257244683,1.0401856600848776,1.0374517671733396,1.0316302742422057,0.9820099326997206
552,아센디오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,태림포장,112000000000.0,135000000000.0,153000000000.0,158000000000.0,224000000000.0,224000000000.0,176000000000.0,281000000000.0,301000000000.0,414000000000.0,310000000000.0,203000000000.0,171000000000.0,206916339.0,192899292.0,204224927.0,183490362.0,248004847.0,415696193.0,320778376.0,269167660.0,517230256.0,537562161.0,568149736.0,562807093.0,621990367.0,728839659.0,633207637.0,606842052.0,566299273.0,206916339.0,192899292.0,204224927.0,183490362.0,248004847.0,415696193.0,320778376.0,269167660.0,517230256.0,537562161.0,568149736.0,562807093.0,621990367.0,728839659.0,633207637.0,606842052.0,566299273.0,0.6165848484316045,0.609974651843101,0.6287513737399677,0.6067627189623923,0.7588619889349508,0.8776912522538788,0.7845426159950121,0.9066076719416274
554,태영건설,425000000000.0,402000000000.0,431000000000.0,382000000000.0,404000000000.0,430000000000.0,800000000000.0,881000000000.0,930000000000.0,476000000000.0,424000000000.0,165000000000.0,93808091540.0,1784234024.0,1781281572.0,1731269070.0,1645796449.0,1747197124.0,2227957149.0,3316650418.0,3476283552.0,2936605061.0,3014449935.0,2994170059.0,2879040735.0,3011325836.0,3489336274.0,4752049446.0,4958571817.0,5916135643.0,1784234024.0,1781281572.0,1731269070.0,1645796449.0,1747197124.0,2227957149.0,3316650418.0,3476283552.0,2936605061.0,3014449935.0,2994170059.0,2879040735.0,3011325836.0,3489336274.0,4752049446.0,4958571817.0,5916135643.0,0.7523088662278922,0.7242719630704366,0.7221597395580663,0.7043305863471918,0.714368766834437,0.7617371729991077,0.8662894746318681,0.8787376109107587
555,태원물산,14302200000.0,15863100000.0,17787000000.0,17860000000.0,27968000000.0,32604000000.0,26334000000.0,39596000000.0,30628000000.0,30362000000.0,44232000000.0,29602000000.0,37620000000.0,18799259.0,15562319.0,11499336.0,11069687.0,11887900.0,12245065.0,8538848.0,6139313.0,47711093.0,45085791.0,42416670.0,42447896.0,43650059.0,44707584.0,41123791.0,38346073.0,38191578.0,18799259.0,15562319.0,11499336.0,11069687.0,11887900.0,12245065.0,8538848.0,6139313.0,47711093.0,45085791.0,42416670.0,42447896.0,43650059.0,44707584.0,41123791.0,38346073.0,38191578.0,0.693789576357012,0.6970138108478567,0.6904440164680538,0.6815340623714307,0.9130778036290856,1.003164586124806,0.8479969174048181,1.192698741276584
556,텔코웨어,68986239660.0,110000000000.0,111000000000.0,119000000000.0,136000000000.0,112000000000.0,117000000000.0,124000000000.0,129000000000.0,117000000000.0,106000000000.0,84898677500.0,96833005880.0,22743638.0,24644304.0,30943677.0,15334984.0,15074899.0,10727997.0,11308802.0,15092753.0,111961617.0,110408601.0,127430930.0,115489037.0,119593383.0,116004471.0,119150756.0,125823445.0,127373937.0,22743638.0,24644304.0,30943677.0,15334984.0,15074899.0,10727997.0,11308802.0,15092753.0,111961617.0,110408601.0,127430930.0,115489037.0,119593383.0,116004471.0,119150756.0,125823445.0,127373937.0,0.8192975424783299,1.2195091938534752,1.1138871622454611,1.1631838613391503,1.2632379418516826,1.057959197107153,1.0768609978437735,1.1054597416244643
557,파미셀,371000000000.0,214000000000.0,164000000000.0,173000000000.0,241000000000.0,303000000000.0,333000000000.0,731000000000.0,509000000000.0,1040000000000.0,782000000000.0,678000000000.0,364000000000.0,18332936.0,34844609.0,16948034.0,15442844.0,10756919.0,7358291.0,7758770.0,11627091.0,101152986.0,136426638.0,99368849.0,98844665.0,102101332.0,101953350.0,61891252.0,59117136.0,63265983.0,18332936.0,34844609.0,16948034.0,15442844.0,10756919.0,7358291.0,7758770.0,11627091.0,101152986.0,136426638.0,99368849.0,98844665.0,102101332.0,101953350.0,61891252.0,59117136.0,63265983.0,3.8489514881943276,1.8240177479122515,1.8209734320259663,1.9064543746493552,2.465755481035252,3.0441205806381055,5.505766307652009,12.561959885878098
558,평화홀딩스,42560106060.0,41243814120.0,43145124700.0,42706360720.0,51481640320.0,53017314250.0,50238475710.0,90677889200.0,52651677600.0,51627894980.0,65229578360.0,54845497500.0,47167127850.0,426707641.0,393125768.0,393707351.0,293966392.0,296858720.0,297537290.0,322284078.0,356224980.0,601998175.0,566324408.0,563167943.0,452378447.0,454722206.0,455219603.0,509012525.0,495396871.0,502912079.0,426707641.0,393125768.0,393707351.0,293966392.0,296858720.0,297537290.0,322284078.0,356224980.0,601998175.0,566324408.0,563167943.0,452378447.0,454722206.0,455219603.0,509012525.0,495396871.0,502912079.0,0.7795168931533721,0.7669978125329184,0.7757055086851774,0.7442281013887472,0.7660509113557564,0.7700780061749669,0.7318534130569774,0.9021108031988357
559,진흥기업,127000000000.0,292000000000.0,152000000000.0,158000000000.0,356000000000.0,324000000000.0,283000000000.0,307000000000.0,345000000000.0,386000000000.0,326000000000.0,194000000000.0,175000000000.0,673565729.0,433887328.0,452653570.0,332241275.0,464585225.0,312086410.0,237728517.0,287437675.0,662747609.0,540235818.0,487800578.0,442127318.0,530471940.0,302077701.0,313602441.0,366241821.0,325811160.0,673565729.0,433887328.0,452653570.0,332241275.0,464585225.0,312086410.0,237728517.0,287437675.0,662747609.0,540235818.0,487800578.0,442127318.0,530471940.0,302077701.0,313602441.0,366241821.0,325811160.0,1.2079496298869332,1.3436490210650935,1.2395507452637746,1.108823759675488,1.5468965710043023,2.105704618031372,1.6604734176798068,1.623074266551334
560,인스코비,37133128800.0,105000000000.0,119000000000.0,118000000000.0,119000000000.0,143000000000.0,196000000000.0,446000000000.0,298000000000.0,213000000000.0,347000000000.0,144000000000.0,142000000000.0,2804364.0,5048457.0,3273589.0,2983973.0,23270880.0,13260231.0,12107235.0,26550405.0,13772109.0,19279543.0,26139432.0,23903472.0,48649997.0,45176999.0,45854238.0,57443802.0,50859293.0,2804364.0,5048457.0,3273589.0,2983973.0,23270880.0,13260231.0,12107235.0,26550405.0,13772109.0,19279543.0,26139432.0,23903472.0,48649997.0,45176999.0,45854238.0,57443802.0,50859293.0,2.899882131342411,5.708042820309589,4.67774468090967,5.061355647413898,2.9243759254496973,3.4588448648392958,4.5384514949305235,8.22630794876704
