Unnamed: 0,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,통합_등급차이
10,CJ대한통운,운수창고업,A000120,12,2021,Annual,8993928516,2348222542,1371077751,25128745,3312064213,8993928516,4977570577,2448916061,826135988,261567095,170151224,4016357939,11343651787,10272323722,343880766,0,11493831,158279696,344143274,366409538,-877201845,44.66,31.29,123.93,70.06,90.56,3.93,3.03,343880765.7,9.44,-6.735837757,-7.497390396,-5.266759683,-6.735837757,-11.17122847,-12.77568139,-0.583778714,5.217679276,5.699681569,10.97749209,-39.87163613,-216.0112994,1.26125661,2.824362758,2.27895348,-1
11,CJ대한통운,운수창고업,A000120,12,2022,Annual,9693299818,2956459493,1422739127,34299355,3364173934,9693299818,5658991480,3108759802,831449965,789578095,367116669,4034308339,12130712862,10944706303,411786887,0,11924772,196821784,622939080,-566860798,290402311,41.62,37.18,140.27,89.33,90.22,4.89,3.39,411786887.3,9.78,7.776038032,25.90201483,1.573330638,7.776038032,13.68982905,26.94431841,0.446932277,6.93833952,19.74699597,24.35062044,81.0115516,-254.7068892,1.251453384,3.006887883,2.143617446,1
12,CJ씨푸드,음식료품,A011150,12,2020,Annual,135332382,46306337,1886565,27738489,73428644,135332382,69472863,43728866,13324757,17470276,0,65859519,149049674,130486555,3962856,0,0,2105552,3449077,-5006200,1809035,48.67,27.65,105.49,56.82,87.55,3.23,2.66,3962855.96,12.45,6.272954432,20.91563643,-2.952673508,6.272954432,10.28894035,-23.81239292,2.341887272,-0.07996034,7.094230403,15.18601631,-52.64040009,7.505107148,1.101360013,2.263145499,2.145437334,0
13,CJ씨푸드,음식료품,A011150,12,2021,Annual,133389814,51224078,2571190,16745691,57953480,133389814,66278140,40773011,18843709,9404662,0,67111675,162142952,140111856,4499170,0,0,2204339,10911065,-2437292,-8790016,50.31,22.02,98.76,43.77,86.41,3.32,2.77,4499170.29,13.59,-1.435405164,10.6200173,-21.07510524,-1.435405164,-4.598519281,-6.759505266,1.901252877,8.784506298,13.53352229,4.691738793,216.347388,-51.31452998,1.215557224,2.416017064,2.446401664,0
14,CJ씨푸드,음식료품,A011150,12,2022,Annual,143409087,60241893,2981683,19897736,54722240,143409087,67719807,63686192,18327080,13489469,0,75689279,152701472,131165862,4135028,0,0,7419861,-905718,2360886,3602029,52.78,23.41,89.47,44.36,85.9,10.39,2.71,4135027.84,14.1,7.511272937,17.60464093,-5.575575444,7.511272937,2.175177215,56.19693135,12.78109062,-5.822935801,-8.093537252,236.6025371,-108.3009129,-196.8651274,1.064796347,2.017478222,2.254901169,1
15,CJ제일제당,음식료품,A097950,12,2020,Annual,25611892185,7469913474,2409369434,1861478883,10462045760,25611892185,15445453188,7082673561,1793738367,1647881072,2412810326,10166438997,24245725654,19059312372,1359551440,39905922,116857417,786425538,2001752173,-345091608,-1097921853,39.69,37.11,151.93,93.49,78.61,8.01,5.61,1359551440,21.39,-2.544612158,-5.956482573,-3.289277904,-2.544612158,-8.05813739,-13.6495008,7.224173301,8.47004385,51.59051182,311.6801153,-6.595296199,-89.18169128,0.946658899,2.384878881,1.569764601,0
16,CJ제일제당,음식료품,A097950,12,2021,Annual,26855804277,7725600945,2616118100,2338251516,11160866010,26855804277,16049003859,7915867743,2153028876,1455599563,1966024758,10806800418,26289227767,20507136770,1524429392,48689469,175943237,892393213,1686409257,-625359234,-1273855062,40.24,36.4,148.51,90.45,78.01,8.51,5.8,1524429392,21.99,4.85677545,3.422897359,6.679575544,4.85677545,3.907626818,11.76383713,6.298777981,8.428298423,12.12737872,13.47459739,-15.75334451,81.21542788,0.978903015,2.43265599,1.638059782,0
17,CJ제일제당,음식료품,A097950,12,2022,Annual,30013241845,9788044124,2914499020,3201446372,11912532880,30013241845,18484219204,9749512896,2562314004,2842769156,1772536200,11529022641,30079513121,23524738847,1664708210,63831140,244036645,802674084,1627293112,-1498466429,551586831,38.41,38.71,160.33,100.77,78.21,7.19,5.53,1664708210,21.79,11.75700245,26.69621682,6.734843598,11.75700245,15.17362303,23.16417116,6.68303471,14.41763671,9.202054141,-10.0537664,-3.505444764,139.616903,1.002208068,2.609025419,1.627307748,0
18,CS홀딩스,기타금융,A000590,12,2020,Annual,323725568,189858509,16303358,31197094,34338466,323725568,28164319,18974455,6127295,2070896,0,295561249,131637085,98462604,15901270,164871,9863,11835399,19478813,19294489,-3055358,91.3,0.77,9.53,0.85,74.8,4.07,12.08,15901269.82,25.2,3.00168939,-2.526856306,-14.96093439,3.00168939,0.090689724,-0.838120938,3.287942267,-2.470468695,-6.601687778,-28.71912802,1.016092979,55.26700637,0.406631721,0.445380054,4.673895541,1
19,CS홀딩스,기타금융,A000590,12,2021,Annual,353716996,189086293,23921662,45133423,35334454,353716996,41521128,29190456,10692015,3334477,0,312195868,159017955,118076365,19647702,125429,9709,21065821,8113505,-43981538,-4590077,88.26,1.15,13.3,1.3,74.25,6.93,12.36,19647701.65,25.75,9.264460693,-0.406732363,2.900502311,9.264460693,47.42457646,53.84081387,5.628146131,20.80027068,23.56058353,77.98995201,-58.34702556,-327.948706,0.449562664,0.50935317,3.829808164,-1
20,CS홀딩스,기타금융,A000590,12,2022,Annual,364121571,213280099,23841226,47232515,34386484,364121571,33693421,22982073,7222652,3498022,0,330428150,175266452,141658049,15632045,111506,9525,18788498,17143930,4595962,-3457306,90.75,1.06,10.2,1.17,80.82,5.85,8.92,15632045.33,19.18,2.941497049,12.7951136,-2.68284887,2.941497049,-18.85234669,-21.26853722,5.840013872,10.21802664,-20.43830368,-10.81051149,111.3011578,-110.4497528,0.481340481,0.530422278,5.201800435,0
21,DB,서비스업,A012030,12,2020,Annual,472491491,88595763,48254799,1431330,1853998,472491491,158786944,117921290,17834671,3893183,0,313704547,272445840,209303874,26874196,0,12077934,6271086,18194187,-8980670,-15059994,66.39,17.38,50.62,26.18,76.82,2.39,9.86,26874196,23.18,30.10626831,5.57737738,-10.03093115,30.10626831,4.350499353,99.16282942,48.68133605,14.23037782,45.32083203,42.37951943,-41.31894586,2.607252283,0.576615336,0.868479092,1.715794971,0
22,DB,서비스업,A012030,12,2021,Annual,601998919,84468030,43747534,3438673,1642245,601998919,164214797,50552474,12346779,4120000,600000,437784123,326914605,265096737,23472667,0,12929409,21705064,18587525,-1050625,-19402734,72.72,11.22,37.51,15.43,81.09,5.78,7.18,23472667.41,18.91,27.40947307,-4.659063662,-11.42142548,27.40947307,3.418324494,-57.13032481,39.55300527,19.99251117,-12.65723075,246.1133207,2.1618883,-88.3012626,0.543048492,0.746748427,1.990774345,0
23,DB,서비스업,A012030,12,2022,Annual,414317385,114707456,53537541,5729621,1866495,414317385,129333891,110484852,25983981,6309634,0,284983494,401345502,334566971,23608623,0,13092259,5713048,27104962,-242761,-17403779,68.78,12.87,45.38,18.71,83.36,1.58,5.88,23608623.38,16.64,-31.17639053,35.79984759,13.655088,-31.17639053,-21.24102495,118.5547872,-34.90319109,22.76768791,0.579209853,-73.6787323,45.82340575,-76.89365854,0.968690952,1.408311395,3.103173491,-1
24,DB하이텍,전기전자,A000990,12,2020,Annual,1178581197,459208127,102419519,51848770,674684075,1178581197,383996685,261704001,36813081,15209836,96717358,794584513,935919766,577034944,239335181,58511000,0,166025591,309982630,-265310218,-75974562,67.42,15.09,48.33,22.38,61.65,23.07,25.57,239335181.3,38.35,8.236957144,7.728719936,9.424707148,8.236957144,-13.56080492,19.11036513,23.25814213,15.91537394,32.01626813,58.66813074,92.44214264,114.0382154,0.794107159,1.177873153,2.437312098,1
25,DB하이텍,전기전자,A000990,12,2021,Annual,1549937896,815161899,134935586,66017138,657794905,1549937896,443888190,335336853,44247176,33620488,96499920,1106049706,1214682040,679485437,399106778,64222000,0,316891852,393129115,-252766500,-4884073,71.36,11.08,40.13,15.53,55.94,33.35,32.86,399106778.3,44.06,31.50879209,77.51469346,-2.503270883,31.50879209,15.59688074,28.13592903,39.19849782,29.78484739,66.75641932,90.86928111,26.82294972,-4.727943799,0.783697233,1.098216503,2.736459467,-2
26,DB하이텍,전기전자,A000990,12,2022,Annual,2142165862,1327330066,122007611,79031920,752946807,2142165862,507381719,416099502,48542143,26652892,68499960,1634784144,1669476722,741652223,761884807,77174000,0,556227096,730905288,-708793931,-45816866,76.31,6.58,31.04,8.62,44.42,40.59,45.64,761884807.4,55.58,38.20978683,62.83023871,14.46528413,38.20978683,14.30394645,24.08403618,47.80385865,37.44145933,90.89748634,75.52584344,85.91990776,180.4145055,0.77934055,1.021221504,3.290376179,1
