,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급차이,사회_등급차이,지배구조_등급차이,통합_등급차이,t+1년도_환경_등급차이,t+1년도_사회_등급차이,t+1년도_지배구조_등급차이,t+1년도_통합_등급차이
10,CJ제일제당,음식료품,A097950,12,2021,Annual,26855804277.0,7725600945.0,2616118100,2338251516,11160866010.0,26855804277.0,16049003859.0,7915867743,2153028876,1455599563,1966024758,10806800418.0,26289227767.0,20507136770.0,1524429392,48689469,175943237,892393213,1686409257,-625359234,-1273855062,40.24,36.4,148.51,90.45,78.01,8.51,5.8,1524429392.0,21.99,4.85677545,3.422897359,6.679575544,4.85677545,3.907626818,11.76383713,6.298777981,8.428298423,12.12737872,13.47459739,-15.75334451,81.21542788,0.978903015,2.43265599,1.638059782,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
11,CJ제일제당,음식료품,A097950,12,2022,Annual,30013241845.0,9788044124.0,2914499020,3201446372,11912532880.0,30013241845.0,18484219204.0,9749512896,2562314004,2842769156,1772536200,11529022641.0,30079513121.0,23524738847.0,1664708210,63831140,244036645,802674084,1627293112,-1498466429,551586831,38.41,38.71,160.33,100.77,78.21,7.19,5.53,1664708210.0,21.79,11.75700245,26.69621682,6.734843598,11.75700245,15.17362303,23.16417116,6.68303471,14.41763671,9.202054141,-10.0537664,-3.505444764,139.616903,1.002208068,2.609025419,1.627307748,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0
12,CS홀딩스,기타금융,A000590,12,2021,Annual,353716996.0,189086293.0,23921662,45133423,35334454.0,353716996.0,41521128.0,29190456,10692015,3334477,0,312195868.0,159017955.0,118076365.0,19647702,125429,9709,21065821,8113505,-43981538,-4590077,88.26,1.15,13.3,1.3,74.25,6.93,12.36,19647701.65,25.75,9.264460693,-0.406732363,2.900502311,9.264460693,47.42457646,53.84081387,5.628146131,20.80027068,23.56058353,77.98995201,-58.34702556,-327.948706,0.449562664,0.50935317,3.829808164,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
13,CS홀딩스,기타금융,A000590,12,2022,Annual,364121571.0,213280099.0,23841226,47232515,34386484.0,364121571.0,33693421.0,22982073,7222652,3498022,0,330428150.0,175266452.0,141658049.0,15632045,111506,9525,18788498,17143930,4595962,-3457306,90.75,1.06,10.2,1.17,80.82,5.85,8.92,15632045.33,19.18,2.941497049,12.7951136,-2.68284887,2.941497049,-18.85234669,-21.26853722,5.840013872,10.21802664,-20.43830368,-10.81051149,111.3011578,-110.4497528,0.481340481,0.530422278,5.201800435,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
14,DB,서비스업,A012030,12,2021,Annual,601998919.0,84468030.0,43747534,3438673,1642245.0,601998919.0,164214797.0,50552474,12346779,4120000,600000,437784123.0,326914605.0,265096737.0,23472667,0,12929409,21705064,18587525,-1050625,-19402734,72.72,11.22,37.51,15.43,81.09,5.78,7.18,23472667.41,18.91,27.40947307,-4.659063662,-11.42142548,27.40947307,3.418324494,-57.13032481,39.55300527,19.99251117,-12.65723075,246.1133207,2.1618883,-88.3012626,0.543048492,0.746748427,1.990774345,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
15,DB,서비스업,A012030,12,2022,Annual,414317385.0,114707456.0,53537541,5729621,1866495.0,414317385.0,129333891.0,110484852,25983981,6309634,0,284983494.0,401345502.0,334566971.0,23608623,0,13092259,5713048,27104962,-242761,-17403779,68.78,12.87,45.38,18.71,83.36,1.58,5.88,23608623.38,16.64,-31.17639053,35.79984759,13.655088,-31.17639053,-21.24102495,118.5547872,-34.90319109,22.76768791,0.579209853,-73.6787323,45.82340575,-76.89365854,0.968690952,1.408311395,3.103173491,0.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
16,DB하이텍,전기전자,A000990,12,2021,Annual,1549937896.0,815161899.0,134935586,66017138,657794905.0,1549937896.0,443888190.0,335336853,44247176,33620488,96499920,1106049706.0,1214682040.0,679485437.0,399106778,64222000,0,316891852,393129115,-252766500,-4884073,71.36,11.08,40.13,15.53,55.94,33.35,32.86,399106778.3,44.06,31.50879209,77.51469346,-2.503270883,31.50879209,15.59688074,28.13592903,39.19849782,29.78484739,66.75641932,90.86928111,26.82294972,-4.727943799,0.783697233,1.098216503,2.736459467,-2.0,-1.0,-2.0,-2.0,1.0,0.0,1.0,1.0
17,DB하이텍,전기전자,A000990,12,2022,Annual,2142165862.0,1327330066.0,122007611,79031920,752946807.0,2142165862.0,507381719.0,416099502,48542143,26652892,68499960,1634784144.0,1669476722.0,741652223.0,761884807,77174000,0,556227096,730905288,-708793931,-45816866,76.31,6.58,31.04,8.62,44.42,40.59,45.64,761884807.4,55.58,38.20978683,62.83023871,14.46528413,38.20978683,14.30394645,24.08403618,47.80385865,37.44145933,90.89748634,75.52584344,85.91990776,180.4145055,0.77934055,1.021221504,3.290376179,2.0,1.0,0.0,1.0,-2.0,-1.0,-2.0,-2.0
18,DI동일,유통업,A001530,12,2021,Annual,993144117.0,349477508.0,113828630,142126368,295866911.0,993144117.0,419638628.0,306523415,42899050,230615812,16309032,573505490.0,813085258.0,701450573.0,48592980,2505024,1202003,46334632,23170994,-17650248,11892021,57.75,25.26,73.17,43.75,86.27,8.5,5.98,48592979.66,13.73,12.53001192,32.63573604,-0.769547621,12.53001192,14.68932968,28.31640653,11.00083542,19.62975381,84.26819978,92.68103179,-32.84750671,-280.1447364,0.818698157,1.41774625,1.937584397,0.0,0.0,-2.0,-1.0,0.0,0.0,2.0,1.0
19,DI동일,유통업,A001530,12,2022,Annual,997884899.0,335150513.0,112756753,137798543,296508119.0,997884899.0,378689104.0,269797533,31549697,204235509,6649435,619195795.0,829928717.0,723449679.0,44754403,1830474,1425503,57491368,38954775,-38471234,-7311474,62.05,24.07,61.16,38.8,87.17,9.64,5.39,44754402.51,12.83,0.477350862,-4.099547087,0.216721768,0.477350862,-9.758282786,-11.98142791,7.966847013,2.071548935,-7.899447616,24.07861144,68.11870479,117.9642688,0.831687821,1.340333258,2.191583302,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0
20,DL,화학,A000210,12,2021,Annual,8180715294.0,2512731845.0,263539391,329716748,1508445024.0,8180715294.0,3793988664.0,1460930582,266381624,535861675,1394066335,4386726630.0,2358774797.0,1937318660.0,193162085,0,442000,728618667,300778141,-175168342,497735394,53.62,36.25,86.49,67.6,82.13,19.18,8.19,193162085.4,17.87,-41.15380684,-73.06195288,3.473127647,-41.15380684,-64.51077203,-82.54074224,36.60181094,50.60987685,62.25322526,27.23470762,-77.98408739,-88.1253415,0.288333564,0.537707269,0.621713718,-1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
21,DL,화학,A000210,12,2022,Annual,12004032770.0,3002744413.0,606577254,1155096118,3600621634.0,12004032770.0,7401228917.0,2323118787,676393420,575543000,3752956000,4602803853.0,5173707170.0,4167603808.0,284470889,66466000,1450000,98152635,227911058,-2299569337,1204547617,38.34,44.89,160.8,117.07,80.55,2.18,5.5,284470889.0,19.45,46.73573567,19.50118828,138.6975711,46.73573567,95.07778152,59.0163705,4.925705229,119.3387506,47.27056244,-86.52894313,-24.2261897,1212.77679,0.430997421,1.124033814,0.699033529,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0
22,DN오토모티브,전기전자,A007340,12,2021,Annual,1484962433.0,1077073233.0,161016944,184422721,290539800.0,1484962433.0,770989552.0,558066307,100818820,393468486,3517843,713972881.0,930752730.0,780624256.0,89645343,389104,652529,85081181,40896237,-67941301,445348330,48.08,40.8,107.99,84.87,83.87,12.43,9.63,89645343.41,16.13,54.40132057,126.2131589,-2.181351307,54.40132057,151.0730153,91.85060031,9.057242019,15.89552097,28.83514176,75.68811151,-61.25105258,41.50782679,0.626785371,1.303624766,1.207218344,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0
23,DN오토모티브,전기전자,A007340,12,2022,Annual,4591590752.0,1775650460.0,385312108,659977419,711569595.0,4591590752.0,3460082192.0,1358459214,340103270,521110576,1872331503,1131508560.0,3156376224.0,2423676521.0,421528486,52019461,11639832,184899013,152952368,-1745898296,1539563938,24.64,58.96,305.79,239.25,76.79,20.04,13.35,421528485.9,23.21,209.2058526,64.85884205,144.91295,209.2058526,348.784576,143.4225462,58.48060761,239.1208129,370.2179409,117.320694,274.0010799,2469.715726,0.687425425,2.789529249,0.912225794,0.0,2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0
