,종목명,업종명
0,AK홀딩스,기타금융
1,BYC,섬유의복
2,CJ,기타금융
3,CJCGV,서비스업
4,CJ대한통운,운수창고업
5,CJ씨푸드,음식료품
6,CJ제일제당,음식료품
7,CS홀딩스,기타금융
8,DB,서비스업
9,DB금융투자,증권
10,DB손해보험,보험
11,DB하이텍,전기전자
12,DI동일,유통업
13,DL,화학
14,DN오토모티브,전기전자
15,DRB동일,화학
16,DSR제강,철강금속
17,E1,유통업
18,GKL,서비스업
19,GS,기타금융
20,GS건설,건설업
21,GS글로벌,유통업
22,HDC현대EP,화학
23,HD현대미포,운수장비
24,HD현대인프라코어,기계
25,HJ중공업,건설업
26,HLB글로벌,광업
27,HMM,운수창고업
28,HS애드,서비스업
29,IHQ,서비스업
30,JW중외제약,의약품
31,JW홀딩스,기타금융
32,KB금융,기타금융
33,KCC,화학
34,KCTC,운수창고업
35,KC그린홀딩스,기타금융
36,KEC,전기전자
37,KG스틸,철강금속
38,KG케미칼,화학
39,KH필룩스,전기전자
40,KIB플러그에너지,기계
41,KISCO홀딩스,철강금속
42,KPX케미칼,화학
43,KPX홀딩스,화학
44,KR모터스,운수장비
45,KSS해운,운수창고업
46,KT,통신업
47,KT&G,기타제조업
48,LF,섬유의복
49,LG,기타금융
50,LG디스플레이,전기전자
51,LG생활건강,화학
52,LG유플러스,통신업
53,LG이노텍,전기전자
54,LG전자,전기전자
55,LG화학,화학
56,LS,기타금융
57,LSELECTRIC,전기전자
58,LS네트웍스,유통업
59,LX하우시스,화학
60,MH에탄올,음식료품
61,NAVER,서비스업
62,NH투자증권,증권
63,NICE,서비스업
64,NI스틸,철강금속
65,NPC,화학
66,POSCO홀딩스,철강금속
67,S-Oil,화학
68,SBS,서비스업
69,SGC에너지,전기가스업
70,SG세계물산,유통업
71,SHD,철강금속
72,SH에너지화학,화학
73,SIMPAC,철강금속
74,SJM홀딩스,유통업
75,SK,기타금융
76,SKC,화학
77,SK가스,유통업
78,SK네트웍스,유통업
79,SK디스커버리,기타금융
80,SK이노베이션,화학
81,SK증권,증권
82,SK텔레콤,통신업
83,SK하이닉스,전기전자
84,SNT다이내믹스,운수장비
85,SNT모티브,운수장비
86,SNT에너지,기계
87,SNT홀딩스,기타금융
88,SPC삼립,음식료품
89,SUN&L,종이목재
90,TBH글로벌,섬유의복
91,TCC스틸,철강금속
92,TKG휴켐스,화학
93,TP,섬유의복
94,TYM,기계
95,WISCOM,화학
96,가온전선,전기전자
97,강남제비스코,화학
98,강원랜드,서비스업
99,갤럭시아에스엠,서비스업
100,경농,화학
101,경동나비엔,전기전자
102,경동인베스트,기타금융
103,경방,유통업
104,경인양행,화학
105,경인전자,전기전자
106,계룡건설,건설업
107,계양전기,기계
108,고려산업,음식료품
109,고려아연,철강금속
110,고려제강,철강금속
111,광동제약,의약품
112,광명전기,전기전자
113,광전자,전기전자
114,광주신세계,유통업
115,교보증권,증권
116,국도화학,화학
117,국동,유통업
118,국보,운수창고업
119,국제약품,의약품
120,그린케미칼,화학
121,극동유화,화학
122,금강공업,철강금속
123,금비,비금속광물
124,금양,화학
125,금호건설,건설업
126,금호석유,화학
127,금호전기,전기전자
128,기신정기,기계
129,기아,운수장비
130,기업은행,은행
131,까뮤이앤씨,건설업
132,깨끗한나라,종이목재
133,남선알미늄,철강금속
134,남성,유통업
135,남양유업,음식료품
136,남해화학,화학
137,넥센,화학
138,넥센타이어,화학
139,노루페인트,화학
140,노루홀딩스,기타금융
141,녹십자,의약품
142,녹십자홀딩스,서비스업
143,농심,음식료품
144,농심홀딩스,기타금융
145,다스코,기계
146,다올투자증권,증권
147,다우기술,서비스업
148,대교,서비스업
149,대구백화점,유통업
150,대동,기계
151,대동전자,전기전자
152,대림B&Co,비금속광물
153,대림통상,기계
154,대상,음식료품
155,대상홀딩스,기타금융
156,대성홀딩스,서비스업
157,대신증권,증권
158,대양금속,철강금속
159,대영포장,종이목재
160,대우건설,건설업
161,대우부품,운수장비
162,대웅,의약품
163,대웅제약,의약품
164,대원강업,운수장비
165,대원전선,전기전자
166,대원제약,의약품
167,대원화성,화학
168,대유에이텍,운수장비
169,대유플러스,전기전자
170,대창,철강금속
171,대창단조,운수장비
172,대한방직,섬유의복
173,대한유화,화학
174,대한전선,전기전자
175,대한제강,철강금속
176,대한제당,음식료품
177,대한제분,음식료품
178,대한항공,운수창고업
179,대한화섬,화학
180,대현,섬유의복
181,대호에이엘,철강금속
182,더존비즈온,서비스업
183,덕성,화학
184,덕양산업,운수장비
185,동남합성,화학
186,동방,운수창고업
187,동방아그로,화학
188,동성제약,의약품
189,동성케미컬,서비스업
190,동아쏘시오홀딩스,기타금융
191,동아지질,건설업
192,동양고속,운수창고업
193,동양생명,보험
194,동양철관,철강금속
195,동원F&B,음식료품
196,동원금속,운수장비
197,동원산업,기타금융
198,동원수산,"농업, 임업 및 어업"
199,동원시스템즈,화학
200,동일산업,철강금속
201,동화약품,의약품
202,두산,기타금융
203,두산에너빌리티,기계
204,디씨엠,철강금속
205,디아이,의료정밀
206,디아이씨,운수장비
207,디와이,기타금융
208,롯데손해보험,보험
209,롯데쇼핑,유통업
210,롯데정밀화학,화학
211,롯데지주,기타금융
212,롯데칠성,음식료품
213,롯데케미칼,화학
214,마니커,음식료품
215,만호제강,철강금속
216,메타랩스,섬유의복
217,명문제약,의약품
218,모나리자,종이목재
219,모나미,유통업
220,모토닉,운수장비
221,무림P&P,종이목재
222,무림페이퍼,종이목재
223,문배철강,철강금속
224,미래산업,의료정밀
225,미래아이앤지,서비스업
226,미원상사,화학
227,미원홀딩스,기타금융
228,미창석유,화학
229,방림,섬유의복
230,백광산업,화학
231,백산,화학
232,보락,화학
233,보령,의약품
234,보해양조,음식료품
235,부광약품,의약품
236,부국증권,증권
237,부국철강,철강금속
238,부산산업,비금속광물
239,부산주공,운수장비
240,비비안,섬유의복
241,비상교육,서비스업
242,빙그레,음식료품
243,사조동아원,음식료품
244,사조산업,"농업, 임업 및 어업"
245,사조오양,음식료품
246,삼성E&A,서비스업
247,삼성SDI,전기전자
248,삼성공조,운수장비
249,삼성전기,전기전자
250,삼성전자,전기전자
251,삼성제약,의약품
252,삼성중공업,운수장비
253,삼성증권,증권
254,삼성출판사,서비스업
255,삼성카드,기타금융
256,삼성화재,보험
257,삼아알미늄,철강금속
258,삼양식품,음식료품
259,삼양통상,기타제조업
260,삼양홀딩스,기타금융
261,삼영,화학
262,삼영무역,유통업
263,삼영전자,전기전자
264,삼익THK,기계
265,삼익악기,기타제조업
266,삼일제약,의약품
267,삼정펄프,종이목재
268,삼진제약,의약품
269,삼천리,전기가스업
270,삼호개발,건설업
271,삼화왕관,기계
272,삼화전기,전기전자
273,삼화전자,전기전자
274,삼화콘덴서,전기전자
275,삼화페인트,화학
276,상상인증권,증권
277,상신브레이크,운수장비
278,새론오토모티브,운수장비
279,샘표,기타금융
280,서연,기타금융
281,서울가스,전기가스업
282,서울식품,음식료품
283,서원,철강금속
284,서흥,화학
285,선도전기,전기전자
286,성문전자,전기전자
287,성보화학,화학
288,성신양회,비금속광물
289,성창기업지주,서비스업
290,세기상사,유통업
291,세방,운수창고업
292,세방전지,전기전자
293,세아베스틸지주,철강금속
294,세아홀딩스,철강금속
295,세우글로벌,유통업
296,세원이앤씨,기계
297,세원정공,운수장비
298,세이브존I&C,유통업
299,송원산업,화학
300,수산중공업,기계
301,신대양제지,종이목재
302,신도리코,전기전자
303,신라교역,"농업, 임업 및 어업"
304,신성이엔지,전기전자
305,신성통상,유통업
306,신세계,유통업
307,신세계I&C,서비스업
308,신세계건설,건설업
309,신영와코루,섬유의복
310,신영증권,증권
311,신원,섬유의복
312,신일전자,유통업
313,신풍,유통업
314,신풍제약,의약품
315,신한지주,기타금융
316,신흥,유통업
317,쌍방울,섬유의복
318,쌍용C&E,비금속광물
319,써니전자,전기전자
320,씨아이테크,기타제조업
321,아남전자,전기전자
322,아모레G,화학
323,아모레퍼시픽,화학
324,아세아,서비스업
325,아세아제지,종이목재
326,아시아나항공,운수창고업
327,아이에스동서,비금속광물
328,알루코,철강금속
329,에넥스,기타제조업
330,에스메디,유통업
331,에스엘,운수장비
332,에스원,서비스업
333,에스제이지세종,운수장비
334,에쓰씨엔지니어링,건설업
335,에이엔피,전기전자
336,에이프로젠,기계
337,에이프로젠바이오로직스,의약품
338,엔씨소프트,서비스업
339,엔케이,기계
340,영보화학,화학
341,영원무역,유통업
342,영원무역홀딩스,기타금융
343,영진약품,의약품
344,영풍,철강금속
345,영풍제지,종이목재
346,영화금속,운수장비
347,예스코홀딩스,서비스업
348,오뚜기,음식료품
349,오리엔트바이오,의약품
350,오리온홀딩스,기타금융
351,우성,음식료품
352,우신시스템,기계
353,우진플라임,기계
354,웅진씽크빅,서비스업
355,원림,섬유의복
356,웰바이오텍,유통업
357,윌비스,유통업
358,유나이티드제약,의약품
359,유니드,화학
360,유니온,비금속광물
361,유니온머티리얼,비금속광물
362,유니퀘스트,유통업
363,유성기업,운수장비
364,유수홀딩스,서비스업
365,유안타증권,증권
366,유엔젤,서비스업
367,유유제약,의약품
368,유진투자증권,증권
369,유한양행,의약품
370,유화증권,증권
371,율촌화학,화학
372,이건산업,종이목재
373,이구산업,철강금속
374,이수페타시스,전기전자
375,이수화학,화학
376,이스타코,서비스업
377,이아이디,유통업
378,이엔플러스,기계
379,이월드,기타제조업
380,이화산업,유통업
381,인디에프,섬유의복
382,인스코비,통신업
383,인지컨트롤스,운수장비
384,인천도시가스,전기가스업
385,인팩,운수장비
386,일동홀딩스,의약품
387,일성건설,건설업
388,일신방직,섬유의복
389,일신석재,유통업
390,일양약품,의약품
391,일정실업,섬유의복
392,일진다이아,화학
393,일진디스플,전기전자
394,일진전기,전기전자
395,일진홀딩스,기타금융
396,자화전자,전기전자
397,전방,섬유의복
398,제일기획,서비스업
399,제일연마,비금속광물
400,제일파마홀딩스,서비스업
401,조광페인트,화학
402,조광피혁,기타제조업
403,조비,화학
404,조일알미늄,철강금속
405,조흥,음식료품
406,종근당바이오,의약품
407,종근당홀딩스,의약품
408,주연테크,전기전자
409,진도,유통업
410,진양산업,화학
411,진양폴리,화학
412,진양홀딩스,화학
413,진양화학,화학
414,진원생명과학,의약품
415,진흥기업,건설업
416,참엔지니어링,기계
417,천일고속,운수창고업
418,청호ICT,기계
419,체시스,운수장비
420,카프로,화학
421,케이비아이동국실업,운수장비
422,케이씨,의료정밀
423,코리아써키트,전기전자
424,코리안리,보험
425,코스맥스비티아이,기타금융
426,코스모신소재,화학
427,코스모화학,화학
428,코아스,기타제조업
429,코오롱,기타금융
430,코오롱글로벌,건설업
431,코웨이,서비스업
432,콤텍시스템,서비스업
433,크라운해태홀딩스,기타금융
434,키움증권,증권
435,태경비케이,비금속광물
436,태경산업,화학
437,태경케미컬,화학
438,태광산업,화학
439,태림포장,종이목재
440,태양금속,운수장비
441,태영건설,건설업
442,태원물산,운수장비
443,텔코웨어,서비스업
444,티에이치엔,전기전자
445,파미셀,의약품
446,팜스코,음식료품
447,팜젠사이언스,의약품
448,퍼스텍,기계
449,퍼시스,기타제조업
450,페이퍼코리아,종이목재
451,평화산업,운수장비
452,평화홀딩스,운수장비
453,포스코스틸리온,철강금속
454,포스코인터내셔널,유통업
455,풀무원,음식료품
456,풍산,철강금속
457,풍산홀딩스,기타금융
458,플레이그램,유통업
459,하나금융지주,기타금융
460,하이스틸,철강금속
461,하이트진로,음식료품
462,하이트진로홀딩스,기타금융
463,한국가스공사,전기가스업
464,한국공항,운수창고업
465,한국금융지주,기타금융
466,한국내화,비금속광물
467,한국단자,전기전자
468,한국무브넥스,운수장비
469,한국석유,비금속광물
470,한국수출포장,종이목재
471,한국쉘석유,화학
472,한국앤컴퍼니,기타금융
473,한국전력,전기가스업
474,한국전자홀딩스,기타금융
475,한국주강,기계
476,한국주철관,철강금속
477,한국철강,철강금속
478,한국카본,기계
479,한국화장품제조,화학
480,한농화성,화학
481,한독,의약품
482,한미글로벌,서비스업
483,한미반도체,기계
484,한미사이언스,기타금융
485,한샘,유통업
486,한섬,섬유의복
487,한성기업,음식료품
488,한세실업,섬유의복
489,한세예스24홀딩스,섬유의복
490,한솔PNS,유통업
491,한솔로지스틱스,운수창고업
492,한솔케미칼,화학
493,한솔테크닉스,전기전자
494,한솔홀딩스,기타금융
495,한솔홈데코,종이목재
496,한신공영,건설업
497,한신기계,기계
498,한양증권,증권
499,한온시스템,기계
500,한올바이오파마,의약품
501,한익스프레스,운수창고업
502,한일철강,철강금속
503,한전KPS,건설업
504,한전기술,서비스업
505,한진,운수창고업
506,한진중공업홀딩스,전기가스업
507,한창,유통업
508,한창제지,종이목재
509,한화,화학
510,한화손해보험,보험
511,한화솔루션,화학
512,한화에어로스페이스,운수장비
513,한화오션,운수장비
514,한화투자증권,증권
515,현대건설,건설업
516,현대글로비스,운수창고업
517,현대리바트,기타제조업
518,현대모비스,운수장비
519,현대백화점,유통업
520,현대비앤지스틸,철강금속
521,현대약품,의약품
522,현대엘리베이,기계
523,현대제철,철강금속
524,현대차,운수장비
525,현대차증권,증권
526,현대코퍼레이션,유통업
527,현대해상,보험
528,형지엘리트,섬유의복
529,혜인,유통업
530,호텔신라,유통업
531,화성산업,건설업
532,화승인더,화학
533,화신,운수장비
534,화천기계,기계
535,화천기공,기계
536,환인제약,의약품
537,황금에스티,철강금속
538,효성,기타금융
539,효성ITX,서비스업
540,후성,화학
541,휴니드,전기전자
542,휴스틸,철강금속
543,흥국화재,보험
544,흥아해운,운수창고업
