,종목명,업종명
0,AK홀딩스,기타금융
1,BYC,섬유의복
2,CJ,기타금융
3,CJCGV,서비스업
4,CJ대한통운,운수창고업
5,CJ씨푸드,음식료품
6,CJ제일제당,음식료품
7,CS홀딩스,기타금융
8,DB,서비스업
9,DB하이텍,전기전자
10,DI동일,유통업
11,DL,화학
12,DN오토모티브,전기전자
13,DRB동일,화학
14,DSR제강,철강금속
15,E1,유통업
16,GKL,서비스업
17,GS,기타금융
18,GS건설,건설업
19,GS글로벌,유통업
20,HDC현대EP,화학
21,HD현대미포,운수장비
22,HD현대인프라코어,기계
23,HJ중공업,건설업
24,HLB글로벌,광업
25,HMM,운수창고업
26,HS애드,서비스업
27,IHQ,서비스업
28,JW중외제약,의약품
29,JW홀딩스,기타금융
30,KCC,화학
31,KCTC,운수창고업
32,KC그린홀딩스,기타금융
33,KEC,전기전자
34,KG스틸,철강금속
35,KG케미칼,화학
36,KH필룩스,전기전자
37,KIB플러그에너지,기계
38,KISCO홀딩스,철강금속
39,KPX케미칼,화학
40,KPX홀딩스,화학
41,KR모터스,운수장비
42,KSS해운,운수창고업
43,KT,통신업
44,KT&G,기타제조업
45,LF,섬유의복
46,LG,기타금융
47,LG디스플레이,전기전자
48,LG생활건강,화학
49,LG유플러스,통신업
50,LG이노텍,전기전자
51,LG전자,전기전자
52,LG화학,화학
53,LS,기타금융
54,LSELECTRIC,전기전자
55,LS네트웍스,유통업
56,LX하우시스,화학
57,MH에탄올,음식료품
58,NAVER,서비스업
59,NICE,서비스업
60,NI스틸,철강금속
61,NPC,화학
62,POSCO홀딩스,철강금속
63,S-Oil,화학
64,SBS,서비스업
65,SGC에너지,전기가스업
66,SG세계물산,유통업
67,SHD,철강금속
68,SH에너지화학,화학
69,SIMPAC,철강금속
70,SJM홀딩스,유통업
71,SK,기타금융
72,SKC,화학
73,SK가스,유통업
74,SK네트웍스,유통업
75,SK디스커버리,기타금융
76,SK이노베이션,화학
77,SK텔레콤,통신업
78,SK하이닉스,전기전자
79,SNT다이내믹스,운수장비
80,SNT모티브,운수장비
81,SNT에너지,기계
82,SNT홀딩스,기타금융
83,SPC삼립,음식료품
84,SUN&L,종이목재
85,TBH글로벌,섬유의복
86,TCC스틸,철강금속
87,TKG휴켐스,화학
88,TP,섬유의복
89,TYM,기계
90,WISCOM,화학
91,가온전선,전기전자
92,강남제비스코,화학
93,강원랜드,서비스업
94,갤럭시아에스엠,서비스업
95,경농,화학
96,경동나비엔,전기전자
97,경동인베스트,기타금융
98,경방,유통업
99,경인양행,화학
100,경인전자,전기전자
101,계룡건설,건설업
102,계양전기,기계
103,고려산업,음식료품
104,고려아연,철강금속
105,고려제강,철강금속
106,광동제약,의약품
107,광명전기,전기전자
108,광전자,전기전자
109,광주신세계,유통업
110,국도화학,화학
111,국동,유통업
112,국보,운수창고업
113,국제약품,의약품
114,그린케미칼,화학
115,극동유화,화학
116,금강공업,철강금속
117,금비,비금속광물
118,금양,화학
119,금호건설,건설업
120,금호석유,화학
121,금호전기,전기전자
122,기신정기,기계
123,기아,운수장비
124,까뮤이앤씨,건설업
125,깨끗한나라,종이목재
126,남선알미늄,철강금속
127,남성,유통업
128,남양유업,음식료품
129,남해화학,화학
130,넥센,화학
131,넥센타이어,화학
132,노루페인트,화학
133,노루홀딩스,기타금융
134,녹십자,의약품
135,녹십자홀딩스,서비스업
136,농심,음식료품
137,농심홀딩스,기타금융
138,다스코,기계
139,다우기술,서비스업
140,대교,서비스업
141,대구백화점,유통업
142,대동,기계
143,대동전자,전기전자
144,대림B&Co,비금속광물
145,대림통상,기계
146,대상,음식료품
147,대상홀딩스,기타금융
148,대성홀딩스,서비스업
149,대양금속,철강금속
150,대영포장,종이목재
151,대우건설,건설업
152,대우부품,운수장비
153,대웅,의약품
154,대웅제약,의약품
155,대원강업,운수장비
156,대원전선,전기전자
157,대원제약,의약품
158,대원화성,화학
159,대유에이텍,운수장비
160,대유플러스,전기전자
161,대창,철강금속
162,대창단조,운수장비
163,대한방직,섬유의복
164,대한유화,화학
165,대한전선,전기전자
166,대한제강,철강금속
167,대한제당,음식료품
168,대한제분,음식료품
169,대한항공,운수창고업
170,대한화섬,화학
171,대현,섬유의복
172,대호에이엘,철강금속
173,더존비즈온,서비스업
174,덕성,화학
175,덕양산업,운수장비
176,동남합성,화학
177,동방,운수창고업
178,동방아그로,화학
179,동성제약,의약품
180,동성케미컬,서비스업
181,동아쏘시오홀딩스,기타금융
182,동아지질,건설업
183,동양고속,운수창고업
184,동양철관,철강금속
185,동원F&B,음식료품
186,동원금속,운수장비
187,동원산업,기타금융
188,동원수산,"농업, 임업 및 어업"
189,동원시스템즈,화학
190,동일산업,철강금속
191,동화약품,의약품
192,두산,기타금융
193,두산에너빌리티,기계
194,디씨엠,철강금속
195,디아이,의료정밀
196,디아이씨,운수장비
197,디와이,기타금융
198,롯데쇼핑,유통업
199,롯데정밀화학,화학
200,롯데지주,기타금융
201,롯데칠성,음식료품
202,롯데케미칼,화학
203,마니커,음식료품
204,만호제강,철강금속
205,메타랩스,섬유의복
206,명문제약,의약품
207,모나리자,종이목재
208,모나미,유통업
209,모토닉,운수장비
210,무림P&P,종이목재
211,무림페이퍼,종이목재
212,문배철강,철강금속
213,미래산업,의료정밀
214,미래아이앤지,서비스업
215,미원상사,화학
216,미원홀딩스,기타금융
217,미창석유,화학
218,방림,섬유의복
219,백광산업,화학
220,백산,화학
221,보락,화학
222,보령,의약품
223,보해양조,음식료품
224,부광약품,의약품
225,부국철강,철강금속
226,부산산업,비금속광물
227,부산주공,운수장비
228,비비안,섬유의복
229,비상교육,서비스업
230,빙그레,음식료품
231,사조동아원,음식료품
232,사조산업,"농업, 임업 및 어업"
233,사조오양,음식료품
234,삼성E&A,서비스업
235,삼성SDI,전기전자
236,삼성공조,운수장비
237,삼성전기,전기전자
238,삼성전자,전기전자
239,삼성제약,의약품
240,삼성중공업,운수장비
241,삼성출판사,서비스업
242,삼아알미늄,철강금속
243,삼양식품,음식료품
244,삼양통상,기타제조업
245,삼양홀딩스,기타금융
246,삼영,화학
247,삼영무역,유통업
248,삼영전자,전기전자
249,삼익THK,기계
250,삼익악기,기타제조업
251,삼일제약,의약품
252,삼정펄프,종이목재
253,삼진제약,의약품
254,삼천리,전기가스업
255,삼호개발,건설업
256,삼화왕관,기계
257,삼화전기,전기전자
258,삼화전자,전기전자
259,삼화콘덴서,전기전자
260,삼화페인트,화학
261,상신브레이크,운수장비
262,새론오토모티브,운수장비
263,샘표,기타금융
264,서연,기타금융
265,서울가스,전기가스업
266,서울식품,음식료품
267,서원,철강금속
268,서흥,화학
269,선도전기,전기전자
270,성문전자,전기전자
271,성보화학,화학
272,성신양회,비금속광물
273,성창기업지주,서비스업
274,세기상사,유통업
275,세방,운수창고업
276,세방전지,전기전자
277,세아베스틸지주,철강금속
278,세아홀딩스,철강금속
279,세우글로벌,유통업
280,세원이앤씨,기계
281,세원정공,운수장비
282,세이브존I&C,유통업
283,송원산업,화학
284,수산중공업,기계
285,신대양제지,종이목재
286,신도리코,전기전자
287,신라교역,"농업, 임업 및 어업"
288,신성이엔지,전기전자
289,신성통상,유통업
290,신세계,유통업
291,신세계I&C,서비스업
292,신세계건설,건설업
293,신영와코루,섬유의복
294,신원,섬유의복
295,신일전자,유통업
296,신풍,유통업
297,신풍제약,의약품
298,신흥,유통업
299,쌍방울,섬유의복
300,쌍용C&E,비금속광물
301,써니전자,전기전자
302,씨아이테크,기타제조업
303,아남전자,전기전자
304,아모레G,화학
305,아모레퍼시픽,화학
306,아세아,서비스업
307,아세아제지,종이목재
308,아시아나항공,운수창고업
309,아이에스동서,비금속광물
310,알루코,철강금속
311,에넥스,기타제조업
312,에스메디,유통업
313,에스엘,운수장비
314,에스원,서비스업
315,에스제이지세종,운수장비
316,에쓰씨엔지니어링,건설업
317,에이엔피,전기전자
318,에이프로젠,기계
319,에이프로젠바이오로직스,의약품
320,엔씨소프트,서비스업
321,엔케이,기계
322,영보화학,화학
323,영원무역,유통업
324,영원무역홀딩스,기타금융
325,영진약품,의약품
326,영풍,철강금속
327,영풍제지,종이목재
328,영화금속,운수장비
329,예스코홀딩스,서비스업
330,오뚜기,음식료품
331,오리엔트바이오,의약품
332,오리온홀딩스,기타금융
333,우성,음식료품
334,우신시스템,기계
335,우진플라임,기계
336,웅진씽크빅,서비스업
337,원림,섬유의복
338,웰바이오텍,유통업
339,윌비스,유통업
340,유나이티드제약,의약품
341,유니드,화학
342,유니온,비금속광물
343,유니온머티리얼,비금속광물
344,유니퀘스트,유통업
345,유성기업,운수장비
346,유수홀딩스,서비스업
347,유엔젤,서비스업
348,유유제약,의약품
349,유한양행,의약품
350,율촌화학,화학
351,이건산업,종이목재
352,이구산업,철강금속
353,이수페타시스,전기전자
354,이수화학,화학
355,이스타코,서비스업
356,이아이디,유통업
357,이엔플러스,기계
358,이월드,기타제조업
359,이화산업,유통업
360,인디에프,섬유의복
361,인스코비,통신업
362,인지컨트롤스,운수장비
363,인천도시가스,전기가스업
364,인팩,운수장비
365,일동홀딩스,의약품
366,일성건설,건설업
367,일신방직,섬유의복
368,일신석재,유통업
369,일양약품,의약품
370,일정실업,섬유의복
371,일진다이아,화학
372,일진디스플,전기전자
373,일진전기,전기전자
374,일진홀딩스,기타금융
375,자화전자,전기전자
376,전방,섬유의복
377,제일기획,서비스업
378,제일연마,비금속광물
379,제일파마홀딩스,서비스업
380,조광페인트,화학
381,조광피혁,기타제조업
382,조비,화학
383,조일알미늄,철강금속
384,조흥,음식료품
385,종근당바이오,의약품
386,종근당홀딩스,의약품
387,주연테크,전기전자
388,진도,유통업
389,진양산업,화학
390,진양폴리,화학
391,진양홀딩스,화학
392,진양화학,화학
393,진원생명과학,의약품
394,진흥기업,건설업
395,참엔지니어링,기계
396,천일고속,운수창고업
397,청호ICT,기계
398,체시스,운수장비
399,카프로,화학
400,케이비아이동국실업,운수장비
401,케이씨,의료정밀
402,코리아써키트,전기전자
403,코스맥스비티아이,기타금융
404,코스모신소재,화학
405,코스모화학,화학
406,코아스,기타제조업
407,코오롱,기타금융
408,코오롱글로벌,건설업
409,코웨이,서비스업
410,콤텍시스템,서비스업
411,크라운해태홀딩스,기타금융
412,태경비케이,비금속광물
413,태경산업,화학
414,태경케미컬,화학
415,태광산업,화학
416,태림포장,종이목재
417,태양금속,운수장비
418,태영건설,건설업
419,태원물산,운수장비
420,텔코웨어,서비스업
421,티에이치엔,전기전자
422,파미셀,의약품
423,팜스코,음식료품
424,팜젠사이언스,의약품
425,퍼스텍,기계
426,퍼시스,기타제조업
427,페이퍼코리아,종이목재
428,평화산업,운수장비
429,평화홀딩스,운수장비
430,포스코스틸리온,철강금속
431,포스코인터내셔널,유통업
432,풀무원,음식료품
433,풍산,철강금속
434,풍산홀딩스,기타금융
435,플레이그램,유통업
436,하이스틸,철강금속
437,하이트진로,음식료품
438,하이트진로홀딩스,기타금융
439,한국가스공사,전기가스업
440,한국공항,운수창고업
441,한국내화,비금속광물
442,한국단자,전기전자
443,한국무브넥스,운수장비
444,한국석유,비금속광물
445,한국수출포장,종이목재
446,한국쉘석유,화학
447,한국앤컴퍼니,기타금융
448,한국전력,전기가스업
449,한국전자홀딩스,기타금융
450,한국주강,기계
451,한국주철관,철강금속
452,한국철강,철강금속
453,한국카본,기계
454,한국화장품제조,화학
455,한농화성,화학
456,한독,의약품
457,한미글로벌,서비스업
458,한미반도체,기계
459,한미사이언스,기타금융
460,한샘,유통업
461,한섬,섬유의복
462,한성기업,음식료품
463,한세실업,섬유의복
464,한세예스24홀딩스,섬유의복
465,한솔PNS,유통업
466,한솔로지스틱스,운수창고업
467,한솔케미칼,화학
468,한솔테크닉스,전기전자
469,한솔홀딩스,기타금융
470,한솔홈데코,종이목재
471,한신공영,건설업
472,한신기계,기계
473,한온시스템,기계
474,한올바이오파마,의약품
475,한익스프레스,운수창고업
476,한일철강,철강금속
477,한전KPS,건설업
478,한전기술,서비스업
479,한진,운수창고업
480,한진중공업홀딩스,전기가스업
481,한창,유통업
482,한창제지,종이목재
483,한화,화학
484,한화솔루션,화학
485,한화에어로스페이스,운수장비
486,한화오션,운수장비
487,현대건설,건설업
488,현대글로비스,운수창고업
489,현대리바트,기타제조업
490,현대모비스,운수장비
491,현대백화점,유통업
492,현대비앤지스틸,철강금속
493,현대약품,의약품
494,현대엘리베이,기계
495,현대제철,철강금속
496,현대차,운수장비
497,현대코퍼레이션,유통업
498,형지엘리트,섬유의복
499,혜인,유통업
500,호텔신라,유통업
501,화성산업,건설업
502,화승인더,화학
503,화신,운수장비
504,화천기계,기계
505,화천기공,기계
506,환인제약,의약품
507,황금에스티,철강금속
508,효성,기타금융
509,효성ITX,서비스업
510,후성,화학
511,휴니드,전기전자
512,휴스틸,철강금속
513,흥아해운,운수창고업
