,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,사회_등급,t-1년도_사회등급,t-2년도_사회등급
350,SK하이닉스,전기전자,A000660,12,2015,Annual,29677906000.0,9760030000.0,2628448000,1923376000,16966252000.0,29677906000.0,8290203000.0,4840698000,791373000,147948000,1512003000,21387703000.0,18797998000.0,10515353000.0,5336100000,1620324000,43411000,4323595000,9319520000,-7125530000,-1462257000,72.07,12.87,38.76,17.85,55.94,21.93,28.39,5336100000.0,44.06,10.39541383308984,-5.823159982222248,20.410573659928865,10.39541383308984,-6.293360159828643,-16.037419709350974,18.581413275214985,9.76570351017887,4.435571153619566,3.06128310921443,58.85479565908618,17.04554022313709,0.6334004157840516,0.8789161697261272,2.267495500411751,4.0,5.0,6.0
351,SK하이닉스,전기전자,A000660,12,2016,Annual,32216026000.0,9838982000.0,3251652000,2026198000,18777402000.0,32216026000.0,8192496000.0,4160849000,696144000,0,2095737000,24023530000.0,17197975000.0,10787139000.0,3276746000,1744711000,47055000,2960483000,5548922000,-6230451000,116876000,74.57,13.46,34.1,18.05,62.72,13.04,19.05,3276746000.0,37.28,8.552220631738638,0.8089319397583727,10.675015318645498,8.552220631738638,-1.1785839261113429,-14.044441524755314,12.324030308444067,-8.511667040288017,-38.5928674500103,-31.527282273200885,-40.45914381856577,-12.561577875610652,0.5338329128490273,0.715880430561204,2.099235080493173,4.0,4.0,5.0
352,SK하이닉스,전기전자,A000660,12,2017,Annual,45418464000.0,17310444000.0,5552795000,2640439000,24062601000.0,45418464000.0,11597545000.0,8116133000,758578000,192686000,2080333000,33820919000.0,30109434000.0,12701843000.0,13721326000,1975386000,83748000,10642219000,14690614000,-11919162000,-351906000,74.47,9.18,34.29,12.33,42.19,36.8,45.57,13721326000.0,57.81,40.98096394632906,75.93734798986318,28.14659344247943,40.98096394632906,41.56302303962065,95.05954193483107,40.78247035302471,75.07546091909076,318.74853894686987,259.47576797434743,164.7471707117166,91.30496331645976,0.6629337795307213,0.8902606697352015,2.59619031441568,5.0,4.0,4.0
353,SK하이닉스,전기전자,A000660,12,2018,Annual,63658335000.0,19894146000.0,6319994000,4422733000,34952617000.0,63658335000.0,16806004000.0,13031852000,1096380000,585788000,2161566000,46852331000.0,40445066000.0,15180838000.0,20843750000,2284000000,92025000,15539984000,22227199000,-21428749000,-1395317000,73.6,8.3,35.87,11.27,37.53,38.53,51.54,20843750000.0,62.47,40.15959456488885,14.925683015409664,45.25701938871863,40.15959456488885,44.910013282983606,60.56725536656435,38.530626562808656,34.32688904082355,51.907694635343546,46.02202792481531,51.30204224275445,79.78402340701469,0.6353459605878791,0.8632455448161159,2.4065843373594342,6.0,5.0,4.0
354,SNT다이내믹스,운수장비,A003570,12,2013,Annual,935742233.0,421758329.0,130634765,140996272,434168623.0,935742233.0,263026289.0,175157177,114618700,7116000,741141,672715945.0,584031728.0,535894190.0,19493440,34000,1122421,22626749,53217372,-19590158,-13906359,71.89,0.86,39.1,1.2,91.76,3.08,3.34,19493439.74,8.24,-19.09721119006863,-19.03499914158637,-21.158667998374,-19.09721119006863,-27.36079316913719,-29.604282761840185,-15.331141157879546,-4.588129790159002,-44.51973010096879,-48.269520002258815,265.70813235687234,94.29593779961772,0.6241374038741286,0.8681698900417768,2.2204310079438487,3.0,3.0,3.0
355,SNT다이내믹스,운수장비,A003570,12,2014,Annual,914416684.0,395314600.0,114778519,123356826,425930805.0,914416684.0,260125541.0,170715794,81125132,7084000,496019,654291143.0,558453346.0,534806241.0,-3703121,0,672981,2593959,51062055,-32288937,-18825386,71.55,0.86,39.76,1.2,95.77,0.39,-0.66,-3703121.18,4.23,-2.278998237755081,-6.269877126718226,-1.897377554158264,-2.278998237755081,-1.102835770153754,-2.53565573279364,-2.738868037385378,-4.379621992043559,-118.99675480571923,-88.53587406657492,-4.050025243636613,64.82223879970748,0.6107208625690386,0.8535242330186945,2.1468608728429324,3.0,3.0,3.0
356,SNT다이내믹스,운수장비,A003570,12,2015,Annual,921662680.0,425095624.0,88281575,121438153,419185972.0,921662680.0,244069810.0,152652312,56553357,6600000,241477,677592870.0,504444993.0,442500512.0,38471397,0,435440,32623127,49034555,-6324711,-3577565,73.52,0.77,36.02,1.05,87.72,4.9,7.63,38471397.49,12.28,0.7924173002075374,7.53349964812835,-1.5835513470315865,0.7924173002075374,-6.172300858376689,-10.58102567826853,3.5613697738836825,-9.671059075362765,-1138.8911677474218,1157.6577733109891,-3.970658838544594,-80.41214240035217,0.5473206238534037,0.7444662057910969,2.066806185492585,3.0,3.0,3.0
357,SNT다이내믹스,운수장비,A003570,12,2016,Annual,890522084.0,421580737.0,98714681,92241762,404366513.0,890522084.0,236978141.0,150625432,72042165,6600000,0,653543942.0,468007770.0,444674639.0,-1447729,0,297658,-24435794,44463191,-9837017,-7486660,73.39,0.77,36.26,1.05,95.01,-3.67,-0.31,-1447729.4,4.99,-3.378741124681317,-0.8268461968453433,-3.5352945923486145,-3.378741124681317,-2.905590412841308,-1.327775500707773,-3.549170757950859,-7.223230184782503,-103.7631308267802,-174.9032856353715,-9.32273985151899,55.53306704448631,0.5255431374568809,0.7161075788841142,1.974898478083681,4.0,3.0,3.0
358,SNT다이내믹스,운수장비,A003570,12,2017,Annual,838427549.0,399108316.0,68982827,81128806,387097565.0,838427549.0,233899733.0,164030236,43815755,6520000,0,604527815.0,436273550.0,409309801.0,-37459302,0,323549,-30924389,33360987,-47870662,-15701262,72.1,0.78,38.69,1.08,93.82,-4.92,-8.59,-37459302.48,6.18,-5.849886929923686,-5.33051418808066,-4.270617730405391,-5.849886929923686,-1.2990261409806525,8.899429413752657,-7.500050700492911,-6.780703662249021,2487.452624075362,26.553649126359467,-24.969426958132622,386.6379919847653,0.5203473460770073,0.721676553460158,1.865216109502784,4.0,4.0,3.0
359,SNT다이내믹스,운수장비,A003570,12,2018,Annual,845671572.0,413712117.0,57152295,82803028,377499806.0,845671572.0,238166577.0,118004884,39297023,6460000,0,607504995.0,396259118.0,350161002.0,16103600,0,366599,19818448,36672642,-128492134,-18481416,71.84,0.76,39.2,1.06,88.37,3.27,4.06,16103600.22,11.63,0.864001070651832,3.659107168290632,-2.479416009759705,0.864001070651832,1.8242192692028425,-28.059065890754432,0.4924802343462042,-9.17186751293999,-142.98958907456418,-164.0867892329255,9.926729685785386,168.41520177849222,0.4685732985712803,0.6522730204053713,1.6637897852476589,3.0,4.0,4.0
360,SNT모티브,운수장비,A064960,12,2013,Annual,1206018423.0,639221031.0,257713147,170844504,545314602.0,1206018423.0,545844242.0,436069652,244240536,67284885,0,660174181.0,874892057.0,762672272.0,55449599,19827469,374363,29894402,40877009,770263,17421032,54.74,6.01,82.68,10.98,87.17,5.2,6.34,55449599.13,12.83,34.74224754836259,40.7751736913476,27.45093665901768,34.74224754836259,34.7774229541185,40.64058630738969,34.71317800968472,-3.33897928016248,61.19789244077876,90.31576114044296,1.0506101846691651,-101.97353501542892,0.7254383849491162,1.325244279736532,1.602823643965452,3.0,3.0,3.0
361,SNT모티브,운수장비,A064960,12,2014,Annual,1115027090.0,588020026.0,238187591,161493201,499087672.0,1115027090.0,454875421.0,346840747,208915693,20000000,0,660151669.0,1099294316.0,950858637.0,69008650,18754405,505130,63510039,43789397,-13513987,-56084275,59.2,2.29,68.9,3.87,86.5,9.62,6.28,69008649.8,13.5,-7.544771395254212,-8.009906200974171,-8.477112079973237,-7.544771395254212,-16.66571047203609,-20.462076319862778,-0.0034100091533262,25.649136622576503,24.45292886608612,112.44793255941362,7.124758076110704,-1854.4639947654243,0.9858902315996644,1.6652147796054424,2.416693154321917,3.0,3.0,3.0
362,SNT모티브,운수장비,A064960,12,2015,Annual,1172763190.0,645403557.0,248382913,148663223,499189720.0,1172763190.0,403883173.0,303642392,184617052,347267,0,768880017.0,1210524500.0,991236593.0,123133840,21134115,490002,97385183,70454719,-12418378,-10009184,65.56,0.03,52.53,0.05,81.88,13.63,10.17,123133839.6,18.12,5.177999756041807,9.75877154904925,0.0204469085744118,5.177999756041807,-11.210156813463,-12.454809699738078,16.470207242632906,10.118326128050326,78.4324718712799,53.33825098107718,60.89447178274685,-8.107222539136671,1.032198580516498,1.574399741487884,2.9972144940041856,3.0,3.0,3.0
363,SNT모티브,운수장비,A064960,12,2016,Annual,1248155630.0,716324278.0,251441355,142148536,495387638.0,1248155630.0,459377724.0,368581136,186676878,290307,0,788777907.0,1153810828.0,978364574.0,71647791,18948528,669211,34344246,106102873,-35368912,-17084507,63.2,0.02,58.24,0.04,84.79,4.41,6.21,71647791.2,15.21,6.428615823114292,10.98858539448675,-0.7616507006594553,6.428615823114292,13.740248346518769,21.386586890015025,2.587905727819173,-4.68504949713946,-41.813078354415,-64.73360223597875,50.59725523850289,184.8110437611096,0.9244126295372316,1.4627828920669808,2.511682146781676,3.0,3.0,3.0
364,SNT모티브,운수장비,A064960,12,2017,Annual,1226311096.0,707755426.0,255324368,131109968,485625121.0,1226311096.0,397537549.0,304754255,208271604,0,0,828773547.0,1137470938.0,962199992.0,96737246,19827310,740078,59056157,70323443,-20624658,-15684705,67.58,0.0,47.97,0.0,84.59,7.3,8.5,96737246.32,15.41,-1.7501450520236772,-1.1962252660100423,-1.970682401243129,-1.7501450520236772,-13.461726977427402,-17.316914721322043,5.07058319522633,-1.4161671569960288,35.01776488824338,71.95356974789897,-33.721452575558445,-41.68704426079039,0.9275549586970384,1.372474956660266,2.8612918222726176,3.0,3.0,3.0
365,SNT모티브,운수장비,A064960,12,2018,Annual,1196519724.0,680052043.0,226758365,133170116,484051652.0,1196519724.0,371711021.0,281482350,191254080,6510400,0,824808703.0,918910018.0,807312300.0,58173967,16508581,856847,57225145,90371134,-60861806,-53875479,68.93,0.54,45.07,0.79,87.86,6.92,6.33,58173967.46,12.14,-2.4293486454761704,-3.914259358853722,-0.3240089797578616,-2.4293486454761704,-6.496626058334931,-7.636285504857021,-0.4783989564280833,-19.21463772817728,-39.8639413406497,-3.100459110470055,28.507834862408533,195.0924374115682,0.7679856834520514,1.1140886543240076,2.472108616870954,3.0,3.0,3.0
366,SNT에너지,기계,A100840,12,2013,Annual,311675279.0,181309369.0,40937334,17793150,120367341.0,311675279.0,113510608.0,91989174,37857624,0,0,198164671.0,200750984.0,161808099.0,16804410,793087,9620,16189688,20128884,1754576,-1367552,63.58,1.67,57.28,2.62,80.6,8.49,8.37,16804410.38,19.4,6.445735982987522,12.29091689540862,-1.571811945067858,6.445735982987522,3.666703916218683,4.009091826267142,8.105755923545432,-12.984654460657383,11.0463951012844,78.1490430879205,-24.4276144417262,-558.9262454161675,0.6441030056798313,1.0130513324446213,1.7685658418814918,3.0,3.0,3.0
367,SNT에너지,기계,A100840,12,2014,Annual,304511816.0,170494610.0,49187725,17747389,120065551.0,304511816.0,96799312.0,76613085,31040007,0,0,207712504.0,242746888.0,203611420.0,13777651,1049685,5700,11264253,-24774316,-126524,-2125384,68.21,1.82,46.6,2.66,83.88,5.55,5.68,13777651.46,16.12,-2.298373814883148,-5.964809794247317,-0.2507241561479745,-2.298373814883148,-14.722232833075832,-16.71510714945652,4.818130775692109,20.919401321589536,-18.01169454922845,-30.42328548888651,-223.07843793028965,-107.21108689506752,0.7971673847953408,1.1686676696170395,2.5077336086851525,3.0,3.0,3.0
368,SNT에너지,기계,A100840,12,2015,Annual,316196096.0,184059424.0,64214642,10693980,118714558.0,316196096.0,84796156.0,64293369,29685849,0,0,231399939.0,260094045.0,202305297.0,33918033,908085,15643,27029932,2204846,-388071,-9166626,73.18,0.0,36.64,0.0,77.78,12.31,13.04,33918033.14,22.22,3.837053075142416,7.956154156427586,-1.125212843107681,3.837053075142416,-12.400042677989289,-16.08043325758256,11.403952359074164,7.146191303593552,146.18153704140133,139.96204630702098,-108.89972502167164,206.71730264613828,0.8225719681244894,1.124002219378286,3.0672857977194155,3.0,3.0,3.0
369,SNT에너지,기계,A100840,12,2016,Annual,348042346.0,211766053.0,48380811,6779276,118148046.0,348042346.0,118242778.0,102181702,23920463,0,0,229799567.0,254089906.0,204980319.0,1195144,859808,14147,1659742,35017765,-6276169,-3592306,66.03,0.0,51.45,0.0,80.67,0.72,0.47,1195144.36,19.33,10.07167716580537,15.053089050197176,-0.4772051629927332,10.07167716580537,39.44355921039629,58.9303898509347,-0.6916043309760811,-2.308449238043875,-96.47637585587584,-93.85961459318509,1488.2181794102626,1517.2733855402746,0.7300545721525507,1.1057022835904646,2.148883088656797,3.0,3.0,3.0
370,SNT에너지,기계,A100840,12,2017,Annual,300266693.0,172919603.0,50797298,2324389,116825424.0,300266693.0,66449368.0,49128545,16893340,0,0,233817326.0,184091945.0,146050315.0,19201911,747653,35495,4581777,-5579426,6227623,0,77.87,0.0,28.42,0.0,79.34,1.98,10.43,19201910.76,20.66,-13.726965568724214,-18.34404025087062,-1.1194615948197706,-13.726965568724214,-43.80259908981502,-51.92040841128287,1.748375357034515,-27.54850127733921,1506.6608709912782,176.05356736167428,-115.9331299413312,-199.2265026642845,0.6130947897041648,0.7873323510679444,2.7704092686028257,3.0,3.0,3.0
371,SNT에너지,기계,A100840,12,2018,Annual,280991534.0,155524318.0,25327372,5692284,115728393.0,280991534.0,49715044.0,31555307,13110417,0,0,231276490.0,139516396.0,118750224.0,-1892191,683800,22386,1825479,14435813,-6856584,-4717348,82.31,0.0,21.5,0.0,85.12,0.78,-1.36,-1892190.78,14.88,-6.419346350878818,-10.059753028695074,-0.9390344690724196,-6.419346350878818,-25.18357134713456,-35.769913397598074,-1.086675672614612,-24.21374221452221,-109.85418065941457,-60.15783832342778,-358.73294134557926,-210.09953556918907,0.4965145889413166,0.6032450423300699,2.8063214828895657,3.0,3.0,3.0
372,SNT홀딩스,기타금융,A036530,12,2013,Annual,2149176237.0,1070812404.0,346991225,311174402,986231198.0,2149176237.0,774810996.0,569273848,317382506,74400885,741141,1374365240.0,1523619296.0,1333985340.0,87801414,19877446,1521559,53763061,94174241,-22586456,11154683,63.95,3.76,56.38,5.88,87.55,3.99,5.76,87801414.34,12.45,3.579555216279018,7.203690706802823,0.2084159380558947,3.579555216279018,2.3689266973432543,5.372170177234925,4.274764452929625,-8.69696577372807,2.459742225942652,-15.004365975231671,64.32239806581164,-46.996405914477165,0.7089317617464426,1.108598538187709,1.9664399496983904,3.0,3.0,3.0
373,SNT홀딩스,기타금융,A036530,12,2014,Annual,2039388864.0,994978341.0,313747344,283952471,933346465.0,2039388864.0,683347926.0,477795324,257490442,27084000,496019,1356040938.0,1552374806.0,1380123821.0,65504975,17983091,1202412,66985248,95278602,-53040189,-75561285,66.49,1.65,50.39,2.48,88.9,4.91,4.22,65504975.17,11.1,-5.108346682320031,-7.081918617745108,-5.362305827198133,-5.108346682320031,-11.80456530330398,-16.06933540358243,-1.333292014864984,1.8873159506113344,-25.394168481159085,24.59344158250216,1.1726784185072336,134.83183461805606,0.7611960785915128,1.1447846171145608,2.2717194959336133,3.0,3.0,3.0
374,SNT홀딩스,기타금융,A036530,12,2015,Annual,2169311305.0,1140793639.0,309931982,268780766,928315887.0,2169311305.0,640062214.0,433769566,216310412,6947267,241477,1529249091.0,1612746929.0,1331347191.0,161533664,20645176,935329,116419931,120263344,-47887660,42864721,70.49,0.35,41.85,0.5,82.55,8.07,10.02,161533663.8,17.45,6.370655606365028,14.655122829452626,-0.538982916702857,6.370655606365028,-6.334359168011872,-9.214355140905484,12.773076988034116,3.889017186227117,146.59755079671427,73.79935803178634,26.222825981430752,-9.71438657580952,0.7434372951834131,1.0546005477403289,2.519672140808487,3.0,3.0,3.0
375,SNT홀딩스,기타금융,A036530,12,2016,Annual,2210178425.0,1205349271.0,322379944,236908975,908800105.0,2210178425.0,679285814.0,487107956,235495857,6890307,0,1530892611.0,1537700275.0,1336617769.0,72283066,18481535,965559,10146568,143865685,-50764586,-20648764,69.27,0.33,44.37,0.48,86.92,0.66,4.7,72283065.97,13.08,1.8838753066840352,5.658835199728873,-2.1022781440343863,1.8838753066840352,6.128091792026957,12.296480477378635,0.1074723542209277,-4.653343475689232,-55.25201112258558,-91.28450952268643,19.62554857945742,6.00765625215347,0.6957358092028249,1.0044468592709146,2.2637014395239525,3.0,3.0,3.0
