,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급
1507,동화약품,의약품,A000020,12,2014,Annual,313073100.0,120547703.0,51641279,28382297,161854137.0,313073100.0,83347317.0,68915135,17980096,2000000,0,229725782.0,213472145.0,118268235.0,5339778,14225337,16727536,4937205,13514668,-5099145,-3955186,73.38,1.28,36.28,1.74,55.4,2.16,2.5,5339778.1,44.6,-0.9781081740340536,3.244062188522223,-5.845274937247935,-0.9781081740340536,-6.2822655612512985,-6.075123780519087,1.0978491516261402,-3.073198478527406,158.93347945418043,387.9336074160457,64.71038170115939,-163.12106533543886,0.6818603865998069,0.9292476584104088,2.5612359543619143,3.0
1508,동화약품,의약품,A000020,12,2015,Annual,317187030.0,135014686.0,52900420,26150930,151777299.0,317187030.0,87069288.0,68981228,17169607,2000000,0,230117742.0,223201285.0,126621906.0,4812974,13329278,19264649,5608652,19833109,-979732,-6588907,72.55,0.63,37.84,0.87,56.73,2.44,2.16,4812973.67,43.27,1.3140477415657823,12.001044101188718,-6.225876080016413,1.3140477415657823,4.465615851797611,0.0959049126146194,0.1706208143411602,4.5575688575200335,-9.865653590842172,13.599739123653976,46.75246924304764,-80.78634751512264,0.7036898230044274,0.9699438342307392,2.563490412371352,2.0
1509,동화약품,의약품,A000020,12,2016,Annual,324604537.0,151491848.0,53765851,26577327,142170913.0,324604537.0,71679237.0,55452076,25671949,0,0,252925300.0,237470835.0,134293445.0,11259334,13717406,18349170,26254318,25482188,-30428964,-4213178,77.92,0.0,28.34,0.0,56.55,10.87,4.74,11259333.9,43.45,2.3385278395525733,12.20397757322489,-6.3292640357238135,2.3385278395525733,-17.675636672255777,-19.61280248591689,9.911255777922602,6.393130756393273,133.93714572320565,368.1038866380014,28.483073430393603,3005.8456802472515,0.7315696730387967,0.9388971170539284,3.312965440745414,3.0
1510,동화약품,의약품,A000020,12,2017,Annual,367225133.0,234500030.0,61630747,36606243,103746341.0,367225133.0,70280405.0,60716649,21776298,0,0,296944728.0,258881617.0,150798015.0,10987308,14078034,21893774,47009013,-16519975,16310025,-3919633,80.86,0.0,23.67,0.0,58.25,17.1,4.24,10987308.19,41.75,13.130006251268146,54.79382758602298,-27.02702767337507,13.130006251268146,-1.951516308690615,9.49391507001469,17.404122086639816,9.016173291343344,-2.416004356918444,79.05250100193042,-164.82949972741744,-153.6003296070152,0.704967045379217,0.8718175222157842,3.683553289142258,3.0
1511,동화약품,의약품,A000020,12,2018,Annual,370599243.0,227887463.0,73346087,43717603,96772495.0,370599243.0,73198591.0,60798282,29965375,0,0,297400652.0,306602589.0,190699352.0,11225780,15604538,25126887,10068113,-4360078,17217389,-3831160,80.25,0.0,24.61,0.0,62.2,3.39,3.66,11225780.03,37.8,0.9188123842275298,-2.8198576349862337,-6.722016345617432,0.9188123842275298,4.152204302180662,0.1344491195487407,0.1535383379495547,18.433511252365207,2.1704315561191123,-78.58259010883721,-73.60723608843233,5.563228750415772,0.8273157454884493,1.0309412132694316,4.188640584625461,3.0
1512,두산,기타금융,A000150,12,2011,Annual,6296220754.0,1763198196.0,715190300,424366479,1449855124.0,6296220754.0,2807172192.0,1528644900,445387525,283208115,341137762,3489048562.0,3884412617.0,2923106172.0,399910388,31379000,20649000,352411421,299878131,-285564412,5790491,55.41,20.45,80.46,36.9,75.25,10.19,10.3,399910388.1,24.75,6.1703425808341095,-0.2192544912679728,16.06684770997544,6.1703425808341095,12.317530732785675,-17.18955153545263,1.692390375184205,3.5127068747251133,-55.79892222732471,-56.814716396152434,27.553200166956728,909.6055005184418,0.6169435235466015,1.113315721456559,1.383745759547621,6.0
1513,두산,기타금융,A000150,12,2012,Annual,31504900930.0,14015461061.0,3330145750,2846136699,7512611801.0,31504900930.0,24427010885.0,13472503857,2436302435,3320264767,4433337030,7077890045.0,24352270085.0,20255785851.0,799185724,275746000,115343000,201507513,-79249270,-1154444100,914459906,22.47,43.96,345.12,195.66,83.18,3.81,3.28,799185724.0,16.82,400.3779594288349,694.8885776310084,418.16293067085786,400.3779594288349,770.1643224670416,781.3363951955095,102.8601757535526,526.9228448703702,99.8412014243551,-42.82037953588343,-126.42715883806812,304.26749674956,0.7729676769689814,3.4406115283188186,0.9969402396244113,6.0
1514,두산,기타금융,A000150,12,2013,Annual,31166041855.0,12309322279.0,3023886191,2591618312,8659968197.0,31166041855.0,22108058426.0,11815346585,2428753484,2690508680,4603546946,9057983430.0,21616060701.0,18115215763.0,1135178595,291559000,60786000,130167997,383361559,-1138625719,-270131147,29.06,40.59,244.07,139.66,83.8,1.61,5.25,1135178595.0,16.2,-1.075575751699409,-12.17326190393816,15.272403611314989,-1.075575751699409,-9.493394299930523,-12.300291687346444,27.975757922359755,-11.235952026030594,42.04190101373732,-35.40290629263039,-583.741438880131,-1.3702162798527873,0.6935773493974215,2.386409830405265,0.9777457741643476,6.0
1515,두산,기타금융,A000150,12,2014,Annual,31369299869.0,12276982613.0,2814779698,2849179548,8583527195.0,31369299869.0,22466959131.0,12648269449,2941892947,3373303138,3939559536,8902340738.0,20312359983.0,16938861008.0,997937686,304264000,63929000,33249467,646789842,-610987492,425808870,28.38,41.71,252.37,146.96,83.39,0.37,4.91,997937685.8,16.61,0.6521778252934984,-0.2627249922213193,-0.8826937958788417,0.6521778252934984,1.6233931450892136,7.049500054932167,-1.718292964463941,-6.0311669921415785,-12.08980768352138,-74.45649639980248,68.71536199068933,-46.33991821855202,0.6475235363181704,2.281687544972961,0.9040992091792664,5.0
1516,두산,기타금융,A000150,12,2015,Annual,31556310459.0,12323751612.0,2835428312,2752318041,8796055297.0,31556310459.0,23162784821.0,14279681899,2535918603,4616776181,3715287734,8393525638.0,16902387344.0,14351986666.0,70611838,266460000,75143000,-1700809954,-17769699,-445760279,1113711689,26.6,45.02,275.96,169.26,84.91,-19.67,0.42,70611837.87,15.09,0.5961579977269649,0.3809486457240441,2.475999634786508,0.5961579977269649,3.0971066709241324,12.898305626537576,-5.715520389239903,-16.78767332724461,-92.92422372753242,-5215.2999054090105,-102.74736828659098,-27.042650653804223,0.5356262217650785,2.01374107532094,0.7297217270988868,5.0
1517,두산,기타금융,A000150,12,2016,Annual,28664805143.0,10761832213.0,2433076755,2154147202,7909172863.0,28664805143.0,20763947018.0,13438753084,2795455513,3862706392,2887176774,7900858125.0,16470291055.0,13582331911.0,924254740,218479000,63479000,50416444,924981103,1061184916,-2253768742,27.56,42.67,262.81,154.81,82.47,0.62,5.61,924254739.7,17.53,-9.163001865369624,-12.67405777214069,-10.082729178640816,-9.163001865369624,-10.35643089351307,-5.888988430889974,-5.869613488395709,-2.5564216474626256,1208.9232148297854,-102.9642608735579,-5305.384193620837,-338.0617937472172,0.5745823483827894,2.0846205303806795,0.7932158101117344,5.0
1518,두산,기타금융,A000150,12,2017,Annual,28736478478.0,10835444843.0,2328337949,2351625600,8198814853.0,28736478479.0,21221322636.0,13784876150,3240711138,4349942596,2270385145,7515155843.0,16908734570.0,13907451820.0,1072110729,209933000,52259000,-42313115,677021774,-556021973,289891405,26.15,43.93,282.38,167.99,82.25,-0.55,6.34,1072110729.0,17.75,0.2500394984108256,0.6840157748517761,3.662102156787817,0.250039501899435,2.202739284604749,2.5755593829020373,-4.881777091776341,2.6620265151106715,15.997320067841914,-183.9272103363736,-26.80696159043586,-152.39633212049915,0.5884066338519852,2.2499512882024475,0.7967804297605798,5.0
1519,두산,기타금융,A000150,12,2018,Annual,28875573073.0,11581185619.0,2528325139,2608021732,7768328605.0,28875573072.0,21827135227.0,13334383547,3545732233,3187563078,3667600341,7048437845.0,17431835667.0,14377772362.0,1175274942,224336000,59118000,-348857114,1021890995,-943080497,10792259,24.41,43.44,309.67,177.97,82.48,-4.79,6.74,1175274942.0,17.52,0.484034935270472,6.882419566574316,-5.250591161263785,0.4840349282938305,2.8547353121727514,-3.268020677864414,-6.210356880818713,3.093673833688904,9.622533401584876,724.4656863480744,50.939162408682,69.61209139121559,0.6036879553154072,2.473148809755873,0.7986314047038546,5.0
1520,두산에너빌리티,기계,A034020,12,2011,Annual,13589168594.0,5263651363.0,1026094699,457467194,2689591471.0,13589168594.0,8792240574.0,6076131534,668027022,1699679954,528467353,4796928019.0,8495506109.0,7250464580.0,526156839,73016000,34400000,261695342,13526502,-1239501575,511663385,35.3,26.29,183.29,74.47,85.34,5.25,6.19,526156839.4,14.66,-19.956086867211088,-39.07239857353917,-23.630366547945524,-19.956086867211088,-25.49540620884237,-30.591065940732843,-7.327303547533493,7.14651516893754,-4.648089769324804,-80.79299676916823,-97.92609250380409,-6.695516276007818,0.6251674670333405,1.7710305585888342,0.9662504156360906,5.0
1521,두산에너빌리티,기계,A034020,12,2012,Annual,27914286403.0,12627550767.0,3031553046,2457347034,6155696699.0,27914286403.0,21927826520.0,12318358782,2224232748,2999325345,4044460065,5986459883.0,21274062813.0,17787819507.0,586151517,246764000,131282000,97475587,-327226066,-1091471373,1011951447,21.45,44.67,366.29,208.3,83.61,1.81,2.76,586151516.6,16.39,105.41570449957432,139.90097170499095,128.8710670513574,105.41570449957432,149.3997557897123,102.73357666914524,24.79778431713841,150.41548484630724,11.40243242186576,-62.75226518934372,-2519.1477293981843,-11.942719959835468,0.7621209622150197,3.553696713714368,0.9701856585556388,5.0
1522,두산에너빌리티,기계,A034020,12,2013,Annual,27725480115.0,11174222538.0,2776055294,2205794007,7231823591.0,27725480115.0,19813685913.0,10572273745,2285172690,2401143972,4287909734,7911794202.0,19208173507.0,16021590971.0,958071731,270697000,97768000,18662826,150437826,-1048383347,4013983,28.54,41.05,250.43,143.85,83.41,0.27,4.99,958071731.2,16.59,-0.6763787018381651,-11.509185397995235,17.48180497870888,-0.6763787018381651,-9.641359598826304,-14.174656444910816,32.1614836920139,-9.710835791730345,63.45120727547311,-80.85384599940906,-145.97366824683212,-3.9477009719062974,0.6927985891435662,2.427789830800253,0.9694396888767316,5.0
1523,두산에너빌리티,기계,A034020,12,2014,Annual,27551906512.0,10812341342.0,2564431427,2331909521,7190139775.0,27551906512.0,19874904792.0,11132072631,2691130566,2967464808,3597626371,7677001720.0,17971644256.0,14903359920.0,878106773,277807000,93412000,-85475347,603808922,-544738512,326347849,27.86,42.27,258.89,151.7,82.93,-1.1,4.89,878106773.2,17.07,-0.6260436330770447,-3.238535788681108,-0.5763942590064741,-0.6260436330770447,0.3089726932626657,5.294971540674953,-2.9676262552512767,-6.437516042581426,-8.346447913303479,-557.9978777061953,301.36775308093064,-48.040140702463866,0.6522831459293971,2.340971763648374,0.9042380048650046,5.0
