,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액,2012-2011환경차이,2013-2012환경차이,2014-2013환경차이,2015-2014환경차이,2016-2015환경차이,2017-2016환경차이,2018-2017환경차이
49,NI스틸,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,8260.0,KOSPI,철강금속,126699000000.0,-1.0,0.0,0.0,0.0,1.0,0.0,-2.0
50,OCI,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,456040.0,KOSPI,화학,748013000000.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0
51,SNT에너지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100840.0,KOSPI,기계,76193116650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,SNT모티브,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,64960.0,KOSPI,운수장비,666084000000.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
53,SNT다이내믹스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3570.0,KOSPI,운수장비,540356000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,SNT홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,36530.0,KOSPI,기타금융,366837000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,S-Oil,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,10950.0,KOSPI,화학,8567550000000.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0
56,SBS,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,34120.0,KOSPI,서비스업,422968000000.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
57,SG세계물산,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4060.0,KOSPI,유통업,82791808640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,SH에너지화학,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2360.0,KOSPI,화학,71236720930.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0
59,SIMPAC,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,9160.0,KOSPI,철강금속,287236000000.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0
60,SK,4.0,4.0,4.0,3.0,5.0,5.0,6.0,6.0,34730.0,KOSPI,기타금융,11865400000000.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0
61,SKC,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,11790.0,KOSPI,화학,4161730000000.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
62,SK가스,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,18670.0,KOSPI,유통업,1426070000000.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0
63,SK네트웍스,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1740.0,KOSPI,유통업,1199330000000.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0
64,SK디스커버리,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6120.0,KOSPI,기타금융,830335000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,SK이노베이션,6.0,5.0,3.0,3.0,4.0,6.0,5.0,5.0,96770.0,KOSPI,화학,10588400000000.0,-1.0,-2.0,0.0,1.0,2.0,-1.0,0.0
66,SK증권,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,1510.0,KOSPI,증권,281664000000.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0
67,SK텔레콤,6.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0,17670.0,KOSPI,통신업,10954300000000.0,-2.0,0.0,2.0,-1.0,0.0,0.0,1.0
68,SK하이닉스,6.0,6.0,4.0,3.0,4.0,5.0,5.0,4.0,660.0,KOSPI,전기전자,124925000000000.0,0.0,-2.0,-1.0,1.0,1.0,0.0,-1.0
69,SPC삼립,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,5610.0,KOSPI,음식료품,508249000000.0,0.0,0.0,-1.0,0.0,1.0,-1.0,2.0
70,TCC스틸,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2710.0,KOSPI,철강금속,1420780000000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,WISCOM,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,24070.0,KOSPI,화학,36706819010.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0
72,가온전선,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,500.0,KOSPI,전기전자,274819000000.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
73,강남제비스코,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,860.0,KOSPI,화학,178100000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
74,강원랜드,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,35250.0,KOSPI,서비스업,3209110000000.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0
75,갤럭시아에스엠,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11420.0,KOSPI,서비스업,61573454340.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,경농,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2100.0,KOSPI,화학,191712000000.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0
77,경동나비엔,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,9450.0,KOSPI,전기전자,789618000000.0,-1.0,0.0,0.0,0.0,0.0,-1.0,2.0
78,경동인베스트,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,12320.0,KOSPI,기타금융,165552000000.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0
79,경방,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,50.0,KOSPI,유통업,210001000000.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0
80,경인양행,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,12610.0,KOSPI,화학,137542000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
81,경인전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9140.0,KOSPI,전기전자,33772135500.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
82,계룡건설,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,13580.0,KOSPI,건설업,117888000000.0,1.0,-1.0,0.0,0.0,1.0,-2.0,1.0
83,계양전기,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12200.0,KOSPI,기계,50062782531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,고려산업,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2140.0,KOSPI,음식료품,78434491625.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,고려아연,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,10130.0,KOSPI,철강금속,9847940000000.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
86,고려제강,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2240.0,KOSPI,철강금속,511250000000.0,0.0,0.0,1.0,0.0,-2.0,1.0,0.0
87,상상인증권,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1290.0,KOSPI,증권,75835984000.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0
88,광동제약,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,9290.0,KOSPI,의약품,354365000000.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0
89,광명전기,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,17040.0,KOSPI,전기전자,110728000000.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0
90,광전자,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,17900.0,KOSPI,전기전자,121392000000.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
91,광주신세계,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,37710.0,KOSPI,유통업,245479000000.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0
92,교보증권,2.0,3.0,3.0,3.0,5.0,6.0,5.0,4.0,30610.0,KOSPI,증권,562977000000.0,1.0,0.0,0.0,2.0,1.0,-1.0,-1.0
93,국도화학,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,7690.0,KOSPI,화학,312668000000.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0
94,국동,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5320.0,KOSPI,유통업,40384171685.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
95,국보,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1140.0,KOSPI,운수창고업,32447620090.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,국제약품,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2720.0,KOSPI,의약품,106434000000.0,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0
97,극동유화,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,14530.0,KOSPI,화학,139652000000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
98,금강공업,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,14280.0,KOSPI,철강금속,156325000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
99,금비,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8870.0,KOSPI,비금속광물,60100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,금양,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1570.0,KOSPI,화학,5572800000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
101,금호건설,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2990.0,KOSPI,건설업,155205000000.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
102,금호석유,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,11780.0,KOSPI,화학,3406510000000.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0
103,금호전기,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1210.0,KOSPI,전기전자,27295981353.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0
104,기신정기,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,92440.0,KOSPI,기계,87600000000.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0
105,기아,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,270.0,KOSPI,운수장비,46275300000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
106,기업은행,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,24110.0,KOSPI,은행,10876900000000.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0
107,까뮤이앤씨,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,13700.0,KOSPI,건설업,70753622760.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0
108,깨끗한나라,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4540.0,KOSPI,종이목재,82115728065.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
109,이엔플러스,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,74610.0,KOSPI,기계,210769000000.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0
110,남선알미늄,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,8350.0,KOSPI,철강금속,242669000000.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
111,남성,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4270.0,KOSPI,유통업,65797494720.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0
112,남양유업,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3920.0,KOSPI,음식료품,361440000000.0,0.0,0.0,-1.0,0.0,-1.0,2.0,-1.0
113,비비안,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2070.0,KOSPI,섬유의복,30121723890.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0
114,남해화학,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,25860.0,KOSPI,화학,356694000000.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0
115,넥센,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5720.0,KOSPI,화학,223278000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,넥센타이어,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2350.0,KOSPI,화학,899521000000.0,0.0,1.0,0.0,-1.0,2.0,-1.0,0.0
117,노루페인트,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,90350.0,KOSPI,화학,181400000000.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
118,노루홀딩스,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,320.0,KOSPI,기타금융,149658000000.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0
119,녹십자,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,6280.0,KOSPI,의약품,1308890000000.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0
120,녹십자홀딩스,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5250.0,KOSPI,서비스업,738813000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
121,농심,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,4370.0,KOSPI,음식료품,2405680000000.0,0.0,0.0,0.0,-1.0,-1.0,2.0,-1.0
122,농심홀딩스,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,72710.0,KOSPI,기타금융,304239000000.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0
123,다우기술,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,23590.0,KOSPI,서비스업,847979000000.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
124,KIB플러그에너지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15590.0,KOSPI,기계,103087000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,대교,5.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,19680.0,KOSPI,서비스업,209640000000.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0
126,대구백화점,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,6370.0,KOSPI,유통업,78132031420.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
127,대덕전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,353200.0,KOSPI,전기전자,1129180000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,대동,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,490.0,KOSPI,기계,302818000000.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0
129,대동전자,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,8110.0,KOSPI,전기전자,117283000000.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
130,대림B&Co,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,5750.0,KOSPI,비금속광물,66355515200.0,0.0,0.0,-1.0,0.0,1.0,-1.0,1.0
131,DL,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,210.0,KOSPI,화학,1058270000000.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0
132,대림통상,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,6570.0,KOSPI,기계,44761500000.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0
133,대상,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1680.0,KOSPI,음식료품,758792000000.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
134,대상홀딩스,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,84690.0,KOSPI,기타금융,320843000000.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
135,대성홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,16710.0,KOSPI,서비스업,144322000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,대신증권,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3540.0,KOSPI,증권,767694000000.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
137,대양금속,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,9190.0,KOSPI,철강금속,76862071306.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0
138,대영포장,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14160.0,KOSPI,종이목재,140371000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,대우건설,3.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,47040.0,KOSPI,건설업,1541960000000.0,1.0,0.0,-3.0,0.0,2.0,1.0,0.0
140,대우부품,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,9320.0,KOSPI,운수장비,68428080760.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0
141,한화오션,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,42660.0,KOSPI,운수장비,9864760000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2.0
142,대웅,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3090.0,KOSPI,의약품,1054700000000.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
143,대웅제약,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,69620.0,KOSPI,의약품,1283790000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
144,대원강업,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,430.0,KOSPI,운수장비,341000000000.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0
145,대원전선,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,6340.0,KOSPI,전기전자,170556000000.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0
146,대원제약,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3220.0,KOSPI,의약품,337957000000.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
