,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액,2012-2011사회차이,2013-2012사회차이,2014-2013사회차이,2015-2014사회차이,2016-2015사회차이,2017-2016사회차이,2018-2017사회차이
33,LS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6260.0,KOSPI,기타금융,4079740000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,LS네트웍스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,680.0,KOSPI,유통업,344369000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,LSELECTRIC,3.0,3.0,4.0,4.0,5.0,6.0,5.0,5.0,10120.0,KOSPI,전기전자,4758000000000.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0
36,NAVER,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,35420.0,KOSPI,서비스업,29379700000000.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0
37,NH투자증권,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5940.0,KOSPI,증권,3853960000000.0,1.0,-1.0,0.0,0.0,0.0,-1.0,2.0
38,OCI,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,456040.0,KOSPI,화학,748013000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,SNT에너지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100840.0,KOSPI,기계,76193116650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,SNT모티브,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,64960.0,KOSPI,운수장비,666084000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,SNT다이내믹스,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3570.0,KOSPI,운수장비,540356000000.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
42,SNT홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,36530.0,KOSPI,기타금융,366837000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,S-Oil,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,10950.0,KOSPI,화학,8567550000000.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0
44,SG세계물산,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4060.0,KOSPI,유통업,82791808640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SH에너지화학,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,KOSPI,화학,71236720930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SIMPAC,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9160.0,KOSPI,철강금속,287236000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,SK,3.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,34730.0,KOSPI,기타금융,11865400000000.0,2.0,1.0,-1.0,0.0,1.0,0.0,0.0
48,SKC,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,11790.0,KOSPI,화학,4161730000000.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
49,SK가스,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,18670.0,KOSPI,유통업,1426070000000.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0
