,종목명,2011통합등급,2012통합등급,2013통합등급,2014통합등급,2015통합등급,2016통합등급,2017통합등급,2018통합등급,종목코드,시장구분,업종명,시가총액,2012-2011통합등급차이,2013-2012통합등급차이,2014-2013통합등급차이,2015-2014통합등급차이,2016-2015통합등급차이,2017-2016통합등급차이,2018-2017통합등급차이
219,DN오토모티브,3,3,3,3,3,3,3,3,7340.0,KOSPI,전기전자,790526000000.0,0,0,0,0,0,0,0
220,스틱인베스트먼트,3,3,3,3,3,3,3,3,26890.0,KOSPI,기타금융,360099000000.0,0,0,0,0,0,0,0
221,롯데손해보험,3,4,3,4,4,5,5,5,400.0,KOSPI,보험,1013250000000.0,1,-1,1,0,1,0,0
222,롯데쇼핑,5,5,4,5,3,4,4,5,23530.0,KOSPI,유통업,1892520000000.0,0,-1,1,-2,1,0,1
223,롯데정밀화학,5,4,3,4,4,4,5,5,4000.0,KOSPI,화학,1111980000000.0,-1,-1,1,0,0,1,0
224,롯데칠성,3,4,4,4,4,4,4,4,5300.0,KOSPI,음식료품,1183060000000.0,1,0,0,0,0,0,0
225,롯데케미칼,6,5,5,5,5,5,5,5,11170.0,KOSPI,화학,4290370000000.0,-1,0,0,0,0,0,0
226,마니커,3,3,3,3,3,3,3,3,27740.0,KOSPI,음식료품,69227238520.0,0,0,0,0,0,0,0
227,만호제강,3,3,3,3,3,3,3,3,1080.0,KOSPI,철강금속,195673000000.0,0,0,0,0,0,0,0
228,명문제약,3,3,3,3,3,3,3,3,17180.0,KOSPI,의약품,69434813430.0,0,0,0,0,0,0,0
229,모나리자,3,3,3,3,3,3,3,3,12690.0,KOSPI,종이목재,114834000000.0,0,0,0,0,0,0,0
230,모나미,3,3,3,3,3,3,3,3,5360.0,KOSPI,유통업,51117215435.0,0,0,0,0,0,0,0
231,무림P&P,3,3,3,3,3,3,3,3,9580.0,KOSPI,종이목재,190535000000.0,0,0,0,0,0,0,0
232,무림페이퍼,3,3,3,3,3,3,3,3,9200.0,KOSPI,종이목재,89251969950.0,0,0,0,0,0,0,0
233,미래산업,3,3,3,3,3,3,3,3,25560.0,KOSPI,의료정밀,66641196300.0,0,0,0,0,0,0,0
234,미래아이앤지,3,3,3,3,3,3,3,3,7120.0,KOSPI,서비스업,31257497664.0,0,0,0,0,0,0,0
235,미원상사,3,3,3,3,3,3,3,3,2840.0,KOSPI,화학,907725000000.0,0,0,0,0,0,0,0
236,미원홀딩스,3,3,3,3,3,3,3,3,107590.0,KOSPI,기타금융,179336000000.0,0,0,0,0,0,0,0
237,미창석유,3,3,3,3,3,3,3,3,3650.0,KOSPI,화학,136738000000.0,0,0,0,0,0,0,0
238,태경비케이,3,3,3,3,3,3,3,3,14580.0,KOSPI,비금속광물,145639000000.0,0,0,0,0,0,0,0
239,백산,3,3,3,3,3,3,3,3,35150.0,KOSPI,화학,297198000000.0,0,0,0,0,0,0,0
240,보락,3,3,3,3,3,3,3,3,2760.0,KOSPI,화학,67567200000.0,0,0,0,0,0,0,0
241,보령,3,3,3,3,3,3,3,3,3850.0,KOSPI,의약품,763833000000.0,0,0,0,0,0,0,0
242,부광약품,3,3,3,3,3,3,3,3,3000.0,KOSPI,의약품,437748000000.0,0,0,0,0,0,0,0
243,부산주공,3,3,3,3,3,3,3,3,5030.0,KOSPI,운수장비,38288532168.0,0,0,0,0,0,0,0
244,빙그레,4,3,3,3,3,3,3,4,5180.0,KOSPI,음식료품,682691000000.0,-1,0,0,0,0,0,1
245,사조동아원,3,3,3,3,3,3,3,3,8040.0,KOSPI,음식료품,136487000000.0,0,0,0,0,0,0,0
246,사조산업,3,3,3,3,3,3,3,3,7160.0,KOSPI,"농업, 임업 및 어업",179500000000.0,0,0,0,0,0,0,0
247,SGC에너지,3,3,3,3,3,3,3,3,5090.0,KOSPI,전기가스업,330694000000.0,0,0,0,0,0,0,0
248,삼성SDI,6,5,5,5,5,5,4,5,6400.0,KOSPI,전기전자,28984200000000.0,-1,0,0,0,0,-1,1
249,삼성물산,6,5,5,4,3,6,5,6,28260.0,KOSPI,유통업,27356200000000.0,-1,0,-1,-1,3,-1,1
250,삼성E&A,4,4,4,5,5,4,5,5,28050.0,KOSPI,서비스업,5154800000000.0,0,0,1,0,-1,1,0
251,삼성전기,6,6,6,6,5,6,6,5,9150.0,KOSPI,전기전자,10823100000000.0,0,0,0,-1,1,0,-1
252,삼성전자,5,5,5,5,5,5,4,5,5930.0,KOSPI,전기전자,454300000000000.0,0,0,0,0,0,-1,1
253,삼성중공업,3,4,4,4,4,4,4,4,10140.0,KOSPI,운수장비,8342400000000.0,1,0,0,0,0,0,0
254,삼성증권,5,5,4,4,5,5,4,4,16360.0,KOSPI,증권,3344290000000.0,0,-1,0,1,0,-1,0
255,삼성카드,4,3,3,3,4,4,4,3,29780.0,KOSPI,기타금융,4373670000000.0,-1,0,0,1,0,0,-1
256,삼성화재,5,5,5,5,5,6,5,5,810.0,KOSPI,보험,14236100000000.0,0,0,0,0,1,-1,0
257,삼양식품,3,3,3,3,3,3,3,3,3230.0,KOSPI,음식료품,2207170000000.0,0,0,0,0,0,0,0
258,삼양홀딩스,3,3,3,3,3,3,3,3,70.0,KOSPI,기타금융,586653000000.0,0,0,0,0,0,0,0
259,삼영무역,3,3,3,3,3,3,3,3,2810.0,KOSPI,유통업,235269000000.0,0,0,0,0,0,0,0
260,삼영전자,4,4,4,3,3,4,3,3,5680.0,KOSPI,전기전자,190400000000.0,0,0,-1,0,1,-1,0
261,삼영,3,3,3,3,3,3,3,3,3720.0,KOSPI,화학,129880000000.0,0,0,0,0,0,0,0
262,삼익THK,3,3,3,3,3,3,3,3,4380.0,KOSPI,기계,278250000000.0,0,0,0,0,0,0,0
263,삼익악기,3,3,3,3,3,3,3,3,2450.0,KOSPI,기타제조업,116513000000.0,0,0,0,0,0,0,0
264,삼일제약,3,3,3,3,3,3,3,3,520.0,KOSPI,의약품,183800000000.0,0,0,0,0,0,0,0
265,삼정펄프,3,3,3,3,3,3,3,3,9770.0,KOSPI,종이목재,62499275000.0,0,0,0,0,0,0,0
266,삼진제약,3,3,3,3,3,3,3,3,5500.0,KOSPI,의약품,273830000000.0,0,0,0,0,0,0,0
267,삼천리,3,4,4,4,3,4,4,4,4690.0,KOSPI,전기가스업,369818000000.0,1,0,0,-1,1,0,0
268,삼호개발,3,3,3,3,3,3,3,3,10960.0,KOSPI,건설업,81750000000.0,0,0,0,0,0,0,0
269,삼화왕관,3,3,3,3,3,3,3,3,4450.0,KOSPI,기계,70448193300.0,0,0,0,0,0,0,0
270,삼화전기,3,3,3,3,3,3,3,3,9470.0,KOSPI,전기전자,251325000000.0,0,0,0,0,0,0,0
271,삼화전자,3,3,3,3,3,3,3,3,11230.0,KOSPI,전기전자,67526286500.0,0,0,0,0,0,0,0
272,삼화페인트,3,4,3,4,3,4,4,4,390.0,KOSPI,화학,202666000000.0,1,-1,1,-1,1,0,0
273,상신브레이크,3,3,3,3,3,3,3,3,41650.0,KOSPI,운수장비,82020939000.0,0,0,0,0,0,0,0
274,샘표,3,3,3,3,3,3,3,3,7540.0,KOSPI,기타금융,142496000000.0,0,0,0,0,0,0,0
275,서연,3,3,3,3,3,3,3,3,7860.0,KOSPI,기타금융,214136000000.0,0,0,0,0,0,0,0
276,서울가스,3,3,3,3,3,4,3,3,17390.0,KOSPI,전기가스업,284000000000.0,0,0,0,0,1,-1,0
277,서원,3,3,3,3,3,3,3,3,21050.0,KOSPI,철강금속,64375544040.0,0,0,0,0,0,0,0
278,서흥,3,3,3,3,3,3,3,3,8490.0,KOSPI,화학,249314000000.0,0,0,0,0,0,0,0
279,선도전기,3,3,3,3,3,3,3,3,7610.0,KOSPI,전기전자,54000000000.0,0,0,0,0,0,0,0
280,SUN&L,3,3,3,3,3,3,3,3,2820.0,KOSPI,종이목재,32591651565.0,0,0,0,0,0,0,0
281,성문전자,3,3,3,3,3,3,3,3,14910.0,KOSPI,전기전자,32029364610.0,0,0,0,0,0,0,0
282,성신양회,3,3,4,4,3,3,3,3,4980.0,KOSPI,비금속광물,206670000000.0,0,1,0,-1,0,0,0
283,성창기업지주,3,3,3,3,3,3,3,3,180.0,KOSPI,서비스업,132737000000.0,0,0,0,0,0,0,0
284,세방,3,3,3,3,3,4,3,3,4360.0,KOSPI,운수창고업,224946000000.0,0,0,0,0,1,-1,0
285,세방전지,3,4,3,3,3,4,3,3,4490.0,KOSPI,전기전자,1303400000000.0,1,-1,0,0,1,-1,0
286,세아베스틸지주,3,3,3,3,3,4,3,3,1430.0,KOSPI,철강금속,747725000000.0,0,0,0,0,1,-1,0
287,세아제강,3,3,3,3,3,3,3,3,306200.0,KOSPI,철강금속,384886000000.0,0,0,0,0,0,0,0
288,세아홀딩스,3,3,3,3,3,3,3,3,58650.0,KOSPI,철강금속,429200000000.0,0,0,0,0,0,0,0
289,세원이앤씨,3,3,3,3,3,3,3,3,91090.0,KOSPI,기계,54838923850.0,0,0,0,0,0,0,0
290,세원정공,3,3,3,3,3,3,3,3,21820.0,KOSPI,운수장비,78200000000.0,0,0,0,0,0,0,0
291,세이브존I&C,3,3,3,3,3,3,3,3,67830.0,KOSPI,유통업,96446103250.0,0,0,0,0,0,0,0
292,에스제이지세종,3,3,3,3,3,3,3,3,33530.0,KOSPI,운수장비,158858000000.0,0,0,0,0,0,0,0
293,송원산업,3,3,3,3,3,3,4,3,4430.0,KOSPI,화학,324000000000.0,0,0,0,0,0,1,-1
294,수산중공업,3,3,3,3,3,3,3,3,17550.0,KOSPI,기계,124611000000.0,0,0,0,0,0,0,0
295,신대양제지,3,3,3,3,3,3,3,3,16590.0,KOSPI,종이목재,229698000000.0,0,0,0,0,0,0,0
296,신도리코,3,3,4,3,4,3,4,3,29530.0,KOSPI,전기전자,373969000000.0,0,1,-1,1,-1,1,-1
297,신성이엔지,3,3,3,3,3,3,3,3,11930.0,KOSPI,전기전자,428164000000.0,0,0,0,0,0,0,0
298,신성통상,3,3,3,3,3,3,3,3,5390.0,KOSPI,유통업,255657000000.0,0,0,0,0,0,0,0
299,신세계,3,4,4,4,4,4,4,4,4170.0,KOSPI,유통업,1618550000000.0,1,0,0,0,0,0,0
300,신세계I&C,3,3,4,3,3,4,4,3,35510.0,KOSPI,서비스업,193500000000.0,0,1,-1,0,1,0,-1
301,신세계건설,3,3,3,3,3,4,3,4,34300.0,KOSPI,건설업,80709761600.0,0,0,0,0,1,-1,1
302,신영와코루,3,3,3,3,3,3,3,3,5800.0,KOSPI,섬유의복,82620000000.0,0,0,0,0,0,0,0
303,신원,3,3,3,3,3,3,3,3,9270.0,KOSPI,섬유의복,131311000000.0,0,0,0,0,0,0,0
304,신일전자,3,3,3,3,3,3,3,3,2700.0,KOSPI,유통업,132362000000.0,0,0,0,0,0,0,0
305,신풍제약,3,3,3,3,3,3,3,3,19170.0,KOSPI,의약품,722715000000.0,0,0,0,0,0,0,0
306,신풍,3,3,3,3,3,3,3,3,2870.0,KOSPI,유통업,29470184100.0,0,0,0,0,0,0,0
307,신한지주,5,5,6,5,6,6,6,6,55550.0,KOSPI,기타금융,22566100000000.0,0,1,-1,1,0,0,0
308,신흥,3,3,3,3,3,3,3,3,4080.0,KOSPI,유통업,142120000000.0,0,0,0,0,0,0,0
309,쌍방울,3,3,3,3,3,3,3,3,102280.0,KOSPI,섬유의복,70637282701.0,0,0,0,0,0,0,0
310,쌍용C&E,3,3,3,3,3,4,4,5,3410.0,KOSPI,비금속광물,3495870000000.0,0,0,0,0,1,0,1
311,써니전자,3,3,3,3,3,3,3,3,4770.0,KOSPI,전기전자,72304681480.0,0,0,0,0,0,0,0
312,아모레퍼시픽,5,5,4,4,4,5,5,4,90430.0,KOSPI,화학,8288420000000.0,0,-1,0,0,1,0,-1
313,아세아,3,4,4,3,3,3,3,3,2030.0,KOSPI,서비스업,490830000000.0,1,0,-1,0,0,0,0
314,아세아제지,3,3,3,3,3,3,3,3,2310.0,KOSPI,종이목재,385577000000.0,0,0,0,0,0,0,0
315,아시아나항공,4,4,4,4,4,4,4,3,20560.0,KOSPI,운수창고업,798438000000.0,0,0,0,0,0,0,-1
316,아이에스동서,3,3,3,3,3,3,3,3,10780.0,KOSPI,비금속광물,781843000000.0,0,0,0,0,0,0,0
317,알루코,3,3,3,3,3,3,3,3,1780.0,KOSPI,철강금속,314699000000.0,0,0,0,0,0,0,0
318,에넥스,3,3,3,3,3,3,3,3,11090.0,KOSPI,기타제조업,28915970962.0,0,0,0,0,0,0,0
319,에스엘,3,3,3,3,3,3,3,3,5850.0,KOSPI,운수장비,1439900000000.0,0,0,0,0,0,0,0
320,에스원,4,3,3,3,3,3,3,3,12750.0,KOSPI,서비스업,2317950000000.0,-1,0,0,0,0,0,0
321,SJM홀딩스,3,3,3,3,3,3,3,3,25530.0,KOSPI,유통업,54882479400.0,0,0,0,0,0,0,0
322,에쓰씨엔지니어링,3,3,3,3,3,3,3,3,23960.0,KOSPI,건설업,49423494464.0,0,0,0,0,0,0,0
323,에이프로젠,3,3,3,3,3,3,3,3,7460.0,KOSPI,기계,384544000000.0,0,0,0,0,0,0,0
324,엔씨소프트,3,4,3,3,3,3,3,3,36570.0,KOSPI,서비스업,3740970000000.0,1,-1,0,0,0,0,0
325,엔케이,3,3,3,3,3,3,3,3,85310.0,KOSPI,기계,70705283168.0,0,0,0,0,0,0,0
326,플레이그램,3,3,3,3,3,3,3,3,9810.0,KOSPI,유통업,73895359021.0,0,0,0,0,0,0,0
327,NPC,3,3,3,3,3,3,3,3,4250.0,KOSPI,화학,188006000000.0,0,0,0,0,0,0,0
328,영보화학,3,3,3,3,3,3,3,3,14440.0,KOSPI,화학,68800000000.0,0,0,0,0,0,0,0
329,영진약품,3,3,3,3,3,3,3,3,3520.0,KOSPI,의약품,375845000000.0,0,0,0,0,0,0,0
330,예스코홀딩스,4,3,3,4,3,3,4,3,15360.0,KOSPI,서비스업,233400000000.0,-1,0,1,-1,0,1,-1
331,오뚜기,3,3,3,3,3,3,3,4,7310.0,KOSPI,음식료품,1649220000000.0,0,0,0,0,0,0,1
332,오리온홀딩스,3,3,3,3,3,3,3,3,1800.0,KOSPI,기타금융,888939000000.0,0,0,0,0,0,0,0
333,우리금융지주,4,5,4,5,4,4,4,4,316140.0,KOSPI,기타금융,10507700000000.0,1,-1,1,-1,0,0,0
334,팜젠사이언스,3,3,3,3,3,3,3,3,4720.0,KOSPI,의약품,94164759500.0,0,0,0,0,0,0,0
335,에스메디,3,3,3,3,3,3,3,3,118000.0,KOSPI,유통업,74672560849.0,0,0,0,0,0,0,0
336,우성,3,3,3,3,3,3,3,3,6980.0,KOSPI,음식료품,60193200000.0,0,0,0,0,0,0,0
337,웅진씽크빅,4,4,3,3,3,3,3,3,95720.0,KOSPI,서비스업,250648000000.0,0,-1,0,0,0,0,0
338,윌비스,3,3,3,3,3,3,3,3,8600.0,KOSPI,유통업,32609478915.0,0,0,0,0,0,0,0
339,유나이티드제약,3,3,3,3,3,3,3,3,33270.0,KOSPI,의약품,372411000000.0,0,0,0,0,0,0,0
340,유니드,3,3,3,3,3,3,3,3,14830.0,KOSPI,화학,550883000000.0,0,0,0,0,0,0,0
341,유니온,3,3,3,3,3,3,3,3,910.0,KOSPI,비금속광물,85707788310.0,0,0,0,0,0,0,0
342,유성기업,3,3,3,3,3,3,3,3,2920.0,KOSPI,운수장비,69669037500.0,0,0,0,0,0,0,0
343,유수홀딩스,4,4,3,3,3,3,4,4,700.0,KOSPI,서비스업,141928000000.0,0,-1,0,0,0,1,0
344,유안타증권,3,3,3,3,3,3,4,3,3470.0,KOSPI,증권,539909000000.0,0,0,0,0,0,1,-1
345,유유제약,3,3,3,3,3,3,3,3,220.0,KOSPI,의약품,80052049700.0,0,0,0,0,0,0,0
346,유한양행,3,4,3,4,4,4,3,4,100.0,KOSPI,의약품,5742970000000.0,1,-1,1,0,0,-1,1
347,율촌화학,3,3,3,3,3,3,3,3,8730.0,KOSPI,화학,820880000000.0,0,0,0,0,0,0,0
348,이건산업,3,3,3,3,3,3,3,3,8250.0,KOSPI,종이목재,59253755350.0,0,0,0,0,0,0,0
349,이수페타시스,3,3,3,3,3,3,3,3,7660.0,KOSPI,전기전자,2270550000000.0,0,0,0,0,0,0,0
350,이수화학,3,3,3,3,3,3,4,3,5950.0,KOSPI,화학,266311000000.0,0,0,0,0,0,1,-1
351,이아이디,3,3,3,3,3,3,3,3,93230.0,KOSPI,유통업,354103000000.0,0,0,0,0,0,0,0
352,이월드,3,3,3,3,3,3,3,3,84680.0,KOSPI,기타제조업,279075000000.0,0,0,0,0,0,0,0
353,이화산업,3,3,3,3,3,3,3,3,760.0,KOSPI,유통업,40012000000.0,0,0,0,0,0,0,0
354,인디에프,3,3,3,3,3,3,3,3,14990.0,KOSPI,섬유의복,51076836600.0,0,0,0,0,0,0,0
355,인천도시가스,3,3,3,3,3,3,3,3,34590.0,KOSPI,전기가스업,110900000000.0,0,0,0,0,0,0,0
356,인팩,3,3,3,3,3,3,3,3,23810.0,KOSPI,운수장비,83800000000.0,0,0,0,0,0,0,0
357,일동홀딩스,3,3,3,3,3,3,3,3,230.0,KOSPI,의약품,99593652000.0,0,0,0,0,0,0,0
358,일성건설,3,3,3,3,3,3,3,3,13360.0,KOSPI,건설업,78282051120.0,0,0,0,0,0,0,0
359,일신방직,3,3,3,3,3,3,3,3,3200.0,KOSPI,섬유의복,200441000000.0,0,0,0,0,0,0,0
360,일신석재,3,3,3,3,3,3,3,3,7110.0,KOSPI,유통업,82491289650.0,0,0,0,0,0,0,0
361,일양약품,3,3,3,3,3,3,3,3,7570.0,KOSPI,의약품,264527000000.0,0,0,0,0,0,0,0
362,일정실업,3,3,3,3,3,3,3,3,8500.0,KOSPI,섬유의복,18840000000.0,0,0,0,0,0,0,0
363,일진다이아,3,3,3,3,3,3,3,3,81000.0,KOSPI,화학,181656000000.0,0,0,0,0,0,0,0
364,일진전기,4,4,3,3,3,3,3,3,103590.0,KOSPI,전기전자,911268000000.0,0,-1,0,0,0,0,0
365,일진홀딩스,3,3,3,3,3,3,3,3,15860.0,KOSPI,기타금융,202078000000.0,0,0,0,0,0,0,0
366,자화전자,3,3,3,3,3,3,3,3,33240.0,KOSPI,전기전자,533956000000.0,0,0,0,0,0,0,0
367,전방,3,3,3,3,3,3,3,3,950.0,KOSPI,섬유의복,33684000000.0,0,0,0,0,0,0,0
368,제일연마,3,3,3,3,3,3,3,3,1560.0,KOSPI,비금속광물,85100000000.0,0,0,0,0,0,0,0
369,제일파마홀딩스,3,3,3,3,3,3,3,3,2620.0,KOSPI,서비스업,163887000000.0,0,0,0,0,0,0,0
370,조광페인트,3,3,3,3,3,3,3,3,4910.0,KOSPI,화학,79232000000.0,0,0,0,0,0,0,0
371,조비,3,3,3,3,3,3,3,3,1550.0,KOSPI,화학,66201047250.0,0,0,0,0,0,0,0
372,조선내화,3,3,3,3,3,3,4,3,462520.0,KOSPI,비금속광물,191935000000.0,0,0,0,0,0,1,-1
373,종근당홀딩스,3,3,3,3,3,3,3,3,1630.0,KOSPI,의약품,309609000000.0,0,0,0,0,0,0,0
374,주연테크,3,3,3,3,3,3,3,3,44380.0,KOSPI,전기전자,27350050728.0,0,0,0,0,0,0,0
375,진양홀딩스,3,3,3,3,3,3,3,3,100250.0,KOSPI,화학,179703000000.0,0,0,0,0,0,0,0
376,진원생명과학,3,3,3,3,3,3,3,3,11000.0,KOSPI,의약품,194895000000.0,0,0,0,0,0,0,0
377,참엔지니어링,3,3,3,3,3,3,3,3,9310.0,KOSPI,기계,37171929522.0,0,0,0,0,0,0,0
378,청호ICT,3,3,3,3,3,3,3,3,12600.0,KOSPI,기계,116120000000.0,0,0,0,0,0,0,0
379,체시스,3,3,3,3,3,3,3,3,33250.0,KOSPI,운수장비,39520000000.0,0,0,0,0,0,0,0
380,카프로,3,3,3,3,3,3,3,3,6380.0,KOSPI,화학,29280000000.0,0,0,0,0,0,0,0
381,케이씨,4,3,3,3,3,3,4,3,29460.0,KOSPI,의료정밀,284635000000.0,-1,0,0,0,0,1,-1
382,KCC,3,4,4,4,3,4,4,3,2380.0,KOSPI,화학,2146080000000.0,1,0,0,-1,1,0,-1
383,KCTC,3,3,3,3,3,3,3,3,9070.0,KOSPI,운수창고업,113100000000.0,0,0,0,0,0,0,0
384,KT,5,5,5,5,5,5,5,5,30200.0,KOSPI,통신업,8820760000000.0,0,0,0,0,0,0,0
385,KT&G,4,5,5,5,5,5,5,6,33780.0,KOSPI,기타제조업,11846300000000.0,1,0,0,0,0,0,1
386,코리아써키트,3,3,3,3,3,3,3,3,7810.0,KOSPI,전기전자,365413000000.0,0,0,0,0,0,0,0
387,코리안리,3,3,4,3,3,3,4,4,3690.0,KOSPI,보험,1319630000000.0,0,1,-1,0,0,1,0
388,코스맥스비티아이,3,3,3,3,3,3,3,3,44820.0,KOSPI,기타금융,91333288710.0,0,0,0,0,0,0,0
389,코스모신소재,3,3,3,4,3,3,3,4,5070.0,KOSPI,화학,4931880000000.0,0,0,1,-1,0,0,1
390,코스모화학,3,3,3,3,3,3,3,3,5420.0,KOSPI,화학,1219460000000.0,0,0,0,0,0,0,0
391,코아스,3,3,3,3,3,3,3,3,71950.0,KOSPI,기타제조업,14062780550.0,0,0,0,0,0,0,0
392,코오롱,3,3,3,3,3,3,3,3,2020.0,KOSPI,기타금융,202780000000.0,0,0,0,0,0,0,0
393,코오롱글로벌,3,3,3,3,3,4,3,3,3070.0,KOSPI,건설업,161496000000.0,0,0,0,0,1,-1,0
394,코웨이,5,4,4,4,4,5,4,4,21240.0,KOSPI,서비스업,4125400000000.0,-1,0,0,0,1,-1,0
395,크라운해태홀딩스,3,3,3,3,3,3,3,3,5740.0,KOSPI,기타금융,88341714650.0,0,0,0,0,0,0,0
396,태경산업,3,3,3,3,3,3,3,3,15890.0,KOSPI,화학,172157000000.0,0,0,0,0,0,0,0
397,태경케미컬,3,3,3,3,3,3,3,3,6890.0,KOSPI,화학,157180000000.0,0,0,0,0,0,0,0
398,태광산업,3,3,3,3,3,3,3,3,3240.0,KOSPI,화학,702555000000.0,0,0,0,0,0,0,0
399,태양금속,3,3,3,3,3,3,3,3,4100.0,KOSPI,운수장비,72188900000.0,0,0,0,0,0,0,0
400,TP,3,3,3,3,3,3,3,3,7980.0,KOSPI,섬유의복,85001890930.0,0,0,0,0,0,0,0
401,TBH글로벌,3,3,3,3,3,3,3,3,84870.0,KOSPI,섬유의복,36979140087.0,0,0,0,0,0,0,0
402,티에이치엔,3,3,3,3,3,3,3,3,19180.0,KOSPI,전기전자,63900000000.0,0,0,0,0,0,0,0
403,팜스코,3,3,3,3,3,3,3,3,36580.0,KOSPI,음식료품,106327000000.0,0,0,0,0,0,0,0
404,퍼스텍,3,3,3,3,3,3,3,3,10820.0,KOSPI,기계,163630000000.0,0,0,0,0,0,0,0
405,퍼시스,3,3,3,3,3,3,3,3,16800.0,KOSPI,기타제조업,407100000000.0,0,0,0,0,0,0,0
406,페이퍼코리아,3,3,3,3,3,3,3,3,1020.0,KOSPI,종이목재,150574000000.0,0,0,0,0,0,0,0
407,평화산업,3,3,3,3,3,4,3,3,90080.0,KOSPI,운수장비,61490530080.0,0,0,0,0,1,-1,0
408,POSCO홀딩스,6,6,5,5,5,6,5,5,5490.0,KOSPI,철강금속,33405600000000.0,0,-1,0,0,1,-1,0
409,포스코스틸리온,3,4,4,3,4,4,4,4,58430.0,KOSPI,철강금속,279300000000.0,1,0,-1,1,0,0,0
410,포스코인터내셔널,3,4,4,4,3,3,4,5,47050.0,KOSPI,유통업,7890140000000.0,1,0,0,-1,0,1,1
411,풀무원,5,4,5,4,4,5,6,6,17810.0,KOSPI,음식료품,470026000000.0,-1,1,-1,0,1,1,0
412,풍산,3,4,4,4,4,4,4,4,103140.0,KOSPI,철강금속,1670250000000.0,1,0,0,0,0,0,0
413,풍산홀딩스,3,3,3,3,3,3,3,4,5810.0,KOSPI,기타금융,418822000000.0,0,0,0,0,0,0,1
414,KH필룩스,3,3,3,3,3,3,3,3,33180.0,KOSPI,전기전자,120579000000.0,0,0,0,0,0,0,0
415,하나금융지주,4,5,5,5,5,5,5,6,86790.0,KOSPI,기타금융,16664300000000.0,1,0,0,0,0,0,1
