,종목명,2011통합등급,2012통합등급,2013통합등급,2014통합등급,2015통합등급,2016통합등급,2017통합등급,2018통합등급,종목코드,시장구분,업종명,시가총액,2012-2011통합등급차이,2013-2012통합등급차이,2014-2013통합등급차이,2015-2014통합등급차이,2016-2015통합등급차이,2017-2016통합등급차이,2018-2017통합등급차이
49,SK증권,4,4,3,3,3,4,4,3,1510.0,KOSPI,증권,281664000000.0,0,-1,0,0,1,0,-1
50,SK텔레콤,6,5,5,5,5,5,5,6,17670.0,KOSPI,통신업,10954300000000.0,-1,0,0,0,0,0,1
51,SK하이닉스,6,6,5,4,4,4,5,5,660.0,KOSPI,전기전자,124925000000000.0,0,-1,-1,0,0,1,0
52,SPC삼립,3,3,3,3,3,3,3,4,5610.0,KOSPI,음식료품,508249000000.0,0,0,0,0,0,0,1
53,TCC스틸,3,3,3,3,3,3,3,3,2710.0,KOSPI,철강금속,1420780000000.0,0,0,0,0,0,0,0
54,WISCOM,3,3,3,3,3,3,3,3,24070.0,KOSPI,화학,36706819010.0,0,0,0,0,0,0,0
55,강원랜드,3,4,4,4,4,5,4,4,35250.0,KOSPI,서비스업,3209110000000.0,1,0,0,0,1,-1,0
56,경농,3,3,3,3,3,3,3,3,2100.0,KOSPI,화학,191712000000.0,0,0,0,0,0,0,0
57,경동나비엔,3,3,3,3,3,3,3,4,9450.0,KOSPI,전기전자,789618000000.0,0,0,0,0,0,0,1
58,경동인베스트,3,3,3,3,3,3,3,3,12320.0,KOSPI,기타금융,165552000000.0,0,0,0,0,0,0,0
59,경방,3,3,3,3,3,3,3,3,50.0,KOSPI,유통업,210001000000.0,0,0,0,0,0,0,0
60,경인양행,3,3,3,3,3,3,3,3,12610.0,KOSPI,화학,137542000000.0,0,0,0,0,0,0,0
61,계룡건설,3,4,3,3,3,4,3,3,13580.0,KOSPI,건설업,117888000000.0,1,-1,0,0,1,-1,0
62,계양전기,3,3,3,3,3,3,3,3,12200.0,KOSPI,기계,50062782531.0,0,0,0,0,0,0,0
63,고려산업,3,3,3,3,3,3,3,3,2140.0,KOSPI,음식료품,78434491625.0,0,0,0,0,0,0,0
64,고려아연,3,4,3,4,4,3,3,3,10130.0,KOSPI,철강금속,9847940000000.0,1,-1,1,0,-1,0,0
65,고려제강,3,3,3,3,3,3,3,3,2240.0,KOSPI,철강금속,511250000000.0,0,0,0,0,0,0,0
66,광동제약,3,3,3,3,3,3,3,3,9290.0,KOSPI,의약품,354365000000.0,0,0,0,0,0,0,0
67,광주신세계,4,3,3,3,3,3,3,3,37710.0,KOSPI,유통업,245479000000.0,-1,0,0,0,0,0,0
68,교보증권,4,3,3,3,4,4,4,3,30610.0,KOSPI,증권,562977000000.0,-1,0,0,1,0,0,-1
69,국도화학,3,3,3,3,3,3,3,3,7690.0,KOSPI,화학,312668000000.0,0,0,0,0,0,0,0
70,국동,3,3,3,3,3,3,3,3,5320.0,KOSPI,유통업,40384171685.0,0,0,0,0,0,0,0
71,국보,3,3,3,3,3,3,3,3,1140.0,KOSPI,운수창고업,32447620090.0,0,0,0,0,0,0,0
72,국제약품,3,3,3,3,3,3,3,3,2720.0,KOSPI,의약품,106434000000.0,0,0,0,0,0,0,0
73,극동유화,3,3,3,3,3,3,3,3,14530.0,KOSPI,화학,139652000000.0,0,0,0,0,0,0,0
74,금강공업,3,3,3,3,3,3,3,3,14280.0,KOSPI,철강금속,156325000000.0,0,0,0,0,0,0,0
75,금호건설,4,3,3,4,3,3,3,3,2990.0,KOSPI,건설업,155205000000.0,-1,0,1,-1,0,0,0
76,금호석유,5,4,4,4,3,4,4,3,11780.0,KOSPI,화학,3406510000000.0,-1,0,0,-1,1,0,-1
77,금호전기,3,3,3,3,3,3,3,3,1210.0,KOSPI,전기전자,27295981353.0,0,0,0,0,0,0,0
78,기신정기,3,3,3,3,3,3,3,3,92440.0,KOSPI,기계,87600000000.0,0,0,0,0,0,0,0
79,기아,5,5,4,4,4,4,3,3,270.0,KOSPI,운수장비,46275300000000.0,0,-1,0,0,0,-1,0
80,기업은행,4,3,4,4,4,4,4,4,24110.0,KOSPI,은행,10876900000000.0,-1,1,0,0,0,0,0
81,까뮤이앤씨,3,3,3,3,3,3,3,3,13700.0,KOSPI,건설업,70753622760.0,0,0,0,0,0,0,0
82,깨끗한나라,3,3,3,3,3,3,3,3,4540.0,KOSPI,종이목재,82115728065.0,0,0,0,0,0,0,0
83,이엔플러스,3,3,3,3,3,3,3,3,74610.0,KOSPI,기계,210769000000.0,0,0,0,0,0,0,0
84,비비안,3,3,3,3,3,3,3,3,2070.0,KOSPI,섬유의복,30121723890.0,0,0,0,0,0,0,0
85,남해화학,3,3,3,3,3,3,3,3,25860.0,KOSPI,화학,356694000000.0,0,0,0,0,0,0,0
86,넥센,3,3,3,3,3,3,3,3,5720.0,KOSPI,화학,223278000000.0,0,0,0,0,0,0,0
87,넥센타이어,3,3,3,3,3,4,3,3,2350.0,KOSPI,화학,899521000000.0,0,0,0,0,1,-1,0
88,노루페인트,3,3,3,3,3,3,3,3,90350.0,KOSPI,화학,181400000000.0,0,0,0,0,0,0,0
89,녹십자,3,3,3,3,3,3,3,4,6280.0,KOSPI,의약품,1308890000000.0,0,0,0,0,0,0,1
90,녹십자홀딩스,3,3,3,3,3,3,3,3,5250.0,KOSPI,서비스업,738813000000.0,0,0,0,0,0,0,0
91,농심,3,3,3,3,3,3,3,3,4370.0,KOSPI,음식료품,2405680000000.0,0,0,0,0,0,0,0
92,농심홀딩스,3,3,3,3,3,3,3,3,72710.0,KOSPI,기타금융,304239000000.0,0,0,0,0,0,0,0
93,KIB플러그에너지,3,3,3,3,3,3,3,3,15590.0,KOSPI,기계,103087000000.0,0,0,0,0,0,0,0
94,대교,3,3,3,4,3,4,4,3,19680.0,KOSPI,서비스업,209640000000.0,0,0,1,-1,1,0,-1
95,대구백화점,3,3,3,3,3,3,3,3,6370.0,KOSPI,유통업,78132031420.0,0,0,0,0,0,0,0
96,대덕전자,3,3,4,4,3,3,3,4,353200.0,KOSPI,전기전자,1129180000000.0,0,1,0,-1,0,0,1
97,대동,3,3,3,3,3,3,3,3,490.0,KOSPI,기계,302818000000.0,0,0,0,0,0,0,0
98,DL,5,4,4,5,4,4,3,4,210.0,KOSPI,화학,1058270000000.0,-1,0,1,-1,0,-1,1
99,대림통상,3,3,3,3,3,3,3,3,6570.0,KOSPI,기계,44761500000.0,0,0,0,0,0,0,0
100,대상,3,3,3,3,3,3,3,3,1680.0,KOSPI,음식료품,758792000000.0,0,0,0,0,0,0,0
101,대신증권,3,4,3,3,4,3,3,3,3540.0,KOSPI,증권,767694000000.0,1,-1,0,1,-1,0,0
102,대영포장,3,3,3,3,3,3,3,3,14160.0,KOSPI,종이목재,140371000000.0,0,0,0,0,0,0,0
103,대우건설,3,3,5,3,3,4,5,5,47040.0,KOSPI,건설업,1541960000000.0,0,2,-2,0,1,1,0
104,대우부품,3,3,3,3,3,3,3,3,9320.0,KOSPI,운수장비,68428080760.0,0,0,0,0,0,0,0
105,한화오션,4,4,4,4,4,4,3,3,42660.0,KOSPI,운수장비,9864760000000.0,0,0,0,0,0,-1,0
106,대웅,3,3,3,3,3,3,3,3,3090.0,KOSPI,의약품,1054700000000.0,0,0,0,0,0,0,0
107,대웅제약,4,4,3,3,3,3,3,3,69620.0,KOSPI,의약품,1283790000000.0,0,-1,0,0,0,0,0
108,대원강업,3,3,3,3,3,3,3,4,430.0,KOSPI,운수장비,341000000000.0,0,0,0,0,0,0,1
109,대원제약,3,3,3,3,3,3,3,3,3220.0,KOSPI,의약품,337957000000.0,0,0,0,0,0,0,0
110,대유에이텍,3,3,3,3,3,3,3,3,2880.0,KOSPI,운수장비,54643759380.0,0,0,0,0,0,0,0
111,대유플러스,3,3,3,3,3,3,3,3,300.0,KOSPI,전기전자,30475633069.0,0,0,0,0,0,0,0
112,대창,3,3,3,3,3,3,3,3,12800.0,KOSPI,철강금속,137349000000.0,0,0,0,0,0,0,0
113,대한유화,3,3,3,3,3,3,3,3,6650.0,KOSPI,화학,869050000000.0,0,0,0,0,0,0,0
114,대한제강,4,4,3,3,3,3,3,3,84010.0,KOSPI,철강금속,325928000000.0,0,-1,0,0,0,0,0
115,대한제당,3,3,3,3,3,3,3,3,1790.0,KOSPI,음식료품,278059000000.0,0,0,0,0,0,0,0
116,대한제분,3,3,3,3,3,3,3,3,1130.0,KOSPI,음식료품,221897000000.0,0,0,0,0,0,0,0
117,대한항공,5,5,5,4,3,4,4,3,3490.0,KOSPI,운수창고업,7640580000000.0,0,0,-1,-1,1,0,-1
118,대한화섬,3,3,3,3,3,3,3,3,3830.0,KOSPI,화학,143822000000.0,0,0,0,0,0,0,0
