,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액,2012-2011지배구조차이,2013-2012지배구조차이,2014-2013지배구조차이,2015-2014지배구조차이,2016-2015지배구조차이,2017-2016지배구조차이,2018-2017지배구조차이
33,SK가스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18670.0,KOSPI,유통업,1426070000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SK네트웍스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1740.0,KOSPI,유통업,1199330000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,SK텔레콤,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,17670.0,KOSPI,통신업,10954300000000.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
36,SK하이닉스,6.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,660.0,KOSPI,전기전자,124925000000000.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0
37,TCC스틸,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2710.0,KOSPI,철강금속,1420780000000.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
38,가온전선,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,500.0,KOSPI,전기전자,274819000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,강남제비스코,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,860.0,KOSPI,화학,178100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,경농,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2100.0,KOSPI,화학,191712000000.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
41,경동나비엔,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,9450.0,KOSPI,전기전자,789618000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,경인양행,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,12610.0,KOSPI,화학,137542000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
43,계룡건설,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13580.0,KOSPI,건설업,117888000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,고려아연,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,10130.0,KOSPI,철강금속,9847940000000.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0
45,광동제약,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9290.0,KOSPI,의약품,354365000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,광명전기,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17040.0,KOSPI,전기전자,110728000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,광전자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17900.0,KOSPI,전기전자,121392000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,광주신세계,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,37710.0,KOSPI,유통업,245479000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,국도화학,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7690.0,KOSPI,화학,312668000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,국보,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1140.0,KOSPI,운수창고업,32447620090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,국제약품,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2720.0,KOSPI,의약품,106434000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,극동유화,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14530.0,KOSPI,화학,139652000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,금호건설,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2990.0,KOSPI,건설업,155205000000.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0
54,금호석유,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,11780.0,KOSPI,화학,3406510000000.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0
55,금호전기,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1210.0,KOSPI,전기전자,27295981353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,기아,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,270.0,KOSPI,운수장비,46275300000000.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0
57,까뮤이앤씨,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13700.0,KOSPI,건설업,70753622760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,깨끗한나라,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4540.0,KOSPI,종이목재,82115728065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,남선알미늄,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8350.0,KOSPI,철강금속,242669000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
