,종목명,2020사회,2021사회,2022사회,2023사회,2024사회,종목코드,시장구분,업종명,시가총액,2021-2020사회차이,2022-2021사회차이,2023-2022사회차이,2024-2023사회차이
45,MH에탄올,3.0,1.0,1.0,1.0,1.0,23150.0,KOSPI,음식료품,45082793860.0,-2.0,0.0,0.0,0.0
46,NAVER,4.0,5.0,5.0,6.0,6.0,35420.0,KOSPI,서비스업,29379700000000.0,1.0,0.0,1.0,0.0
47,NH투자증권,6.0,6.0,5.0,5.0,5.0,5940.0,KOSPI,증권,3853960000000.0,0.0,-1.0,0.0,0.0
48,NICE,3.0,5.0,4.0,5.0,5.0,34310.0,KOSPI,서비스업,461293000000.0,2.0,-1.0,1.0,0.0
49,NI스틸,2.0,2.0,1.0,1.0,1.0,8260.0,KOSPI,철강금속,126699000000.0,0.0,-1.0,0.0,0.0
50,SNT에너지,3.0,3.0,2.0,2.0,2.0,100840.0,KOSPI,기계,76193116650.0,0.0,-1.0,0.0,0.0
51,SNT모티브,4.0,3.0,1.0,2.0,2.0,64960.0,KOSPI,운수장비,666084000000.0,-1.0,-2.0,1.0,0.0
52,SNT다이내믹스,4.0,2.0,2.0,2.0,2.0,3570.0,KOSPI,운수장비,540356000000.0,-2.0,0.0,0.0,0.0
53,SNT홀딩스,4.0,3.0,2.0,2.0,2.0,36530.0,KOSPI,기타금융,366837000000.0,-1.0,-1.0,0.0,0.0
54,S-Oil,6.0,6.0,6.0,6.0,6.0,10950.0,KOSPI,화학,8567550000000.0,0.0,0.0,0.0,0.0
55,SBS,3.0,4.0,1.0,5.0,5.0,34120.0,KOSPI,서비스업,422968000000.0,1.0,-3.0,4.0,0.0
56,SG세계물산,3.0,3.0,1.0,1.0,1.0,4060.0,KOSPI,유통업,82791808640.0,0.0,-2.0,0.0,0.0
57,SG글로벌,2.0,2.0,1.0,1.0,1.0,1380.0,KOSPI,운수장비,91502031005.0,0.0,-1.0,0.0,0.0
58,SH에너지화학,2.0,1.0,1.0,1.0,1.0,2360.0,KOSPI,화학,71236720930.0,-1.0,0.0,0.0,0.0
59,SIMPAC,3.0,3.0,2.0,2.0,2.0,9160.0,KOSPI,철강금속,287236000000.0,0.0,-1.0,0.0,0.0
60,SK,6.0,6.0,5.0,6.0,6.0,34730.0,KOSPI,기타금융,11865400000000.0,0.0,-1.0,1.0,0.0
61,SKC,6.0,6.0,6.0,6.0,6.0,11790.0,KOSPI,화학,4161730000000.0,0.0,0.0,0.0,0.0
62,SK가스,6.0,6.0,6.0,6.0,6.0,18670.0,KOSPI,유통업,1426070000000.0,0.0,0.0,0.0,0.0
63,SK네트웍스,6.0,6.0,6.0,6.0,6.0,1740.0,KOSPI,유통업,1199330000000.0,0.0,0.0,0.0,0.0
64,SK디스커버리,5.0,6.0,6.0,6.0,6.0,6120.0,KOSPI,기타금융,830335000000.0,1.0,0.0,0.0,0.0
65,SK이노베이션,5.0,6.0,6.0,6.0,6.0,96770.0,KOSPI,화학,10588400000000.0,1.0,0.0,0.0,0.0
66,SK증권,5.0,5.0,4.0,4.0,4.0,1510.0,KOSPI,증권,281664000000.0,0.0,-1.0,0.0,0.0
67,SK텔레콤,5.0,6.0,5.0,5.0,5.0,17670.0,KOSPI,통신업,10954300000000.0,1.0,-1.0,0.0,0.0
68,SK하이닉스,6.0,6.0,5.0,6.0,6.0,660.0,KOSPI,전기전자,124925000000000.0,0.0,-1.0,1.0,0.0
69,SPC삼립,5.0,5.0,4.0,2.0,2.0,5610.0,KOSPI,음식료품,508249000000.0,0.0,-1.0,-2.0,0.0
70,STX,4.0,3.0,2.0,2.0,2.0,11810.0,KOSPI,유통업,240079000000.0,-1.0,-1.0,0.0,0.0
71,STX엔진,4.0,3.0,3.0,3.0,3.0,77970.0,KOSPI,기계,309470000000.0,-1.0,0.0,0.0,0.0
72,STX중공업,4.0,3.0,3.0,2.0,2.0,71970.0,KOSPI,기계,416298000000.0,-1.0,0.0,-1.0,0.0
73,TCC스틸,3.0,2.0,2.0,4.0,4.0,2710.0,KOSPI,철강금속,1420780000000.0,-1.0,0.0,2.0,0.0
74,WISCOM,2.0,2.0,1.0,2.0,2.0,24070.0,KOSPI,화학,36706819010.0,0.0,-1.0,1.0,0.0
75,YGPLUS,3.0,2.0,1.0,1.0,1.0,37270.0,KOSPI,서비스업,260378000000.0,-1.0,-1.0,0.0,0.0
76,가온전선,4.0,4.0,4.0,5.0,5.0,500.0,KOSPI,전기전자,274819000000.0,0.0,0.0,1.0,0.0
77,강남제비스코,2.0,3.0,3.0,4.0,4.0,860.0,KOSPI,화학,178100000000.0,1.0,0.0,1.0,0.0
78,강원랜드,5.0,5.0,6.0,6.0,6.0,35250.0,KOSPI,서비스업,3209110000000.0,0.0,1.0,0.0,0.0
79,갤럭시아에스엠,2.0,1.0,1.0,1.0,1.0,11420.0,KOSPI,서비스업,61573454340.0,-1.0,0.0,0.0,0.0
80,경농,4.0,3.0,1.0,1.0,1.0,2100.0,KOSPI,화학,191712000000.0,-1.0,-2.0,0.0,0.0
81,경동나비엔,4.0,4.0,3.0,5.0,5.0,9450.0,KOSPI,전기전자,789618000000.0,0.0,-1.0,2.0,0.0
82,경동인베스트,3.0,5.0,4.0,4.0,4.0,12320.0,KOSPI,기타금융,165552000000.0,2.0,-1.0,0.0,0.0
83,경방,3.0,2.0,1.0,1.0,1.0,50.0,KOSPI,유통업,210001000000.0,-1.0,-1.0,0.0,0.0
84,경인양행,2.0,3.0,4.0,4.0,4.0,12610.0,KOSPI,화학,137542000000.0,1.0,1.0,0.0,0.0
85,경인전자,2.0,2.0,1.0,1.0,1.0,9140.0,KOSPI,전기전자,33772135500.0,0.0,-1.0,0.0,0.0
86,계룡건설,3.0,1.0,3.0,4.0,4.0,13580.0,KOSPI,건설업,117888000000.0,-2.0,2.0,1.0,0.0
87,계양전기,4.0,4.0,3.0,2.0,2.0,12200.0,KOSPI,기계,50062782531.0,0.0,-1.0,-1.0,0.0
88,고려산업,2.0,1.0,1.0,1.0,1.0,2140.0,KOSPI,음식료품,78434491625.0,-1.0,0.0,0.0,0.0
89,고려아연,2.0,2.0,5.0,5.0,5.0,10130.0,KOSPI,철강금속,9847940000000.0,0.0,3.0,0.0,0.0
90,고려제강,4.0,3.0,2.0,3.0,3.0,2240.0,KOSPI,철강금속,511250000000.0,-1.0,-1.0,1.0,0.0
91,상상인증권,3.0,3.0,2.0,2.0,2.0,1290.0,KOSPI,증권,75835984000.0,0.0,-1.0,0.0,0.0
92,광동제약,4.0,4.0,3.0,3.0,3.0,9290.0,KOSPI,의약품,354365000000.0,0.0,-1.0,0.0,0.0
93,광명전기,2.0,1.0,2.0,2.0,2.0,17040.0,KOSPI,전기전자,110728000000.0,-1.0,1.0,0.0,0.0
94,광전자,3.0,3.0,1.0,1.0,1.0,17900.0,KOSPI,전기전자,121392000000.0,0.0,-2.0,0.0,0.0
95,광주신세계,5.0,5.0,5.0,6.0,6.0,37710.0,KOSPI,유통업,245479000000.0,0.0,0.0,1.0,0.0
96,교보증권,4.0,4.0,4.0,5.0,5.0,30610.0,KOSPI,증권,562977000000.0,0.0,0.0,1.0,0.0
97,국도화학,3.0,2.0,1.0,1.0,1.0,7690.0,KOSPI,화학,312668000000.0,-1.0,-1.0,0.0,0.0
98,국동,2.0,3.0,2.0,2.0,2.0,5320.0,KOSPI,유통업,40384171685.0,1.0,-1.0,0.0,0.0
