,종목명,2020환경,2021환경,2022환경,2023환경,2024환경,종목코드,시장구분,업종명,시가총액
592,종근당홀딩스,C,B+,B+,A,A,1630.0,KOSPI,의약품,309609000000.0
593,주연테크,C,C,D,D,D,44380.0,KOSPI,전기전자,27350050728.0
596,HS애드,D,D,D,D,D,35000.0,KOSPI,서비스업,103215000000.0
597,진도,D,D,D,D,D,88790.0,KOSPI,유통업,29252198400.0
598,진양산업,D,D,D,D,D,3780.0,KOSPI,화학,85540000000.0
599,진양폴리,D,D,D,D,D,10640.0,KOSPI,화학,62700000000.0
600,진양홀딩스,D,D,D,D,D,100250.0,KOSPI,화학,179703000000.0
601,진양화학,D,D,D,C,C,51630.0,KOSPI,화학,56248000000.0
602,진원생명과학,D,D,D,D,D,11000.0,KOSPI,의약품,194895000000.0
603,진흥기업,C,C,D,C,C,2780.0,KOSPI,건설업,137180000000.0
605,참엔지니어링,B,D,D,D,D,9310.0,KOSPI,기계,37171929522.0
606,천일고속,C,C,D,C,C,650.0,KOSPI,운수창고업,67459184000.0
607,청호ICT,B,D,D,D,D,12600.0,KOSPI,기계,116120000000.0
608,체시스,C,D,D,C,C,33250.0,KOSPI,운수장비,39520000000.0
609,카프로,B+,B,C,C,C,6380.0,KOSPI,화학,29280000000.0
612,케이씨,B,B,D,C,C,29460.0,KOSPI,의료정밀,284635000000.0
613,KCC,B+,B+,B+,A,A,2380.0,KOSPI,화학,2146080000000.0
614,KCTC,B,B,D,C,C,9070.0,KOSPI,운수창고업,113100000000.0
615,KT,A,A+,A,B+,B+,30200.0,KOSPI,통신업,8820760000000.0
616,KT&G,B+,A,A,A+,A+,33780.0,KOSPI,기타제조업,11846300000000.0
618,코리아써키트,B+,B+,C,C,C,7810.0,KOSPI,전기전자,365413000000.0
619,코리안리,D,B,C,A,A,3690.0,KOSPI,보험,1319630000000.0
620,코스맥스비티아이,B,A,B+,A,A,44820.0,KOSPI,기타금융,91333288710.0
621,코스모신소재,B+,B,C,C,C,5070.0,KOSPI,화학,4931880000000.0
622,코스모화학,B,B,C,C,C,5420.0,KOSPI,화학,1219460000000.0
623,코아스,B,C,D,C,C,71950.0,KOSPI,기타제조업,14062780550.0
624,코오롱,C,B,C,B+,B+,2020.0,KOSPI,기타금융,202780000000.0
625,코오롱글로벌,C,C,D,B,B,3070.0,KOSPI,건설업,161496000000.0
627,코웨이,A,A,A,A,A,21240.0,KOSPI,서비스업,4125400000000.0
628,콤텍시스템,D,D,D,D,D,31820.0,KOSPI,서비스업,82557099812.0
629,크라운해태홀딩스,D,C,C,C,C,5740.0,KOSPI,기타금융,88341714650.0
630,키움증권,D,C,B,B,B,39490.0,KOSPI,증권,3435700000000.0
632,태경산업,B,C,C,C,C,15890.0,KOSPI,화학,172157000000.0
633,태경케미컬,D,D,D,D,D,6890.0,KOSPI,화학,157180000000.0
634,태광산업,B,B,D,C,C,3240.0,KOSPI,화학,702555000000.0
635,태림포장,B,B,C,A,A,11280.0,KOSPI,종이목재,199673000000.0
636,태양금속,B+,B,D,C,C,4100.0,KOSPI,운수장비,72188900000.0
637,태영건설,B,A,B+,A,A,9410.0,KOSPI,건설업,89856916380.0
638,태원물산,B,C,D,D,D,1420.0,KOSPI,운수장비,31464000000.0
639,TP,D,C,D,D,D,7980.0,KOSPI,섬유의복,85001890930.0
641,텔코웨어,D,D,D,D,D,78000.0,KOSPI,서비스업,99452736500.0
642,TBH글로벌,C,D,D,D,D,84870.0,KOSPI,섬유의복,36979140087.0
643,티에이치엔,B,C,D,C,C,19180.0,KOSPI,전기전자,63900000000.0
645,파미셀,B,C,D,C,C,5690.0,KOSPI,의약품,340296000000.0
647,팜스코,D,B+,B,B+,B+,36580.0,KOSPI,음식료품,106327000000.0
648,팬오션,B,B+,A,A+,A+,28670.0,KOSPI,운수창고업,2205100000000.0
649,퍼스텍,B,C,D,C,C,10820.0,KOSPI,기계,163630000000.0
650,퍼시스,B,C,D,C,C,16800.0,KOSPI,기타제조업,407100000000.0
651,페이퍼코리아,C,B,C,C,C,1020.0,KOSPI,종이목재,150574000000.0
652,평화산업,B,B+,D,D,D,90080.0,KOSPI,운수장비,61490530080.0
653,평화홀딩스,C,B+,D,D,D,10770.0,KOSPI,운수장비,43876398000.0
654,POSCO홀딩스,A,A,A,A,A,5490.0,KOSPI,철강금속,33405600000000.0
655,포스코스틸리온,B+,A,B+,A,A,58430.0,KOSPI,철강금속,279300000000.0
656,포스코인터내셔널,A,A,B+,A,A,47050.0,KOSPI,유통업,7890140000000.0
659,풀무원,A,A,B+,A,A,17810.0,KOSPI,음식료품,470026000000.0
661,풍산,B+,B,C,B+,B+,103140.0,KOSPI,철강금속,1670250000000.0
662,풍산홀딩스,B,D,C,B+,B+,5810.0,KOSPI,기타금융,418822000000.0
663,KH필룩스,C,C,D,C,C,33180.0,KOSPI,전기전자,120579000000.0
664,하나금융지주,A,A,A+,A+,A+,86790.0,KOSPI,기타금융,16664300000000.0
666,BNK금융지주,B+,A,A,A,A,138930.0,KOSPI,기타금융,2589590000000.0
667,DGB금융지주,A,A,A+,A+,A+,139130.0,KOSPI,기타금융,1400530000000.0
668,KC코트렐,B,D,D,C,C,119650.0,KOSPI,기계,79395600889.0
669,KTcs,D,B+,B+,A,A,58850.0,KOSPI,서비스업,134244000000.0
671,금호타이어,B,B+,B,A,A,73240.0,KOSPI,화학,1835590000000.0
673,대성산업,C,C,D,D,D,128820.0,KOSPI,유통업,169633000000.0
674,대성에너지,B,B,D,C,C,117580.0,KOSPI,전기가스업,244750000000.0
675,도화엔지니어링,B,B,D,C,C,2150.0,KOSPI,서비스업,251214000000.0
677,한화엔진,B+,B+,B,B,B,82740.0,KOSPI,기계,959642000000.0
678,락앤락,C,C,B,C,C,115390.0,KOSPI,화학,376073000000.0
679,롯데하이마트,B+,A,A,A,A,71840.0,KOSPI,유통업,217899000000.0
680,무학,B,D,D,C,C,33920.0,KOSPI,음식료품,145065000000.0
681,벽산,B,B+,C,B+,B+,7210.0,KOSPI,비금속광물,143903000000.0
682,삼부토건,C,C,D,C,C,1470.0,KOSPI,건설업,344177000000.0
683,삼성생명,A,A,A,A+,A+,32830.0,KOSPI,보험,16840000000000.0
684,삼양사,B+,A,B+,A+,A+,145990.0,KOSPI,음식료품,503296000000.0
685,삼원강재,B+,B,C,B,B,23000.0,KOSPI,운수장비,109600000000.0
