,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액
71,SK네트웍스,A,A,A,B+,B+,A,B+,B+,1740.0,KOSPI,유통업,1199330000000.0
72,SK디스커버리,B+,B+,B+,B+,B+,B+,B+,B+,6120.0,KOSPI,기타금융,830335000000.0
73,SK이노베이션,A+,A,B,B,B+,A+,A,A,96770.0,KOSPI,화학,10588400000000.0
74,SK증권,B+,A,B+,B+,B+,A,A,B+ 이하,1510.0,KOSPI,증권,281664000000.0
75,SK텔레콤,A+,B+,B+,A+,A,A,A,A+,17670.0,KOSPI,통신업,10954300000000.0
76,SK하이닉스,A+,A+,B+,B,B+,A,A,B+,660.0,KOSPI,전기전자,124925000000000.0
77,SPC삼립,B,B,B,C,C,B,C,B+,5610.0,KOSPI,음식료품,508249000000.0
82,TCC스틸,B,C,C,C,C,C,C,C,2710.0,KOSPI,철강금속,1420780000000.0
83,WISCOM,B,B+,B,B,B,B+,B,B,24070.0,KOSPI,화학,36706819010.0
85,가온전선,B,B,B,B,B+,B,B,B,500.0,KOSPI,전기전자,274819000000.0
86,강남제비스코,B,B,B,B,C,B,B,B,860.0,KOSPI,화학,178100000000.0
87,강원랜드,B+,B+,B+,B+,A,B+,B,B+,35250.0,KOSPI,서비스업,3209110000000.0
88,갤럭시아에스엠,B,C,C,C,C,C,C,C,11420.0,KOSPI,서비스업,61573454340.0
91,경농,B,B,C,C,C,B,C,C,2100.0,KOSPI,화학,191712000000.0
92,경동나비엔,B,C,C,C,C,C,D,B,9450.0,KOSPI,전기전자,789618000000.0
93,경동인베스트,B+,B,B,C,B,C,C,C,12320.0,KOSPI,기타금융,165552000000.0
94,경방,B,B,B,B,B,C,B,C,50.0,KOSPI,유통업,210001000000.0
95,경인양행,B,B,B,B,B,B,B,C,12610.0,KOSPI,화학,137542000000.0
96,경인전자,B,B,B,B,B,B,B,C,9140.0,KOSPI,전기전자,33772135500.0
97,계룡건설,B,B+,B,B,B,B+,C,B,13580.0,KOSPI,건설업,117888000000.0
98,계양전기,B,B,B,B,B,B,B,B,12200.0,KOSPI,기계,50062782531.0
100,고려산업,C,C,C,B,B,B,B,B,2140.0,KOSPI,음식료품,78434491625.0
101,고려아연,B+,B+,B,B+,B,B+,B,C,10130.0,KOSPI,철강금속,9847940000000.0
102,고려제강,C,C,C,B,B,D,C,C,2240.0,KOSPI,철강금속,511250000000.0
103,상상인증권,C,B,C,B,B,B,B,B+ 이하,1290.0,KOSPI,증권,75835984000.0
104,광동제약,C,B,B,C,B,B,B,B,9290.0,KOSPI,의약품,354365000000.0
105,광명전기,B,B,B,C,B,C,C,D,17040.0,KOSPI,전기전자,110728000000.0
106,광전자,C,B,B,B,B,B+,B,B,17900.0,KOSPI,전기전자,121392000000.0
107,광주신세계,B+,B,B,B,B+,B,B,B+,37710.0,KOSPI,유통업,245479000000.0
108,교보증권,C,B,B,B,A,A+,A,B+ 이하,30610.0,KOSPI,증권,562977000000.0
109,국도화학,B,B,B,C,C,C,D,C,7690.0,KOSPI,화학,312668000000.0
110,국동,B,B,C,B,B,B,B,B,5320.0,KOSPI,유통업,40384171685.0
111,국보,B,C,C,C,C,C,C,C,1140.0,KOSPI,운수창고업,32447620090.0
112,국제약품,B,B,C,B,B,B+,B+,B,2720.0,KOSPI,의약품,106434000000.0
114,극동유화,B,B,B,C,B,B,B,B,14530.0,KOSPI,화학,139652000000.0
115,금강공업,B,B,B,B,C,C,C,C,14280.0,KOSPI,철강금속,156325000000.0
116,금비,C,C,C,C,C,C,C,C,8870.0,KOSPI,비금속광물,60100000000.0
117,금양,B,B,B,B,C,B,B,C,1570.0,KOSPI,화학,5572800000000.0
118,금호건설,C,B,C,B,B,B,B,B,2990.0,KOSPI,건설업,155205000000.0
119,금호석유,B+,B+,B+,B,C,B,B,C,11780.0,KOSPI,화학,3406510000000.0
120,금호전기,B,B,C,B,C,B,C,C,1210.0,KOSPI,전기전자,27295981353.0
121,기신정기,B+,B,B+,B+,B,B,B,B,92440.0,KOSPI,기계,87600000000.0
122,기아,B+,B+,B+,B+,B,C,C,C,270.0,KOSPI,운수장비,46275300000000.0
123,기업은행,B+,B+,B+,B+,A,B+,A,A,24110.0,KOSPI,은행,10876900000000.0
124,까뮤이앤씨,B,C,C,C,B,B+,B,B,13700.0,KOSPI,건설업,70753622760.0
125,깨끗한나라,B,C,B,B,B,B,B,B,4540.0,KOSPI,종이목재,82115728065.0
126,이엔플러스,C,C,C,B,C,D,D,C,74610.0,KOSPI,기계,210769000000.0
128,남선알미늄,C,C,C,C,C,B,B,C,8350.0,KOSPI,철강금속,242669000000.0
