,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
42,LG유플러스,B이하,B+,B이하,B+,B+,B+,B+,B+,32640.0,KOSPI,통신업,4243860000000.0
43,LG이노텍,A,A,A,A,A,A+,A+,A+,11070.0,KOSPI,전기전자,4366580000000.0
44,LG전자,A,A,A,A,A,A+,A,A,66570.0,KOSPI,전기전자,15055600000000.0
45,LX하우시스,B이하,A,A,A,A,A+,A+,A+,108670.0,KOSPI,화학,352878000000.0
46,LG화학,A,A,A,A,B+,B+,A+,A+,51910.0,KOSPI,화학,26683900000000.0
47,LS,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,6260.0,KOSPI,기타금융,4079740000000.0
48,LS네트웍스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,680.0,KOSPI,유통업,344369000000.0
49,LSELECTRIC,B이하,B이하,B+,B+,A,A+,A,A,10120.0,KOSPI,전기전자,4758000000000.0
51,NAVER,B+,B+,B+,B+,B이하,B+,A,B+,35420.0,KOSPI,서비스업,29379700000000.0
53,NH투자증권,B+,A,B+,B+,B+,B+,B이하,A,5940.0,KOSPI,증권,3853960000000.0
56,OCI,A,A,A,A,A,A,A+,A+,456040.0,KOSPI,화학,748013000000.0
57,SNT에너지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,100840.0,KOSPI,기계,76193116650.0
58,SNT모티브,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,64960.0,KOSPI,운수장비,666084000000.0
59,SNT다이내믹스,B이하,B이하,B이하,B이하,B이하,B+,B+,B이하,3570.0,KOSPI,운수장비,540356000000.0
60,SNT홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,36530.0,KOSPI,기타금융,366837000000.0
61,S-Oil,A,A,A+,A,A+,A+,A+,A+,10950.0,KOSPI,화학,8567550000000.0
64,SG세계물산,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4060.0,KOSPI,유통업,82791808640.0
66,SH에너지화학,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2360.0,KOSPI,화학,71236720930.0
67,SIMPAC,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9160.0,KOSPI,철강금속,287236000000.0
68,SK,B이하,A,A+,A,A,A+,A+,A+,34730.0,KOSPI,기타금융,11865400000000.0
69,SKC,A,A,A,A,A,B+,B+,A,11790.0,KOSPI,화학,4161730000000.0
70,SK가스,B이하,B+,B+,B+,B이하,B+,B+,A,18670.0,KOSPI,유통업,1426070000000.0
71,SK네트웍스,A+,A,B+,A,B+,B+,B+,A+,1740.0,KOSPI,유통업,1199330000000.0
73,SK이노베이션,A,B+,A,A,A,B+,A,A+,96770.0,KOSPI,화학,10588400000000.0
74,SK증권,B+,A,B+,B+,B+,B+,B+,B이하,1510.0,KOSPI,증권,281664000000.0
75,SK텔레콤,A+,A,A,B+,A,B+,B+,A,17670.0,KOSPI,통신업,10954300000000.0
76,SK하이닉스,A+,A+,A+,A,B+,B+,A,A+,660.0,KOSPI,전기전자,124925000000000.0
77,SPC삼립,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,5610.0,KOSPI,음식료품,508249000000.0
82,TCC스틸,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2710.0,KOSPI,철강금속,1420780000000.0
83,WISCOM,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,24070.0,KOSPI,화학,36706819010.0
87,강원랜드,B이하,A,A,A,B+,A,A,B+,35250.0,KOSPI,서비스업,3209110000000.0
91,경농,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,2100.0,KOSPI,화학,191712000000.0
92,경동나비엔,B이하,B이하,B이하,B이하,B이하,B이하,B+,A,9450.0,KOSPI,전기전자,789618000000.0
93,경동인베스트,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,12320.0,KOSPI,기타금융,165552000000.0
94,경방,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,50.0,KOSPI,유통업,210001000000.0
95,경인양행,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,12610.0,KOSPI,화학,137542000000.0
97,계룡건설,B이하,B+,B+,B이하,B이하,B+,B이하,B+,13580.0,KOSPI,건설업,117888000000.0
98,계양전기,B이하,B+,B+,B이하,B이하,B이하,B이하,B이하,12200.0,KOSPI,기계,50062782531.0
100,고려산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2140.0,KOSPI,음식료품,78434491625.0
101,고려아연,B이하,B이하,B이하,B이하,B+,B이하,B+,B+,10130.0,KOSPI,철강금속,9847940000000.0
102,고려제강,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,2240.0,KOSPI,철강금속,511250000000.0
104,광동제약,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,9290.0,KOSPI,의약품,354365000000.0
107,광주신세계,B+,B+,B+,B+,B이하,B이하,B이하,B이하,37710.0,KOSPI,유통업,245479000000.0
108,교보증권,B이하,B이하,B이하,B이하,B+,B+,B+,B이하,30610.0,KOSPI,증권,562977000000.0
109,국도화학,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7690.0,KOSPI,화학,312668000000.0
110,국동,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5320.0,KOSPI,유통업,40384171685.0
111,국보,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1140.0,KOSPI,운수창고업,32447620090.0
112,국제약품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2720.0,KOSPI,의약품,106434000000.0
114,극동유화,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14530.0,KOSPI,화학,139652000000.0
115,금강공업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14280.0,KOSPI,철강금속,156325000000.0
118,금호건설,B+,B+,B+,B+,B이하,B이하,B+,B이하,2990.0,KOSPI,건설업,155205000000.0
119,금호석유,A,A,B+,B+,B이하,B+,B+,B+,11780.0,KOSPI,화학,3406510000000.0
120,금호전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1210.0,KOSPI,전기전자,27295981353.0
121,기신정기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,92440.0,KOSPI,기계,87600000000.0
122,기아,A,A+,A,A,A,A,B+,A,270.0,KOSPI,운수장비,46275300000000.0
123,기업은행,B+,B+,B+,B+,B+,B+,B이하,B+,24110.0,KOSPI,은행,10876900000000.0
124,까뮤이앤씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13700.0,KOSPI,건설업,70753622760.0
125,깨끗한나라,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4540.0,KOSPI,종이목재,82115728065.0
126,이엔플러스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,74610.0,KOSPI,기계,210769000000.0
131,비비안,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2070.0,KOSPI,섬유의복,30121723890.0
132,남해화학,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25860.0,KOSPI,화학,356694000000.0
133,넥센,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5720.0,KOSPI,화학,223278000000.0
134,넥센타이어,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,2350.0,KOSPI,화학,899521000000.0
135,노루페인트,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,90350.0,KOSPI,화학,181400000000.0
137,녹십자,B이하,B이하,B이하,B이하,B+,B+,B이하,B+,6280.0,KOSPI,의약품,1308890000000.0
138,녹십자홀딩스,B이하,B이하,B이하,B이하,B+,B+,B이하,B+,5250.0,KOSPI,서비스업,738813000000.0
139,농심,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,4370.0,KOSPI,음식료품,2405680000000.0
140,농심홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,72710.0,KOSPI,기타금융,304239000000.0
141,다우기술,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,23590.0,KOSPI,서비스업,847979000000.0
144,KIB플러그에너지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,15590.0,KOSPI,기계,103087000000.0
145,대교,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,19680.0,KOSPI,서비스업,209640000000.0
146,대구백화점,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,6370.0,KOSPI,유통업,78132031420.0
149,대덕전자,B이하,B이하,B+,B+,B이하,B이하,B이하,B+,353200.0,KOSPI,전기전자,1129180000000.0
150,대동,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,490.0,KOSPI,기계,302818000000.0
153,DL,A,A,B+,A,B+,B이하,B이하,B이하,210.0,KOSPI,화학,1058270000000.0
154,대림통상,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6570.0,KOSPI,기계,44761500000.0
155,대상,B이하,B+,B이하,B이하,B이하,B+,B+,B+,1680.0,KOSPI,음식료품,758792000000.0
159,대신증권,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,3540.0,KOSPI,증권,767694000000.0
161,대영포장,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14160.0,KOSPI,종이목재,140371000000.0
162,대우건설,B이하,B이하,A,A,B+,A,A,A+,47040.0,KOSPI,건설업,1541960000000.0
163,대우부품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9320.0,KOSPI,운수장비,68428080760.0
165,한화오션,B+,B이하,B+,B이하,B이하,B+,B이하,B이하,42660.0,KOSPI,운수장비,9864760000000.0
166,대웅,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3090.0,KOSPI,의약품,1054700000000.0
167,대웅제약,B이하,B+,B이하,B이하,B+,B+,B+,B+,69620.0,KOSPI,의약품,1283790000000.0
168,대원강업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,430.0,KOSPI,운수장비,341000000000.0
170,대원제약,B이하,B+,B이하,B이하,B이하,B+,B+,B+,3220.0,KOSPI,의약품,337957000000.0
172,대유에이텍,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2880.0,KOSPI,운수장비,54643759380.0
173,대유플러스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,300.0,KOSPI,전기전자,30475633069.0
174,대창,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,12800.0,KOSPI,철강금속,137349000000.0
177,대한유화,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,6650.0,KOSPI,화학,869050000000.0
179,대한제강,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,84010.0,KOSPI,철강금속,325928000000.0
180,대한제당,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1790.0,KOSPI,음식료품,278059000000.0
181,대한제분,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1130.0,KOSPI,음식료품,221897000000.0
182,대한항공,A,A,A,A,B+,B+,B+,B이하,3490.0,KOSPI,운수창고업,7640580000000.0
183,대한화섬,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3830.0,KOSPI,화학,143822000000.0
186,더존비즈온,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,12510.0,KOSPI,서비스업,1637630000000.0
191,하이스틸,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,71090.0,KOSPI,철강금속,65824195460.0
196,한국가스공사,A,B+,A,A,B+,B이하,B+,A,36460.0,KOSPI,전기가스업,2372440000000.0
198,한국공항,B이하,B이하,B+,B+,B이하,B이하,B이하,B이하,5430.0,KOSPI,운수창고업,216262000000.0
200,한국내화,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10040.0,KOSPI,비금속광물,114577000000.0
201,한국단자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25540.0,KOSPI,전기전자,655104000000.0
202,한국석유,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4090.0,KOSPI,비금속광물,203741000000.0
204,한국쉘석유,B이하,B+,B+,B+,B+,B이하,B이하,B이하,2960.0,KOSPI,화학,350350000000.0
207,한국전력,A+,A,A,B+,B+,A+,A,A,15760.0,KOSPI,전기가스업,13417000000000.0
208,한국전자홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6200.0,KOSPI,기타금융,42731263168.0
209,한국제지,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,27970.0,KOSPI,종이목재,194743000000.0
211,한국주철관,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,970.0,KOSPI,철강금속,147063000000.0
212,한국철강,B+,B+,B이하,B이하,B이하,B+,B+,B이하,104700.0,KOSPI,철강금속,514494000000.0
213,한국카본,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17960.0,KOSPI,기계,573069000000.0
215,한국앤컴퍼니,B+,A,A,A,A,A+,A,A,240.0,KOSPI,기타금융,1471500000000.0
217,한국무브넥스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10100.0,KOSPI,운수장비,145858000000.0
218,한국화장품제조,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3350.0,KOSPI,화학,117379000000.0
219,한농화성,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11500.0,KOSPI,화학,276776000000.0
220,한독,B이하,B+,B이하,B이하,B+,B+,B이하,B+,2390.0,KOSPI,의약품,183606000000.0
222,한미글로벌,B+,B이하,B이하,B이하,B이하,B이하,B이하,B+,53690.0,KOSPI,서비스업,167431000000.0
223,한미반도체,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,42700.0,KOSPI,기계,12371800000000.0
225,한샘,B+,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9240.0,KOSPI,유통업,1195520000000.0
226,한섬,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,20000.0,KOSPI,섬유의복,446911000000.0
227,한성기업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3680.0,KOSPI,음식료품,31979002250.0
228,한세실업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,105630.0,KOSPI,섬유의복,854000000000.0
230,한솔로지스틱스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,9180.0,KOSPI,운수창고업,62026222875.0
232,한솔케미칼,B이하,B이하,B이하,B이하,B이하,B+,B이하,B+,14680.0,KOSPI,화학,2157090000000.0
233,한솔테크닉스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,4710.0,KOSPI,전기전자,176604000000.0
234,한솔PNS,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10420.0,KOSPI,유통업,25226897772.0
235,한솔홀딩스,B+,B+,B+,B+,B이하,B이하,B이하,B+,4150.0,KOSPI,기타금융,115734000000.0
239,한양증권,B+,B+,B이하,B이하,B이하,B이하,B이하,B+,1750.0,KOSPI,증권,130849000000.0
240,한온시스템,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,18880.0,KOSPI,기계,2749070000000.0
241,한올바이오파마,B+,B이하,B이하,B이하,B이하,B+,B이하,B이하,9420.0,KOSPI,의약품,1810140000000.0
