,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액
119,금호석유,A,B+,A,B+,B+,B+,B+,A,11780.0,KOSPI,화학,3406510000000.0
120,금호전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1210.0,KOSPI,전기전자,27295981353.0
122,기아,A,B+,B+,B+,B+,A,B+,A,270.0,KOSPI,운수장비,46275300000000.0
124,까뮤이앤씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13700.0,KOSPI,건설업,70753622760.0
125,깨끗한나라,B+,B+,B+,B+,B+,B+,B+,B+,4540.0,KOSPI,종이목재,82115728065.0
128,남선알미늄,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8350.0,KOSPI,철강금속,242669000000.0
132,남해화학,B이하,B+,B+,B+,B+,B+,B+,B+,25860.0,KOSPI,화학,356694000000.0
134,넥센타이어,B이하,B+,B+,B+,B+,B+,B+,B+,2350.0,KOSPI,화학,899521000000.0
135,노루페인트,B이하,B+,B+,B+,B이하,B이하,B이하,B이하,90350.0,KOSPI,화학,181400000000.0
137,녹십자,B이하,B+,B이하,B이하,B이하,B이하,B+,B+,6280.0,KOSPI,의약품,1308890000000.0
139,농심,B이하,B+,B+,B+,B+,B+,B+,B+,4370.0,KOSPI,음식료품,2405680000000.0
144,KIB플러그에너지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,15590.0,KOSPI,기계,103087000000.0
146,대구백화점,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6370.0,KOSPI,유통업,78132031420.0
149,대덕전자,B이하,B이하,B+,B+,B이하,B+,B+,B+,353200.0,KOSPI,전기전자,1129180000000.0
150,대동,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,490.0,KOSPI,기계,302818000000.0
152,대림B&Co,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5750.0,KOSPI,비금속광물,66355515200.0
153,DL,A,B+,B+,A,A,A,B+,B+,210.0,KOSPI,화학,1058270000000.0
154,대림통상,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6570.0,KOSPI,기계,44761500000.0
155,대상,B이하,B이하,B+,B이하,B이하,B이하,B이하,B이하,1680.0,KOSPI,음식료품,758792000000.0
161,대영포장,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14160.0,KOSPI,종이목재,140371000000.0
162,대우건설,B이하,B이하,A,A,A,A,A,A,47040.0,KOSPI,건설업,1541960000000.0
165,한화오션,A,B+,B+,B+,A,A,B+,B+,42660.0,KOSPI,운수장비,9864760000000.0
168,대원강업,B이하,B이하,B이하,B+,B+,B이하,B+,B+,430.0,KOSPI,운수장비,341000000000.0
169,대원전선,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6340.0,KOSPI,전기전자,170556000000.0
171,대원화성,B이하,B+,B이하,B+,B+,B+,B+,B+,24890.0,KOSPI,화학,70618548224.0
172,대유에이텍,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2880.0,KOSPI,운수장비,54643759380.0
173,대유플러스,B이하,B+,B이하,B+,B+,B이하,B+,B이하,300.0,KOSPI,전기전자,30475633069.0
174,대창,B이하,B+,B+,B+,B+,B+,B+,B+,12800.0,KOSPI,철강금속,137349000000.0
175,대창단조,B이하,B이하,B이하,B이하,B+,B+,B+,B+,15230.0,KOSPI,운수장비,166290000000.0
177,대한유화,B이하,B+,B이하,B+,B+,B이하,B이하,B이하,6650.0,KOSPI,화학,869050000000.0
178,대한전선,B이하,B+,B+,B+,B+,B+,B+,B+,1440.0,KOSPI,전기전자,2321270000000.0
179,대한제강,B이하,B+,B+,B+,B+,B+,B+,B+,84010.0,KOSPI,철강금속,325928000000.0
182,대한항공,A,A+,A,B+,A,A,A,B+,3490.0,KOSPI,운수창고업,7640580000000.0
183,대한화섬,B이하,B이하,B이하,B이하,B+,B이하,B이하,B이하,3830.0,KOSPI,화학,143822000000.0
185,대호에이엘,B이하,B+,B이하,B+,B+,B+,B+,B+,69460.0,KOSPI,철강금속,75582738624.0
190,케이비아이동국실업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1620.0,KOSPI,운수장비,64661251011.0
194,하이트진로,B+,B+,B+,B+,B+,B+,B+,B+,80.0,KOSPI,음식료품,1476310000000.0
196,한국가스공사,B+,B+,B+,A,A,A,A,B+,36460.0,KOSPI,전기가스업,2372440000000.0
198,한국공항,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5430.0,KOSPI,운수창고업,216262000000.0
201,한국단자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25540.0,KOSPI,전기전자,655104000000.0
202,한국석유,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4090.0,KOSPI,비금속광물,203741000000.0
203,한국수출포장,B이하,B+,B+,B+,B+,B+,B+,B+,2200.0,KOSPI,종이목재,105800000000.0
209,한국제지,B이하,B+,B+,B+,B+,B+,B+,B+,27970.0,KOSPI,종이목재,194743000000.0
213,한국카본,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,17960.0,KOSPI,기계,573069000000.0
215,한국앤컴퍼니,A,A,A,B+,B+,B+,B이하,B이하,240.0,KOSPI,기타금융,1471500000000.0
217,한국무브넥스,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,10100.0,KOSPI,운수장비,145858000000.0
219,한농화성,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11500.0,KOSPI,화학,276776000000.0
220,한독,B+,B+,B+,B+,B이하,B+,B+,B+,2390.0,KOSPI,의약품,183606000000.0
222,한미글로벌,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,53690.0,KOSPI,서비스업,167431000000.0
225,한샘,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9240.0,KOSPI,유통업,1195520000000.0
230,한솔로지스틱스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9180.0,KOSPI,운수창고업,62026222875.0
